大國鋼,	8415
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,5689480,25.40,27.70,25.30,27.70,+2.50,1927,155756442
107/06/04,3356263,30.40,30.45,29.50,30.45,+2.75,1301,101752707
107/06/05,10425738,30.45,33.25,30.00,31.70,+1.25,5326,330192855
107/06/06,3154002,31.50,33.00,31.15,31.45,-0.25,1750,100473364
107/06/07,1893000,31.70,32.15,30.50,31.40,-0.05,1028,58810350
107/06/08,2344202,31.60,31.95,30.50,30.55,-0.85,1247,72792962
107/06/11,1362000,31.40,31.40,30.50,30.50,-0.05,563,41827900
107/06/12,1707338,30.55,32.20,29.50,31.90,+1.40,900,52607899
107/06/13,2412338,32.85,33.20,30.95,31.20,-0.70,1353,76637728
107/06/14,1566018,32.20,32.45,31.15,31.20,0.00,851,49878058
107/06/15,1196042,31.25,32.20,30.80,31.75,+0.55,616,37862346
107/06/19,1140050,31.95,32.20,31.30,31.75,0.00,590,36167635
107/06/20,1319019,31.80,32.00,30.20,30.25,-1.50,639,40528387
107/06/21,228050,30.40,30.80,30.40,30.60,+0.35,161,6985090
107/06/22,391000,30.70,30.80,30.05,30.15,-0.45,234,11856400
107/06/25,1238000,29.90,30.60,29.00,30.05,-0.10,382,36947050
107/06/26,1053100,30.00,31.50,29.20,30.65,+0.60,295,31877000
107/06/27,431000,31.10,31.10,30.20,30.40,-0.25,201,13125450
107/06/28,307000,30.15,30.45,30.10,30.15,-0.25,149,9276900
107/06/29,180000,30.40,30.40,30.10,30.15,0.00,99,5440650
107/07/02,293172,30.20,30.70,30.05,30.20,+0.05,161,8878360
107/07/03,233000,30.20,30.60,30.10,30.15,-0.05,139,7043250
107/07/04,224000,30.30,30.50,30.05,30.10,-0.05,134,6770050
107/07/05,262000,30.30,30.40,30.10,30.10,0.00,150,7918150
107/07/06,431000,30.10,30.40,30.05,30.05,-0.05,187,13009550
107/07/09,328000,30.10,30.55,30.05,30.45,+0.40,180,9952550
107/07/10,225000,30.60,30.90,30.15,30.20,-0.25,147,6878900
107/07/11,113000,30.45,30.45,30.15,30.20,0.00,72,3414900
107/07/12,195000,30.30,30.30,30.10,30.20,0.00,110,5889350
107/07/13,224165,30.20,30.30,30.15,30.20,0.00,107,6769783
107/07/16,187000,30.40,30.45,30.15,30.30,+0.10,118,5657200
107/07/17,1389122,30.40,31.90,30.30,30.90,+0.60,654,43336741
107/07/18,272304,31.30,31.30,30.55,30.60,-0.30,182,8372669
107/07/19,167000,31.20,31.20,30.70,30.80,+0.20,83,5149750
107/07/20,433000,30.90,30.95,30.35,30.85,+0.05,171,13247000
107/07/23,163000,30.85,30.95,30.35,30.50,-0.35,94,4970050
107/07/24,300000,30.50,30.55,30.15,30.45,-0.05,151,9099800
107/07/25,214249,30.45,30.65,30.20,30.60,+0.15,101,6517844
107/07/26,127643,30.60,30.80,30.60,30.80,+0.20,82,3923754
107/07/27,300525,30.80,31.20,30.80,30.85,+0.05,123,9279594
107/07/30,3821247,31.20,33.10,31.20,32.40,+1.55,1632,123473447
107/07/31,1538048,32.40,33.45,32.40,32.50,+0.10,837,50320705
107/08/01,944000,32.60,32.85,32.10,32.70,+0.20,370,30685650
107/08/02,407050,32.80,32.90,32.40,32.85,+0.15,209,13260950
107/08/03,3172986,32.95,35.80,32.90,35.05,+2.20,1763,110108147
107/08/06,3385333,35.50,38.55,35.05,38.55,+3.50,1696,123804786
107/08/07,3488470,36.00,36.75,34.20,34.60,,1921,123594868
107/08/08,2654300,34.60,35.85,33.45,34.65,+0.05,1377,92788150
107/08/09,1146000,34.95,35.35,33.85,34.00,-0.65,620,39427450
107/08/10,958150,34.00,34.90,33.50,33.90,-0.10,500,32745385
107/08/13,1402550,34.50,34.70,33.45,33.80,-0.10,617,47727240
107/08/14,4162010,34.50,36.00,33.60,35.05,+1.25,2209,146682002
107/08/15,2887152,35.50,36.25,35.15,35.20,+0.15,1574,102957774
107/08/16,857000,34.70,35.60,34.70,34.80,-0.40,507,30023100
107/08/17,1132206,35.45,35.50,33.70,34.35,-0.45,595,39323468
107/08/20,917680,34.35,34.90,33.30,33.50,-0.85,433,31192347
107/08/21,1254148,33.00,33.90,32.85,33.05,-0.45,474,41542295
107/08/22,941575,33.05,34.40,33.05,33.40,+0.35,600,31865212
107/08/23,504178,34.80,34.80,33.60,33.60,+0.20,351,17147580
107/08/24,290400,33.30,33.60,33.10,33.25,-0.35,192,9666990
107/08/27,368501,33.15,33.35,33.10,33.10,-0.15,218,12213182
107/08/28,537143,33.10,33.90,33.10,33.15,+0.05,305,17950461
107/08/29,358000,33.15,33.20,33.00,33.05,-0.10,199,11847550
107/08/30,315002,33.05,33.35,33.00,33.00,-0.05,105,10411616
107/08/31,210500,33.05,33.15,33.00,33.05,+0.05,129,6962349
107/09/03,914080,33.05,33.15,33.00,33.05,0.00,261,30176318
107/09/04,306000,33.00,33.10,33.00,33.00,-0.05,99,10107350
107/09/05,263000,33.05,33.10,33.00,33.00,0.00,102,8686350
107/09/06,427000,33.00,33.10,33.00,33.05,+0.05,133,14099350
107/09/07,1094000,33.20,34.30,33.10,34.00,+0.95,589,36728450
