F-保綠,	8423
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,2000,25.30,26.60,25.30,26.60,+1.40,2,51900
104/01/06,2000,25.30,26.35,25.30,26.35,-0.25,2,51650
104/01/07,3000,25.35,26.15,25.35,26.15,-0.20,3,76900
104/01/08,1000,26.75,26.75,26.75,26.75,+0.60,1,26750
104/01/09,3000,25.70,26.25,25.70,26.25,-0.50,3,77650
104/01/12,8097,24.80,25.90,24.80,25.90,-0.35,9,203846
104/01/13,6000,25.05,25.75,24.70,24.75,-1.15,6,150250
104/01/14,3000,25.85,25.85,24.80,25.55,+0.80,3,76200
104/01/15,13970,24.40,24.80,24.40,24.80,-0.75,11,342589
104/01/16,14000,24.45,24.65,24.05,24.65,-0.15,11,339600
104/01/19,1000,25.25,25.25,25.25,25.25,+0.60,1,25250
104/01/20,0,---,---,---,---,---,0,0
104/01/21,2000,24.80,24.80,24.00,24.00,-0.80,2,48800
104/01/22,1000,24.70,24.70,24.70,24.70,+0.70,1,24700
104/01/23,1000,24.00,24.00,24.00,24.00,-0.70,1,24000
104/01/26,1000,24.50,24.50,24.50,24.50,+0.50,1,24500
104/01/27,0,---,---,---,---,---,0,0
104/01/28,1000,24.80,24.80,24.80,24.80,+0.30,1,24800
104/01/29,3000,24.65,24.75,24.65,24.75,-0.05,3,74100
104/01/30,0,---,---,---,---,---,0,0
104/02/02,3000,24.00,24.60,24.00,24.60,-0.15,3,73100
104/02/03,0,---,---,---,---,---,0,0
104/02/04,2000,24.20,24.45,24.20,24.45,-0.05,2,48650
104/02/05,4000,24.20,24.50,24.20,24.20,-0.25,4,97100
104/02/06,1030,24.90,24.90,24.90,24.90,+0.70,2,25650
104/02/09,0,---,---,---,---,---,0,0
104/02/10,747,---,---,---,---,---,3,18599
104/02/11,6062,24.20,24.20,24.00,24.00,-0.85,6,145819
104/02/12,0,---,---,---,---,---,0,0
104/02/13,3000,24.65,24.65,24.00,24.40,+0.40,3,73050
104/02/24,1000,24.50,24.50,24.50,24.50,+0.10,1,24500
104/02/25,5000,24.55,24.85,24.15,24.85,+0.35,5,122850
104/02/26,0,---,---,---,---,---,0,0
104/03/02,0,---,---,---,---,---,0,0
104/03/03,0,---,---,---,---,---,0,0
104/03/04,1000,24.90,24.90,24.90,24.90,+0.05,1,24900
104/03/05,2466,25.20,25.40,25.20,25.40,+0.50,3,62203
104/03/06,2000,26.95,26.95,26.85,26.85,+1.45,2,53800
104/03/09,2000,26.85,28.00,26.85,28.00,+1.15,2,54850
104/03/10,7000,26.20,26.80,26.05,26.80,-1.20,7,183600
104/03/11,4360,25.15,26.00,25.15,26.00,-0.80,4,110630
104/03/12,9000,25.65,26.30,24.60,26.30,+0.30,8,227000
104/03/13,6062,27.85,27.85,25.40,25.95,-0.35,7,159031
104/03/16,3000,24.90,25.80,24.80,25.80,-0.15,3,75500
104/03/17,6501,24.90,25.85,24.90,25.85,+0.05,6,163025
104/03/18,13000,25.60,25.60,24.05,24.90,-0.95,8,324400
104/03/19,5000,25.00,25.35,24.50,25.35,+0.45,5,124850
104/03/20,4000,24.80,26.40,24.80,26.30,+0.95,3,102300
104/03/23,2000,25.40,25.75,25.40,25.75,-0.55,2,51150
104/03/24,1000,26.10,26.10,26.10,26.10,+0.35,1,26100
104/03/25,19103,25.80,25.80,24.85,25.70,-0.40,14,480397
104/03/26,11202,24.30,25.35,24.30,25.35,-0.35,11,273577
104/03/27,12999,24.65,24.80,24.50,24.80,-0.55,10,319674
104/03/30,9129,26.30,26.30,24.60,25.70,+0.90,10,229314
104/03/31,17000,24.60,24.90,24.40,24.90,-0.80,10,417600
104/04/01,10000,24.20,24.80,24.20,24.80,-0.10,7,243100
104/04/02,6000,25.25,25.25,24.25,24.75,-0.05,6,147700
104/04/07,5141,25.40,25.40,24.05,24.05,-0.70,8,126877
104/04/08,42658,24.20,24.90,23.25,23.35,-0.70,33,1024195
104/04/09,13300,24.20,24.20,23.35,24.05,+0.70,12,313630
104/04/10,4000,24.00,24.00,23.50,23.85,-0.20,4,94950
104/04/13,1092,24.00,24.00,24.00,24.00,+0.15,2,26208
104/04/14,18001,24.00,24.00,23.95,24.00,0.00,8,431924
104/04/15,1004000,23.60,23.95,23.60,23.95,-0.05,6,22594750
104/04/16,1000,24.30,24.30,24.30,24.30,+0.35,1,24300
104/04/17,5700,24.80,24.80,24.05,24.40,+0.10,6,138680
104/04/20,8578,24.40,24.40,24.00,24.00,-0.40,10,207687
104/04/21,4000,25.00,25.00,24.30,24.30,+0.30,3,98700
104/04/22,3000,23.90,24.00,23.90,24.00,-0.30,3,71800
104/04/23,0,---,---,---,---,---,0,0
104/04/24,0,---,---,---,---,---,0,0
104/04/27,1500,24.85,24.85,24.85,24.85,+0.85,2,37050
104/04/28,0,---,---,---,---,---,0,0
