沈氏,	8921
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,0,---,---,---,---,---,0,0
104/01/06,0,---,---,---,---,---,0,0
104/01/07,1000,20.20,20.20,20.20,20.20,-0.10,1,20200
104/01/08,0,---,---,---,---,---,0,0
104/01/09,999,---,---,---,---,---,1,20179
104/01/12,999,---,---,---,---,---,1,20179
104/01/13,0,---,---,---,---,---,0,0
104/01/14,0,---,---,---,---,---,0,0
104/01/15,3000,20.05,20.05,19.85,19.85,-0.35,2,59750
104/01/16,0,---,---,---,---,---,0,0
104/01/19,4001,19.85,19.85,19.85,19.85,0.00,5,79421
104/01/20,0,---,---,---,---,---,0,0
104/01/21,0,---,---,---,---,---,0,0
104/01/22,2,---,---,---,---,---,2,42
104/01/23,1,---,---,---,---,---,1,21
104/01/26,0,---,---,---,---,---,0,0
104/01/27,0,---,---,---,---,---,0,0
104/01/28,3000,19.70,19.70,19.20,19.20,-0.65,2,58600
104/01/29,5000,19.20,19.35,19.00,19.00,-0.20,4,95650
104/01/30,2000,18.50,19.00,18.50,19.00,0.00,2,37500
104/02/02,0,---,---,---,---,---,0,0
104/02/03,0,---,---,---,---,---,0,0
104/02/04,0,---,---,---,---,---,0,0
104/02/05,1,---,---,---,---,---,1,20
104/02/06,0,---,---,---,---,---,0,0
104/02/09,0,---,---,---,---,---,0,0
104/02/10,0,---,---,---,---,---,0,0
104/02/11,4,---,---,---,---,---,2,72
104/02/12,0,---,---,---,---,---,0,0
104/02/13,0,---,---,---,---,---,0,0
104/02/24,1,---,---,---,---,---,1,18
104/02/25,1000,18.90,18.90,18.90,18.90,0.00,1,18900
104/02/26,0,---,---,---,---,---,0,0
104/03/02,1,---,---,---,---,---,1,20
104/03/03,0,---,---,---,---,---,0,0
104/03/04,0,---,---,---,---,---,0,0
104/03/05,6000,20.20,20.20,19.95,19.95,+1.05,6,120600
104/03/06,5020,19.95,19.95,19.15,19.20,-0.75,5,97076
104/03/09,259,---,---,---,---,---,1,4674
104/03/10,2002,19.00,19.00,19.00,19.00,-0.20,3,38040
104/03/11,4001,19.40,19.50,19.40,19.50,+0.50,4,77870
104/03/12,1,---,---,---,---,---,1,20
104/03/13,2,---,---,---,---,---,2,40
104/03/16,1,---,---,---,---,---,1,20
104/03/17,1,---,---,---,---,---,1,20
104/03/18,0,---,---,---,---,---,0,0
104/03/19,2000,19.25,19.25,19.25,19.25,-0.25,1,38500
104/03/20,4000,19.00,19.00,19.00,19.00,-0.25,1,76000
104/03/23,5,---,---,---,---,---,5,100
104/03/24,7151,19.25,19.45,19.25,19.45,+0.45,6,139015
104/03/25,4000,19.50,19.75,19.50,19.75,+0.30,2,78500
104/03/26,1000,19.50,19.50,19.50,19.50,-0.25,1,19500
104/03/27,10,---,---,---,---,---,1,208
104/03/30,11,---,---,---,---,---,2,227
104/03/31,1000,19.50,19.50,19.50,19.50,0.00,1,19500
104/04/01,3,---,---,---,---,---,3,60
104/04/02,0,---,---,---,---,---,0,0
104/04/07,1,---,---,---,---,---,1,20
104/04/08,2001,19.60,19.60,19.60,19.60,+0.10,3,39220
104/04/09,1001,19.75,19.75,19.75,19.75,+0.15,2,19770
104/04/10,2,---,---,---,---,---,2,42
104/04/13,0,---,---,---,---,---,0,0
104/04/14,6,---,---,---,---,---,6,126
104/04/15,2,---,---,---,---,---,2,42
104/04/16,0,---,---,---,---,---,0,0
104/04/17,6,---,---,---,---,---,6,126
