萬國通,	9950
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,49000,23.65,23.70,23.55,23.70,+0.05,40,1158200
104/01/06,70085,23.70,23.70,23.55,23.65,-0.05,53,1653420
104/01/07,79124,23.65,23.80,23.50,23.60,-0.05,54,1867126
104/01/08,62000,23.60,23.65,23.50,23.60,0.00,37,1459900
104/01/09,87000,23.60,23.75,23.50,23.75,+0.15,46,2054600
104/01/12,172000,23.80,24.10,23.70,24.00,+0.25,88,4105050
104/01/13,65000,23.70,24.50,23.70,24.20,+0.20,41,1576000
104/01/14,32339,24.20,24.20,24.00,24.05,-0.15,33,778452
104/01/15,86000,24.10,24.60,24.10,24.30,+0.25,60,2090950
104/01/16,74620,24.30,24.30,24.00,24.00,-0.30,61,1798080
104/01/19,27000,24.10,24.10,24.00,24.00,0.00,25,648850
104/01/20,36150,24.00,24.20,24.00,24.20,+0.20,32,872930
104/01/21,99000,24.40,24.60,24.10,24.55,+0.35,65,2420900
104/01/22,145000,24.55,25.95,24.55,25.40,+0.85,112,3694550
104/01/23,75000,25.50,25.55,25.20,25.30,-0.10,52,1903650
104/01/26,67126,25.25,25.35,25.25,25.30,0.00,55,1698011
104/01/27,72001,25.30,25.35,25.30,25.35,+0.05,35,1822725
104/01/28,45523,25.30,25.35,25.10,25.10,-0.25,31,1149343
104/01/29,106006,25.10,25.10,24.35,24.75,-0.35,63,2610498
104/01/30,89000,24.75,24.75,24.40,24.50,-0.25,28,2176100
104/02/02,45000,24.50,24.80,24.30,24.50,0.00,27,1100550
104/02/03,23000,24.50,24.80,24.50,24.80,+0.30,17,566550
104/02/04,7000,25.00,25.00,24.70,24.70,-0.10,6,173500
104/02/05,13000,24.65,24.70,24.65,24.65,-0.05,12,320650
104/02/06,14010,24.70,24.70,24.50,24.50,-0.15,13,344300
104/02/09,39001,24.50,25.00,24.50,24.85,+0.35,27,970275
104/02/10,22000,24.90,24.95,24.70,24.80,-0.05,13,544900
104/02/11,39000,24.85,24.85,24.55,24.55,-0.25,24,960300
104/02/12,20287,24.85,24.85,24.55,24.70,+0.15,18,500488
104/02/13,43100,24.70,24.90,24.70,24.90,+0.20,34,1070520
104/02/24,45000,24.95,25.15,24.90,25.15,+0.25,33,1126650
104/02/25,39000,25.20,25.25,25.10,25.15,0.00,28,981250
104/02/26,61000,25.15,25.20,25.00,25.20,+0.05,13,1526750
104/03/02,64000,25.20,25.25,25.00,25.05,-0.15,34,1606050
104/03/03,24000,25.05,25.25,25.05,25.20,+0.15,13,602700
104/03/04,18000,25.20,25.30,25.20,25.30,+0.10,10,454150
104/03/05,16359,25.30,25.30,25.10,25.20,-0.10,15,412175
104/03/06,94271,25.20,26.05,25.15,25.95,+0.75,36,2394478
104/03/09,49000,26.00,26.00,25.60,25.90,-0.05,25,1267600
104/03/10,26105,25.90,25.90,25.50,25.55,-0.35,24,670539
104/03/11,55000,25.35,25.50,25.25,25.50,-0.05,35,1396600
104/03/12,31127,25.50,25.50,25.25,25.40,-0.10,19,789401
104/03/13,41173,25.70,25.70,25.30,25.30,-0.10,20,1045870
104/03/16,7000,25.30,25.40,25.30,25.40,+0.10,6,177500
104/03/17,30001,25.40,25.40,25.15,25.30,-0.10,22,758425
104/03/18,46000,25.35,25.35,25.10,25.10,-0.20,26,1159350
104/03/19,40000,25.10,25.35,25.00,25.35,+0.25,27,1006550
104/03/20,28000,25.40,25.40,25.10,25.30,-0.05,13,705900
