CF日經          ,	00657
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
105/05/09,5617000,19.50,19.86,19.50,19.85,0.03,990,111160470
105/05/10,14140000,19.90,20.19,19.89,20.19,0.34,1875,283842950
105/05/11,7849000,20.46,20.49,20.24,20.38,0.19,684,160038740
105/05/12,2274000,20.17,20.38,20.12,20.34,-0.04,149,45987340
105/05/13,2321000,20.19,20.19,20.08,20.13,-0.21,86,46738630
105/05/16,1850000,20.31,20.37,20.06,20.10,-0.03,138,37547850
105/05/17,833000,20.21,20.32,20.21,20.28,0.18,87,16901000
105/05/18,1793000,20.22,20.50,20.19,20.30,0.02,168,36553570
105/05/19,3562000,20.45,20.45,20.27,20.35,0.05,72,72565620
105/05/20,3154000,20.40,20.50,20.33,20.41,0.06,90,64389730
105/05/23,2180000,20.09,20.37,20.08,20.33,-0.08,50,43876710
105/05/24,660000,20.23,20.26,20.18,20.19,-0.14,44,13355360
105/05/25,1419000,20.48,20.54,20.48,20.49,0.30,162,29101950
105/05/26,2177000,20.62,20.66,20.55,20.59,0.10,89,44850550
105/05/27,838000,20.64,20.66,20.57,20.57,-0.02,25,17278640
105/05/30,604000,20.70,20.83,20.68,20.81,0.24,57,12528170
105/05/31,630000,20.84,21.05,20.84,21.05,0.24,61,13189810
105/06/01,1815000,20.90,20.94,20.72,20.72,-0.33,126,37879820
105/06/02,3205000,20.40,20.40,20.22,20.28,-0.44,90,65151020
105/06/03,218000,20.32,20.36,20.26,20.31,0.03,20,4429780
105/06/04,77000,20.20,20.20,19.93,20.01,-0.30,28,1541210
105/06/06,706000,20.04,20.21,20.04,20.20,0.19,36,14187180
105/06/07,660000,20.29,20.42,20.27,20.40,0.20,44,13428420
105/06/08,1017000,20.46,20.50,20.31,20.49,0.09,60,20772810
105/06/13,918000,20.06,20.06,19.62,19.64,-0.85,91,18091820
105/06/14,1045000,19.38,19.43,19.26,19.33,-0.31,83,20231540
105/06/15,1856000,19.36,19.50,19.30,19.46,0.13,54,36024320
105/06/16,2423000,19.26,19.26,18.77,18.77,-0.69,148,46125020
105/06/17,322000,19.15,19.20,18.98,18.99,0.22,56,6137610
105/06/20,959000,19.45,19.50,19.38,19.46,0.47,98,18640480
105/06/21,865000,19.44,19.72,19.42,19.71,0.25,62,16916360
105/06/22,536000,19.54,19.70,19.51,19.58,-0.13,38,10474620
105/06/23,403000,19.67,19.76,19.65,19.75,0.17,34,7946180
105/06/24,3966000,19.80,19.81,18.12,18.15,-1.60,321,76220600
105/06/27,756000,18.41,18.58,18.39,18.57,0.42,86,13951090
105/06/28,1256000,18.35,18.78,18.28,18.74,0.17,65,23288290
105/06/29,332000,18.74,19.00,18.74,18.99,0.25,69,6274460
105/06/30,125000,19.17,19.20,19.10,19.10,0.11,25,2391630
105/07/01,372000,19.13,19.20,19.08,19.10,,18,7121250
105/07/04,1225000,19.18,19.28,19.14,19.24,0.14,31,23508760
105/07/05,1384000,19.15,19.15,19.04,19.07,-0.17,32,26389160
105/07/06,1691000,18.75,18.75,18.51,18.64,-0.43,57,31476340
105/07/07,744000,18.68,18.72,18.61,18.61,-0.03,24,13910740
105/07/11,824000,18.94,19.24,18.94,19.24,0.63,70,15730960
105/07/12,750000,19.79,19.81,19.65,19.65,0.41,71,14803370
105/07/13,3374000,20.06,20.06,19.83,19.85,0.20,88,67323200
105/07/14,1530000,19.88,20.03,19.86,19.97,0.12,44,30532180
105/07/15,2328000,20.12,20.27,20.10,20.13,0.16,92,46942560
105/07/18,381000,20.27,20.27,20.20,20.22,0.09,21,7715550
105/07/19,1370000,20.23,20.40,20.21,20.40,0.18,58,27770280
105/07/20,208000,20.24,20.35,20.23,20.35,-0.05,20,4217820
105/07/21,757000,20.65,20.67,20.46,20.53,0.18,40,15587510
105/07/22,615000,20.36,20.37,20.25,20.29,-0.24,36,12507560
105/07/25,840000,20.40,20.50,20.34,20.35,0.06,26,17138280
105/07/26,2236000,20.05,20.07,19.97,20.02,-0.33,52,44773470
105/07/27,3440000,20.28,20.53,20.20,20.35,0.33,86,70142170
105/07/28,370000,20.17,20.21,20.11,20.15,-0.20,18,7451870
105/07/29,3008000,20.08,20.31,19.71,20.09,-0.06,121,60432600
105/08/01,338000,20.12,20.37,20.12,20.32,0.23,29,6821300
105/08/02,173000,20.14,20.18,20.09,20.09,-0.23,10,3482750
105/08/03,504000,19.79,19.86,19.63,19.71,-0.38,39,9965520
105/08/04,1819000,19.72,19.83,19.46,19.82,0.11,64,35536270
105/08/05,322000,19.90,19.91,19.84,19.87,0.05,17,6404270
105/08/08,727000,20.24,20.29,20.23,20.29,0.42,40,14716520
105/08/09,584000,20.31,20.46,20.31,20.46,0.17,45,11903780
105/08/10,318000,20.37,20.53,20.36,20.48,0.02,21,6497160
105/08/11,623000,20.35,20.44,20.35,20.44,-0.04,27,12695800
105/08/12,618000,20.59,20.67,20.57,20.62,0.18,46,12727860
105/08/15,187000,20.64,20.67,20.57,20.59,-0.03,17,3855680
105/08/16,525000,20.55,20.56,20.34,20.38,-0.21,24,10720630
