元大日經225,	00661
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,0,--,--,--,--,,0,0
107/06/04,0,--,--,--,--,,0,0
107/06/05,0,--,--,--,--,,0,0
107/06/06,0,--,--,--,--,,0,0
107/06/07,0,--,--,--,--,,0,0
107/06/08,0,--,--,--,--,,0,0
107/06/11,0,--,--,--,--,,0,0
107/06/12,1000,28.34,28.34,28.34,28.34,X,1,28340
107/06/13,292000,28.56,28.65,28.54,28.65,0.31,10,8360800
107/06/14,0,--,--,--,--,,0,0
107/06/15,0,--,--,--,--,,0,0
107/06/19,0,--,--,--,--,,0,0
107/06/20,0,--,--,--,--,,0,0
107/06/21,0,--,--,--,--,,0,0
107/06/22,0,--,--,--,--,,0,0
107/06/25,0,--,--,--,--,,0,0
107/06/26,0,--,--,--,--,,0,0
107/06/27,0,--,--,--,--,,0,0
107/06/28,0,--,--,--,--,,0,0
107/06/29,185000,28.01,28.01,27.99,28.00,X,10,5181700
107/07/02,1000,27.75,27.75,27.75,27.75,0.25,1,27750
107/07/03,0,--,--,--,--,,0,0
107/07/04,1000,27.33,27.33,27.33,27.33,X,1,27330
107/07/05,1000,27.33,27.33,27.33,27.33,,1,27330
107/07/06,1000,27.52,27.52,27.52,27.52,0.19,1,27520
107/07/09,1000,27.49,27.49,27.49,27.49,0.03,1,27490
107/07/10,2000,27.75,27.93,27.75,27.93,0.44,2,55680
107/07/11,5000,27.40,27.53,27.40,27.53,0.40,5,137260
107/07/12,3000,27.87,27.89,27.86,27.89,0.36,3,83620
107/07/13,5000,28.19,28.19,28.08,28.08,0.19,5,140750
107/07/16,2000,28.46,28.46,28.34,28.34,0.26,2,56800
107/07/17,2000,28.50,28.50,28.50,28.50,0.16,2,57000
107/07/18,4000,28.50,28.76,28.50,28.76,0.26,4,114400
107/07/19,1000,28.75,28.75,28.75,28.75,0.01,1,28750
107/07/20,7000,28.36,28.36,28.33,28.33,0.42,3,198440
107/07/23,3000,28.24,28.24,28.16,28.16,0.17,3,84600
107/07/24,0,--,--,--,--,,0,0
107/07/25,0,--,--,--,--,,0,0
107/07/26,2000,28.51,28.51,28.44,28.44,X,2,56950
107/07/27,1000,28.60,28.60,28.60,28.60,0.16,1,28600
107/07/30,0,--,--,--,--,,0,0
107/07/31,0,--,--,--,--,,0,0
107/08/01,0,--,--,--,--,,0,0
107/08/02,5000,28.29,28.29,28.29,28.29,X,1,141450
107/08/03,0,--,--,--,--,,0,0
107/08/06,0,--,--,--,--,,0,0
107/08/07,0,--,--,--,--,,0,0
107/08/08,0,--,--,--,--,,0,0
107/08/09,0,--,--,--,--,,0,0
107/08/10,0,--,--,--,--,,0,0
107/08/13,2000,27.75,27.75,27.61,27.61,X,2,55360
107/08/14,0,--,--,--,--,,0,0
107/08/15,2000,27.70,27.70,27.70,27.70,X,1,55400
107/08/16,0,--,--,--,--,,0,0
107/08/17,0,--,--,--,--,,0,0
107/08/20,0,--,--,--,--,,0,0
107/08/21,0,--,--,--,--,,0,0
107/08/22,1000,28.12,28.12,28.12,28.12,X,1,28120
107/08/23,1000,27.93,27.93,27.93,27.93,0.19,1,27930
107/08/24,0,--,--,--,--,,0,0
107/08/27,1000,28.49,28.49,28.49,28.49,X,1,28490
107/08/28,0,--,--,--,--,,0,0
107/08/29,175000,28.50,28.51,28.50,28.50,X,7,4988000
107/08/30,10000,28.55,28.55,28.39,28.39,0.11,2,284380
107/08/31,0,--,--,--,--,,0,0
107/09/03,2000,28.33,28.33,28.33,28.33,X,2,56660
107/09/04,3000,28.25,28.25,28.25,28.25,0.08,1,84750
107/09/05,0,--,--,--,--,,0,0
107/09/06,1000,28.14,28.14,28.14,28.14,X,1,28140
107/09/07,0,--,--,--,--,,0,0
107/09/10,0,--,--,--,--,,0,0
107/09/11,1000,28.31,28.31,28.31,28.31,X,1,28310
107/09/12,0,--,--,--,--,,0,0
107/09/13,1000,28.58,28.58,28.58,28.58,X,1,28580
107/09/14,9000,28.61,28.78,28.61,28.78,0.20,5,257750
107/09/17,3000,29.09,29.09,29.04,29.04,0.26,3,87170
107/09/18,53000,28.98,29.15,28.83,29.13,0.09,10,1539040
107/09/19,30000,29.28,29.28,29.28,29.28,0.15,13,878400
107/09/20,200000,29.38,29.38,29.30,29.30,0.02,4,5868000
107/09/21,61000,29.60,29.60,29.50,29.60,0.30,14,1800600
107/09/25,1000,29.60,29.60,29.60,29.60,,1,29600
107/09/26,11000,29.78,29.87,29.78,29.87,0.27,3,327670
107/09/27,1000,29.96,29.96,29.96,29.96,0.09,1,29960
107/09/28,0,--,--,--,--,,0,0
107/10/01,0,--,--,--,--,,0,0
107/10/02,4000,30.30,30.30,30.17,30.17,X,2,121070
107/10/03,0,--,--,--,--,,0,0
107/10/04,0,--,--,--,--,,0,0
107/10/05,0,--,--,--,--,,0,0
107/10/08,0,--,--,--,--,,0,0
107/10/09,0,--,--,--,--,,0,0
107/10/11,2000,28.11,28.11,28.05,28.05,X,2,56160
107/10/12,0,--,--,--,--,,0,0
107/10/15,0,--,--,--,--,,0,0
107/10/16,0,--,--,--,--,,0,0
107/10/17,0,--,--,--,--,,0,0
107/10/18,0,--,--,--,--,,0,0
107/10/19,0,--,--,--,--,,0,0
107/10/22,10000,28.28,28.28,28.28,28.28,X,1,282800
107/10/23,4000,28.05,28.05,27.85,27.85,0.43,4,111600
107/10/24,0,--,--,--,--,,0,0
107/10/25,1000,26.64,26.64,26.64,26.64,X,1,26640
107/10/26,23000,26.60,26.60,26.60,26.60,0.04,6,611800
107/10/29,0,--,--,--,--,,0,0
107/10/30,0,--,--,--,--,,0,0
107/10/31,1000,27.60,27.60,27.60,27.60,X,1,27600
107/11/01,0,--,--,--,--,,0,0
107/11/02,0,--,--,--,--,,0,0
107/11/08,0,--,--,--,--,,0,0
107/11/09,36000,28.18,28.18,28.10,28.10,X,3,1012830
107/11/12,0,--,--,--,--,,0,0
107/11/16,0,--,--,--,--,,0,0
107/11/19,0,--,--,--,--,,0,0
107/11/20,2000,27.10,27.10,27.10,27.10,X,2,54200
107/11/21,0,--,--,--,--,,0,0
107/11/22,0,--,--,--,--,,0,0
107/11/23,0,--,--,--,--,,0,0
107/11/26,0,--,--,--,--,,0,0
107/11/27,0,--,--,--,--,,0,0
107/11/28,0,--,--,--,--,,0,0
107/11/29,0,--,--,--,--,,0,0
107/11/30,2000,28.11,28.11,28.11,28.11,X,2,56220
107/12/03,5000,28.32,28.32,28.32,28.32,0.21,1,141600
107/12/04,0,--,--,--,--,,0,0
107/12/05,0,--,--,--,--,,0,0
107/12/06,0,--,--,--,--,,0,0
107/12/07,0,--,--,--,--,,0,0
107/12/10,0,--,--,--,--,,0,0
107/12/11,0,--,--,--,--,,0,0
107/12/12,0,--,--,--,--,,0,0
107/12/13,0,--,--,--,--,,0,0
107/12/14,0,--,--,--,--,,0,0
107/12/17,0,--,--,--,--,,0,0
107/12/18,0,--,--,--,--,,0,0
107/12/19,0,--,--,--,--,,0,0
107/12/20,0,--,--,--,--,,0,0
107/12/21,1000,25.73,25.73,25.73,25.73,X,1,25730
107/12/22,0,--,--,--,--,,0,0
107/12/24,0,--,--,--,--,,0,0
107/12/25,27000,24.41,24.41,24.38,24.38,X,6,658920
107/12/26,13000,24.50,24.50,24.21,24.21,0.17,5,317970
107/12/27,1000,24.91,24.91,24.91,24.91,0.70,1,24910
107/12/28,0,--,--,--,--,,0,0
108/01/02,4000,24.51,24.51,24.51,24.51,X,1,98040
108/01/03,0,--,--,--,--,,0,0
108/01/04,0,--,--,--,--,,0,0
108/01/07,2000,25.38,25.38,25.38,25.38,X,2,50760
108/01/08,0,--,--,--,--,,0,0
108/01/09,5000,25.51,25.51,25.51,25.51,X,1,127550
108/01/10,0,--,--,--,--,,0,0
108/01/11,0,--,--,--,--,,0,0
108/01/14,7000,24.97,25.00,24.97,25.00,X,4,174970
108/01/15,0,--,--,--,--,,0,0
108/01/16,0,--,--,--,--,,0,0
