兆豐藍籌30,	00690
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,319035,21.90,22.00,21.90,22.00,0.27,44,6995800
107/06/04,555200,22.05,22.29,22.05,22.27,0.27,157,12322010
107/06/05,509520,22.27,22.30,22.18,22.23,0.04,55,11346897
107/06/06,452172,22.23,22.50,22.23,22.50,0.27,102,10122489
107/06/07,437314,22.50,22.55,22.40,22.53,0.03,96,9831902
107/06/08,353001,22.55,22.55,22.33,22.41,0.12,65,7925802
107/06/11,408811,22.45,22.46,22.38,22.45,0.04,81,9158764
107/06/12,301001,22.45,22.45,22.26,22.38,0.07,47,6703482
107/06/13,351389,22.38,22.43,22.24,22.43,0.05,57,7866104
107/06/14,408000,22.43,22.43,22.05,22.05,0.38,82,9043480
107/06/15,305100,22.10,22.17,22.00,22.17,0.12,40,6725180
107/06/19,109000,22.17,22.17,21.80,21.80,0.37,71,2388000
107/06/20,296372,21.80,22.14,21.73,22.14,0.34,33,6475079
107/06/21,576000,22.05,22.10,22.02,22.04,0.10,28,12692630
107/06/22,469300,22.04,22.04,21.78,22.01,0.03,37,10285989
107/06/25,489200,21.80,21.93,21.80,21.85,0.16,44,10703739
107/06/26,497040,21.79,21.85,21.70,21.84,0.01,64,10814113
107/06/27,303000,21.88,21.96,21.74,21.74,0.10,36,6618790
107/06/28,488000,21.70,21.77,21.66,21.73,0.01,42,10597610
107/06/29,337770,21.79,22.10,21.79,22.10,0.37,57,7380162
107/07/02,274041,22.23,22.23,22.04,22.08,0.02,28,6074368
107/07/03,278003,22.20,22.28,22.01,22.07,0.01,19,6141751
107/07/04,266000,22.07,22.13,22.04,22.12,0.05,22,5865930
107/07/05,324000,21.95,21.95,21.75,21.84,0.28,40,7101780
107/07/06,340000,21.84,21.91,21.63,21.91,0.07,47,7400180
107/07/09,359000,21.97,22.18,21.97,22.18,0.27,43,7949050
107/07/10,329182,22.20,22.35,22.20,22.26,0.08,47,7326638
107/07/11,373150,22.09,22.17,22.00,22.11,0.15,29,8240845
107/07/12,444000,22.11,22.38,22.11,22.34,0.23,70,9921760
107/07/13,365966,22.40,22.50,22.35,22.50,0.16,79,8213774
107/07/16,297049,22.50,22.58,22.44,22.47,0.03,44,6671073
107/07/17,299021,22.40,22.40,22.28,22.30,0.17,32,6669972
107/07/18,108000,22.41,22.44,22.35,22.40,0.10,35,2421390
107/07/19,42199,22.50,22.50,22.38,22.38,0.02,31,947717
107/07/20,78000,22.38,22.62,22.38,22.48,0.10,46,1757760
107/07/23,374282,22.58,22.60,22.48,22.55,0.07,60,8433076
107/07/24,446150,22.55,22.66,22.55,22.66,0.11,88,10086682
107/07/25,304936,22.66,22.71,22.66,22.70,0.04,47,6918995
107/07/26,368821,22.70,22.77,22.70,22.75,0.05,59,8383512
107/07/27,341751,22.75,22.91,22.75,22.91,0.16,66,7815440
107/07/30,299039,22.91,23.00,22.86,22.89,0.02,38,6865437
107/07/31,301008,22.90,22.95,22.83,22.91,0.02,43,6886100
107/08/01,323238,22.95,23.01,22.94,22.98,0.07,31,7428206
107/08/02,878000,22.98,22.98,22.52,22.62,0.36,68,19895690
107/08/03,287000,22.62,22.82,22.62,22.82,0.20,23,6543100
107/08/06,283757,22.75,22.86,22.75,22.80,0.02,27,6484306
107/08/07,260000,22.82,22.82,22.76,22.81,0.01,13,5933010
107/08/08,309045,22.81,22.96,22.81,22.92,0.11,28,7083462
107/08/09,272713,23.00,23.00,22.85,22.89,0.03,24,6244901
107/08/10,239000,22.89,22.90,22.80,22.80,0.09,16,5468110
107/08/13,429000,22.52,22.63,22.23,22.34,0.46,74,9669250
107/08/14,294000,22.43,22.49,22.35,22.48,0.14,21,6585650
107/08/15,754000,22.48,22.48,22.27,22.27,0.21,61,16848790
107/08/16,383000,22.27,22.27,22.10,22.20,0.07,55,8508310
107/08/17,322000,22.33,22.33,22.15,22.18,0.02,38,7176830
107/08/20,282000,22.25,22.32,22.18,22.23,0.05,24,6284000
107/08/21,291455,22.50,22.50,22.25,22.44,0.21,29,6507322
107/08/22,47697,22.44,22.51,22.39,22.44,,24,1071128
107/08/23,292409,22.49,22.53,22.39,22.53,0.09,35,6571393
107/08/24,347000,22.53,22.53,22.38,22.50,0.03,23,7782360
107/08/27,302000,22.66,22.73,22.63,22.73,0.23,26,6838250
107/08/28,307980,22.76,22.95,22.76,22.88,0.15,37,7052013
107/08/29,359705,22.95,23.02,22.88,22.97,0.09,54,8270512
107/08/30,387039,23.14,23.36,23.04,23.04,0.07,67,8969411
107/08/31,308100,23.08,23.08,22.94,23.06,0.02,34,7079764
107/09/03,54138,23.06,23.18,22.90,22.93,0.13,38,1246451
107/09/04,282523,22.94,23.02,22.90,23.02,0.09,33,6478878
