元大台灣高息低波,	00713
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,8000,30.90,30.96,30.90,30.96,0.15,7,247580
107/06/04,60000,31.06,31.21,31.06,31.20,0.24,27,1869840
107/06/05,48318,31.25,31.38,31.25,31.35,0.15,23,1513755
107/06/06,124000,31.39,31.46,31.36,31.45,0.10,60,3894970
107/06/07,123000,31.52,31.52,31.36,31.39,0.06,20,3860370
107/06/08,30000,31.39,31.43,31.30,31.30,0.09,11,939810
107/06/11,10000,31.45,31.45,31.31,31.33,0.03,8,313880
107/06/12,3000,31.25,31.25,31.25,31.25,0.08,3,93750
107/06/13,8000,31.25,31.35,31.25,31.27,0.02,6,250420
107/06/14,304000,31.22,31.22,31.00,31.00,0.27,11,9426230
107/06/15,33100,30.94,30.95,30.82,30.84,0.16,35,1021344
107/06/19,173200,30.80,30.80,30.66,30.71,0.13,12,5318190
107/06/20,25000,30.71,30.71,30.68,30.68,0.03,10,767510
107/06/21,1000,30.80,30.80,30.80,30.80,0.12,1,30800
107/06/22,6000,30.76,30.76,30.57,30.60,0.20,4,183830
107/06/25,15000,30.72,30.72,30.60,30.60,,7,460150
107/06/26,316000,30.45,30.56,30.37,30.56,0.04,20,9621660
107/06/27,7098,30.73,30.73,30.58,30.61,0.05,8,217659
107/06/28,19000,30.38,30.49,30.35,30.36,0.25,10,577260
107/06/29,22000,30.57,30.60,30.47,30.60,0.24,8,672820
107/07/02,7000,30.75,30.80,30.75,30.75,0.15,6,215390
107/07/03,13275,30.76,30.76,30.58,30.58,0.17,5,407270
107/07/04,4000,30.61,30.69,30.55,30.69,0.11,4,122450
107/07/05,17000,30.64,30.64,30.56,30.56,0.13,3,519600
107/07/06,1000,30.32,30.32,30.32,30.32,0.24,1,30320
107/07/09,7000,30.48,30.57,30.48,30.57,0.25,5,213630
107/07/10,2197,30.75,30.75,30.75,30.75,0.18,4,67577
107/07/11,9000,30.74,30.74,30.59,30.65,0.10,4,275840
107/07/12,184000,30.40,30.80,30.40,30.80,0.15,26,5626760
107/07/13,39000,30.83,31.11,30.83,31.04,0.24,21,1208560
107/07/16,9000,31.14,31.15,31.05,31.05,0.01,6,280140
107/07/17,7000,31.05,31.05,31.01,31.01,0.04,6,217230
107/07/18,87000,31.08,31.26,31.08,31.24,0.23,28,2712270
107/07/19,28000,31.50,31.50,31.11,31.11,0.13,12,874990
107/07/20,9000,31.38,31.38,31.26,31.26,0.15,5,282180
107/07/23,75000,31.28,31.40,31.28,31.30,0.04,24,2348120
107/07/24,21000,31.31,31.52,31.31,31.52,0.22,19,660830
107/07/25,68000,30.80,31.67,30.80,31.53,0.01,19,2143590
107/07/26,80000,31.64,31.67,31.63,31.65,0.12,20,2532320
107/07/27,178100,31.80,31.83,31.69,31.74,0.09,38,5658863
107/07/30,8000,31.80,31.90,31.75,31.83,0.09,5,254540
107/07/31,31100,31.75,31.92,31.75,31.92,0.09,11,991076
107/08/01,19202,31.96,32.06,31.96,32.06,0.14,16,614528
107/08/02,16000,32.04,32.04,31.80,31.80,0.26,12,511540
107/08/03,9000,31.99,31.99,31.98,31.98,0.18,9,287870
107/08/06,183000,32.00,32.15,31.99,32.00,0.02,25,5860510
107/08/07,5000,32.05,32.07,32.03,32.06,0.06,5,160260
107/08/08,10000,32.18,32.24,32.18,32.24,0.18,7,322200
107/08/09,8000,32.18,32.18,32.08,32.08,0.16,8,257120
107/08/10,6000,32.15,32.20,32.15,32.20,0.12,5,193050
107/08/13,52000,32.09,32.09,31.57,31.63,0.57,38,1651470
107/08/14,44000,31.81,31.81,31.72,31.81,0.18,8,1396350
107/08/15,22000,31.71,31.71,31.53,31.53,0.28,7,693840
107/08/16,6000,31.23,31.33,31.23,31.33,0.20,5,187680
107/08/17,7000,31.55,31.61,31.54,31.61,0.28,7,221040
107/08/20,3000,31.46,31.49,31.46,31.49,0.12,3,94440
107/08/21,6000,31.44,31.69,31.44,31.69,0.20,3,189200
107/08/22,1100,31.70,31.70,31.70,31.70,0.01,2,34869
107/08/23,5000,31.88,31.88,31.80,31.80,0.10,5,159300
107/08/24,5000,32.00,32.00,31.70,31.70,0.10,4,159260
107/08/27,10000,31.84,31.84,31.84,31.84,0.14,2,318400
107/08/28,8000,32.32,32.32,32.26,32.29,0.45,5,258320
107/08/29,14000,32.35,32.42,32.35,32.40,0.11,14,453470
107/08/30,9000,32.44,32.44,32.30,32.30,0.10,8,291110
107/08/31,23000,32.24,32.42,32.22,32.42,0.12,9,741730
107/09/03,28000,31.40,32.52,31.40,32.23,0.19,13,900260
107/09/04,31000,32.26,32.39,32.17,32.19,0.04,10,998730
107/09/05,8000,32.25,32.25,32.05,32.05,0.14,6,257620
107/09/06,51032,32.00,32.04,32.00,32.04,0.01,3,1635025
107/09/07,29372,32.03,32.05,31.68,31.79,0.25,15,934568
107/09/10,7000,31.60,31.60,31.47,31.47,0.32,6,220610
107/09/11,6000,31.45,31.45,31.38,31.45,0.02,6,188590
107/09/12,5000,31.52,31.52,31.29,31.30,0.15,5,156910
107/09/13,9000,31.50,31.53,31.45,31.45,0.15,8,283490
107/09/14,13000,31.45,31.73,31.45,31.71,0.26,7,411260
107/09/17,12000,31.75,31.75,31.68,31.75,0.04,9,380790
107/09/18,6000,31.65,31.75,31.63,31.75,,6,190080
107/09/19,59000,31.85,31.86,31.75,31.86,0.11,5,1873510
107/09/20,23000,31.90,31.97,31.80,31.85,0.01,16,733230
107/09/21,1000,31.98,31.98,31.98,31.98,0.13,1,31980
107/09/25,14071,32.00,32.21,32.00,32.16,0.18,11,452512
107/09/26,21043,32.10,32.11,31.97,31.97,0.19,9,674592
107/09/27,7000,31.97,32.00,31.95,32.00,0.03,6,223870
107/09/28,18000,32.08,32.17,32.08,32.10,0.10,4,578090
107/10/01,27000,32.11,32.11,32.06,32.10,,10,866660
107/10/02,5000,32.10,32.10,31.76,31.77,0.33,5,159330
107/10/03,10000,31.80,31.80,31.68,31.68,0.09,5,317820
107/10/04,73171,31.53,31.53,31.40,31.40,0.28,5,2305276
107/10/05,35000,31.18,31.28,30.95,30.96,0.44,13,1090010
107/10/08,24000,30.89,31.02,30.80,30.88,0.08,15,740670
107/10/09,15000,31.00,31.00,30.83,30.84,0.04,14,463270
107/10/11,404000,30.75,30.75,29.01,29.14,1.70,73,11849420
107/10/12,33000,28.94,29.55,28.84,29.55,0.41,28,956410
107/10/15,38000,29.55,29.55,29.13,29.30,0.25,23,1113430
107/10/16,106000,29.40,29.50,29.25,29.46,0.16,19,3119280
107/10/17,41000,29.78,29.78,29.50,29.50,0.04,18,1212780
107/10/18,5000,29.50,29.55,29.35,29.35,0.15,5,147250
107/10/19,8000,29.18,29.18,28.90,29.08,0.27,8,232050
107/10/22,3000,29.08,29.32,29.06,29.32,0.24,3,87460
107/10/23,18000,29.58,29.60,29.00,29.00,0.32,14,524300
107/10/24,34000,28.99,29.02,28.73,29.02,0.02,15,978440
107/10/25,112000,28.55,28.55,28.30,28.35,0.67,46,3175710
107/10/26,54000,28.57,28.64,28.13,28.13,0.22,31,1534330
107/10/29,40000,28.28,28.56,28.28,28.32,0.19,16,1136850
107/10/30,111000,28.25,28.39,28.25,28.30,0.02,11,3143450
107/10/31,1000,28.73,28.73,28.73,28.73,0.43,1,28730
107/11/01,3000,29.00,29.12,29.00,29.09,0.36,3,87210
107/11/02,8000,29.25,29.31,29.25,29.31,0.22,4,234080
107/11/08,5000,29.69,29.71,29.69,29.71,0.18,4,148500
107/11/09,30000,29.66,29.66,29.51,29.54,0.17,7,887850
107/11/12,38000,29.50,29.67,29.50,29.66,0.12,8,1127010
107/11/16,14001,29.73,29.73,29.60,29.60,,11,415261
107/11/19,25000,29.78,29.80,29.68,29.80,0.20,17,743870
107/11/20,200000,29.80,29.80,29.61,29.70,0.10,102,5940720
107/11/21,328030,29.65,30.20,29.43,29.89,0.19,109,9714244
107/11/22,666500,28.34,29.42,27.96,28.13,X,137,19305689
107/11/23,97500,28.10,28.17,27.75,27.96,0.17,82,2723089
107/11/26,42000,28.07,28.16,27.95,27.95,0.01,25,1178820
107/11/27,33000,27.96,27.96,27.68,27.80,0.15,21,920590
107/11/28,89000,27.84,28.16,27.84,28.16,0.36,21,2501940
107/11/29,75000,28.29,28.42,28.20,28.22,0.06,24,2124790
107/11/30,12000,28.30,28.36,28.30,28.30,0.08,11,339720
107/12/03,58000,28.68,28.81,28.52,28.81,0.51,32,1663050
107/12/04,22000,29.00,29.00,28.60,28.65,0.16,18,632800
107/12/05,50000,28.24,28.40,28.20,28.30,0.35,43,1415120
107/12/06,111000,28.30,28.30,27.81,27.89,0.41,63,3096740
107/12/07,16198,28.24,28.24,27.97,28.05,0.16,17,454679
107/12/10,41000,27.94,27.94,27.67,27.67,0.38,36,1136410
107/12/11,20000,27.73,27.85,27.72,27.78,0.11,9,555170
107/12/12,28000,27.95,27.95,27.89,27.94,0.16,15,781520
107/12/13,31000,28.09,28.13,28.07,28.12,0.18,15,871110
107/12/14,39000,28.08,28.08,27.88,27.93,0.19,15,1089230
107/12/17,9000,27.95,28.07,27.93,28.01,0.08,5,252190
107/12/18,44000,27.97,27.97,27.77,27.77,0.24,30,1224160
107/12/19,5000,27.80,27.80,27.79,27.80,0.03,5,138990
107/12/20,40000,27.81,27.82,27.65,27.68,0.12,30,1108580
107/12/21,17000,27.50,27.66,27.50,27.58,0.10,12,468420
107/12/22,12000,27.58,27.70,27.40,27.69,0.11,12,329840
107/12/24,20000,27.75,27.75,27.59,27.64,0.05,18,553580
107/12/25,63000,27.44,27.44,27.26,27.36,0.28,27,1720000
107/12/26,24000,27.51,27.59,27.33,27.33,0.03,15,659150
107/12/27,25000,27.80,27.80,27.46,27.56,0.23,17,688790
107/12/28,48000,27.59,27.65,27.52,27.65,0.09,29,1323320
108/01/02,35000,27.65,27.65,27.45,27.45,0.20,16,963990
108/01/03,39000,27.42,27.44,27.33,27.38,0.07,30,1067730
108/01/04,25000,27.20,27.20,26.95,27.08,0.30,14,676040
108/01/07,27000,27.25,27.60,27.25,27.57,0.49,24,739330
108/01/08,22000,27.69,27.69,27.51,27.51,0.06,13,607220
108/01/09,31198,27.72,27.95,27.72,27.93,0.42,20,869683
108/01/10,14356,27.93,27.99,27.90,27.99,0.06,12,400904
108/01/11,33000,28.00,28.01,27.95,27.95,0.04,8,924170
108/01/14,16000,27.98,27.98,27.89,27.89,0.06,4,446720
108/01/15,28000,27.92,28.11,27.92,28.02,0.13,18,784890
108/01/16,15000,27.94,27.99,27.93,27.94,0.08,6,419150
108/01/17,16000,28.20,28.33,28.08,28.15,0.21,16,451770
108/01/18,11100,28.20,28.38,28.20,28.38,0.23,5,313790
108/01/21,42032,28.38,28.56,28.38,28.56,0.18,23,1197629
108/01/22,34000,28.50,28.55,28.50,28.50,0.06,15,969500
108/01/23,7000,28.44,28.44,28.33,28.43,0.07,7,198930
108/01/28,17000,28.82,28.82,28.70,28.73,0.11,15,488540
108/01/29,30000,28.73,28.73,28.63,28.65,0.08,14,859880
108/01/30,10000,28.73,28.95,28.73,28.90,0.25,8,288670
108/02/11,26000,29.19,29.19,28.90,28.95,0.05,20,752400
108/02/12,32000,28.95,29.09,28.93,29.04,0.09,29,927380
108/02/13,28000,29.22,29.22,28.97,28.98,0.06,12,813030
108/02/14,34000,29.12,29.20,29.05,29.05,0.07,13,990490
108/02/15,48000,29.05,29.11,29.00,29.11,0.06,15,1394650
108/02/18,35000,29.21,29.24,29.15,29.15,0.04,26,1021930
108/02/19,34910,29.34,29.34,29.25,29.25,0.10,18,1022037
108/02/20,40000,29.30,29.38,29.30,29.33,0.08,23,1173420
108/02/21,39000,29.33,29.46,29.30,29.46,0.13,24,1147450
108/02/22,29000,29.46,29.55,29.43,29.52,0.06,13,855910
108/02/25,29033,29.76,29.76,29.59,29.68,0.16,20,861639
108/02/26,68000,29.68,29.89,29.68,29.89,0.21,19,2021040
108/02/27,69000,29.81,29.81,29.68,29.78,0.11,28,2053150
108/03/04,62000,29.78,29.80,29.70,29.80,0.02,14,1842720
108/03/05,36000,29.99,29.99,29.80,29.80,,14,1074490
108/03/06,8000,29.76,29.90,29.76,29.80,,8,238660
108/03/07,19000,29.93,29.93,29.70,29.70,0.10,12,567210
108/03/08,97000,29.61,29.61,29.34,29.59,0.11,32,2861690
108/03/11,20000,29.59,29.79,29.59,29.77,0.18,15,594710
108/03/12,59000,29.97,30.00,29.84,29.96,0.19,22,1765940
108/03/13,24000,30.03,30.03,29.86,29.86,0.10,10,718530
108/03/14,23100,30.00,30.00,29.91,29.91,0.05,13,692532
108/03/15,23000,29.98,30.06,29.98,30.06,0.15,15,690740
108/03/18,32000,30.11,30.28,30.10,30.22,0.16,20,966460
108/03/19,23364,30.45,30.45,30.36,30.36,0.14,20,710120
108/03/20,20000,30.41,30.46,30.36,30.39,0.03,14,608240
108/03/21,29000,30.44,30.53,30.40,30.50,0.11,20,883120
108/03/22,20000,30.53,30.54,30.48,30.48,0.02,17,610310
108/03/25,34000,30.30,30.30,30.09,30.16,0.32,20,1024030
108/03/26,16528,30.19,30.41,30.19,30.41,0.25,13,501526
108/03/27,11000,30.43,30.43,30.33,30.33,0.08,4,334540
108/03/28,11072,30.35,30.46,30.35,30.46,0.13,9,336303
108/03/29,41202,30.51,30.68,30.51,30.67,0.21,21,1262980
108/04/01,71000,30.80,30.90,30.80,30.80,0.13,32,2192880
108/04/02,37000,30.89,30.90,30.82,30.82,0.02,17,1142190
108/04/03,27000,31.00,31.00,30.82,30.84,0.02,16,834200
108/04/08,28230,30.96,30.98,30.95,30.98,0.14,15,874047
108/04/09,74200,31.00,31.13,31.00,31.13,0.15,27,2301699
108/04/10,58000,31.01,31.20,31.01,31.20,0.07,18,1802660
108/04/11,71000,31.23,31.25,31.08,31.08,0.12,15,2214180
108/04/12,40189,31.08,31.25,30.90,30.95,0.13,21,1249097
108/04/15,54000,31.18,31.18,31.10,31.12,0.17,21,1680770
108/04/16,221000,31.15,31.29,31.09,31.10,0.02,28,6876420
108/04/17,17000,31.30,31.30,31.18,31.25,0.15,9,531240
108/04/18,29501,31.26,31.26,31.05,31.05,0.20,17,919131
108/04/19,3000,31.16,31.18,31.07,31.07,0.02,3,93410
108/04/22,34000,31.26,31.30,31.23,31.30,0.23,12,1062930
108/04/23,15601,31.30,31.30,31.19,31.25,0.05,11,487275
108/04/24,1000,31.34,31.34,31.34,31.34,0.09,1,31340
108/04/25,33000,31.30,31.42,31.30,31.40,0.06,16,1034750
108/04/26,16000,31.30,31.30,31.23,31.23,0.17,9,500170
108/04/29,76350,31.36,31.36,31.17,31.36,0.13,17,2385200
108/04/30,22002,31.34,31.50,31.34,31.50,0.14,22,691173
108/05/02,11000,31.30,31.50,31.30,31.50,,9,345860
108/05/03,63000,31.66,31.78,31.66,31.78,0.28,20,1997780
108/05/06,81000,31.60,31.60,31.28,31.29,0.49,27,2546700
108/05/07,19000,31.61,31.64,31.48,31.64,0.35,16,600200
108/05/08,29400,31.30,31.58,31.29,31.58,0.06,26,923134
108/05/09,29000,31.45,31.45,31.04,31.05,0.53,21,902610
108/05/10,18397,31.11,31.25,30.82,30.82,0.23,20,571035
108/05/13,16000,30.83,30.83,30.50,30.51,0.31,14,490140
108/05/14,49000,30.20,30.46,29.90,30.30,0.21,39,1474850
108/05/15,11000,30.54,30.70,30.48,30.60,0.30,9,336170
108/05/16,16000,30.61,30.61,30.37,30.37,0.23,15,487660
108/05/17,49000,30.45,30.45,30.10,30.10,0.27,33,1483710
108/05/20,21000,30.19,30.19,30.08,30.15,0.05,9,632620
108/05/21,17000,30.19,30.29,30.16,30.29,0.14,12,514380
108/05/22,48000,30.45,30.46,30.38,30.43,0.14,8,1460130
108/05/23,41000,30.31,30.31,30.00,30.09,0.34,28,1233050
108/05/24,55000,30.05,30.12,30.00,30.00,0.09,20,1651250
108/05/27,28000,30.00,30.03,29.95,30.03,0.03,17,839200
108/05/28,21000,30.09,30.11,30.04,30.04,0.01,19,631680
108/05/29,19000,29.94,29.95,29.84,29.87,0.17,15,567790
108/05/30,67000,29.97,30.02,29.92,30.02,0.15,10,2006140
108/05/31,3000,30.13,30.20,30.13,30.20,0.18,3,90530
108/06/03,35000,30.15,30.22,30.00,30.21,0.01,9,1053220
108/06/04,37001,30.20,30.36,30.20,30.23,0.02,17,1120570
108/06/05,22000,30.41,30.41,30.28,30.28,0.05,7,668210
108/06/06,9000,30.27,30.27,30.15,30.15,0.13,7,271950
108/06/10,18000,30.44,30.45,30.36,30.45,0.30,12,547640
108/06/11,21000,30.48,30.61,30.48,30.56,0.11,6,641670
108/06/12,14000,30.60,30.61,30.60,30.61,0.05,4,428510
108/06/13,16000,30.68,30.71,30.59,30.59,0.02,15,490830
108/06/14,3000,30.75,30.75,30.61,30.61,0.02,3,92070
108/06/17,5000,30.60,30.60,30.59,30.59,0.02,3,152990
108/06/18,27000,30.74,30.74,30.65,30.65,0.06,12,829190
108/06/19,24050,30.78,31.13,30.78,31.10,0.45,14,744456
108/06/20,6000,31.10,31.30,31.10,31.24,0.14,6,187390
108/06/21,14000,31.13,31.26,31.13,31.13,0.11,10,437300
108/06/24,39000,31.13,31.25,31.05,31.21,0.08,18,1214440
