富邦美國特別股,	00717
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,302200,19.56,19.59,19.56,19.58,0.02,40,5916662
107/06/04,417796,19.54,19.58,19.54,19.58,,89,8174768
107/06/05,253551,19.57,19.59,19.56,19.58,,56,4962751
107/06/06,435775,19.59,19.62,19.59,19.60,0.02,74,8542340
107/06/07,483308,19.58,19.61,19.58,19.61,0.01,72,9471122
107/06/08,578000,19.61,19.65,19.60,19.64,0.03,89,11343650
107/06/11,509465,19.66,19.69,19.66,19.69,0.05,77,10023369
107/06/12,643000,19.69,19.73,19.69,19.72,0.03,75,12675090
107/06/13,759050,19.73,19.76,19.72,19.74,0.02,78,14986622
107/06/14,915050,19.75,19.77,19.72,19.76,0.02,160,18067101
107/06/15,690000,19.79,19.82,19.79,19.82,0.06,68,13668100
107/06/19,599652,19.84,19.86,19.82,19.86,0.04,70,11897981
107/06/20,468999,19.92,19.96,19.92,19.93,0.07,92,9351269
107/06/21,790717,19.93,19.96,19.92,19.94,0.01,109,15768510
107/06/22,459100,19.99,20.00,19.98,19.98,0.04,82,9177543
107/06/25,682554,20.03,20.03,20.00,20.00,0.02,123,13661049
107/06/26,758830,20.02,20.02,20.00,20.00,,92,15179466
107/06/27,959000,20.02,20.04,20.00,20.03,0.03,75,19197120
107/06/28,1007072,20.08,20.10,20.07,20.09,0.06,173,20225032
107/06/29,1878200,20.09,20.17,20.09,20.11,0.02,213,37812776
107/07/02,636100,20.16,20.16,20.09,20.09,0.02,140,12803490
107/07/03,2255779,20.14,20.26,20.13,20.24,0.15,325,45549391
107/07/04,1174000,20.25,20.28,20.22,20.25,0.01,138,23770430
107/07/05,910000,20.24,20.26,20.22,20.25,,132,18416670
107/07/06,863042,20.28,20.30,20.28,20.30,0.05,170,17515307
107/07/09,522358,20.31,20.31,20.26,20.26,0.04,101,10597529
107/07/10,942200,20.27,20.27,20.19,20.20,0.06,416,19064310
107/07/11,820818,20.25,20.28,20.25,20.28,0.08,98,16635360
107/07/12,809000,20.29,20.30,20.26,20.27,0.01,192,16410410
107/07/13,840698,20.28,20.29,20.27,20.28,0.01,146,17047801
107/07/16,1154333,20.28,20.29,20.27,20.29,0.01,160,23409572
107/07/17,792100,20.22,20.25,20.21,20.21,0.08,101,16025810
107/07/18,566630,20.20,20.21,20.19,20.20,0.01,91,11446597
107/07/19,437427,20.22,20.23,20.21,20.22,0.02,47,8842191
107/07/20,1379671,20.24,20.30,20.24,20.29,0.07,134,27972893
107/07/23,1332380,20.34,20.35,20.33,20.35,0.06,157,27104082
107/07/24,766277,20.31,20.36,20.31,20.35,,163,15587843
107/07/25,956338,20.35,20.36,20.33,20.34,0.01,237,19459428
107/07/26,687199,19.77,19.85,19.75,19.83,X,202,13607395
107/07/27,499076,19.83,19.86,19.80,19.81,0.02,93,9893894
107/07/30,177350,19.81,19.82,19.81,19.82,0.01,50,3514483
107/07/31,307108,19.81,19.81,19.79,19.79,0.03,69,6078857
107/08/01,227301,19.82,19.82,19.80,19.81,0.02,35,4501985
107/08/02,329114,19.78,19.80,19.77,19.80,0.01,63,6513959
107/08/03,508405,19.82,19.82,19.80,19.80,,76,10069739
107/08/06,311668,19.83,19.84,19.82,19.82,0.02,50,6179132
107/08/07,243000,19.81,19.85,19.81,19.84,0.02,62,4818140
107/08/08,195400,19.83,19.83,19.80,19.82,0.02,63,3871889
107/08/09,165306,19.82,19.83,19.81,19.82,,53,3276658
107/08/10,304800,19.82,19.82,19.81,19.82,,89,6040594
107/08/13,615010,19.85,19.87,19.84,19.85,0.03,132,12210908
107/08/14,464260,19.90,19.90,19.87,19.87,0.02,71,9235317
107/08/15,470456,19.88,19.89,19.87,19.87,,102,9352175
107/08/16,600100,19.88,19.90,19.87,19.89,0.02,112,11937086
107/08/17,187000,19.89,19.89,19.87,19.87,0.02,83,3717080
107/08/20,246512,19.89,19.90,19.89,19.90,0.03,52,4904021
107/08/21,390000,19.91,19.93,19.91,19.92,0.02,80,7768420
107/08/22,186661,19.92,19.93,19.91,19.91,0.01,66,3718240
107/08/23,594542,19.91,19.99,19.91,19.99,0.08,120,11864463
107/08/24,664600,19.99,20.00,19.98,19.98,0.01,102,13286911
107/08/27,326150,20.00,20.01,19.99,20.01,0.03,97,6523601
107/08/28,677000,20.00,20.02,19.98,20.02,0.01,120,13542270
107/08/29,530352,20.00,20.01,19.99,20.00,0.02,126,10604383
107/08/30,388500,20.00,20.02,19.99,20.00,,88,7771225
107/08/31,721590,20.00,20.03,19.99,20.02,0.02,158,14437330
107/09/03,921267,20.02,20.05,20.01,20.04,0.02,168,18456120
107/09/04,304801,20.04,20.05,20.03,20.04,,103,6107700
107/09/05,651171,20.00,20.03,19.99,20.00,0.04,218,13027130
107/09/06,313500,20.00,20.01,19.98,19.99,0.01,117,6268564
107/09/07,437796,19.98,19.99,19.96,19.96,0.03,218,8745406
107/09/10,639450,19.91,19.91,19.88,19.88,0.08,171,12722411
107/09/11,568451,19.95,19.96,19.93,19.93,0.05,102,11337563
107/09/12,414245,19.95,19.96,19.94,19.95,0.02,84,8263531
107/09/13,507903,19.92,19.92,19.89,19.90,0.05,127,10110299
107/09/14,858050,19.90,19.97,19.90,19.92,0.02,74,17094714
107/09/17,295784,19.92,19.96,19.92,19.96,0.04,91,5901252
107/09/18,271516,19.95,19.96,19.95,19.95,0.01,98,5418654
107/09/19,302377,19.93,19.96,19.93,19.95,,81,6032820
107/09/20,537506,19.90,19.93,19.89,19.92,0.03,90,10700898
107/09/21,229384,19.88,19.90,19.87,19.89,0.03,94,4560519
107/09/25,209600,19.87,19.87,19.83,19.84,0.05,69,4160940
107/09/26,231027,19.79,19.82,19.79,19.81,0.03,72,4575654
107/09/27,371171,19.79,19.80,19.73,19.73,0.08,137,7337915
107/09/28,221176,19.71,19.72,19.68,19.72,0.01,85,4358511
107/10/01,169425,19.70,19.73,19.70,19.71,0.01,57,3340084
107/10/02,214234,19.65,19.67,19.65,19.67,0.04,96,4210622
107/10/03,118280,19.67,19.69,19.66,19.66,0.01,47,2327166
107/10/04,318564,19.62,19.67,19.62,19.65,0.01,41,6260242
107/10/05,589610,19.65,19.65,19.54,19.54,0.11,117,11557274
107/10/08,555050,19.60,19.62,19.55,19.57,0.03,64,10864447
107/10/09,417640,19.63,19.63,19.59,19.59,0.02,59,8186998
107/10/11,907000,19.61,19.62,19.50,19.50,0.09,106,17737240
107/10/12,623256,19.50,19.51,19.47,19.47,0.03,110,12147112
107/10/15,569269,19.45,19.45,19.37,19.41,0.06,71,11056186
107/10/16,292799,19.42,19.46,19.42,19.46,0.05,53,5691648
107/10/17,401733,19.46,19.48,19.45,19.48,0.02,76,7820271
107/10/18,359502,19.50,19.55,19.49,19.55,0.07,55,7019484
107/10/19,381032,19.56,19.58,19.52,19.56,0.01,59,7450010
107/10/22,177525,19.62,19.64,19.62,19.64,0.08,44,3484388
107/10/23,206826,19.57,19.62,19.57,19.59,0.05,56,4053578
107/10/24,130529,19.54,19.58,19.54,19.57,0.02,35,2554367
107/10/25,540841,19.49,19.51,19.45,19.45,0.12,104,10536635
107/10/26,446112,19.51,19.56,19.51,19.54,0.09,60,8715781
107/10/29,175975,19.52,19.54,19.52,19.54,,64,3436631
107/10/30,191565,19.35,19.35,19.32,19.33,X,65,3703593
107/10/31,182036,19.31,19.34,19.31,19.32,0.01,50,3517958
107/11/01,258479,19.32,19.34,19.28,19.28,0.04,50,4990914
107/11/02,180603,19.22,19.30,19.22,19.29,0.01,51,3482901
107/11/08,161576,19.18,19.22,19.18,19.21,,51,3104430
107/11/09,246100,19.21,19.23,19.21,19.21,,37,4729985
107/11/12,256518,19.21,19.27,19.21,19.27,0.06,41,4937020
107/11/16,316000,19.14,19.21,19.14,19.21,0.02,67,6057350
107/11/19,362210,19.21,19.23,19.20,19.22,0.01,120,6960710
107/11/20,266524,19.15,19.18,19.15,19.17,0.05,98,5107339
107/11/21,495459,19.10,19.12,19.08,19.09,0.08,115,9459235
107/11/22,129946,19.10,19.12,19.10,19.12,0.03,52,2482831
107/11/23,84060,19.10,19.12,19.10,19.11,0.01,26,1606008
107/11/26,374276,19.11,19.11,19.09,19.09,0.02,82,7147731
107/11/27,213407,19.07,19.08,19.06,19.07,0.02,54,4069340
107/11/28,111511,19.06,19.07,19.06,19.07,,38,2126240
107/11/29,522822,19.07,19.07,19.02,19.05,0.02,138,9959422
107/11/30,354667,18.94,19.00,18.94,18.98,0.07,140,6728794
107/12/03,591018,19.00,19.00,18.92,18.94,0.04,189,11192578
107/12/04,1136666,18.94,18.94,18.89,18.90,0.04,197,21486445
107/12/05,537823,18.85,18.87,18.84,18.87,0.03,130,10142222
107/12/06,462555,18.85,18.87,18.84,18.86,0.01,100,8720026
107/12/07,168748,18.87,18.88,18.86,18.87,0.01,66,3184291
107/12/10,326446,18.87,18.87,18.84,18.85,0.02,70,6156240
107/12/11,259730,18.85,18.85,18.82,18.82,0.03,63,4889626
107/12/12,415152,18.84,18.85,18.84,18.84,0.02,83,7823457
107/12/13,360000,18.84,18.85,18.82,18.84,,72,6783370
107/12/14,385000,18.82,18.83,18.81,18.83,0.01,130,7244980
107/12/17,459111,18.82,18.84,18.81,18.84,0.01,49,8642309
107/12/18,831833,18.77,18.77,18.65,18.65,0.19,263,15539008
107/12/19,917519,18.60,18.63,18.52,18.52,0.13,192,17034482
107/12/20,483862,18.51,18.53,18.50,18.50,0.02,97,8960017
107/12/21,362151,18.47,18.49,18.45,18.46,0.04,88,6685849
107/12/22,189150,18.41,18.41,18.38,18.40,0.06,60,3478692
107/12/24,200400,18.39,18.39,18.35,18.37,0.03,83,3680549
107/12/25,504000,18.35,18.35,18.20,18.24,0.13,144,9206246
107/12/26,235932,18.26,18.26,18.22,18.23,0.01,48,4301209
107/12/27,177356,18.38,18.39,18.33,18.34,0.11,51,3256625
107/12/28,155668,18.31,18.32,18.30,18.32,0.02,51,2849910
108/01/02,197103,18.37,18.44,18.37,18.42,0.10,64,3630297
108/01/03,283163,18.75,18.77,18.73,18.75,0.33,88,5309186
108/01/04,227749,18.82,18.84,18.77,18.77,0.02,67,4282165
108/01/07,290650,18.90,18.95,18.89,18.94,0.17,87,5499397
108/01/08,193150,19.00,19.00,18.94,18.95,0.01,51,3660090
108/01/09,790150,18.99,19.02,18.99,18.99,0.04,68,15007337
108/01/10,227181,18.96,18.99,18.93,18.96,0.03,59,4308908
108/01/11,154124,18.98,19.00,18.97,18.98,0.02,53,2925420
108/01/14,291902,18.98,19.02,18.98,19.01,0.03,68,5548314
108/01/15,173400,19.02,19.03,19.02,19.02,0.01,49,3298407
108/01/16,218870,19.03,19.09,19.03,19.09,0.07,62,4172625
108/01/17,240200,19.07,19.09,19.06,19.08,0.01,50,4582620
108/01/18,1028237,19.11,19.12,19.09,19.11,0.03,71,19641018
108/01/21,240202,19.17,19.23,19.17,19.22,0.11,65,4613880
