FH富時高息低波,	00731
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,2000,50.35,50.45,50.35,50.45,0.10,2,100800
107/06/04,16000,50.70,50.90,50.70,50.90,0.45,2,811400
107/06/05,1000,51.25,51.25,51.25,51.25,0.35,1,51250
107/06/06,0,--,--,--,--,,0,0
107/06/07,2000,51.50,51.50,51.50,51.50,X,2,103000
107/06/08,1000,51.30,51.30,51.30,51.30,0.20,1,51300
107/06/11,0,--,--,--,--,,0,0
107/06/12,3000,51.10,51.10,51.00,51.00,X,3,153100
107/06/13,12000,51.15,51.15,50.90,51.10,0.10,4,612500
107/06/14,1000,50.95,50.95,50.95,50.95,0.15,1,50950
107/06/15,5000,50.60,50.60,50.35,50.35,0.60,5,252650
107/06/19,8000,50.40,50.40,49.97,49.99,0.36,8,401630
107/06/20,5000,50.05,50.45,50.05,50.45,0.46,5,250650
107/06/21,1000,50.80,50.80,50.80,50.80,0.35,1,50800
107/06/22,2000,50.45,50.50,50.45,50.50,0.30,2,100950
107/06/25,0,--,--,--,--,,0,0
107/06/26,1000,50.60,50.60,50.60,50.60,X,1,50600
107/06/27,1000,50.80,50.80,50.80,50.80,0.20,1,50800
107/06/28,3000,50.40,50.65,50.40,50.45,0.35,3,151500
107/06/29,5000,50.40,51.10,50.40,51.10,0.65,5,254300
107/07/02,1000,51.10,51.10,51.10,51.10,,1,51100
107/07/03,3000,51.00,51.10,50.95,51.10,,3,153050
107/07/04,5000,51.00,51.25,50.90,51.25,0.15,5,255100
107/07/05,2000,51.05,51.05,50.95,50.95,0.30,2,102000
107/07/06,2000,50.55,50.70,50.55,50.70,0.25,2,101250
107/07/09,1000,51.00,51.00,51.00,51.00,0.30,1,51000
107/07/10,5000,51.25,51.50,51.25,51.35,0.35,5,256800
107/07/11,2000,51.25,51.25,51.05,51.05,0.30,2,102300
107/07/12,2000,51.30,51.45,51.30,51.45,0.40,2,102750
107/07/13,2000,51.65,51.65,51.55,51.55,0.10,2,103200
107/07/16,1000,51.65,51.65,51.65,51.65,0.10,1,51650
107/07/17,1000,51.45,51.45,51.45,51.45,0.20,1,51450
107/07/18,4000,51.70,52.00,51.60,52.00,0.55,4,207000
107/07/19,1000,51.85,51.85,51.85,51.85,0.15,1,51850
107/07/20,4000,51.80,51.80,51.65,51.65,0.20,4,206900
107/07/23,2000,51.75,51.90,51.75,51.90,0.25,2,103650
107/07/24,1000,52.00,52.00,52.00,52.00,0.10,1,52000
107/07/25,1000,52.05,52.05,52.05,52.05,0.05,1,52050
107/07/26,1000,52.15,52.15,52.15,52.15,0.10,1,52150
107/07/27,1000,52.35,52.35,52.35,52.35,0.20,1,52350
107/07/30,1000,52.40,52.40,52.40,52.40,0.05,1,52400
107/07/31,2000,52.35,52.70,52.35,52.70,0.30,2,105050
107/08/01,1000,52.65,52.65,52.65,52.65,0.05,1,52650
107/08/02,5000,52.90,52.90,52.30,52.30,0.35,5,262500
107/08/03,1000,52.55,52.55,52.55,52.55,0.25,1,52550
107/08/06,3000,52.55,52.55,52.55,52.55,,2,157650
107/08/07,3000,52.65,52.65,52.65,52.65,0.10,3,157950
107/08/08,9000,52.90,52.90,52.90,52.90,0.25,3,476100
107/08/09,12000,52.90,53.05,52.90,53.05,0.15,4,635250
107/08/10,3000,53.00,53.00,53.00,53.00,0.05,1,159000
107/08/13,19000,52.75,52.75,52.55,52.55,0.45,7,1002050
107/08/14,0,--,--,--,--,,0,0
107/08/15,1000,52.10,52.10,52.10,52.10,X,1,52100
