富邦臺灣中小,	00733
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,1019000,20.70,20.80,20.57,20.74,0.23,254,21101010
107/06/04,772000,20.89,21.00,20.88,20.94,0.20,311,16180940
107/06/05,1259000,21.00,21.03,20.59,20.69,0.25,190,26248020
107/06/06,1719000,20.80,20.98,20.80,20.90,0.21,312,35976390
107/06/07,945000,21.00,21.05,20.83,20.92,0.02,183,19795200
107/06/08,857000,20.90,20.94,20.83,20.85,0.07,153,17881920
107/06/11,1473000,20.93,20.95,20.84,20.85,,176,30766870
107/06/12,332000,20.92,20.94,20.70,20.74,0.11,45,6886830
107/06/13,238141,20.81,20.85,20.53,20.67,0.07,38,4910369
107/06/14,126000,20.67,20.67,20.46,20.46,0.21,32,2590470
107/06/15,95000,20.65,20.65,20.43,20.61,0.15,13,1952870
107/06/19,340000,20.50,20.61,20.48,20.48,0.13,34,6984650
107/06/20,820000,20.35,20.35,19.85,20.04,0.44,176,16387880
107/06/21,724000,20.04,20.16,19.96,19.96,0.08,83,14535290
107/06/22,305000,20.11,20.11,19.66,19.66,0.30,79,6025950
107/06/25,588000,19.63,19.75,19.54,19.65,0.01,92,11547500
107/06/26,530000,19.54,19.86,19.48,19.86,0.21,23,10336770
107/06/27,1365000,19.86,20.06,19.86,19.97,0.11,163,27264820
107/06/28,534000,19.75,19.90,19.75,19.90,0.07,13,10623840
107/06/29,551000,20.15,20.15,19.94,20.07,0.17,17,11039500
107/07/02,847000,20.16,20.45,20.16,20.38,0.31,57,17272010
107/07/03,855000,20.42,20.60,20.18,20.31,0.07,204,17469390
107/07/04,202000,20.25,20.25,20.23,20.23,0.08,4,4090460
107/07/05,1030000,20.23,20.23,19.80,19.80,0.43,39,20778690
107/07/06,569000,20.20,20.20,19.28,19.68,0.12,82,11103420
107/07/09,267000,19.80,19.98,19.75,19.75,0.07,12,5288630
107/07/10,54000,19.86,20.00,19.82,20.00,0.25,20,1076410
107/07/11,205000,19.84,19.94,19.84,19.87,0.13,6,4087330
107/07/12,323096,19.87,20.25,19.87,20.25,0.38,43,6484982
107/07/13,877096,20.30,20.66,20.30,20.64,0.39,321,18021005
107/07/16,293000,20.52,20.52,20.23,20.34,0.30,28,5994340
107/07/17,244000,20.28,20.28,20.08,20.11,0.23,17,4904240
107/07/18,242000,20.20,20.20,19.75,19.93,0.18,36,4790140
107/07/19,204000,19.86,19.95,19.83,19.83,0.10,5,4069350
107/07/20,271000,19.84,19.84,19.59,19.70,0.13,35,5343770
107/07/23,287000,19.58,19.68,19.49,19.68,0.02,42,5608440
107/07/24,237048,19.72,19.76,19.65,19.72,0.04,16,4680419
107/07/25,209000,19.85,19.86,19.78,19.78,0.06,13,4148540
107/07/26,284000,19.88,19.96,19.86,19.91,0.13,24,5646380
107/07/27,302000,19.94,20.05,19.94,19.97,0.06,32,6040410
107/07/30,282100,20.00,20.00,19.71,19.73,0.24,48,5566120
107/07/31,304000,19.85,19.86,19.71,19.71,0.02,16,6010330
107/08/01,313050,19.71,19.93,19.71,19.93,0.22,16,6232137
107/08/02,382000,19.93,19.93,19.61,19.62,0.31,37,7533830
107/08/03,275000,19.62,19.75,19.62,19.71,0.09,23,5415450
107/08/06,346000,19.71,19.90,19.71,19.81,0.10,23,6849550
107/08/07,268000,19.81,19.81,19.73,19.81,,25,5298360
107/08/08,369000,19.81,19.96,19.81,19.86,0.05,20,7351190
107/08/09,262000,19.76,19.78,19.67,19.73,0.13,17,5179650
107/08/10,240049,19.66,19.75,19.61,19.66,0.07,12,4731917
107/08/13,502147,19.51,19.51,19.00,19.25,0.41,83,9620565
107/08/14,305000,19.25,19.40,19.25,19.25,,22,5885210
107/08/15,281008,19.25,19.25,19.07,19.08,0.17,30,5364552
107/08/16,284000,18.93,19.19,18.90,19.18,0.10,18,5441440
