國泰臺韓科技,	00735
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/11,3163000,19.86,19.92,19.75,19.79,,427,62772540
107/06/12,1893400,19.78,19.78,19.56,19.69,0.10,448,37217286
107/06/13,598000,19.77,19.77,19.63,19.72,0.03,148,11781390
107/06/14,487000,19.63,19.68,19.47,19.50,0.22,119,9513460
107/06/15,427000,19.49,19.49,19.25,19.35,0.15,115,8249460
107/06/19,283000,19.34,19.34,18.91,18.98,0.37,77,5371660
107/06/20,205000,18.98,19.09,18.86,19.06,0.08,58,3889910
107/06/21,344000,19.13,19.14,19.05,19.05,0.01,49,6565980
107/06/22,287000,18.89,19.00,18.87,18.97,0.08,29,5441200
107/06/25,222000,18.84,18.92,18.81,18.82,0.15,50,4183600
107/06/26,353000,18.79,18.79,18.55,18.74,0.08,54,6595810
107/06/27,370000,18.88,18.94,18.83,18.83,0.09,64,6983680
107/06/28,107000,18.60,18.70,18.55,18.64,0.19,19,1993990
107/06/29,204000,18.62,18.92,18.62,18.88,0.24,30,3826710
107/07/02,106000,18.90,18.92,18.80,18.80,0.08,22,2000190
107/07/03,192000,18.93,19.00,18.71,18.71,0.09,38,3612330
107/07/04,262000,18.93,18.93,18.77,18.93,0.22,27,4937930
107/07/05,239000,18.90,18.90,18.64,18.70,0.23,31,4488430
107/07/06,271000,18.71,18.71,18.52,18.65,0.05,19,5048700
107/07/09,442000,18.88,19.10,18.87,19.08,0.43,68,8414250
107/07/10,91000,19.20,19.28,19.08,19.13,0.05,23,1738950
107/07/11,320200,18.99,19.05,18.92,18.92,0.21,21,6081650
107/07/12,285000,18.92,19.16,18.92,19.13,0.21,31,5446420
107/07/13,125000,19.19,19.34,19.19,19.31,0.18,36,2413040
107/07/16,218000,19.34,19.40,19.23,19.24,0.07,33,4202760
107/07/17,176000,19.25,19.26,19.17,19.22,0.02,22,3384030
107/07/18,302000,19.32,19.40,19.26,19.26,0.04,17,5848750
107/07/19,272000,19.38,19.50,19.38,19.41,0.15,62,5286270
107/07/20,176000,19.43,19.61,19.43,19.54,0.13,47,3440950
107/07/23,470000,19.53,19.53,19.42,19.50,0.04,33,9165230
107/07/24,94000,19.41,19.51,19.41,19.47,0.03,10,1827560
107/07/25,17000,19.50,19.53,19.49,19.49,0.02,11,331780
107/07/26,226000,19.50,19.69,19.50,19.69,0.20,36,4434020
107/07/27,279000,19.71,19.85,19.70,19.83,0.14,75,5514020
107/07/30,196000,19.85,19.85,19.71,19.78,0.05,42,3875320
107/07/31,98250,19.68,19.73,19.68,19.70,0.08,12,1935935
107/08/01,101000,19.78,19.85,19.78,19.85,0.15,34,2002790
107/08/02,167060,19.85,19.85,19.50,19.50,0.35,26,3278190
107/08/03,199000,19.67,19.67,19.56,19.60,0.10,22,3901100
107/08/06,183000,19.62,19.73,19.60,19.63,0.03,23,3596690
107/08/07,393000,19.63,19.68,19.60,19.65,0.02,35,7713440
107/08/08,418050,19.73,19.84,19.72,19.78,0.13,56,8274358
107/08/09,783000,19.79,19.83,19.73,19.80,0.02,46,15494620
107/08/10,554000,19.53,19.59,19.42,19.47,0.33,43,10822500
107/08/13,347000,19.28,19.30,19.00,19.08,0.39,30,6621350
107/08/14,134000,19.19,19.29,19.14,19.25,0.17,17,2577320
107/08/15,124000,19.21,19.21,19.00,19.05,0.20,10,2361330
107/08/16,49000,18.94,19.07,18.80,19.00,0.05,15,928350
107/08/17,166000,19.04,19.19,18.98,18.99,0.01,16,3157140
107/08/20,45000,19.00,19.05,18.94,18.94,0.05,8,853380
107/08/21,229000,19.17,19.25,19.04,19.20,0.26,26,4378780
107/08/22,89000,19.29,19.34,19.27,19.29,0.09,20,1716510
107/08/23,66000,19.40,19.40,19.30,19.35,0.06,25,1275550
107/08/24,64000,19.34,19.46,19.34,19.46,0.11,19,1241160
107/08/27,123000,19.47,19.65,19.47,19.65,0.19,22,2408250
107/08/28,65000,19.73,19.80,19.73,19.75,0.10,20,1285860
107/08/29,352000,19.78,20.00,19.78,19.98,0.23,74,7006310
107/08/30,716000,20.11,20.28,20.11,20.15,0.17,119,14471250
107/08/31,73000,20.13,20.13,19.94,20.05,0.10,12,1462020
107/09/03,168000,20.08,20.10,19.88,19.88,0.17,23,3351890
107/09/04,51000,20.05,20.05,19.94,20.03,0.15,12,1018830
107/09/05,136100,19.97,20.07,19.97,19.99,0.04,35,2728045
107/09/06,277000,19.83,19.83,19.69,19.71,0.28,24,5484090
107/09/07,119000,19.52,19.59,19.41,19.53,0.18,18,2324200
107/09/10,37000,19.51,19.51,19.33,19.39,0.14,8,719880
107/09/11,148000,19.45,19.45,19.33,19.35,0.04,12,2866040
107/09/12,23000,19.22,19.22,19.17,19.20,0.15,5,441230
107/09/13,379000,19.21,19.34,19.10,19.10,0.10,38,7286020
107/09/14,211000,19.30,19.56,19.30,19.56,0.46,48,4102070
107/09/17,82000,19.53,19.53,19.34,19.38,0.18,16,1590540
107/09/18,20000,19.41,19.41,19.32,19.36,0.02,4,386870
107/09/19,70000,19.40,19.46,19.40,19.46,0.10,17,1359890
107/09/20,52000,19.57,19.57,19.47,19.47,0.01,10,1013670
107/09/21,56000,19.54,19.54,19.43,19.54,0.07,10,1090530
107/09/25,58000,19.51,19.60,19.48,19.55,0.01,10,1132210
107/09/26,103000,19.59,19.60,19.54,19.58,0.03,5,2012770
107/09/27,139000,19.59,19.63,19.57,19.63,0.05,24,2724320
107/09/28,61000,19.66,19.66,19.50,19.53,0.10,9,1189960
107/10/01,55000,19.52,19.52,19.50,19.52,0.01,7,1072560
107/10/02,114000,19.42,19.49,19.22,19.28,0.24,17,2204580
107/10/03,109000,19.09,19.28,18.95,19.23,0.05,13,2089470
107/10/04,144000,19.13,19.13,18.86,18.95,0.28,31,2728640
107/10/05,169000,18.78,18.78,18.54,18.54,0.41,58,3147720
107/10/08,56000,18.60,18.65,18.50,18.55,0.01,7,1040820
107/10/09,54000,18.45,18.54,18.43,18.52,0.03,6,999950
107/10/11,110000,18.35,18.35,17.44,17.44,1.08,51,1950090
107/10/12,23000,17.63,18.08,17.63,18.08,0.64,14,410820
107/10/15,77000,17.73,17.80,17.69,17.69,0.39,17,1365350
107/10/16,113010,17.79,17.92,17.77,17.81,0.12,18,2011749
107/10/17,111000,18.13,18.17,17.95,17.95,0.14,13,2006310
107/10/18,64000,17.95,17.95,17.85,17.87,0.08,8,1143280
107/10/19,56000,17.65,17.78,17.61,17.78,0.09,6,993970
107/10/22,163000,17.71,17.92,17.65,17.89,0.11,21,2888210
107/10/23,63000,17.70,17.70,17.52,17.52,0.37,12,1107420
107/10/24,65000,17.47,17.47,17.31,17.45,0.07,10,1131490
107/10/25,93000,17.09,17.09,16.82,16.91,0.54,16,1575470
107/10/26,144000,16.92,16.92,16.58,16.71,0.20,18,2395420
107/10/29,107000,16.89,16.89,16.77,16.87,0.16,9,1804880
107/10/30,91000,16.88,17.00,16.85,17.00,0.13,16,1540330
107/10/31,136000,17.06,17.20,17.03,17.16,0.16,45,2327080
107/11/01,32000,17.27,17.50,17.27,17.47,0.31,23,557490
107/11/02,135000,17.55,17.64,17.51,17.64,0.17,16,2369380
107/11/08,79000,17.78,17.82,17.74,17.78,0.21,9,1401630
107/11/09,63000,17.53,17.57,17.48,17.48,0.30,6,1101930
107/11/12,63000,17.50,17.62,17.47,17.62,0.14,9,1107690
107/11/16,53000,17.45,17.45,17.26,17.30,0.01,5,915100
107/11/19,61000,17.19,17.27,17.18,17.22,0.08,8,1048330
107/11/20,59000,16.97,16.97,16.89,16.89,0.33,11,998870
107/11/21,158000,16.68,16.86,16.61,16.86,0.03,20,2638040
107/11/22,107000,16.96,17.01,16.89,16.89,0.03,8,1809600
107/11/23,53000,16.89,16.99,16.89,16.89,,5,895310
107/11/26,156000,16.94,17.16,16.94,17.10,0.21,28,2664300
107/11/27,55000,17.08,17.21,17.07,17.21,0.11,7,943660
107/11/28,224000,17.27,17.47,17.21,17.47,0.26,15,3871980
107/11/29,205000,17.77,17.77,17.61,17.65,0.18,7,3618430
107/11/30,211000,17.59,17.61,17.46,17.47,0.18,9,3700610
107/12/03,216000,17.74,17.89,17.74,17.89,0.42,9,3851220
107/12/04,145000,17.70,17.71,17.65,17.65,0.24,7,2567760
107/12/05,143000,17.42,17.42,17.34,17.39,0.26,5,2485350
107/12/06,157101,17.17,17.17,16.89,16.89,0.50,21,2661832
107/12/07,340000,16.89,17.07,16.89,17.00,0.11,11,5777820
107/12/10,207000,16.78,16.78,16.67,16.67,0.33,9,3455140
107/12/11,107000,16.76,16.76,16.68,16.70,0.03,8,1787940
107/12/12,108000,16.97,17.02,16.86,17.02,0.32,8,1829440
107/12/13,101000,17.09,17.09,17.08,17.08,0.06,3,1725090
107/12/14,116179,16.70,16.70,16.61,16.61,0.47,18,1931244
107/12/17,424000,16.66,16.76,16.66,16.76,0.15,21,7093270
107/12/18,305000,16.49,16.65,16.49,16.59,0.17,7,5047940
107/12/19,147000,16.62,16.74,16.62,16.69,0.10,20,2452660
107/12/20,212000,16.71,16.71,16.49,16.49,0.20,16,3508540
107/12/21,252000,16.53,16.56,16.49,16.52,0.03,11,4161610
107/12/22,202000,16.59,16.61,16.59,16.60,0.08,4,3351210
107/12/24,202000,16.56,16.56,16.50,16.50,0.10,4,3339060
107/12/25,200000,16.42,16.42,16.42,16.42,0.08,4,3284000
107/12/26,231000,16.42,16.53,16.41,16.41,0.01,6,3791330
107/12/27,270000,16.64,16.64,16.64,16.64,0.23,5,4492800
107/12/28,262000,16.64,16.67,16.61,16.67,0.03,5,4353710
108/01/02,101000,16.51,16.51,16.51,16.51,0.16,3,1667510
108/01/03,105000,16.25,16.29,16.22,16.22,0.29,7,1707270
108/01/04,164000,16.00,16.08,15.87,16.00,0.22,26,2623290
108/01/07,208000,16.28,16.33,16.28,16.32,0.32,16,3392110
108/01/08,108000,16.42,16.42,16.30,16.30,0.02,10,1760820
108/01/09,108000,16.47,16.73,16.47,16.71,0.41,11,1803420
108/01/10,100000,16.73,16.73,16.73,16.73,0.02,2,1673000
108/01/11,120000,16.75,16.96,16.75,16.96,0.23,9,2026980
108/01/14,185000,16.91,16.91,16.70,16.75,0.21,22,3102480
108/01/15,223000,16.81,16.97,16.81,16.97,0.22,37,3771900
108/01/16,130000,16.98,17.05,16.96,17.05,0.08,14,2211970
108/01/17,176000,16.79,16.81,16.68,16.68,X,8,2942390
108/01/18,103000,16.74,16.76,16.70,16.76,0.08,5,1720260
108/01/21,271000,16.79,16.88,16.74,16.82,0.06,23,4551590
108/01/22,162000,16.68,16.70,16.64,16.66,0.16,7,2698160
108/01/23,138000,16.65,16.71,16.59,16.69,0.03,13,2300390
108/01/28,119000,17.35,17.47,17.35,17.39,0.13,6,2070610
108/01/29,168000,17.12,17.26,17.11,17.26,0.13,18,2884220
108/01/30,258000,17.26,17.30,17.26,17.29,0.03,17,4456820
108/02/11,105000,17.32,17.32,17.22,17.23,0.06,6,1808250
108/02/12,110000,17.41,17.48,17.38,17.48,0.25,7,1921930
108/02/13,151000,17.62,17.62,17.51,17.55,0.07,10,2648350
108/02/14,101000,17.56,17.56,17.53,17.53,0.02,3,1770560
108/02/15,125000,17.43,17.43,17.34,17.34,0.19,8,2169270
108/02/18,108000,17.57,17.57,17.50,17.50,0.16,7,1890170
108/02/19,123000,17.48,17.48,17.41,17.47,0.03,12,2145810
108/02/20,111000,17.56,17.74,17.56,17.62,0.15,13,1965060
108/02/21,209000,17.71,17.79,17.66,17.79,0.17,23,3704850
108/02/22,119000,17.79,17.79,17.68,17.71,0.08,11,2107500
108/02/25,105000,17.99,17.99,17.90,17.93,0.22,6,1879700
108/02/26,121000,17.97,18.03,17.89,17.92,0.01,11,2165260
108/02/27,110000,18.04,18.04,17.81,17.89,0.03,10,1964180
108/03/04,106000,17.71,17.71,17.57,17.60,0.29,7,1864780
108/03/05,147000,17.45,17.47,17.37,17.44,0.16,16,2561950
108/03/06,138000,17.43,17.43,17.32,17.34,0.10,14,2393290
108/03/07,117000,17.38,17.46,17.33,17.33,0.01,9,2030070
108/03/08,114000,17.32,17.32,17.08,17.14,0.19,14,1951280
108/03/11,114000,17.07,17.11,17.07,17.10,0.04,8,1950290
108/03/12,110000,17.33,17.37,17.30,17.35,0.25,12,1906340
108/03/13,116000,17.13,17.23,17.13,17.23,0.12,10,1998180
108/03/14,114000,17.30,17.30,17.16,17.20,0.03,10,1963720
108/03/15,109000,17.27,17.35,17.27,17.30,0.10,10,1884690
108/03/18,104000,17.35,17.35,17.33,17.35,0.05,6,1804380
108/03/19,126000,17.34,17.38,17.30,17.32,0.03,10,2182390
108/03/20,112000,17.29,17.39,17.27,17.39,0.07,11,1937690
108/03/21,309000,17.73,17.89,17.73,17.89,0.50,46,5515430
108/03/22,131000,18.30,18.30,17.92,17.95,0.06,17,2351510
108/03/25,134000,17.57,17.61,17.50,17.55,0.40,15,2356500
108/03/26,129000,17.57,17.66,17.56,17.66,0.11,10,2274010
108/03/27,196000,17.50,17.68,17.50,17.68,0.02,18,3450160
108/03/28,102000,17.65,17.66,17.63,17.63,0.05,4,1798310
108/03/29,111000,17.59,17.68,17.55,17.68,0.05,12,1949540
108/04/01,162000,17.96,18.04,17.96,17.98,0.30,19,2918560
108/04/02,111000,18.11,18.11,18.03,18.03,0.05,8,2005830
108/04/03,138000,18.13,18.17,18.13,18.17,0.14,12,2502090
108/04/08,109000,18.27,18.27,18.21,18.27,0.10,9,1989130
108/04/09,155000,18.25,18.30,18.25,18.30,0.03,20,2830260
108/04/10,159000,18.39,18.39,18.27,18.37,0.07,10,2907030
108/04/11,170000,18.47,18.47,18.31,18.35,0.02,20,3121920
108/04/12,153000,18.35,18.41,18.35,18.38,0.03,13,2812800
108/04/15,143000,18.55,18.66,18.55,18.63,0.25,12,2663890
108/04/16,135000,18.70,18.74,18.65,18.74,0.11,14,2524600
108/04/17,133000,18.79,18.94,18.79,18.89,0.15,14,2509580
108/04/18,142000,18.89,18.93,18.65,18.69,0.20,12,2672540
108/04/19,121000,18.90,18.90,18.68,18.70,0.01,8,2262940
108/04/22,268000,18.74,18.74,18.61,18.65,0.05,21,5008340
108/04/23,135000,18.66,18.72,18.66,18.69,0.04,10,2523220
108/04/24,157000,18.72,18.72,18.51,18.51,0.18,19,2909950
108/04/25,111000,18.57,18.57,18.48,18.55,0.04,4,2058370
108/04/26,110000,18.31,18.31,18.26,18.26,0.29,3,2013600
108/04/29,63000,18.39,18.42,18.30,18.42,0.16,34,1156700
108/04/30,116000,18.37,18.37,18.35,18.35,0.07,4,2128620
108/05/02,103000,18.45,18.46,18.43,18.46,0.11,5,1900320
108/05/03,107196,18.48,18.60,18.48,18.59,0.13,9,1981557
108/05/06,106000,18.17,18.22,18.15,18.22,0.37,8,1928140
108/05/07,109000,18.36,18.50,18.36,18.43,0.21,8,2010710
108/05/08,114000,18.30,18.42,18.27,18.36,0.07,11,2089280
108/05/09,116000,18.14,18.14,17.85,17.89,0.47,12,2078120
108/05/10,153000,17.91,17.97,17.70,17.77,0.12,20,2722600
108/05/13,103000,17.60,17.60,17.48,17.48,0.29,5,1812640
108/05/14,113000,17.33,17.48,17.33,17.40,0.08,13,1972770
108/05/15,110000,17.42,17.50,17.42,17.43,0.03,9,1924360
108/05/16,114000,17.24,17.36,17.15,17.15,0.28,13,1973580
108/05/17,133000,17.28,17.28,17.00,17.00,0.15,16,2269600
108/05/20,126000,17.04,17.07,16.97,16.97,0.03,9,2141050
108/05/21,298000,17.03,17.13,17.02,17.06,0.09,26,5090980
108/05/22,103000,16.90,17.03,16.90,17.03,0.03,5,1753870
108/05/23,109000,16.90,16.90,16.73,16.77,0.26,9,1829300
108/05/24,117000,16.84,16.85,16.72,16.76,0.01,14,1957960
108/05/27,137000,16.75,16.75,16.64,16.65,0.11,17,2284140
108/05/28,176000,16.65,16.69,16.61,16.64,0.01,17,2928810
108/05/29,114000,16.47,16.49,16.39,16.44,0.20,12,1875360
108/05/30,103000,16.71,16.76,16.71,16.73,0.29,5,1723200
108/05/31,119000,16.73,16.97,16.73,16.92,0.19,16,2015420
108/06/03,124000,16.92,17.08,16.89,17.08,0.16,12,2113390
108/06/04,142000,17.05,17.05,16.95,16.95,0.13,17,2413080
108/06/05,140000,17.19,17.19,16.94,16.94,0.01,10,2381110
108/06/06,139000,16.88,16.88,16.85,16.86,0.08,15,2344840
108/06/10,117000,17.08,17.16,17.00,17.16,0.30,8,2002860
108/06/11,107000,17.20,17.36,17.20,17.34,0.18,8,1855910
108/06/12,112000,17.35,17.35,17.28,17.35,0.01,10,1941050
108/06/13,102000,17.10,17.18,17.10,17.17,0.18,4,1751280
108/06/14,103000,17.17,17.17,17.15,17.15,0.02,4,1768450
108/06/17,101000,17.06,17.08,17.06,17.08,0.07,3,1725060
108/06/18,101000,17.08,17.08,17.08,17.08,,3,1725080
108/06/19,146000,17.49,17.53,17.40,17.53,0.45,20,2544590
108/06/20,113000,17.54,17.60,17.54,17.60,0.07,9,1986660
108/06/21,263000,17.68,17.75,17.68,17.71,0.11,21,4657970
108/06/24,151000,17.76,17.80,17.71,17.78,0.07,14,2682330
108/06/25,117000,17.86,17.86,17.64,17.69,0.09,11,2067650
108/06/26,111000,17.67,17.67,17.62,17.63,0.06,5,1960830
108/06/27,110000,17.82,17.95,17.82,17.93,0.30,7,1973820
108/06/28,103000,17.83,17.85,17.83,17.85,0.08,4,1836530
108/07/01,111000,18.00,18.12,18.00,18.10,0.25,11,2008930
108/07/02,108000,18.10,18.10,18.04,18.05,0.05,6,1948450
108/07/03,110000,17.92,17.92,17.78,17.78,0.27,9,1958170
108/07/04,102000,17.89,17.89,17.85,17.86,0.08,4,1820750
108/07/05,107000,17.95,17.95,17.85,17.86,,9,1911120
108/07/08,131050,17.67,17.67,17.55,17.65,0.21,12,2308575
108/07/09,116000,17.68,17.68,17.65,17.65,,5,2049430
108/07/10,130000,17.80,17.87,17.80,17.87,0.22,5,2322440
108/07/11,137000,18.01,18.14,18.01,18.14,0.27,12,2481470
108/07/12,114000,18.14,18.14,18.07,18.07,0.07,8,2062180
108/07/15,127000,18.10,18.18,17.98,18.17,0.10,11,2307370
108/07/16,118000,18.18,18.26,18.18,18.26,0.09,11,2152880
108/07/17,106000,17.92,17.92,17.88,17.88,X,7,1897400
108/07/18,101000,17.89,17.89,17.87,17.87,0.01,3,1804890
108/07/19,123000,18.18,18.18,18.14,18.15,0.28,11,2232690
108/07/22,241000,18.20,18.32,18.20,18.32,0.17,18,4410970
108/07/23,114000,18.38,18.43,18.35,18.39,0.07,9,2092350
