國泰中國A150,	00743
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/08/03,5176000,19.64,19.65,19.18,19.22,0.66,1223,101012550
107/08/06,1345000,19.21,19.21,18.74,18.81,0.41,452,25483840
107/08/07,955000,18.80,18.93,18.60,18.82,0.01,313,17961850
107/08/08,1230000,19.20,19.23,19.06,19.06,0.24,272,23558910
107/08/09,1087000,19.06,19.41,18.83,19.38,0.32,317,20896150
107/08/10,609000,19.36,19.50,19.20,19.20,0.18,172,11801330
107/08/13,1048000,19.19,19.30,19.10,19.15,0.05,217,20097790
107/08/14,1033000,19.35,19.40,19.22,19.22,0.07,125,19932210
107/08/15,644000,19.33,19.33,18.89,18.89,0.33,125,12300260
107/08/16,1133000,18.74,18.93,18.58,18.83,0.06,177,21259250
107/08/17,961000,18.83,18.92,18.52,18.52,0.31,161,17982980
107/08/20,1252000,18.55,18.59,18.31,18.35,0.17,144,23097980
107/08/21,714000,18.54,18.92,18.54,18.88,0.53,125,13415160
107/08/22,965000,18.84,18.89,18.71,18.71,0.17,87,18133380
107/08/23,583000,18.74,18.81,18.59,18.71,,67,10913670
107/08/24,536000,18.71,18.74,18.64,18.74,0.03,54,10008440
107/08/27,1614000,18.89,19.26,18.88,19.25,0.51,196,30931510
107/08/28,1400005,19.38,19.42,19.28,19.31,0.06,152,27092587
107/08/29,334095,19.40,19.41,19.25,19.27,0.04,59,6447912
107/08/30,597000,19.30,19.35,19.07,19.09,0.18,228,11460050
107/08/31,405000,19.30,19.30,18.88,19.09,,123,7699090
107/09/03,555000,19.06,19.06,18.75,18.75,0.34,130,10487980
107/09/04,588000,18.87,19.01,18.83,18.96,0.21,60,11106160
107/09/05,540000,18.98,19.06,18.89,18.96,,66,10258740
107/09/06,499000,18.89,18.89,18.66,18.66,0.30,114,9365320
107/09/07,341000,18.66,18.93,18.49,18.70,0.04,100,6364770
107/09/10,567000,18.62,18.70,18.44,18.44,0.26,94,10485910
107/09/11,458000,18.44,18.44,18.19,18.28,0.16,135,8380040
107/09/12,262000,18.26,18.27,18.16,18.19,0.09,89,4767140
107/09/13,540398,18.26,18.50,18.14,18.14,0.05,122,9880256
107/09/14,960000,18.20,18.44,18.18,18.29,0.15,113,17551780
107/09/17,224000,18.28,18.30,18.14,18.14,0.15,59,4079470
107/09/18,387000,18.02,18.24,18.02,18.15,0.01,76,7017430
107/09/19,2717000,18.44,18.60,18.35,18.60,0.45,311,50126640
107/09/20,515100,18.60,18.75,18.60,18.67,0.07,103,9626223
107/09/21,2968000,19.06,19.13,18.80,19.13,0.46,806,56263790
107/09/25,588000,18.90,19.01,18.88,18.95,0.18,187,11142410
107/09/26,1349286,19.09,19.32,19.08,19.29,0.34,340,25894644
107/09/27,973334,19.27,19.27,18.96,19.00,0.29,266,18545534
107/09/28,634179,19.00,19.10,18.94,19.09,0.09,146,12067878
107/10/01,160000,18.75,19.01,18.75,18.99,0.10,67,3025450
107/10/02,243000,19.00,19.01,18.80,18.80,0.19,96,4579970
107/10/03,148000,18.75,18.88,18.71,18.74,0.06,52,2778870
107/10/04,269000,18.69,18.70,18.46,18.52,0.22,114,4992780
107/10/05,316000,18.53,18.53,18.31,18.39,0.13,122,5803730
107/10/08,652000,18.45,18.72,18.45,18.66,0.27,157,12155810
107/10/09,347706,18.52,18.52,18.32,18.47,0.19,109,6399982
107/10/11,790106,18.20,18.20,17.38,17.43,1.04,232,13984951
107/10/12,377000,17.51,17.61,17.20,17.58,0.15,131,6578190
107/10/15,398523,17.52,17.63,17.40,17.42,0.16,90,6971596
107/10/16,596000,17.40,17.41,17.03,17.04,0.38,275,10236550
107/10/17,573000,17.09,17.19,16.64,16.64,0.40,247,9707080
107/10/18,514000,16.80,16.83,16.61,16.64,,107,8571290
107/10/19,430379,16.50,16.63,16.32,16.63,0.01,137,7094901
107/10/22,903200,16.94,17.74,16.88,17.64,1.01,310,15682988
107/10/23,403616,17.70,17.72,17.37,17.42,0.22,136,7094601
107/10/24,265000,17.42,17.53,17.14,17.34,0.08,96,4599980
107/10/25,183000,17.20,17.20,16.90,16.95,0.39,117,3113060
107/10/26,567000,17.19,17.30,17.00,17.05,0.10,132,9743700
107/10/29,357466,17.11,17.17,16.83,16.83,0.22,90,6066061
107/10/30,211000,16.79,17.12,16.64,16.97,0.14,86,3556010
107/10/31,258000,17.08,17.20,16.98,17.15,0.18,67,4416430
107/11/01,192000,17.20,17.46,17.20,17.40,0.25,88,3337130
107/11/02,328000,17.40,17.82,17.40,17.65,0.25,111,5789170
107/11/08,92592,17.88,17.88,17.65,17.65,0.14,37,1641867
107/11/09,132000,17.43,17.45,17.35,17.39,0.26,43,2297150
107/11/12,126000,17.33,17.48,17.32,17.48,0.09,30,2192850
107/11/16,429200,17.96,18.13,17.88,18.04,0.16,131,7726249
107/11/19,273596,18.09,18.20,18.04,18.14,0.10,179,4960086
107/11/20,271000,18.03,18.13,17.86,17.88,0.26,67,4875030
107/11/21,308000,17.74,17.84,17.59,17.77,0.11,61,5465600
107/11/22,213000,17.82,17.82,17.71,17.72,0.05,60,3785840
107/11/23,353148,17.76,17.77,17.43,17.43,0.29,72,6199584
107/11/26,156000,17.20,17.37,17.20,17.25,0.18,64,2699160
107/11/27,137913,17.25,17.35,17.21,17.30,0.05,50,2384744
107/11/28,427000,17.25,17.45,17.17,17.38,0.08,79,7405190
107/11/29,173000,17.64,17.64,17.41,17.41,0.03,45,3033700
107/11/30,553900,17.36,17.36,17.19,17.19,0.22,106,9578885
107/12/03,558000,17.74,18.01,17.74,17.96,0.77,122,9978290
107/12/04,347250,17.95,18.13,17.94,18.01,0.05,74,6271810
107/12/05,732000,17.83,18.16,17.83,18.05,0.04,112,13154820
107/12/06,314000,18.10,18.10,17.65,17.68,0.37,92,5587930
107/12/07,302850,17.57,17.73,17.57,17.70,0.02,48,5357642
107/12/10,295264,17.68,17.68,17.44,17.44,0.26,53,5162567
107/12/11,281000,17.51,17.54,17.39,17.47,0.03,44,4906100
107/12/12,56000,17.55,17.68,17.55,17.60,0.13,23,985710
107/12/13,311411,17.71,17.99,17.65,17.96,0.36,95,5552161
107/12/14,135000,17.97,17.97,17.70,17.75,0.21,51,2399880
107/12/17,673090,17.62,17.62,17.38,17.54,0.21,184,11790952
107/12/18,311696,17.39,17.55,17.27,17.34,0.20,113,5412870
107/12/19,187000,17.27,17.38,17.25,17.26,0.08,59,3237270
107/12/20,446000,17.20,17.20,16.92,16.92,0.34,139,7587350
107/12/21,119000,16.90,17.03,16.83,16.83,0.09,43,2009580
107/12/22,32000,16.78,16.78,16.74,16.78,0.05,20,536480
107/12/24,159648,16.77,16.95,16.75,16.88,0.10,61,2693256
107/12/25,346000,16.75,16.81,16.58,16.66,0.22,138,5772630
107/12/26,129000,16.99,16.99,16.74,16.74,0.08,64,2168510
107/12/27,182134,17.13,17.15,16.97,16.97,0.23,67,3112270
107/12/28,428127,16.82,16.94,16.77,16.88,0.09,78,7209854
108/01/02,341000,16.94,16.94,16.60,16.61,0.27,96,5709550
108/01/03,322000,16.73,16.80,16.56,16.61,,78,5365740
108/01/04,373000,16.58,17.00,16.42,16.96,0.35,83,6263230
108/01/07,311000,17.11,17.21,17.05,17.17,0.21,102,5332070
108/01/08,312682,17.21,17.28,17.14,17.25,0.08,104,5389179
108/01/09,367000,17.28,17.60,17.28,17.53,0.28,103,6405480
108/01/10,201000,17.36,17.52,17.34,17.50,0.03,68,3498800
108/01/11,94000,17.47,17.60,17.42,17.54,0.04,35,1643660
108/01/14,231000,17.51,17.51,17.41,17.41,0.13,54,4033390
108/01/15,180090,17.41,17.65,17.41,17.63,0.22,47,3158816
108/01/16,242000,17.60,17.69,17.60,17.62,0.01,59,4268470
108/01/17,173694,17.69,17.72,17.61,17.64,0.02,59,3066587
108/01/18,311000,17.61,17.71,17.58,17.67,0.03,74,5487230
108/01/21,272110,17.75,17.92,17.75,17.88,0.21,98,4855255
108/01/22,248694,17.77,17.85,17.60,17.62,0.26,68,4404438
108/01/23,112462,17.57,17.65,17.54,17.62,,29,1982217
108/01/28,572148,17.93,18.05,17.86,17.86,0.02,105,10285679
108/01/29,341041,17.72,17.81,17.59,17.76,0.10,79,6042177
108/01/30,365000,17.76,17.85,17.70,17.81,0.05,80,6489540
108/02/11,447000,17.81,18.14,17.81,18.14,0.33,101,8027070
108/02/12,606585,18.14,18.61,18.14,18.59,0.45,149,11135637
108/02/13,457301,18.63,18.97,18.63,18.97,0.38,156,8598051
108/02/14,761155,18.99,19.16,18.98,19.10,0.13,201,14523489
108/02/15,256099,19.08,19.08,18.86,18.86,0.24,87,4855648
108/02/18,530045,18.90,19.33,18.90,19.33,0.47,191,10182359
108/02/19,825009,19.41,19.66,19.34,19.34,0.01,232,16099422
108/02/20,536038,19.53,19.65,19.50,19.50,0.16,156,10503190
108/02/21,1075000,19.60,20.01,19.56,19.97,0.47,297,21284150
108/02/22,336105,19.90,19.90,19.54,19.78,0.19,102,6617062
108/02/25,6465548,19.91,21.10,19.91,21.07,1.29,1312,133599790
108/02/26,4773162,21.00,21.62,21.00,21.50,0.43,882,101801776
108/02/27,1270500,21.03,21.57,21.01,21.45,0.05,301,27082383
108/03/04,1797200,21.49,22.12,21.46,21.95,0.50,411,39103286
108/03/05,621000,21.77,21.80,21.57,21.70,0.25,140,13460560
108/03/06,788000,21.78,22.00,21.74,21.95,0.25,196,17233740
108/03/07,979212,21.88,22.15,21.87,21.93,0.02,266,21538898
108/03/08,794799,21.46,21.90,21.20,21.49,0.44,159,17112714
108/03/11,658370,20.98,21.56,20.95,21.51,0.02,111,14015771
108/03/12,715442,21.80,22.12,21.80,22.06,0.55,138,15731724
108/03/13,341552,21.91,22.01,21.57,21.69,0.37,76,7426234
108/03/14,437137,21.70,21.70,21.21,21.26,0.43,116,9335213
108/03/15,554548,21.26,21.64,21.26,21.40,0.14,76,11920302
108/03/18,301137,21.58,21.83,21.40,21.83,0.43,75,6520200
108/03/19,329600,21.93,22.09,21.92,21.98,0.15,84,7257599
108/03/20,127809,21.97,22.00,21.67,21.68,0.30,51,2788416
108/03/21,469411,21.68,22.17,21.68,22.16,0.48,125,10365227
108/03/22,157300,22.17,22.19,21.78,21.94,0.22,66,3453110
108/03/25,368207,21.22,21.79,21.22,21.71,0.23,69,7947217
108/03/26,425300,21.69,21.71,21.32,21.39,0.32,82,9170716
108/03/27,348295,21.30,21.40,21.18,21.33,0.06,86,7420864
108/03/28,368000,21.29,21.47,21.16,21.34,0.01,63,7814560
108/03/29,656091,21.20,21.95,21.20,21.95,0.61,167,14243137
108/04/01,977071,22.08,22.77,22.08,22.76,0.81,223,22085735
108/04/02,350108,22.85,22.98,22.80,22.92,0.16,113,8016983
108/04/03,350352,22.92,23.00,22.75,22.97,0.05,130,8008079
108/04/08,350551,23.27,23.65,23.09,23.09,0.12,121,8204110
108/04/09,117886,23.22,23.43,23.19,23.30,0.21,60,2744412
108/04/10,207423,23.13,23.35,23.06,23.31,0.01,116,4811391
108/04/11,408231,23.33,23.37,22.81,22.90,0.41,102,9377104
108/04/12,180264,22.83,22.89,22.70,22.76,0.14,53,4110442
108/04/15,330234,23.04,23.35,22.94,23.02,0.26,62,7663584
108/04/16,239983,22.80,22.99,22.46,22.99,0.03,94,5419017
108/04/17,210183,23.01,23.28,23.01,23.24,0.25,79,4862643
108/04/18,168552,23.24,23.32,23.15,23.21,0.03,47,3911773
108/04/19,133649,23.27,23.33,22.94,23.22,0.01,45,3089275
108/04/22,279358,23.30,23.30,22.84,22.98,0.24,79,6453233
108/04/23,99963,23.01,23.01,22.88,22.92,0.06,31,2294786
108/04/24,155137,22.72,22.80,22.50,22.80,0.12,60,3514026
108/04/25,16631,22.70,22.84,22.70,22.77,0.03,16,378465
108/04/26,292507,22.75,22.75,22.13,22.29,0.48,104,6502916
108/04/29,253140,22.08,22.19,21.88,22.19,0.10,82,5575548
108/04/30,155174,21.90,22.00,21.84,21.97,0.22,59,3400966
108/05/02,85718,21.94,21.97,21.82,21.95,0.02,34,1876226
108/05/03,56470,21.90,21.90,21.72,21.85,0.10,38,1230178
108/05/06,445391,21.56,21.56,20.50,20.60,1.25,119,9445492
108/05/07,322972,20.65,20.78,20.45,20.45,0.15,83,6671636
108/05/08,123000,20.24,20.66,20.22,20.58,0.13,56,2518210
108/05/09,444439,20.36,20.36,19.90,20.17,0.41,129,8904736
108/05/10,720450,20.13,20.61,19.84,20.38,0.21,119,14507220
108/05/13,280852,20.07,20.36,20.07,20.22,0.16,63,5686481
108/05/14,132984,19.80,20.35,19.80,20.14,0.08,35,2684613
108/05/15,149148,20.18,20.48,20.18,20.48,0.34,14,3033798
