中信中國50,	00752
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/10/31,2286000,19.40,19.96,19.40,19.93,0.07,1439,45133680
107/11/01,2072000,19.97,20.92,19.80,20.70,0.77,993,41957160
107/11/02,1708000,20.71,21.45,20.71,21.44,0.74,610,35977540
107/11/08,1297000,21.35,21.76,21.31,21.41,0.21,256,27871270
107/11/09,1269000,21.29,21.29,20.74,20.82,0.59,620,26446690
107/11/12,832000,20.80,20.80,20.56,20.60,0.22,172,17156240
107/11/16,1035000,21.08,21.21,20.94,21.19,0.33,123,21799880
107/11/19,597000,21.25,21.34,21.20,21.21,0.02,54,12677150
107/11/20,456000,21.10,21.10,20.66,20.80,0.41,80,9489850
107/11/21,650000,20.73,20.73,20.51,20.71,0.09,138,13401420
107/11/22,610000,20.88,20.95,20.75,20.93,0.22,149,12705850
107/11/23,371100,20.94,20.94,20.81,20.81,0.12,35,7729465
107/11/26,644000,21.00,21.20,20.85,21.11,0.30,165,13537080
107/11/27,630000,21.34,21.42,21.22,21.40,0.29,69,13403340
107/11/28,591000,21.35,21.67,21.35,21.66,0.26,118,12738400
107/11/29,553000,21.82,21.93,21.71,21.85,0.19,114,12062360
107/11/30,798000,21.73,21.82,21.51,21.82,0.03,225,17296460
107/12/03,692000,21.91,22.48,21.91,22.25,0.43,255,15398650
107/12/04,416000,22.25,22.30,22.12,22.13,0.12,42,9253390
107/12/05,4578000,22.22,22.22,21.95,22.02,0.11,611,101425220
107/12/06,980000,22.14,22.14,21.36,21.60,0.42,289,21187890
107/12/07,584000,21.60,21.60,21.41,21.46,0.14,249,12557650
107/12/10,623000,20.85,21.39,20.85,21.39,0.07,270,13115330
107/12/11,905000,21.29,21.30,20.98,21.00,0.39,238,19086250
107/12/12,667000,21.30,21.53,21.20,21.39,0.39,194,14213600
107/12/13,840000,21.58,21.69,21.40,21.60,0.21,127,18106520
107/12/14,598100,21.67,21.67,21.22,21.36,0.24,56,12774220
107/12/17,620000,21.32,21.32,21.07,21.20,0.16,65,13144290
107/12/18,464100,20.98,20.98,20.71,20.72,0.48,68,9663415
107/12/19,545200,20.78,20.85,20.45,20.50,0.22,82,11188092
107/12/20,409000,20.35,20.48,20.20,20.20,0.30,64,8303190
107/12/21,425000,20.01,20.71,20.00,20.71,0.51,66,8573120
107/12/22,363260,20.45,20.49,20.26,20.48,0.23,38,7399621
107/12/24,575100,20.54,20.75,20.20,20.26,0.22,71,11694330
107/12/25,409240,20.25,20.25,19.87,20.16,0.10,89,8164900
107/12/26,678000,20.29,20.29,20.00,20.00,0.16,76,13674230
107/12/27,761000,20.41,20.51,20.35,20.35,0.35,82,15548100
107/12/28,863000,20.45,20.45,19.87,19.87,0.48,56,17427340
108/01/02,523000,20.20,20.47,20.05,20.05,0.18,61,10546840
108/01/03,801000,20.04,20.23,19.47,20.03,0.02,85,16038630
108/01/04,792000,19.95,20.06,19.71,20.03,,126,15748310
108/01/07,519000,20.43,20.53,20.30,20.49,0.46,81,10611320
108/01/08,503000,20.59,20.65,20.49,20.62,0.13,82,10349720
108/01/09,744015,20.76,21.16,20.70,21.16,0.54,232,15596430
108/01/10,598000,21.29,21.31,21.15,21.27,0.11,161,12705280
108/01/11,961000,21.50,21.51,21.27,21.37,0.10,291,20534140
108/01/14,500000,21.33,21.49,21.17,21.18,0.19,121,10623220
108/01/15,626000,21.14,21.49,21.12,21.36,0.18,104,13347470
108/01/16,528500,21.40,21.48,21.30,21.48,0.12,88,11295540
108/01/17,1098049,21.50,21.86,21.50,21.73,0.25,512,23808244
108/01/18,1204000,21.52,22.00,21.52,21.85,0.12,433,26230280
108/01/21,620000,22.10,22.24,21.93,22.04,0.19,123,13693030
108/01/22,563000,22.07,22.07,21.76,21.81,0.23,108,12342370
108/01/23,638000,21.64,21.80,21.51,21.70,0.11,164,13867940
108/01/28,718000,22.20,22.46,22.14,22.30,0.24,274,16039830
108/01/29,673000,21.80,22.24,21.75,22.10,0.20,137,14871490
108/01/30,526000,22.33,22.33,22.05,22.17,0.07,85,11628950
108/02/11,581002,22.23,22.59,22.23,22.59,0.42,99,13074915
108/02/12,442000,22.59,22.75,22.58,22.71,0.12,81,10008000
108/02/13,523000,22.78,22.84,22.69,22.77,0.06,71,11907000
108/02/14,434000,22.90,22.91,22.72,22.72,0.05,69,9886570
108/02/15,448000,22.76,22.84,22.32,22.34,0.38,58,10056030
108/02/18,449000,22.48,22.55,22.46,22.55,0.21,35,10110130
108/02/19,483100,22.59,22.67,22.46,22.46,0.09,36,10916440
108/02/20,510000,22.59,22.83,22.59,22.67,0.21,60,11576210
108/02/21,357000,22.64,22.87,22.64,22.87,0.20,29,8124880
108/02/22,367000,22.85,22.85,22.66,22.80,0.07,35,8363350
108/02/25,766000,23.40,23.44,23.06,23.35,0.55,175,17806310
108/02/26,1234000,23.60,23.65,23.40,23.48,0.13,293,28966020
108/02/27,559000,23.50,23.50,23.25,23.43,0.05,61,13045270
108/03/04,603000,23.54,23.73,23.43,23.63,0.20,103,14209630
108/03/05,135000,23.43,23.63,23.36,23.63,,53,3180530
108/03/06,337000,23.75,24.00,23.75,23.91,0.28,79,8047570
108/03/07,215000,23.89,23.91,23.57,23.57,0.34,55,5101510
108/03/08,312000,23.32,23.32,22.91,22.97,0.60,70,7171900
108/03/11,197000,22.68,23.01,22.68,23.01,0.04,47,4507050
108/03/12,922000,23.44,23.68,23.38,23.66,0.65,118,21749410
108/03/13,106000,23.66,23.66,23.48,23.55,0.11,23,2492950
108/03/14,162000,23.53,23.58,23.42,23.49,0.06,27,3811290
108/03/15,460000,23.48,23.82,23.48,23.73,0.24,71,10898940
108/03/18,324000,23.81,24.00,23.69,23.93,0.20,56,7731980
