元大全球未來通訊,	00861
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/11/19,132634331,20.42,21.55,20.42,21.42,1.42,41818,2801976393
108/11/20,141813370,21.40,21.40,20.70,20.71,0.71,43592,2957913216
108/11/21,138708562,19.90,19.95,19.87,19.88,0.83,39594,2761131270
108/11/22,43770689,19.79,19.79,19.68,19.69,0.19,16578,863162141
108/11/25,15986012,19.75,19.75,19.70,19.70,0.01,6086,315272824
108/11/26,15168375,19.80,19.83,19.76,19.76,0.06,5095,300115879
108/11/27,7728349,19.83,19.85,19.81,19.85,0.09,2963,153312353
108/11/28,7688015,19.89,19.89,19.81,19.82,0.03,3122,152515320
108/11/29,11081980,19.82,19.82,19.72,19.72,0.10,4676,218977331
108/12/02,11116555,19.72,19.73,19.67,19.69,0.03,3698,218900814
108/12/03,13528487,19.59,19.59,19.40,19.46,0.23,5998,263211061
108/12/04,13118313,19.34,19.35,19.25,19.30,0.16,5333,253152734
108/12/05,7498024,19.43,19.52,19.43,19.50,0.20,2801,146046614
108/12/06,3800501,19.55,19.57,19.50,19.51,0.01,1616,74199666
108/12/09,5266798,19.69,19.69,19.60,19.60,0.09,2273,103358520
108/12/10,4765112,19.60,19.65,19.58,19.63,0.03,1411,93462965
108/12/11,4685119,19.63,19.64,19.58,19.62,0.01,1576,91886144
108/12/12,7655599,19.66,19.77,19.66,19.70,0.08,2249,151040314
108/12/13,10562323,19.80,19.85,19.75,19.84,0.14,3082,209307631
108/12/16,6118948,19.87,19.92,19.87,19.92,0.08,2488,121787066
108/12/17,10149171,19.96,20.04,19.96,20.03,0.11,3733,203079835
108/12/18,8083415,20.05,20.05,19.99,20.00,0.03,2802,161726767
108/12/19,13154456,20.05,20.13,20.05,20.08,0.08,2815,264321133
108/12/20,15090427,20.18,20.30,20.18,20.28,0.20,3844,305508337
108/12/23,9393489,20.35,20.38,20.31,20.32,0.04,2853,191058016
108/12/24,9292904,20.35,20.35,20.27,20.31,0.01,2212,188619960
108/12/25,6051325,20.31,20.33,20.20,20.20,0.11,2336,122599495
108/12/26,4334075,20.22,20.26,20.22,20.23,0.03,1326,87733857
108/12/27,8243225,20.31,20.39,20.31,20.38,0.15,2377,167864488
108/12/30,11421066,20.40,20.51,20.40,20.50,0.12,3084,233711579
108/12/31,5834000,20.47,20.47,20.40,20.40,0.10,1986,119102949
109/01/02,8542601,20.41,20.46,20.40,20.42,0.02,2450,174459749
109/01/03,17075718,20.50,20.57,20.39,20.45,0.03,3716,349887219
109/01/06,10350936,20.38,20.38,20.30,20.30,0.15,2887,210303122
109/01/07,9108651,20.35,20.38,20.31,20.34,0.04,1962,185285623
109/01/08,11693200,20.18,20.29,20.06,20.21,0.13,2717,235850546
109/01/09,9802100,20.40,20.43,20.38,20.39,0.18,2050,200028330
109/01/10,15185750,20.55,20.60,20.53,20.54,0.15,2905,312240347
109/01/13,11651800,20.65,20.69,20.65,20.68,0.14,2688,240816110
109/01/14,10075040,20.81,20.88,20.81,20.85,0.17,2890,210061536
109/01/15,6003695,20.80,20.81,20.71,20.71,0.14,2069,124496405
109/01/16,4100555,20.73,20.79,20.72,20.78,0.07,1345,85126304
109/01/17,8187818,20.89,20.95,20.89,20.91,0.13,2629,171237093
109/01/20,12725930,21.03,21.07,21.03,21.05,0.14,3888,267776750
109/01/30,31587667,20.50,20.53,20.00,20.34,0.71,7786,643880733
109/01/31,10698410,20.38,20.69,20.38,20.69,0.35,3493,220576768
109/02/03,11517504,20.31,20.46,20.23,20.46,0.23,3377,234173749
109/02/04,4457499,20.44,20.54,20.44,20.53,0.07,1568,91409289
109/02/05,9940950,20.67,20.74,20.65,20.71,0.18,2370,205837049
109/02/06,7366054,20.79,20.92,20.79,20.92,0.21,2361,153836504
109/02/07,12815759,20.93,20.97,20.90,20.95,0.03,2811,268319619
109/02/10,8419550,20.82,20.94,20.77,20.87,0.08,1980,175558299
109/02/11,11117411,20.95,21.03,20.95,21.01,0.14,2633,233512401
109/02/12,15007521,21.22,21.34,21.22,21.33,0.32,3847,319534156
109/02/13,18189485,21.50,21.64,21.50,21.55,0.22,4489,392434572
109/02/14,10777110,21.52,21.60,21.48,21.53,0.02,2994,232020110
109/02/17,8331989,21.51,21.59,21.51,21.58,0.05,2201,179544687
109/02/18,12752081,21.56,21.56,21.40,21.44,0.14,3499,273523600
109/02/19,7796934,21.35,21.45,21.33,21.45,0.01,1963,166844334
109/02/20,5851605,21.52,21.58,21.46,21.50,0.05,1598,125898845
109/02/21,11081742,21.45,21.53,21.42,21.49,0.01,1796,237903598
109/02/24,10283300,21.37,21.37,21.11,21.13,0.36,3566,217929678
109/02/25,10983275,20.91,21.10,20.91,21.08,0.05,2889,230841906
109/02/26,11255105,20.80,20.80,20.61,20.66,0.42,4208,233054791
109/02/27,13120543,20.52,20.52,20.22,20.25,0.41,5509,267460170
109/03/02,17372053,19.95,20.08,19.47,19.93,0.32,6553,344615658
109/03/03,11875977,20.22,20.25,20.05,20.08,0.15,3332,239411427
109/03/04,7891945,20.05,20.06,19.90,20.06,0.02,2205,157762775
109/03/05,9980548,20.31,20.40,20.30,20.40,0.34,1943,202916010
109/03/06,11591282,20.21,20.22,19.99,20.00,0.40,3520,232361965
109/03/09,22212778,19.85,19.85,19.50,19.50,0.50,7746,436166018
109/03/10,17907792,19.23,19.55,19.21,19.54,0.04,5664,345648211
109/03/11,18650253,19.56,19.56,19.24,19.28,0.26,5481,361128447
109/03/12,25930371,19.12,19.12,18.10,18.32,0.96,8738,478231561
109/03/13,22698336,17.39,17.95,16.81,17.80,0.52,7829,388655814
109/03/16,9016252,17.81,17.82,17.38,17.50,0.30,3773,158003948
109/03/17,9649865,16.50,17.51,16.50,17.40,0.10,2834,166583870
109/03/18,9478779,17.40,17.55,16.98,16.98,0.42,2709,163572705
109/03/19,15832884,16.60,17.30,16.60,16.86,0.12,4429,267354413
109/03/20,14921006,17.00,17.32,17.00,17.17,0.31,4477,255922668
109/03/23,9171244,16.49,16.49,15.90,15.90,1.27,3995,147300912
109/03/24,8684633,16.19,16.64,16.18,16.59,0.69,2526,143139858
109/03/25,8746642,17.15,17.24,16.97,17.01,0.42,3195,149863111
109/03/26,7246500,17.20,17.26,17.02,17.20,0.19,1951,124221846
109/03/27,14779785,18.00,18.20,17.85,17.85,0.65,5026,266047588
109/03/30,6838269,17.32,17.83,17.32,17.83,0.02,2011,119954261
109/03/31,9935598,18.30,18.49,18.28,18.35,0.52,3084,182874305
109/04/01,6914435,18.19,18.19,18.04,18.05,0.30,2770,125195307
109/04/06,6760014,18.29,18.50,18.16,18.41,0.36,1972,123727054
109/04/07,7437643,18.76,18.90,18.71,18.77,0.36,2563,139798384
109/04/08,5756913,18.78,18.94,18.67,18.94,0.17,1947,108315547
109/04/09,10344720,19.15,19.29,19.00,19.02,0.08,2956,197899645
109/04/10,6286850,19.08,19.40,19.06,19.35,0.33,2045,121030226
109/04/13,3333850,19.34,19.34,19.09,19.16,0.19,1507,63922337
109/04/14,5981749,19.16,19.49,19.16,19.47,0.31,1945,116022124
109/04/15,9747253,19.65,19.72,19.63,19.63,0.16,2679,191743849
109/04/16,6731020,19.39,19.44,19.34,19.44,0.19,2520,130444340
109/04/17,22387337,19.89,20.19,19.89,20.05,0.61,6903,449007965
109/04/20,6968310,20.05,20.05,19.92,19.99,0.06,1573,139245871
109/04/21,7335475,19.80,19.85,19.52,19.57,0.42,2586,144369054
109/04/22,15639000,19.29,19.29,19.10,19.20,0.37,3994,299839629
109/04/23,16739263,19.46,19.60,19.43,19.56,0.36,2298,326308378
109/04/24,3680000,19.40,19.43,19.32,19.38,0.18,1211,71328088
109/04/27,6367821,19.58,19.90,19.58,19.88,0.50,1981,125789435
109/04/28,4275850,19.95,19.95,19.74,19.83,0.05,1414,84747289
109/04/29,4246123,19.84,19.94,19.84,19.86,0.03,1373,84399022
109/04/30,8654812,19.99,20.05,19.94,20.00,0.14,2312,173042200
109/05/04,9127131,19.30,19.41,19.28,19.34,0.66,3425,176598469
109/05/05,2637450,19.50,19.52,19.45,19.49,0.15,939,51415765
109/05/06,2839022,19.53,19.63,19.49,19.61,0.12,992,55510542
109/05/07,3443300,19.60,19.70,19.58,19.64,0.03,937,67605011
109/05/08,4990739,19.88,19.89,19.79,19.89,0.25,1402,99031989
109/05/11,6596917,20.05,20.15,20.04,20.04,0.15,1934,132549848
109/05/12,4596276,19.98,20.00,19.90,19.99,0.05,1382,91676458
109/05/13,4046252,19.66,19.80,19.62,19.80,0.19,1516,79731940
109/05/14,4662505,19.60,19.65,19.50,19.53,0.27,1879,91239690
109/05/15,3694074,19.70,19.74,19.61,19.69,0.16,974,72679303
109/05/18,2234700,19.70,19.71,19.63,19.68,0.01,699,43965080
109/05/19,4110012,19.95,19.99,19.84,19.89,0.21,1224,81771656
109/05/20,3062680,19.89,19.93,19.86,19.90,0.01,915,60951881
109/05/21,6365754,20.00,20.06,19.99,20.02,0.12,1781,127451844
109/05/22,3694568,20.00,20.00,19.71,19.71,0.31,1419,73179036
109/05/25,7372623,20.01,20.08,19.91,20.03,0.32,1807,147407650
109/05/26,7660092,20.13,20.18,20.12,20.16,0.13,2197,154385053
109/05/27,6080097,20.19,20.25,20.14,20.15,0.01,1459,122720761
109/05/28,12810282,20.29,20.50,20.29,20.33,0.18,3150,261276740
109/05/29,6766890,20.33,20.49,20.28,20.45,0.12,1714,138260752
109/06/01,8642243,20.55,20.78,20.55,20.74,0.29,2381,179179054
109/06/02,4626310,20.78,20.84,20.74,20.78,0.04,1385,96106343
109/06/03,13573919,21.00,21.04,20.96,20.99,0.21,3298,284968717
109/06/04,14636778,21.23,21.28,21.18,21.19,0.20,3634,310769899
109/06/05,10509799,21.19,21.28,21.19,21.25,0.06,2709,223379690
109/06/08,11721721,21.50,21.58,21.42,21.42,0.17,3012,251991838
109/06/09,7659953,21.51,21.54,21.43,21.46,0.04,2235,164499824
109/06/10,14891305,21.55,21.75,21.55,21.70,0.24,4197,322347859
109/06/11,18068886,21.69,21.84,21.25,21.26,0.44,4094,389506656
109/06/12,11849980,20.69,20.99,20.55,20.89,0.37,3328,246359797
109/06/15,7598526,20.77,20.80,20.58,20.60,0.29,2236,157181947
109/06/16,8829530,20.94,21.25,20.94,21.20,0.60,2562,186628079
109/06/17,6013308,21.34,21.45,21.34,21.42,0.22,1808,128657568
109/06/18,3811850,21.42,21.45,21.27,21.40,0.02,1305,81456518
109/06/19,4485146,21.41,21.46,21.40,21.45,0.05,1374,96170165
109/06/22,7268519,21.38,21.50,21.38,21.46,0.01,1606,155996758
109/06/23,5933786,21.52,21.60,21.31,21.55,0.09,1663,127667546
109/06/24,5521489,21.54,21.65,21.54,21.60,0.05,1565,119304998
109/06/29,5900739,21.29,21.33,21.18,21.22,0.38,1921,125535716
109/06/30,4481022,21.36,21.51,21.36,21.50,0.28,1203,96209496
109/07/01,3897126,21.62,21.66,21.57,21.60,0.10,1249,84313834
109/07/02,3553581,21.64,21.70,21.63,21.65,0.05,1286,77016842
109/07/03,6592674,21.77,21.85,21.77,21.81,0.16,2039,143851607
109/07/06,8851289,21.90,22.10,21.90,22.07,0.26,2776,195113536
109/07/07,7243103,22.37,22.50,22.20,22.23,0.16,2163,161510898
109/07/08,4117335,22.23,22.32,22.20,22.23,,1384,91642999
109/07/09,4760722,22.32,22.44,22.32,22.34,0.11,1386,106497609
109/07/10,7586618,22.36,22.43,22.29,22.30,0.04,1794,169557147
109/07/13,7086286,22.45,22.52,22.45,22.50,0.20,1794,159375836
109/07/14,4353230,22.33,22.33,22.15,22.18,0.32,1512,96700774
109/07/15,9093656,22.50,22.54,22.42,22.45,0.27,1823,204536705
109/07/16,3036166,22.40,22.40,22.18,22.24,0.21,1112,67570609
109/07/17,4853622,22.24,22.32,22.21,22.25,0.01,1004,108063666
109/07/20,4233375,22.35,22.41,22.27,22.39,0.14,1061,94640814
109/07/21,8307032,22.70,22.90,22.70,22.81,0.42,2123,189373770
109/07/22,4099348,22.84,22.85,22.73,22.75,0.06,1053,93470749
109/07/23,2839391,22.72,22.78,22.70,22.74,0.01,706,64581370
109/07/24,5600825,22.65,22.68,22.44,22.47,0.27,1342,126336795
109/07/27,6391669,22.50,22.70,22.50,22.67,0.20,1459,144844562
109/07/28,9517197,22.88,23.25,22.88,22.92,0.25,2358,219703763
109/07/29,2955160,22.92,22.97,22.89,22.91,0.01,825,67777965
109/07/30,4203131,23.09,23.26,23.09,23.13,0.22,1095,97310602
109/07/31,5760256,23.32,23.56,23.31,23.46,0.33,1788,135180897
109/08/03,4448271,23.55,23.70,23.55,23.62,0.16,1196,105191891
109/08/04,3152948,23.76,23.90,23.76,23.90,0.28,1253,75294313
109/08/05,2423667,24.00,24.07,24.00,24.07,0.17,1282,58271628
109/08/06,4816765,24.13,24.15,23.98,24.00,0.07,1731,115828830
109/08/07,2793290,24.10,24.12,23.94,23.96,0.04,968,67133937
109/08/10,2765523,23.96,24.01,23.94,24.00,0.04,868,66304686
109/08/11,2233119,24.00,24.03,23.94,24.02,0.02,751,53583515
109/08/12,3345690,23.81,23.81,23.65,23.66,0.36,1375,79304007
109/08/13,3643371,24.01,24.11,24.01,24.07,0.41,997,87709664
109/08/14,1456311,24.07,24.07,23.97,24.00,0.07,624,34952214
109/08/17,1557767,23.98,24.00,23.94,24.00,,675,37358902
109/08/18,1164619,24.00,24.01,23.95,23.95,0.05,474,27910561
109/08/19,1516009,23.95,23.97,23.92,23.93,0.02,519,36285302
109/08/20,7290063,23.87,23.87,23.36,23.45,0.48,2174,171024107
109/08/21,3271136,23.54,23.75,23.53,23.70,0.25,965,77413843
109/08/24,1606905,23.72,23.84,23.70,23.80,0.10,536,38255580
109/08/25,2409252,23.85,24.00,23.85,23.98,0.18,762,57771810
109/08/26,1355472,23.98,24.00,23.96,23.98,,538,32504325
109/08/27,3125546,24.01,24.09,24.01,24.05,0.07,950,75168652
109/08/28,2233615,24.05,24.08,23.95,24.00,0.05,593,53650678
109/08/31,2192878,24.05,24.07,24.04,24.05,0.05,548,52749276
109/09/01,5113717,23.95,24.07,23.67,24.07,0.02,687,122490286
109/09/02,3529267,24.15,24.36,24.15,24.33,0.26,1069,85784708
109/09/03,3369125,24.55,24.68,24.55,24.61,0.28,1133,82956406
109/09/04,7477954,23.72,23.80,23.59,23.72,0.89,3042,177179459
109/09/07,3483532,23.70,23.70,23.32,23.35,0.37,1731,81593125
109/09/08,2717457,23.50,23.68,23.50,23.60,0.25,557,64204053
109/09/09,2815435,23.27,23.27,23.00,23.18,0.42,1213,65039690
109/09/10,1634500,23.30,23.47,23.30,23.44,0.26,565,38247111
109/09/11,1628118,23.36,23.36,23.22,23.27,0.17,545,37846738
109/09/14,1560166,23.27,23.40,23.27,23.40,0.13,376,36438961
109/09/15,1549416,23.46,23.55,23.42,23.55,0.15,432,36386044
109/09/16,2022851,23.71,23.87,23.71,23.80,0.25,837,48135716
109/09/17,1689100,23.71,23.71,23.34,23.46,0.34,713,39688344
109/09/18,1345790,23.41,23.43,23.35,23.39,0.07,385,31478813
109/09/21,2697146,23.26,23.26,22.95,22.95,0.44,1308,62233084
109/09/22,2464565,22.96,22.96,22.80,22.89,0.06,835,56370495
109/09/23,2468741,23.03,23.10,22.98,23.10,0.21,648,56848684
109/09/24,3407688,22.85,22.85,22.56,22.58,0.52,1149,77136521
109/09/25,3046658,22.85,22.90,22.79,22.82,0.24,765,69579479
109/09/28,1394287,23.00,23.08,23.00,23.08,0.26,554,32129371
109/09/29,2085824,23.29,23.39,23.28,23.33,0.25,607,48659750
109/09/30,1502476,23.33,23.42,23.11,23.16,0.17,423,34978784
109/10/05,1546941,23.05,23.23,23.05,23.19,0.03,355,35862313
109/10/06,1373921,23.33,23.43,23.33,23.37,0.18,559,32143342
109/10/07,1530503,23.31,23.38,23.20,23.32,0.05,260,35653717
109/10/08,1860837,23.50,23.59,23.50,23.56,0.24,658,43832868
109/10/12,5245987,23.85,23.98,23.85,23.94,0.38,1298,125551255
109/10/13,5416644,24.12,24.19,24.08,24.15,0.21,1428,130669241
109/10/14,3248595,24.15,24.22,24.13,24.13,0.02,942,78598607
109/10/15,2720158,24.07,24.07,23.99,24.05,0.08,619,65344845
109/10/16,2222127,24.03,24.13,24.01,24.04,0.01,680,53502488
109/10/19,1849366,24.04,24.10,24.04,24.10,0.06,506,44524901
109/10/20,1259702,23.93,23.94,23.86,23.87,0.23,373,30107367
109/10/21,1085497,23.90,23.99,23.89,23.92,0.05,285,26009338
109/10/22,1235901,23.83,23.83,23.67,23.77,0.15,345,29316453
109/10/23,784928,23.79,23.79,23.69,23.73,0.04,226,18624184
109/10/26,1517618,23.62,23.70,23.61,23.66,0.07,404,35867271
109/10/27,984732,23.50,23.51,23.45,23.47,0.19,405,23114978
109/10/28,1244612,23.36,23.37,23.26,23.29,0.18,560,28992772
109/10/29,1636099,22.99,22.99,22.90,22.98,0.31,691,37546758
109/10/30,1803972,22.90,22.90,22.70,22.71,0.27,986,41141302
109/11/02,1071785,22.71,22.71,22.66,22.71,0.00,435,24314189
109/11/03,1304067,22.80,22.96,22.80,22.91,0.20,457,29866251
109/11/04,3462735,22.98,23.53,22.98,23.34,0.43,807,80401090
109/11/05,4806769,23.48,23.85,23.48,23.84,0.50,1002,113896892
109/11/06,3381686,24.07,24.10,23.92,23.96,0.12,977,81265332
109/11/09,8215025,24.31,24.65,24.31,24.65,0.69,2674,201913090
109/11/10,2175677,24.38,24.38,23.99,24.09,0.56,986,52490998
109/11/11,2152028,24.00,24.05,23.84,24.04,0.05,610,51610048
109/11/12,4035041,24.45,24.52,24.31,24.36,0.32,1721,98570895
109/11/13,4797475,24.43,24.50,24.42,24.46,0.10,792,117386567
109/11/16,7800489,25.00,25.05,24.83,25.05,0.59,2601,194905687
109/11/17,3932242,25.25,25.30,25.08,25.08,0.03,1222,98932353
109/11/18,1424268,25.08,25.15,25.08,25.12,0.04,706,35777927
109/11/19,1617733,25.03,25.06,24.95,24.98,0.14,634,40459265
109/11/20,2482802,24.99,25.08,24.98,25.06,0.08,593,62149721
109/11/23,1760718,25.06,25.18,25.06,25.16,0.10,561,44272461
109/11/24,2024015,25.24,25.30,25.22,25.26,0.10,614,51129176
109/11/25,2015459,25.35,25.45,25.26,25.26,0.00,660,51165075
