元大未來關鍵科技,	00876
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/07/07,106473700,20.60,20.74,20.34,20.46,0.45,23111,2184745918
109/07/08,38497847,20.50,20.68,20.50,20.63,0.17,10096,792473408
109/07/09,35802049,20.70,20.86,20.70,20.83,0.20,8869,743364479
109/07/10,29753840,20.90,20.90,20.63,20.66,0.17,8298,617109091
109/07/13,14814050,20.74,20.80,20.73,20.77,0.11,3200,307573944
109/07/14,15843743,20.77,20.77,20.57,20.59,0.18,4430,327137382
109/07/15,17497000,20.73,20.81,20.58,20.61,0.02,3347,362222789
109/07/16,12224810,20.61,20.62,20.41,20.43,0.18,4567,250520857
109/07/17,15133130,20.41,20.41,20.28,20.30,0.13,5093,307467881
109/07/20,12345920,20.33,20.38,20.22,20.38,0.08,2474,250677571
109/07/21,26963124,20.75,20.80,20.67,20.71,0.33,4486,558812763
109/07/22,25605855,20.73,20.89,20.73,20.85,0.14,4836,533360792
109/07/23,13164200,20.85,20.87,20.77,20.82,0.03,2237,274155116
109/07/24,17472394,20.81,20.89,20.70,20.70,0.12,2687,363779658
109/07/27,11390767,20.70,20.80,20.69,20.76,0.06,2270,236464414
109/07/28,30093922,20.93,21.25,20.83,20.84,0.08,4891,633533412
109/07/29,6589200,20.83,20.92,20.78,20.88,0.04,1454,137425330
109/07/30,11401543,21.02,21.11,21.02,21.08,0.20,2622,240344023
109/07/31,17104930,21.22,21.47,21.22,21.45,0.37,3790,365336258
109/08/03,8831415,21.55,21.59,21.50,21.57,0.12,2506,190400132
109/08/04,8938488,21.61,21.83,21.61,21.83,0.26,2464,194791393
109/08/05,6437450,21.85,21.99,21.85,21.98,0.15,2230,140987420
109/08/06,10252800,22.00,22.10,21.99,22.00,0.02,3001,225887827
109/08/07,8147558,22.08,22.09,21.77,21.79,0.21,3112,178433312
109/08/10,7232438,21.79,21.79,21.65,21.67,0.12,2335,156882536
109/08/11,4306617,21.66,21.66,21.60,21.63,0.04,1478,93111689
109/08/12,7460837,21.59,21.59,21.35,21.37,0.26,2543,159770753
109/08/13,5604500,21.66,21.80,21.66,21.73,0.36,1464,121879844
109/08/14,3047000,21.73,21.78,21.68,21.74,0.01,795,66198625
109/08/17,4183792,21.74,21.84,21.74,21.83,0.09,1157,91211406
109/08/18,3594090,21.85,21.86,21.66,21.69,0.14,1106,78058323
109/08/19,4423925,21.68,21.68,21.51,21.53,0.16,1673,95514288
109/08/20,13161786,21.43,21.43,20.80,20.98,0.55,4456,276770263
109/08/21,3633557,21.02,21.21,21.02,21.15,0.17,1192,76767833
109/08/24,2424426,21.16,21.18,21.10,21.11,0.04,871,51216831
109/08/25,3274501,21.19,21.35,21.19,21.33,0.22,907,69787342
109/08/26,1675956,21.34,21.36,21.21,21.24,0.09,785,35632712
109/08/27,2399730,21.25,21.31,21.19,21.19,0.05,868,50937020
109/08/28,3901267,21.00,21.08,21.00,21.05,0.14,1392,82033740
109/08/31,3637850,21.21,21.28,21.14,21.14,0.09,877,77214859
109/09/01,2269120,21.16,21.19,21.09,21.18,0.04,687,47969275
109/09/02,5640342,21.33,21.45,21.33,21.41,0.23,1216,120735071
109/09/03,10329743,21.64,21.70,21.61,21.65,0.24,1859,223712880
109/09/04,7771729,21.26,21.26,21.05,21.16,0.49,2755,164088571
109/09/07,6711763,21.16,21.16,20.90,20.90,0.26,2603,140727944
109/09/08,2422572,20.92,20.97,20.89,20.93,0.03,805,50685044
109/09/09,6593500,20.80,20.80,20.54,20.63,0.30,2378,135744573
109/09/10,4491500,20.67,20.69,20.60,20.60,0.03,1353,92716690
109/09/11,3222601,20.54,20.55,20.45,20.50,0.10,1321,66036362
109/09/14,3288024,20.57,20.75,20.53,20.73,0.23,742,67980168
109/09/15,2075805,20.76,20.86,20.76,20.85,0.12,683,43253005
109/09/16,4247708,20.94,21.07,20.93,20.97,0.12,1330,89228478
109/09/17,1735356,20.98,20.98,20.70,20.78,0.19,653,36125164
109/09/18,2602938,20.80,20.92,20.80,20.92,0.14,562,54366218
109/09/21,1968495,20.88,20.90,20.70,20.70,0.22,540,40962911
109/09/22,2642250,20.70,20.78,20.60,20.66,0.04,665,54604365
109/09/23,3076025,20.72,20.79,20.71,20.79,0.13,667,63829767
109/09/24,4226450,20.72,20.72,20.48,20.51,0.28,1268,86944320
109/09/25,4623800,20.64,20.74,20.59,20.63,0.12,889,95519300
109/09/28,2419046,20.65,20.79,20.65,20.79,0.16,678,50172444
109/09/29,4409236,20.92,21.00,20.91,20.92,0.13,968,92365037
109/09/30,5004223,20.98,21.04,20.87,20.89,0.03,967,104992143
109/10/05,2868531,20.80,21.00,20.80,20.97,0.08,643,60072054
109/10/06,9000978,21.06,21.19,21.06,21.16,0.19,1659,190191014
109/10/07,6891054,21.12,21.25,21.09,21.24,0.08,1242,146065829
109/10/08,13367620,21.45,21.54,21.45,21.47,0.23,2498,287288458
109/10/12,26739245,21.70,22.02,21.69,22.00,0.53,4517,587580209
109/10/13,24001821,22.06,22.18,22.06,22.16,0.16,4067,530708782
109/10/14,10656132,22.21,22.39,22.21,22.32,0.16,2505,237873385
109/10/15,10757888,22.30,22.32,22.18,22.23,0.09,2149,239396471
109/10/16,6406631,22.22,22.38,22.19,22.22,0.01,1603,142820053
109/10/19,4866583,22.16,22.35,22.16,22.34,0.12,914,108582006
109/10/20,4840129,22.26,22.30,22.19,22.21,0.13,1061,107638856
109/10/21,2540206,22.25,22.30,22.21,22.22,0.01,485,56557766
109/10/22,3087184,22.14,22.16,22.01,22.10,0.12,603,68128155
109/10/23,1907472,22.10,22.15,22.08,22.09,0.01,362,42157778
109/10/26,3908940,22.08,22.08,21.98,22.02,0.07,622,86110791
109/10/27,3120180,21.89,21.89,21.79,21.82,0.20,825,68070297
109/10/28,3196030,21.82,21.82,21.73,21.80,0.02,1107,69590563
109/10/29,3291467,21.59,21.59,21.49,21.56,0.24,953,70860816
109/10/30,2629593,21.58,21.59,21.40,21.40,0.16,949,56540543
109/11/02,2311470,21.35,21.43,21.33,21.39,0.01,607,49409420
109/11/03,1444552,21.45,21.56,21.45,21.54,0.15,460,31100895
109/11/04,8860122,21.60,22.23,21.60,22.08,0.54,1549,195323152
109/11/05,11342313,22.22,22.45,22.22,22.42,0.34,2477,253671585
109/11/06,10900170,22.56,22.87,22.56,22.80,0.38,2319,248637531
109/11/09,14553259,23.20,23.65,23.20,23.64,0.84,3113,341940410
109/11/10,6786993,23.49,23.49,23.08,23.16,0.48,1608,157854366
109/11/11,2420110,23.00,23.09,22.93,23.05,0.11,858,55687905
109/11/12,3899525,23.15,23.40,23.15,23.24,0.19,896,90823819
109/11/13,2182505,23.16,23.23,23.06,23.23,0.01,575,50527738
109/11/16,5752011,23.45,23.70,23.45,23.70,0.47,1533,136062904
109/11/17,3932736,23.90,24.00,23.83,23.83,0.13,974,94123709
109/11/18,3959286,23.86,24.00,23.86,23.97,0.14,1434,94911442
109/11/19,3209375,23.97,23.97,23.83,23.87,0.10,1141,76652665
109/11/20,5304493,23.99,24.08,23.98,24.08,0.21,1424,127419236
109/11/23,3059692,24.10,24.29,24.10,24.26,0.18,1071,74194289
109/11/24,5078246,24.38,24.61,24.36,24.55,0.29,1868,124591942
109/11/25,5438499,24.72,24.86,24.62,24.62,0.07,1789,134719643
109/11/26,2574366,24.64,24.74,24.62,24.73,0.11,1047,63571980
109/11/27,1731698,24.79,24.80,24.67,24.76,0.03,772,42826188
109/11/30,5328726,25.00,25.14,24.99,25.00,0.24,1619,133765049
109/12/01,5388543,25.10,25.40,25.10,25.39,0.39,1514,136267449
109/12/02,5588558,25.51,25.68,25.49,25.68,0.29,1662,142867384
109/12/03,4585972,25.69,25.72,25.50,25.60,0.08,1765,117556998
109/12/04,3638779,25.56,25.56,25.47,25.50,0.10,1786,92787331
109/12/07,3442375,25.72,25.83,25.72,25.79,0.29,1303,88790918
109/12/08,3768808,25.80,26.02,25.80,26.01,0.22,1308,97795120
109/12/09,4134730,26.12,26.25,26.11,26.24,0.23,1437,108299145
109/12/10,9796704,25.96,25.96,25.55,25.57,0.67,3843,251762958
109/12/11,5580444,25.57,25.59,25.29,25.43,0.14,2036,141924458
109/12/14,3625551,25.29,25.39,25.13,25.35,0.08,1077,91672071
109/12/15,2420449,25.35,25.50,25.33,25.38,0.03,868,61438647
109/12/16,1829674,25.50,25.72,25.48,25.70,0.32,893,46984627
109/12/17,1539241,25.73,25.77,25.68,25.71,0.01,508,39565802
109/12/18,1693180,25.71,25.77,25.65,25.65,0.06,577,43573269
109/12/21,1944007,25.65,25.65,25.55,25.63,0.02,689,49749508
109/12/22,2600965,25.60,25.60,25.36,25.36,0.27,1026,66282000
109/12/23,2431090,25.29,25.44,25.26,25.43,0.07,798,61606163
109/12/24,1365415,25.43,25.58,25.43,25.55,0.12,433,34879142
109/12/25,1173523,25.61,25.74,25.61,25.71,0.16,512,30168945
109/12/28,2652136,25.75,25.89,25.71,25.89,0.18,889,68462608
109/12/29,3998653,25.90,26.08,25.90,26.06,0.17,1013,103962762
109/12/30,4489235,26.08,26.09,26.03,26.08,0.02,1668,116997011
109/12/31,3436487,26.15,26.25,26.15,26.22,0.14,1114,90100437
110/01/04,2684632,26.22,26.40,26.22,26.38,0.16,1208,70661132
110/01/05,4947892,26.38,26.44,26.30,26.38,0.00,1478,130437495
110/01/06,8375692,26.59,26.85,26.41,26.57,0.19,1848,222969610
110/01/07,4054482,26.65,26.97,26.64,26.95,0.38,1297,108933079
110/01/08,5975386,27.32,27.65,27.32,27.64,0.69,1840,164562183
110/01/11,6064897,27.88,28.10,27.88,28.10,0.46,1940,169774468
110/01/12,5560664,28.16,28.20,27.90,27.96,0.14,2255,155696339
110/01/13,6591282,28.11,28.60,28.11,28.58,0.62,1803,187484624
110/01/14,5283899,28.67,28.72,28.45,28.51,0.07,1903,151023053
110/01/15,4844148,28.86,28.98,28.50,28.54,0.03,1662,139187718
110/01/18,5132320,28.47,28.51,28.00,28.38,0.16,2070,144852026
