國泰永續高股息,	00878
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/07/20,85251099,15.38,15.43,15.10,15.32,0.43,24861,1305198718
109/07/21,102347500,15.32,16.00,15.12,15.74,0.42,29248,1593006390
109/07/22,94531477,15.30,15.50,15.20,15.31,0.43,28570,1450003158
109/07/23,90737404,15.15,15.17,15.05,15.14,0.17,28070,1371540432
109/07/24,81082771,15.15,15.19,15.01,15.05,0.09,28457,1224336183
109/07/27,63772163,15.14,15.14,14.98,14.98,0.07,24215,958286019
109/07/28,57983907,15.00,15.05,14.85,14.85,0.13,23296,866028341
109/07/29,25375208,14.85,14.96,14.85,14.88,0.03,9239,378112121
109/07/30,20137890,14.96,15.01,14.89,15.00,0.12,6080,301078581
109/07/31,18111199,15.02,15.07,15.01,15.05,0.05,5860,272363233
109/08/03,26620086,15.06,15.08,14.97,14.98,0.07,10003,399621545
109/08/04,31076653,14.99,15.03,14.94,15.02,0.04,6206,465469976
109/08/05,50629553,15.04,15.17,15.04,15.16,0.14,6837,764871600
109/08/06,21943256,15.21,15.26,15.15,15.15,0.01,8075,333430797
109/08/07,14876417,15.16,15.19,15.08,15.10,0.05,5757,224984497
109/08/10,9895318,15.15,15.16,15.11,15.14,0.04,3602,149889596
109/08/11,15819334,15.17,15.17,15.06,15.08,0.06,6136,239072948
109/08/12,21106293,15.08,15.08,14.97,15.01,0.07,7932,316782261
109/08/13,5012029,15.07,15.10,15.05,15.07,0.06,2172,75552129
109/08/14,9453444,15.08,15.15,15.05,15.14,0.07,2907,142904600
109/08/17,20573656,15.19,15.28,15.18,15.27,0.13,6622,313560096
109/08/18,15637697,15.30,15.31,15.20,15.27,,5391,238751867
109/08/19,19879708,15.30,15.34,15.18,15.19,0.08,9461,303238113
109/08/20,128324384,15.17,15.17,14.76,14.87,0.32,46556,1912973585
109/08/21,44156469,14.98,15.00,14.84,14.90,0.03,16475,657957015
109/08/24,13089841,14.93,14.95,14.86,14.94,0.04,4934,195157675
109/08/25,11248996,14.99,15.05,14.96,15.00,0.06,3599,168855582
109/08/26,6069695,15.01,15.03,14.99,15.02,0.02,2854,91109026
109/08/27,12936911,15.06,15.06,14.96,14.99,0.03,5307,193981258
109/08/28,12662546,14.97,15.00,14.93,14.97,0.02,5741,189368423
109/08/31,30305158,15.00,15.02,14.87,14.87,0.10,12670,451736899
109/09/01,26498597,14.88,14.88,14.81,14.85,0.02,10548,393196853
109/09/02,25512542,14.89,14.90,14.79,14.83,0.02,10471,378027112
109/09/03,11238659,14.86,14.97,14.84,14.88,0.05,3306,167486555
109/09/04,41951208,14.80,14.80,14.72,14.77,0.11,16739,619283979
109/09/07,16940526,14.78,14.89,14.77,14.79,0.02,7460,250981426
109/09/08,5888051,14.83,14.85,14.79,14.81,0.02,2478,87209688
109/09/09,36227560,14.75,14.76,14.63,14.75,0.06,14163,531699556
109/09/10,6865973,14.79,14.80,14.76,14.78,0.03,2855,101452105
109/09/11,13246790,14.78,14.80,14.73,14.76,0.02,4905,195409291
109/09/14,7196666,14.79,14.86,14.79,14.86,0.10,2656,106715622
109/09/15,8655190,14.90,14.90,14.86,14.89,0.03,3319,128765756
109/09/16,9496541,14.91,14.92,14.89,14.89,0.00,3848,141519996
109/09/17,17464748,14.89,14.90,14.79,14.79,0.10,5690,258817887
109/09/18,3801124,14.81,14.84,14.79,14.83,0.04,1621,56321291
109/09/21,17884425,14.84,14.85,14.72,14.73,0.10,7630,264001184
109/09/22,24271741,14.72,14.72,14.63,14.65,0.08,10329,355846418
109/09/23,20813889,14.66,14.70,14.60,14.60,0.05,8751,304321468
109/09/24,44948207,14.51,14.53,14.32,14.33,0.27,19522,647208214
109/09/25,23485066,14.34,14.40,14.20,14.24,0.09,11503,335498779
109/09/28,8818715,14.29,14.52,14.29,14.50,0.26,4480,127479868
109/09/29,4905767,14.58,14.60,14.51,14.53,0.03,2169,71369576
109/09/30,5764314,14.53,14.61,14.53,14.58,0.05,2379,84004190
109/10/05,5027516,14.60,14.64,14.52,14.54,0.04,2551,73221217
109/10/06,5321987,14.59,14.62,14.58,14.60,0.06,2551,77705621
109/10/07,4157637,14.61,14.62,14.56,14.60,0.00,1699,60685324
109/10/08,6100201,14.65,14.66,14.59,14.66,0.06,2055,89236167
109/10/12,5911203,14.67,14.70,14.63,14.65,0.01,2658,86662575
109/10/13,3498665,14.65,14.66,14.57,14.62,0.03,1763,51064953
109/10/14,4573800,14.62,14.69,14.62,14.64,0.02,1581,67016598
109/10/15,5061585,14.64,14.65,14.52,14.57,0.07,2666,73738453
109/10/16,5950979,14.57,14.57,14.50,14.50,0.07,3615,86472920
109/10/19,3462199,14.51,14.60,14.51,14.55,0.05,1480,50412864
109/10/20,3458418,14.55,14.55,14.50,14.51,0.04,1809,50197152
109/10/21,6777004,14.53,14.53,14.47,14.50,0.01,3008,98299180
109/10/22,3375634,14.50,14.50,14.46,14.50,0.00,1598,48876028
109/10/23,3291643,14.51,14.54,14.51,14.54,0.04,1170,47810658
109/10/26,3587945,14.58,14.63,14.57,14.60,0.06,1965,52379064
109/10/27,2612896,14.59,14.59,14.54,14.57,0.03,1308,38026832
109/10/28,4724103,14.57,14.61,14.54,14.55,0.02,1762,68810347
109/10/29,10193175,14.48,14.54,14.40,14.49,0.06,4018,147720160
109/10/30,10373113,14.46,14.47,14.40,14.42,0.07,2820,149627957
109/11/02,3270079,14.42,14.45,14.40,14.42,0.00,1680,47136783
109/11/03,6380409,14.43,14.54,14.43,14.51,0.09,2014,92506987
109/11/04,6396281,14.52,14.58,14.49,14.58,0.07,2133,92956179
109/11/05,5996652,14.59,14.64,14.59,14.61,0.03,1809,87649249
109/11/06,9880762,14.63,14.66,14.62,14.65,0.04,2805,144677022
109/11/09,20073590,14.73,14.80,14.72,14.76,0.11,3738,296429508
109/11/10,13110470,14.79,14.81,14.75,14.79,0.03,3599,193817871
109/11/11,32287373,14.81,14.99,14.80,14.99,0.20,8051,481745918
109/11/12,12366876,14.99,15.00,14.89,14.94,0.05,3233,184783508
109/11/13,11871146,14.92,14.97,14.89,14.97,0.03,2980,177353965
109/11/16,57053989,15.01,15.11,15.01,15.10,0.13,13459,860715396
109/11/17,35754935,15.13,15.16,15.09,15.13,0.00,8990,540503256
109/11/18,30773558,15.12,15.22,15.10,15.22,0.09,8307,467197559
109/11/19,18481488,15.20,15.23,15.16,15.21,0.01,5986,280926211
109/11/20,17255023,15.19,15.23,15.16,15.23,0.02,4716,262312858
109/11/23,28504113,15.30,15.44,15.30,15.40,0.17,7614,438653638
109/11/24,15810839,15.44,15.45,15.35,15.36,0.04,4776,243422902
109/11/25,12737401,15.40,15.42,15.31,15.34,0.02,3081,195739553
109/11/26,11855944,15.37,15.41,15.32,15.41,0.07,3614,182291910
109/11/27,14106194,15.40,15.43,15.38,15.43,0.02,3785,217439528
109/11/30,14305407,15.48,15.55,15.35,15.35,0.08,4119,221567265
109/12/01,11801293,15.35,15.47,15.34,15.47,0.12,2985,181904230
109/12/02,17380263,15.50,15.56,15.47,15.54,0.07,4728,269729260
109/12/03,14003550,15.55,15.68,15.54,15.60,0.06,4401,218652793
109/12/04,13857155,15.66,15.76,15.64,15.76,0.16,4274,217739905
109/12/07,18098321,15.83,15.91,15.80,15.91,0.15,5220,287247541
109/12/08,18353490,15.91,16.00,15.86,16.00,0.09,5164,292643539
109/12/09,13354017,16.00,16.15,16.00,16.14,0.14,4647,214416571
109/12/10,16036870,16.13,16.13,15.94,15.98,0.16,6047,256712982
109/12/11,13114762,15.98,16.07,15.82,15.98,0.00,4168,208976179
109/12/14,9354862,15.98,16.00,15.92,15.95,0.03,2916,149472448
109/12/15,11195883,15.95,15.95,15.67,15.69,0.26,4788,176689601
109/12/16,9503611,15.77,15.92,15.77,15.92,0.23,2982,150809620
109/12/17,7135652,15.93,15.93,15.85,15.91,0.01,2134,113431966
109/12/18,5689817,15.91,15.93,15.86,15.86,0.05,1691,90460666
109/12/21,5284940,15.86,15.86,15.69,15.84,0.02,2235,83474097
109/12/22,7076720,15.82,15.88,15.69,15.70,0.14,2500,111924329
109/12/23,6361837,15.68,15.79,15.65,15.74,0.04,2135,99971072
109/12/24,6769820,15.77,15.86,15.77,15.83,0.09,1591,107244831
109/12/25,6107167,15.88,15.95,15.88,15.89,0.06,1964,97191972
109/12/28,18003575,15.92,16.03,15.92,16.03,0.14,4681,287915290
109/12/29,6566917,16.06,16.09,15.99,16.02,0.01,2146,105204528
109/12/30,12749339,16.02,16.17,16.00,16.16,0.14,3665,205123473
109/12/31,6492111,16.19,16.20,16.11,16.14,0.02,2299,104094583
110/01/04,11126390,16.10,16.23,16.10,16.20,0.06,3335,179926060
110/01/05,14425860,16.20,16.22,16.11,16.21,0.01,3543,233368627
110/01/06,14275667,16.24,16.31,16.02,16.10,0.11,4763,231253968
110/01/07,11841085,16.18,16.26,16.17,16.24,0.14,2954,192138088
110/01/08,15364332,16.32,16.50,16.30,16.50,0.26,4674,251962168
110/01/11,9055391,16.57,16.68,16.57,16.67,0.17,3472,150511058
110/01/12,8824506,16.69,16.73,16.51,16.56,0.11,3583,146538812
110/01/13,11392667,16.59,16.89,16.59,16.87,0.31,3646,191179889
110/01/14,8253242,16.87,17.03,16.84,17.00,0.13,3226,140009598
110/01/15,10187961,17.07,17.15,16.84,16.87,0.13,4871,172877468
110/01/18,10862090,16.86,16.86,16.43,16.70,0.17,4918,180601782
110/01/19,5758154,16.72,16.80,16.72,16.76,0.06,2484,96569507
110/01/20,12923709,16.76,16.78,16.35,16.40,0.36,6534,213565080
110/01/21,9132694,16.44,16.60,16.44,16.50,0.10,3254,150883477
110/01/22,7729084,16.50,16.69,16.48,16.65,0.15,2975,128163475
110/01/25,10284111,16.66,16.86,16.63,16.84,0.19,3314,172216092
110/01/26,6867553,16.86,16.91,16.63,16.68,0.16,3779,115198680
110/01/27,12612291,16.70,16.88,16.70,16.81,0.13,3389,211915319
110/01/28,7877486,16.63,16.76,16.55,16.62,0.19,3377,131015648
110/01/29,7095032,16.67,16.71,16.36,16.36,0.26,3519,117194409
110/02/01,7702951,16.30,16.45,16.25,16.45,0.09,2730,126014614
110/02/02,5123577,16.51,16.68,16.50,16.61,0.16,2126,85208644
110/02/03,4062340,16.68,16.70,16.61,16.67,0.06,1816,67703158
110/02/04,3100784,16.67,16.68,16.57,16.62,0.05,1758,51566774
110/02/05,11321405,16.70,16.78,16.68,16.74,0.12,4186,189232427
110/02/17,9017762,16.89,17.00,16.80,16.93,0.19,4481,152551705
110/02/18,7525056,16.95,17.05,16.93,16.99,0.06,2933,127853894
110/02/19,10205723,17.00,17.06,16.93,17.05,0.06,4109,173354862
110/02/22,8812386,17.08,17.29,17.08,17.25,0.20,3226,151794807
110/02/23,9962652,17.25,17.45,17.19,17.43,0.18,4469,172794688
110/02/24,15750157,17.48,17.55,17.34,17.37,0.06,8062,274839370
110/02/25,7710943,17.38,17.48,17.36,17.43,0.00,4451,134130689
110/02/26,15199797,17.35,17.35,17.09,17.14,0.29,7627,261042915
110/03/02,6006934,17.24,17.29,17.08,17.08,0.06,3175,103343656
110/03/03,4607873,17.10,17.24,17.05,17.24,0.16,2207,78955565
110/03/04,9668427,17.23,17.23,16.98,17.10,0.14,5082,164923931
