中信中國高股息,	00882
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
110/02/04,72868964,15.31,15.58,15.14,15.26,0.19,25767,1117980045
110/02/05,72782268,15.20,15.22,15.09,15.11,0.15,26132,1101787780
110/02/17,37704290,15.50,16.03,15.40,15.94,0.83,11580,591953630
110/02/18,40110136,15.99,16.29,15.80,15.89,0.05,14909,640698533
110/02/19,27567889,15.84,15.85,15.61,15.73,0.16,11846,433155449
110/02/22,20856192,15.95,16.03,15.88,15.98,0.25,7889,332798867
110/02/23,17153148,15.98,15.98,15.87,15.95,0.03,7507,273300591
110/02/24,29647132,15.99,16.00,15.77,15.81,0.14,14658,470332514
110/02/25,19040304,15.80,15.94,15.72,15.90,0.09,8946,300850243
110/02/26,29971878,15.80,15.82,15.63,15.72,0.18,14471,471397343
110/03/02,16304266,15.88,15.90,15.68,15.68,0.04,7879,256842688
110/03/03,7470702,15.70,15.87,15.68,15.87,0.19,2893,117898535
110/03/04,15440420,15.89,15.89,15.69,15.71,0.16,7532,243283959
110/03/05,19804224,15.68,15.78,15.52,15.72,0.01,9949,309268479
110/03/08,10968804,15.88,15.94,15.71,15.74,0.02,4400,173519424
110/03/09,10029188,15.74,15.80,15.62,15.78,0.04,4700,157531527
110/03/10,5253744,15.81,15.85,15.78,15.80,0.02,2148,83090354
110/03/11,13467128,15.84,16.06,15.83,16.02,0.22,3938,215178969
110/03/12,12901339,16.09,16.11,16.00,16.09,0.07,3713,207097799
110/03/15,10292476,16.06,16.14,15.96,16.11,0.02,3290,165425284
110/03/16,6649933,16.11,16.17,16.09,16.14,0.03,2860,107249880
110/03/17,9096236,16.15,16.20,16.10,16.13,0.01,3492,146937935
110/03/18,8707350,16.17,16.27,16.15,16.25,0.12,3259,141220303
110/03/19,14787769,16.22,16.22,16.10,16.11,0.14,7059,238760535
110/03/22,7010518,16.11,16.27,16.11,16.24,0.13,2139,113676144
110/03/23,17646500,16.30,16.34,16.07,16.12,0.12,7360,284975853
110/03/24,27587752,16.12,16.15,15.90,15.90,0.22,14343,440615144
110/03/25,18963564,15.90,15.90,15.71,15.81,0.09,10016,299758968
110/03/26,6101808,15.85,16.03,15.85,16.03,0.22,2822,97407309
110/03/29,12971403,16.07,16.30,16.02,16.18,0.15,4584,209991821
110/03/30,16596067,16.20,16.40,16.18,16.40,0.22,4408,271006936
110/03/31,8543598,16.41,16.45,16.24,16.28,0.12,4461,139459604
110/04/01,5801125,16.28,16.40,16.28,16.32,0.04,2304,94768290
110/04/06,6417904,16.45,16.49,16.44,16.47,0.15,3022,105687168
110/04/07,9101870,16.47,16.50,16.38,16.41,0.06,4528,149527320
110/04/08,5926641,16.40,16.44,16.37,16.41,0.00,2751,97225769
110/04/09,8145290,16.41,16.41,16.33,16.35,0.06,4496,133245764
110/04/12,8938802,16.35,16.39,16.25,16.27,0.08,5078,145665228
110/04/13,6710996,16.26,16.30,16.25,16.25,0.02,3425,109220093
110/04/14,8637631,16.25,16.31,16.24,16.31,0.06,3057,140527898
110/04/15,7349636,16.31,16.32,16.24,16.28,0.03,3562,119581101
110/04/16,5916999,16.28,16.34,16.28,16.34,0.06,2599,96497474
110/04/19,5847399,16.36,16.43,16.34,16.40,0.06,2681,95886145
110/04/20,6276582,16.40,16.42,16.38,16.41,0.01,2620,102922859
