信大            ,	1109
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,161000,13.35,13.50,13.30,13.50,0.15,59,2166550
104/01/06,262000,13.50,13.50,13.35,13.40,-0.10,38,3514550
104/01/07,240723,13.40,13.50,13.40,13.40,,55,3245652
104/01/08,37000,13.40,13.50,13.40,13.40,,21,497050
104/01/09,130010,13.50,13.65,13.45,13.60,0.20,50,1763385
104/01/12,45449,13.60,13.60,13.40,13.45,-0.15,23,612691
104/01/13,235888,13.45,13.60,13.45,13.50,0.05,59,3204342
104/01/14,262950,13.55,13.80,13.50,13.70,0.20,93,3603864
104/01/15,67000,13.80,13.85,13.55,13.55,-0.15,45,918300
104/01/16,132125,13.55,13.60,13.45,13.55,,59,1781600
104/01/19,21110,13.50,13.50,13.45,13.50,-0.05,17,284623
104/01/20,336200,13.50,13.65,13.50,13.60,0.10,64,4572270
104/01/21,99003,13.60,13.75,13.60,13.75,0.15,47,1353141
104/01/22,63000,13.70,13.75,13.65,13.65,-0.10,28,863400
104/01/23,34121,13.65,13.70,13.65,13.70,0.05,16,466895
104/01/26,60001,13.75,13.80,13.55,13.55,-0.15,20,815013
104/01/27,118060,13.65,13.70,13.65,13.65,0.10,22,1614066
104/01/28,19000,13.65,13.70,13.65,13.65,,10,259900
104/01/29,134000,13.65,13.80,13.65,13.75,0.10,39,1846650
104/01/30,36191,13.75,13.75,13.65,13.65,-0.10,18,496997
104/02/02,82000,13.85,14.25,13.65,13.65,,40,1142300
104/02/03,57385,13.70,13.85,13.70,13.80,0.15,19,791743
104/02/04,31000,13.85,13.85,13.80,13.80,,18,428750
104/02/05,60001,13.80,13.85,13.80,13.85,0.05,8,830363
104/02/06,11535,13.85,13.85,13.85,13.85,,5,159733
104/02/09,33572,13.85,13.85,13.80,13.80,-0.05,13,464585
104/02/10,73000,14.00,14.00,13.85,13.90,0.10,55,1017200
104/02/11,76000,14.00,14.00,13.85,13.85,-0.05,25,1058450
104/02/12,21300,13.90,13.90,13.85,13.85,,6,295240
104/02/13,22050,13.90,13.90,13.70,13.80,-0.05,14,303333
104/02/24,120000,13.70,13.80,13.65,13.80,,32,1645350
104/02/25,86001,13.75,13.80,13.65,13.75,-0.05,28,1182863
104/02/26,109000,13.75,13.75,13.65,13.75,,22,1490800
