宏遠            ,	1460
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1560100,15.80,15.80,15.50,15.70,-0.10,561,24360780
104/01/06,4365053,15.50,15.60,14.85,15.10,-0.60,1302,66042244
104/01/07,2660409,15.00,15.20,14.85,15.00,-0.10,718,40007561
104/01/08,3110724,15.10,15.65,15.10,15.25,0.25,1105,47913124
104/01/09,2241829,15.45,15.60,15.35,15.35,0.10,859,34700882
104/01/12,2391368,15.00,15.30,14.90,15.05,-0.30,788,36025498
104/01/13,1189129,15.25,15.30,15.10,15.30,0.25,459,18107072
104/01/14,1150427,15.30,15.30,15.10,15.10,-0.20,393,17455716
104/01/15,938285,15.10,15.20,15.00,15.10,,356,14140031
104/01/16,1223270,15.10,15.10,14.80,14.85,-0.25,434,18271072
104/01/19,1500156,14.90,15.00,14.60,14.70,-0.15,481,22140123
104/01/20,789398,14.70,14.95,14.70,14.90,0.20,379,11748978
104/01/21,1891740,15.00,15.25,14.80,15.20,0.30,698,28628895
104/01/22,1427052,15.15,15.25,15.05,15.10,-0.10,517,21659081
104/01/23,1521376,15.10,15.25,15.00,15.05,-0.05,666,23040240
104/01/26,1924283,15.10,15.45,15.10,15.20,0.15,568,29423497
104/01/27,1607388,15.25,15.35,15.15,15.35,0.15,510,24527415
104/01/28,1403708,15.15,15.45,15.15,15.20,-0.15,420,21514324
104/01/29,1946102,15.20,15.50,15.10,15.40,0.20,557,29887413
104/01/30,921504,15.35,15.45,15.20,15.20,-0.20,491,14155235
104/02/02,1318013,15.20,15.20,14.95,15.00,-0.20,380,19810395
104/02/03,822716,15.00,15.10,15.00,15.00,,243,12370867
104/02/04,822698,15.05,15.25,15.05,15.15,0.15,300,12446038
104/02/05,7354156,15.25,15.95,15.25,15.70,0.55,2274,115505161
104/02/06,2241080,15.90,15.90,15.40,15.40,-0.30,927,34994022
104/02/09,920242,15.50,15.65,15.30,15.30,-0.10,422,14255027
104/02/10,890000,15.45,15.45,15.15,15.20,-0.10,459,13587290
104/02/11,1287800,15.20,15.50,15.20,15.30,0.10,395,19840627
104/02/12,721456,15.30,15.45,15.20,15.25,-0.05,310,11055081
104/02/13,1217001,15.40,15.50,15.30,15.30,0.05,440,18711765
104/02/24,1779669,15.50,15.70,15.45,15.55,0.25,618,27718767
104/02/25,6627056,15.70,16.30,15.65,16.05,0.50,1867,105871686
104/02/26,11021516,16.30,16.60,16.20,16.25,0.20,3190,181096527
104/03/02,3970423,16.50,16.50,16.00,16.00,-0.25,1237,64668637
104/03/03,3123455,16.05,16.50,16.05,16.20,0.20,951,50782274
104/03/04,6165035,16.40,16.50,16.05,16.50,0.30,1648,100642870
104/03/05,16384848,16.50,17.65,16.40,17.35,0.85,4402,282999174
104/03/06,6074581,17.30,17.60,17.00,17.10,-0.25,1747,104715730
104/03/09,3896256,17.00,17.20,16.75,17.20,0.10,1214,66043352
104/03/10,3405067,17.20,17.50,16.85,16.90,-0.30,1160,58319824
104/03/11,3823807,16.80,16.95,16.65,16.75,-0.15,1028,64135326
104/03/12,4113756,16.70,17.10,16.60,16.70,-0.05,1096,69313896
104/03/13,2570189,16.75,16.90,16.65,16.80,0.10,666,43142605
104/03/16,6369981,17.30,17.45,16.85,16.85,0.05,1702,109497376
104/03/17,3513634,16.90,17.00,16.55,16.60,-0.25,968,58644010
104/03/18,2715371,16.60,16.70,16.40,16.65,0.05,735,45056736
104/03/19,3061102,16.80,17.10,16.65,16.90,0.25,964,51563810
104/03/20,2766219,16.90,16.90,16.50,16.75,-0.15,1026,46008032
104/03/23,3141197,17.30,17.30,16.80,16.90,0.15,986,53475775
104/03/24,2740281,16.90,16.95,16.60,16.65,-0.25,638,45838091
104/03/25,1838501,16.70,16.80,16.45,16.50,-0.15,552,30437110
104/03/26,4029485,16.35,16.45,16.10,16.45,-0.05,892,65445099
104/03/27,1690203,16.75,16.75,16.35,16.45,,434,27894598
104/03/30,4820800,16.50,17.20,16.50,16.85,0.40,1726,81485429
104/03/31,3796166,17.00,17.15,16.90,16.95,0.10,1153,64611301
104/04/01,4344581,16.90,17.30,16.80,17.05,0.10,1555,74424204
104/04/02,3333090,17.10,17.20,16.85,16.95,-0.10,801,56723663
104/04/07,12054184,17.10,18.10,17.10,18.10,1.15,3117,215402569
104/04/08,10046282,18.35,18.65,17.80,18.30,0.20,3110,183916127
104/04/09,6296221,18.30,18.80,17.70,17.95,-0.35,2196,114926712
104/04/10,3703867,18.00,18.10,17.60,17.90,-0.05,1068,65957668
104/04/13,3042202,17.90,18.35,17.85,18.15,0.25,1015,55092393
104/04/14,2931182,18.15,18.35,17.90,17.95,-0.20,776,52988545
104/04/15,2673003,17.90,17.90,17.65,17.70,-0.25,867,47485545
104/04/16,3579711,17.70,18.25,17.70,17.80,0.10,1058,64471966
104/04/17,2440718,17.80,18.10,17.70,17.85,0.05,808,43667027
104/04/20,4091180,17.70,17.95,17.00,17.05,-0.80,1269,71142093
104/04/21,6418694,17.25,17.30,16.05,16.40,-0.65,1637,106404401
104/04/22,2455634,16.45,16.95,16.40,16.95,0.55,890,41203978
104/04/23,2356890,16.95,17.15,16.75,16.80,-0.15,861,39817166
104/04/24,1653760,16.80,17.00,16.70,16.95,0.15,742,27875000
104/04/27,2021605,17.00,17.30,16.95,17.20,0.25,783,34647090
104/04/28,1502692,17.20,17.25,17.05,17.10,-0.10,595,25796214
104/04/29,6790669,17.20,18.10,17.15,17.60,0.50,2328,120061869
104/04/30,4981733,17.65,18.10,17.55,17.95,0.35,1887,88977366
