利奇            ,	1517
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,702200,14.35,14.70,14.30,14.65,0.30,242,10223668
104/01/06,240692,14.50,14.55,14.40,14.55,-0.10,135,3487931
104/01/07,343754,14.50,14.85,14.45,14.60,0.05,150,5046054
104/01/08,434611,14.70,14.80,14.45,14.45,-0.15,177,6342776
104/01/09,167637,14.65,14.65,14.40,14.40,-0.05,109,2421469
104/01/12,265100,14.40,14.50,14.40,14.45,0.05,104,3834489
104/01/13,6533478,14.60,15.45,14.55,15.45,1.00,1898,99614953
104/01/14,1954211,15.50,15.50,15.15,15.25,-0.20,814,29982114
104/01/15,988221,15.15,15.20,14.95,15.05,-0.20,408,14877173
104/01/16,611001,15.10,15.25,15.00,15.00,-0.05,277,9207365
104/01/19,972654,15.20,15.20,14.85,14.90,-0.10,343,14594887
104/01/20,767050,14.90,15.15,14.80,14.95,0.05,242,11505490
104/01/21,435121,14.95,15.05,14.90,14.90,-0.05,158,6509049
104/01/22,272175,14.90,15.10,14.90,15.00,0.10,106,4082425
104/01/23,416815,15.10,15.15,15.05,15.10,0.10,157,6292575
104/01/26,818905,15.10,15.30,15.00,15.10,,226,12399113
104/01/27,349100,15.15,15.15,14.95,15.00,-0.10,120,5242740
104/01/28,718001,15.00,15.20,15.00,15.10,0.10,215,10864815
104/01/29,238127,15.15,15.20,15.00,15.10,,90,3590411
104/01/30,371637,15.10,15.10,15.00,15.05,-0.05,101,5592705
104/02/02,647250,15.05,15.15,14.90,14.95,-0.10,252,9744724
104/02/03,338421,15.00,15.10,14.90,15.00,0.05,164,5071469
104/02/04,363420,15.15,15.15,14.95,14.95,-0.05,110,5465706
104/02/05,286735,15.05,15.10,15.00,15.10,0.15,94,4319775
104/02/06,379340,15.15,15.15,15.00,15.10,,113,5720515
104/02/09,285003,15.05,15.10,15.00,15.05,-0.05,90,4284745
104/02/10,215379,15.05,15.10,15.00,15.10,0.05,112,3238885
104/02/11,341694,15.10,15.10,15.00,15.05,-0.05,131,5145968
