生達            ,	1720
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,286300,37.50,37.70,37.40,37.70,0.10,235,10739393
104/01/06,274471,37.50,37.60,37.20,37.20,-0.50,209,10257115
104/01/07,248642,37.50,37.60,37.10,37.20,,191,9270354
104/01/08,310150,37.30,37.40,37.10,37.15,-0.05,218,11528994
104/01/09,117250,37.40,37.45,37.10,37.15,,91,4369725
104/01/12,975644,37.80,37.95,37.55,37.80,0.65,517,36859342
104/01/13,411150,38.00,38.20,37.65,37.65,-0.15,265,15577355
104/01/14,432121,37.95,37.95,37.50,37.85,0.20,307,16266198
104/01/15,261245,37.85,37.85,37.50,37.60,-0.25,195,9841212
104/01/16,275092,37.60,37.80,37.10,37.30,-0.30,226,10278311
104/01/19,326201,37.30,37.70,37.15,37.15,-0.15,222,12186947
104/01/20,224000,37.15,37.40,37.10,37.15,,168,8329150
104/01/21,447215,37.15,37.30,36.80,37.10,-0.05,250,16538648
104/01/22,307722,37.30,37.30,37.00,37.10,,224,11419469
104/01/23,484704,37.65,37.80,37.40,37.40,0.30,261,18181664
104/01/26,292018,37.80,37.80,37.15,37.15,-0.25,188,10925665
104/01/27,318209,37.30,37.60,37.20,37.50,0.35,221,11904253
104/01/28,272488,37.50,37.50,37.25,37.25,-0.25,189,10179974
104/01/29,169308,37.25,37.55,37.15,37.30,0.05,123,6330237
104/01/30,131344,37.55,37.55,37.25,37.25,-0.05,105,4906850
104/02/02,200058,37.25,37.60,37.25,37.50,0.25,125,7494216
104/02/03,175300,37.50,37.50,37.15,37.40,-0.10,105,6542550
104/02/04,247408,37.40,37.60,37.30,37.30,-0.10,131,9261367
104/02/05,155156,37.30,37.40,37.15,37.20,-0.10,104,5776468
104/02/06,180485,37.20,37.35,37.20,37.25,0.05,101,6728939
104/02/09,158172,37.25,37.45,37.25,37.30,0.05,100,5902174
104/02/10,164120,37.30,37.35,37.05,37.20,-0.10,97,6104890
104/02/11,186210,37.15,37.40,37.05,37.20,,94,6919670
104/02/12,182373,37.10,37.30,37.00,37.05,-0.15,111,6764675
104/02/13,362666,37.10,37.50,37.10,37.50,0.45,200,13555124
104/02/24,680838,37.60,38.15,37.55,38.10,0.60,404,25769994
104/02/25,525615,38.10,38.40,37.90,38.20,0.10,303,20025680
104/02/26,1447908,38.40,39.90,38.30,39.15,0.95,837,56666291
104/03/02,526454,39.40,39.45,38.75,38.75,-0.40,344,20487623
104/03/03,317745,38.75,39.15,38.55,38.90,0.15,198,12304780
104/03/04,361500,38.90,39.05,38.55,38.80,-0.10,215,14027300
104/03/05,228666,38.80,38.90,38.60,38.80,,150,8863805
104/03/06,340680,38.80,39.20,38.80,39.00,0.20,228,13273666
104/03/09,526955,39.40,39.40,38.95,39.30,0.30,323,20654975
104/03/10,372014,39.40,39.40,38.75,39.00,-0.30,229,14517044
104/03/11,365335,38.80,38.85,38.40,38.70,-0.30,204,14126779
104/03/12,509786,38.70,38.90,38.25,38.70,,265,19659959
104/03/13,475750,38.90,39.35,38.70,39.15,0.45,315,18616400
