展宇            ,	1776
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
105/05/09,3708183,23.10,24.80,22.85,23.60,X,2551,88116092
105/05/10,2260200,24.00,26.80,23.95,26.50,2.90,1487,55908100
105/05/11,1428000,26.00,26.20,25.00,25.30,-1.20,873,36459150
105/05/12,877200,25.30,25.40,23.80,24.50,-0.80,490,21413260
105/05/13,478068,24.45,24.80,23.80,24.50,,289,11578102
105/05/16,324167,24.05,24.30,23.80,24.20,-0.30,216,7776808
105/05/17,348000,24.15,24.30,23.90,24.05,-0.15,172,8373450
105/05/18,353000,24.00,24.35,23.80,23.90,-0.15,148,8474800
105/05/19,319000,23.95,24.00,23.55,23.90,,154,7602050
105/05/20,115000,23.85,24.00,23.60,24.00,0.10,64,2738450
105/05/23,224301,24.20,24.40,23.80,24.15,0.15,148,5416178
105/05/24,657082,24.30,25.40,24.30,24.80,0.65,359,16235066
105/05/25,368000,24.50,24.75,24.20,24.60,-0.20,200,9009300
105/05/26,388400,24.70,25.75,24.35,25.05,0.45,250,9710150
105/05/27,168110,24.80,25.30,24.70,25.00,-0.05,118,4196350
105/05/30,212000,24.90,25.20,24.55,24.60,-0.40,130,5255600
105/05/31,139153,24.60,24.90,24.40,24.70,0.10,88,3417627
105/06/01,477107,24.70,25.45,24.60,24.90,0.20,212,11890513
105/06/02,182000,24.90,24.90,24.45,24.60,-0.30,106,4481500
105/06/03,121000,24.60,24.75,24.50,24.75,0.15,73,2980450
105/06/04,48000,24.60,24.70,24.55,24.60,-0.15,32,1182100
105/06/06,240000,24.60,25.05,24.50,24.85,0.25,130,5952100
105/06/07,1497909,24.95,27.30,24.95,27.30,2.45,772,40077764
105/06/08,2294064,28.00,29.80,27.70,28.70,1.40,1215,65340306
105/06/13,1100465,27.30,27.50,25.85,27.00,-1.70,618,29219047
105/06/14,438010,26.10,26.60,26.10,26.40,-0.60,291,11571161
105/06/15,243500,25.00,25.70,24.65,25.20,X,201,6140723
105/06/16,369150,25.20,25.20,24.40,24.55,-0.65,194,9130805
105/06/17,210247,24.85,25.00,24.05,24.15,-0.40,135,5091452
105/06/20,311000,24.20,24.50,23.60,23.90,-0.25,140,7456350
105/06/21,206010,24.30,24.30,24.00,24.00,0.10,102,4972690
105/06/22,133687,24.00,24.00,23.70,23.75,-0.25,84,3185181
105/06/23,58000,23.80,24.00,23.75,23.80,0.05,41,1383450
105/06/24,324790,23.90,23.90,22.80,23.30,-0.50,144,7584897
105/06/27,80000,22.85,23.50,22.85,23.10,-0.20,45,1848300
105/06/28,113030,23.00,23.20,22.90,23.10,,66,2599749
105/06/29,95000,23.10,23.40,23.10,23.40,0.30,43,2197750
105/06/30,82200,23.40,23.90,23.40,23.60,0.20,46,1943470
105/07/01,48000,23.65,23.65,23.45,23.60,,37,1129100
105/07/04,51000,23.65,23.65,23.50,23.50,-0.10,28,1202000
105/07/05,60000,23.40,23.40,23.00,23.15,-0.35,37,1389250
105/07/06,73000,23.10,23.30,23.05,23.20,0.05,39,1689350
105/07/07,36000,23.20,23.20,23.10,23.10,-0.10,22,833700
105/07/11,50204,23.10,23.30,23.10,23.10,,39,1164952
105/07/12,64020,23.20,23.30,23.10,23.20,0.10,33,1485218
105/07/13,26000,23.30,23.30,23.10,23.20,,12,603850
105/07/14,29000,23.30,23.30,23.20,23.30,0.10,22,674250
105/07/15,42000,23.30,23.35,23.20,23.25,-0.05,24,978050
105/07/18,55000,23.30,23.55,23.10,23.10,-0.15,40,1277800
105/07/19,60000,23.00,23.20,23.00,23.10,,33,1382200
105/07/20,48150,23.15,23.45,23.10,23.25,0.15,42,1121180
105/07/21,20002,23.35,23.35,23.10,23.10,-0.15,19,464146
105/07/22,24021,23.15,23.20,23.10,23.20,0.10,23,556135
105/07/25,37693,23.20,23.20,23.00,23.05,-0.15,27,869400
105/07/26,111542,23.15,23.15,22.95,22.95,-0.10,48,2565651
105/07/27,64500,22.90,22.95,22.80,22.80,-0.15,46,1473300
105/07/28,29100,23.20,23.20,22.85,22.90,0.10,18,668910
105/07/29,54006,23.05,23.05,23.00,23.00,0.10,28,1243188
105/08/01,17105,23.00,23.00,22.90,23.00,,18,392515
105/08/02,21153,23.15,23.15,22.90,22.95,-0.05,20,485691
105/08/03,21000,23.00,23.00,22.75,22.85,-0.10,18,480150
