士紙            ,	1903
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,93603,38.55,38.80,38.20,38.20,-0.35,53,3588203
104/01/06,90007,38.05,38.10,37.50,37.70,-0.50,65,3398012
104/01/07,64006,37.80,37.90,37.50,37.60,-0.10,31,2413372
104/01/08,48002,38.00,38.00,37.70,37.75,0.15,28,1815874
104/01/09,47267,37.80,38.00,37.75,37.95,0.20,27,1790026
104/01/12,40004,38.30,38.30,37.55,37.90,-0.05,27,1519152
104/01/13,53012,37.80,38.35,37.80,38.20,0.30,47,2026306
104/01/14,60020,38.05,38.20,37.80,37.85,-0.35,35,2278550
104/01/15,110005,37.80,38.15,37.75,37.80,-0.05,38,4173140
104/01/16,141009,37.65,37.65,37.00,37.10,-0.70,77,5250233
104/01/19,54222,37.15,37.50,36.65,36.70,-0.40,43,2005293
104/01/20,28012,36.75,37.20,36.75,37.10,0.40,24,1038194
104/01/21,40832,37.10,37.30,37.00,37.25,0.15,45,1517791
104/01/22,132554,37.25,37.70,37.20,37.60,0.35,73,4957285
104/01/23,40207,37.60,37.60,37.30,37.60,,32,1507499
104/01/26,99900,37.20,37.45,37.10,37.20,-0.40,59,3716900
104/01/27,38005,37.30,37.60,37.15,37.55,0.35,27,1418035
104/01/28,74160,37.55,37.60,37.10,37.40,-0.15,52,2763770
104/01/29,47007,37.00,37.45,37.00,37.25,-0.15,32,1744109
104/01/30,44059,37.60,37.60,37.00,37.15,-0.10,25,1634196
104/02/02,26073,36.95,37.30,36.85,36.85,-0.30,22,963689
104/02/03,93002,37.30,37.30,36.80,37.25,0.40,51,3439074
104/02/04,24187,37.25,37.50,37.00,37.10,-0.15,14,899486
104/02/05,26002,37.10,37.35,37.00,37.35,0.25,15,966424
104/02/06,61135,37.45,37.45,37.05,37.10,-0.25,34,2272021
104/02/09,32003,37.00,37.30,37.00,37.00,-0.10,21,1187211
104/02/10,52068,36.80,37.80,36.80,37.30,0.30,52,1952146
104/02/11,49001,37.20,37.40,37.00,37.05,-0.25,25,1820787
104/02/12,30280,37.10,37.30,37.05,37.30,0.25,16,1122293
104/02/13,148102,37.45,38.20,37.45,37.90,0.60,86,5633726
104/02/24,8205,37.90,37.90,37.70,37.70,-0.20,30,310612
104/02/25,20158,37.70,38.00,37.70,38.00,0.30,20,765034
104/02/26,36800,38.00,38.00,37.55,37.55,-0.45,29,1388977
104/03/02,118019,37.55,37.55,36.95,37.10,-0.45,67,4376803
104/03/03,34003,37.35,37.35,37.00,37.30,0.20,24,1260411
104/03/04,21014,37.30,37.30,37.00,37.25,-0.05,26,781568
104/03/05,45084,37.20,37.50,37.00,37.45,0.20,41,1676365
104/03/06,16246,37.30,37.45,37.20,37.40,-0.05,30,606802
104/03/09,48280,37.30,37.90,37.30,37.50,0.10,69,1812935
104/03/10,27042,37.40,37.60,37.30,37.40,-0.10,32,1011876
104/03/11,75017,37.20,37.20,36.80,37.10,-0.30,56,2778779
104/03/12,43015,37.00,37.35,37.00,37.30,0.20,31,1593810
104/03/13,12011,37.05,37.35,37.00,37.35,0.05,21,446958
104/03/16,41899,37.35,37.50,37.35,37.40,0.05,35,1566413
104/03/17,58321,37.10,37.40,37.10,37.15,-0.25,38,2172282
104/03/18,50146,37.20,37.25,37.00,37.25,0.10,169,1863294
104/03/19,62407,37.25,37.25,37.00,37.05,-0.20,173,2315359
104/03/20,88898,37.30,37.30,36.95,37.10,0.05,174,3293505
104/03/23,123480,37.10,37.40,37.05,37.20,0.10,277,4590483
104/03/24,45300,37.20,37.25,37.10,37.25,0.05,152,1685708
104/03/25,32319,37.15,37.20,36.95,37.20,-0.05,124,1199003
104/03/26,80235,37.20,37.50,37.00,37.45,0.25,162,2995868
104/03/27,78176,37.55,37.55,37.25,37.50,0.05,159,2926380
104/03/30,78126,37.70,37.70,37.25,37.50,,167,2927769
104/03/31,32865,37.50,37.70,37.30,37.55,0.05,133,1232404
104/04/01,11151,37.20,37.40,37.20,37.20,-0.35,91,415407
104/04/02,44466,37.00,37.15,37.00,37.15,-0.05,141,1647992
104/04/07,30228,37.00,37.30,37.00,37.20,0.05,230,1120492
104/04/08,26100,37.10,37.25,37.00,37.05,-0.15,74,968955
