春雨            ,	2012
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,188672,14.10,14.10,13.90,14.10,-0.05,50,2639640
104/01/06,111199,14.10,14.10,14.00,14.00,-0.10,43,1565416
104/01/07,236709,14.20,14.35,14.10,14.15,0.15,60,3360810
104/01/08,204071,14.20,14.30,14.20,14.20,0.05,61,2904603
104/01/09,96841,14.20,14.30,14.15,14.25,0.05,45,1377547
104/01/12,135004,14.15,14.20,14.10,14.10,-0.15,46,1909506
104/01/13,266500,14.15,14.25,14.10,14.15,0.05,86,3782173
104/01/14,173004,14.15,14.35,14.15,14.20,0.05,42,2468056
104/01/15,100060,14.20,14.40,14.20,14.30,0.10,44,1427649
104/01/16,278783,14.20,14.30,14.20,14.30,,88,3978368
104/01/19,112004,14.30,14.35,14.30,14.30,,39,1606206
104/01/20,273726,14.40,14.50,14.20,14.45,0.15,76,3919552
104/01/21,275088,14.45,14.55,14.35,14.55,0.10,75,3984425
104/01/22,437285,14.75,14.75,14.50,14.55,,76,6376281
104/01/23,363795,14.80,14.80,14.40,14.40,-0.15,33,5291966
104/01/26,316322,14.40,14.50,14.40,14.50,0.10,44,4572935
104/01/27,451907,14.50,14.55,14.45,14.55,0.05,60,6549751
104/01/28,333222,14.55,14.60,14.50,14.50,-0.05,40,4849846
104/01/29,269000,14.50,14.55,14.45,14.50,,33,3904600
104/01/30,283001,14.50,14.50,14.50,14.50,,42,4103514
104/02/02,753008,14.50,14.50,14.30,14.40,-0.10,64,10869713
104/02/03,336516,14.40,14.50,14.40,14.45,0.05,54,4860752
104/02/04,614029,14.45,14.55,14.45,14.45,,56,8895616
104/02/05,682251,14.50,14.50,14.50,14.50,0.05,56,9892613
104/02/06,530506,14.50,14.60,14.50,14.50,,57,7703509
104/02/09,441086,14.50,14.55,14.50,14.50,,31,6395846
104/02/10,247200,14.50,14.60,14.50,14.55,0.05,66,3590660
104/02/11,243767,14.50,14.65,14.50,14.60,0.05,94,3550304
104/02/12,323003,14.60,14.65,14.55,14.60,,72,4722092
104/02/13,338047,14.60,14.70,14.60,14.70,0.10,106,4944932
104/02/24,155363,14.70,14.70,14.60,14.65,-0.05,59,2277194
104/02/25,284766,14.65,14.70,14.60,14.70,0.05,77,4173077
104/02/26,110972,14.65,14.75,14.65,14.75,0.05,49,1631336
104/03/02,296011,14.75,14.80,14.65,14.65,-0.10,106,4361354
104/03/03,176003,14.70,14.75,14.65,14.65,,71,2585842
104/03/04,295982,14.60,14.70,14.50,14.50,-0.15,111,4331687
104/03/05,196339,14.50,14.65,14.50,14.50,,62,2855097
104/03/06,206571,14.65,14.70,14.55,14.70,0.20,87,3026583
104/03/09,150680,14.65,14.80,14.65,14.65,-0.05,48,2215787
104/03/10,224400,14.80,14.90,14.65,14.65,,53,3298585
104/03/11,98120,14.65,14.70,14.65,14.65,,46,1440096
104/03/12,60154,14.65,14.70,14.65,14.65,,34,881894
104/03/13,320097,14.80,15.00,14.80,15.00,0.35,80,4765086
104/03/16,103134,15.20,15.20,14.80,15.00,,72,1544432
104/03/17,182255,15.00,15.10,14.85,14.90,-0.10,91,2728768
104/03/18,66424,15.00,15.00,14.85,14.95,0.05,42,990013
104/03/19,210012,15.00,15.10,14.95,15.10,0.15,96,3157380
104/03/20,179240,15.10,15.15,15.05,15.05,-0.05,86,2706200
104/03/23,119284,15.05,15.10,15.05,15.05,,79,1800210
104/03/24,98747,15.05,15.15,15.05,15.10,0.05,84,1492755
104/03/25,325844,15.10,15.20,15.05,15.10,,110,4927460
104/03/26,162898,15.20,15.20,15.10,15.20,0.10,77,2469607
104/03/27,322505,15.15,15.55,15.15,15.50,0.30,124,4929314
104/03/30,215473,15.50,15.50,15.30,15.35,-0.15,110,3319775
104/03/31,632220,15.50,16.00,15.40,15.80,0.45,166,9921489
104/04/01,1080364,16.00,16.05,15.80,15.95,0.15,290,17276158
104/04/02,294937,15.95,16.00,15.75,16.00,0.05,141,4684082
104/04/07,1538836,16.00,16.25,15.95,16.20,0.20,307,24810906
104/04/08,251439,16.25,16.25,16.05,16.05,-0.15,97,4061440
104/04/09,2574433,16.00,16.80,16.00,16.05,,677,42577178
104/04/10,361904,16.00,16.10,15.70,15.85,-0.20,140,5749823
104/04/13,263400,15.85,15.85,15.45,15.60,-0.25,118,4107647
104/04/14,268006,15.60,15.60,15.35,15.35,-0.25,108,4143690
104/04/15,175004,15.35,15.45,15.35,15.35,,93,2691710
104/04/16,106022,15.35,15.50,15.35,15.35,,79,1633884
104/04/17,567064,15.35,15.55,15.35,15.45,0.10,168,8785633
104/04/20,131123,15.10,15.80,15.10,15.70,0.25,88,2046821
104/04/21,174251,15.90,15.90,15.55,15.55,-0.15,91,2737322
104/04/22,103326,15.60,15.65,15.55,15.60,0.05,56,1610817
104/04/23,119892,15.70,15.85,15.50,15.85,0.25,76,1883390
104/04/24,228260,15.85,15.95,15.60,15.95,0.10,150,3600655
104/04/27,231087,15.95,16.30,15.65,16.15,0.20,146,3721392
104/04/28,140240,16.15,16.15,15.80,16.05,-0.10,87,2239763
104/04/29,1059653,16.10,16.30,16.00,16.30,0.25,254,17114026
104/04/30,173843,16.60,16.60,16.15,16.30,,121,2846804
104/05/04,157883,16.15,16.30,16.00,16.00,-0.30,79,2548734
104/05/05,271401,16.00,16.20,16.00,16.20,0.20,116,4375824
104/05/06,159480,16.20,16.30,16.10,16.30,0.10,91,2585516
104/05/07,194299,16.00,16.30,16.00,16.25,-0.05,80,3136002
104/05/08,189502,16.25,16.30,16.00,16.30,0.05,87,3061580
104/05/11,280163,16.30,16.30,15.75,16.20,-0.10,115,4507172
104/05/12,123902,16.15,16.30,16.10,16.10,-0.10,72,2004805
104/05/13,140959,16.00,16.10,16.00,16.00,-0.10,34,2261744
104/05/14,172908,15.95,15.95,15.85,15.85,-0.15,60,2748056
104/05/15,247000,15.85,15.85,15.50,15.75,-0.10,64,3883050
104/05/18,98021,15.75,15.90,15.75,15.80,0.05,56,1550886
104/05/19,66660,16.00,16.00,15.75,15.80,,45,1055023
104/05/20,166025,15.00,15.95,15.00,15.55,-0.25,86,2614987
104/05/21,169030,15.55,15.90,15.55,15.70,0.15,75,2663119
104/05/22,192000,15.70,15.95,15.70,15.75,0.05,63,3041100
104/05/25,83000,15.75,15.85,15.75,15.80,0.05,52,1309700
104/05/26,148300,15.80,16.00,15.65,15.65,-0.15,72,2352793
104/05/27,3855000,16.00,16.00,15.70,15.80,0.15,49,61665850
104/05/28,78283,15.80,15.95,15.80,15.95,0.15,45,1241049
104/05/29,132139,15.90,15.95,15.85,15.85,-0.10,56,2098095
104/06/01,51774,15.85,15.90,15.85,15.85,,27,820879
104/06/02,204705,15.85,15.90,15.80,15.85,,33,3243638
104/06/03,99591,15.85,15.90,15.80,15.80,-0.05,47,1578625
104/06/04,209038,15.80,15.80,15.65,15.65,-0.15,77,3298507
104/06/05,164440,15.65,16.30,15.65,15.65,,93,2587914
104/06/08,1298050,15.70,15.90,15.70,15.70,0.05,45,20743978
104/06/09,329170,15.70,15.80,15.60,15.65,-0.05,77,5166200
104/06/10,95501,15.65,15.65,15.55,15.60,-0.05,43,1490063
104/06/11,182019,15.55,15.55,15.30,15.40,-0.20,87,2813990
104/06/12,193010,15.40,15.40,14.60,15.05,-0.35,74,2924900
104/06/15,247000,15.25,15.45,15.05,15.05,,21,3764350
104/06/16,146050,15.10,15.40,15.00,15.35,0.30,36,2213365
104/06/17,143000,15.05,15.25,15.00,15.00,-0.35,125,2152800
104/06/18,83000,14.75,15.10,14.75,14.85,-0.15,48,1234750
104/06/22,209000,14.85,14.85,14.30,14.45,-0.40,61,3058450
104/06/23,141332,14.30,14.55,14.30,14.35,-0.10,56,2038796
104/06/24,28000,14.40,14.45,14.40,14.45,0.10,21,404100
104/06/25,90259,14.70,14.75,14.50,14.75,0.30,35,1320430
104/06/26,17071,14.60,14.80,14.60,14.65,-0.10,18,249836
104/06/29,43017,14.55,14.80,14.55,14.60,-0.05,35,627346
104/06/30,58185,14.35,14.85,14.35,14.55,-0.05,33,845530
104/07/01,87000,14.55,14.65,14.55,14.65,0.10,28,1271150
104/07/02,3264100,14.55,14.65,14.50,14.65,,36,48934210
104/07/03,96248,14.35,14.55,14.35,14.50,-0.15,60,1393871
104/07/06,32501,15.60,15.60,14.55,14.95,0.45,24,482264
104/07/07,38492,14.95,15.10,14.85,15.05,0.10,18,576980
104/07/08,91000,14.40,15.00,14.40,14.80,-0.25,47,1331000
104/07/09,69070,14.80,14.80,14.30,14.30,-0.50,49,1002144
104/07/13,61341,14.35,14.50,14.35,14.45,0.15,25,888460
104/07/14,114000,14.35,14.45,14.30,14.30,-0.15,65,1638500
104/07/15,89000,14.20,14.30,13.55,13.75,-0.55,45,1244500
104/07/16,38000,13.75,14.00,13.60,14.00,0.25,24,521950
104/07/17,3898116,14.40,14.40,13.80,13.85,-0.15,45,58398999
104/07/20,31000,13.90,14.00,13.80,13.90,0.05,16,431700
104/07/21,14281,13.95,14.30,13.90,13.90,,8,199027
104/07/22,3119871,13.90,14.10,13.85,14.05,0.15,21,46776706
104/07/23,62008,14.05,14.05,13.80,14.05,,32,866562
104/07/24,99000,14.00,14.05,13.80,13.80,-0.25,43,1378050
104/07/27,26124,14.20,14.35,13.85,13.95,0.15,29,371122
104/07/28,51154,14.50,14.50,14.00,14.10,0.15,49,724106
104/07/29,91397,13.50,14.05,13.50,13.80,-0.30,38,1269437
104/07/30,26885,13.80,13.80,13.50,13.55,-0.25,23,364651
104/07/31,115468,13.55,13.70,12.55,13.50,-0.05,53,1536570
104/08/03,63000,13.10,13.40,13.10,13.15,-0.35,22,828350
104/08/04,22415,13.15,13.45,13.15,13.30,0.15,18,297427
104/08/05,47001,13.50,13.70,13.30,13.55,0.25,32,635363
104/08/06,74689,13.50,13.50,13.40,13.50,-0.05,36,1007031
104/08/07,13000,13.50,13.50,13.50,13.50,,8,175500
104/08/10,5251,13.70,13.70,13.50,13.65,0.15,6,71563
104/08/11,91316,13.70,14.15,13.15,13.30,-0.35,72,1221971
104/08/12,40050,13.30,14.00,13.30,13.45,0.15,22,543718
104/08/13,33000,13.45,13.80,13.40,13.80,0.35,17,451150
104/08/14,49100,13.80,13.80,13.40,13.40,-0.40,18,668940
104/08/17,23079962,13.40,13.80,13.40,13.60,0.20,55,300078278
104/08/18,129205,13.70,14.00,13.55,13.90,0.30,39,1765329
104/08/19,221005,13.90,13.90,13.15,13.15,-0.75,130,2978715
104/08/20,43001,13.50,13.85,13.50,13.55,0.40,37,584413
104/08/21,94400,13.50,13.55,12.35,13.35,-0.20,59,1253870
104/08/24,254088,13.25,13.30,12.10,12.40,-0.95,148,3193399
104/08/25,130422,12.25,12.65,12.20,12.30,X,73,1610006
104/08/26,93880,12.30,12.50,12.20,12.30,,37,1158935
104/08/27,76001,13.05,13.05,12.20,12.25,-0.05,64,938062
104/08/28,46001,12.35,12.80,12.35,12.60,0.35,30,582962
104/08/31,67050,12.60,13.00,12.05,12.05,-0.55,20,830441
104/09/01,24123,12.70,12.90,12.50,12.65,0.60,22,306266
104/09/02,26800,12.60,12.80,12.55,12.55,-0.10,27,338019
104/09/03,27000,12.40,12.80,12.40,12.70,0.15,21,340100
104/09/04,91010,12.85,13.05,12.50,12.50,-0.20,41,1150776
104/09/07,43013,12.80,12.95,12.75,12.95,0.45,16,551119
104/09/08,117151,13.95,13.95,13.05,13.20,0.25,48,1547544
104/09/09,39101,13.35,13.40,13.35,13.35,0.15,25,522044
104/09/10,44022,13.50,13.55,13.45,13.55,0.20,44,594858
104/09/11,26052,13.50,13.50,13.30,13.30,-0.25,27,347136
104/09/14,35087,13.30,13.75,13.30,13.65,0.35,33,473677
104/09/15,63680,13.50,13.70,13.50,13.65,,31,869114
104/09/16,83000,13.65,14.50,13.65,13.95,0.30,40,1167550
104/09/17,38379,13.85,14.40,13.85,13.95,,24,538856
104/09/18,23500,13.95,14.20,13.85,14.20,0.25,14,329699
104/09/21,82000,14.00,14.15,13.75,14.15,-0.05,31,1135450
104/09/22,114641,14.10,14.50,14.00,14.50,0.35,44,1624629
104/09/23,14004,14.25,14.25,13.80,14.00,-0.50,12,197204
104/09/24,46339,13.90,14.30,13.85,14.15,0.15,20,645879
104/09/25,93015,14.30,14.30,13.95,13.95,-0.20,34,1315710
104/09/30,21000,13.90,13.95,13.90,13.90,-0.05,11,292450
104/10/01,31246,13.90,14.00,13.85,14.00,0.10,13,434169
104/10/02,134000,13.95,14.00,13.85,13.95,-0.05,40,1863900
104/10/05,20746,13.95,14.00,13.95,14.00,0.05,14,289567
104/10/06,110240,13.90,13.95,13.90,13.90,-0.10,34,1532662
104/10/07,50259,13.90,13.95,13.85,13.90,,17,698574
104/10/08,120244,13.90,13.95,13.85,13.95,0.05,16,1671491
104/10/12,41253,13.85,14.10,13.85,13.95,,19,576115
104/10/13,51100,14.10,14.30,14.10,14.20,0.25,20,725520
104/10/14,19084,14.20,14.30,14.00,14.15,-0.05,15,271234
104/10/15,23787,14.15,14.15,14.00,14.10,-0.05,15,335318
104/10/16,63525,14.10,14.10,13.50,13.80,-0.30,24,886818
104/10/19,12509,13.80,13.80,13.75,13.80,,12,172422
104/10/20,2526,13.90,13.90,13.80,13.80,,4,34905
104/10/21,16289,13.80,14.05,13.80,14.05,0.25,9,225346
104/10/22,22438,13.85,13.85,13.85,13.85,-0.20,12,310743
104/10/23,1866485,13.85,14.20,13.85,13.90,0.05,14,26134443
104/10/26,202920,13.95,14.20,13.95,14.20,0.30,46,2870713
104/10/27,36165,14.10,14.20,14.05,14.05,-0.15,22,511160
104/10/28,48019,14.10,14.10,14.00,14.05,,17,675316
104/10/29,48433,14.05,14.05,13.95,14.00,-0.05,16,678368
104/10/30,67001,13.95,14.00,13.90,14.00,,24,933614
104/11/02,13843,14.00,14.00,14.00,14.00,,8,193716
104/11/03,64621,13.95,14.05,13.95,14.05,0.05,12,902979
104/11/04,55447,14.00,14.10,14.00,14.10,0.05,39,778208
104/11/05,12600,14.05,14.05,14.00,14.00,-0.10,5,176610
104/11/06,57780,14.00,14.00,13.95,14.00,,14,807447
104/11/09,49002,14.00,14.15,13.95,14.15,0.15,15,686678
104/11/10,67246,14.05,14.10,13.95,14.10,-0.05,28,941890
104/11/11,13206,14.05,14.05,14.00,14.00,-0.10,8,185360
104/11/12,166002,14.15,14.15,13.95,14.00,,21,2323528
104/11/13,27002,14.15,14.15,14.00,14.10,0.10,13,380878
104/11/16,139002,14.10,14.10,13.95,13.95,-0.15,26,1945478
104/11/17,69019,14.00,14.15,14.00,14.10,0.15,34,973466
104/11/18,34003,14.10,14.15,14.10,14.15,0.05,17,480892
104/11/19,49581,14.00,14.05,14.00,14.05,-0.10,33,694852
104/11/20,238002,14.00,14.00,14.00,14.00,-0.05,17,3332028
104/11/23,48008,14.00,14.10,14.00,14.00,,25,673262
104/11/24,40507,14.00,14.10,14.00,14.05,0.05,18,570556
104/11/25,10585700,14.05,14.15,14.00,14.00,-0.05,20,148202779
104/11/26,160788,14.05,15.25,14.05,14.30,0.30,62,2331536
104/11/27,73003,14.30,14.30,14.15,14.25,-0.05,28,1041042
104/11/30,105004,14.15,14.15,14.05,14.10,-0.15,24,1481256
104/12/01,53633,14.10,14.10,14.05,14.10,,18,754662
104/12/02,29814,14.10,14.10,14.10,14.10,,18,420296
104/12/03,61236,13.50,14.45,13.50,14.45,0.35,44,874043
104/12/04,52007,14.20,14.60,14.15,14.30,-0.15,27,748848
104/12/07,33680,14.30,14.40,14.30,14.30,,31,483253
104/12/08,27077,14.30,14.40,14.20,14.35,0.05,17,388750
104/12/09,50433,14.25,14.40,14.20,14.40,0.05,32,721390
104/12/10,50895,14.30,14.50,14.25,14.45,0.05,28,731220
104/12/11,36251,14.40,14.45,14.35,14.35,-0.10,17,522528
104/12/14,53120,14.25,14.35,14.00,14.20,-0.15,21,754741
104/12/15,55186,14.25,14.35,14.20,14.35,0.15,23,788058
104/12/16,172001,14.30,14.30,14.05,14.15,-0.20,36,2433264
104/12/17,23501,14.25,14.25,14.25,14.25,0.10,14,334863
104/12/18,35324,14.10,14.20,14.10,14.20,-0.05,11,498768
104/12/21,9675,14.30,14.30,14.20,14.20,,20,137815
104/12/22,84006,14.25,14.30,14.10,14.15,-0.05,23,1191933
104/12/23,47232,14.20,14.30,14.15,14.25,0.10,22,672170
104/12/24,38363,14.30,14.40,14.20,14.30,0.05,34,549151
104/12/25,46588,14.30,14.35,14.25,14.25,-0.05,17,665890
104/12/28,40083,14.20,14.30,14.10,14.25,,25,568475
104/12/29,31858,14.25,14.25,14.15,14.15,-0.10,24,452654
104/12/30,45042,14.15,14.30,14.15,14.25,0.10,13,638096
104/12/31,68020,14.30,14.30,14.20,14.20,-0.05,16,972081
105/01/04,94004,14.20,14.30,14.15,14.20,,22,1332306
105/01/05,30001,14.25,14.25,14.15,14.15,-0.05,9,424814
105/01/06,56641,14.15,14.15,14.10,14.15,,23,799804
105/01/07,62334,14.20,14.20,14.10,14.15,,18,881308
105/01/08,135006,14.15,14.15,14.10,14.15,,35,1907834
105/01/11,146004,13.40,14.10,13.40,13.75,-0.40,60,2016002
105/01/12,92006,13.85,13.95,13.80,13.80,0.05,40,1273779
105/01/13,102002,13.80,14.00,13.80,13.85,0.05,37,1418576
105/01/14,104006,14.00,14.00,13.80,13.80,-0.05,35,1440778
105/01/15,93233,13.90,14.00,13.90,14.00,0.20,41,1300833
105/01/18,21004,14.00,14.00,13.90,13.95,-0.05,11,293856
105/01/19,76000,13.80,13.95,13.80,13.85,-0.10,5,1049400
105/01/20,26189,13.85,14.00,13.80,14.00,0.15,14,362924
105/01/21,74545,14.00,14.00,13.90,14.00,,22,1041574
105/01/22,50006,13.95,14.50,13.95,14.10,0.10,20,700235
105/01/25,82003,14.15,14.15,13.80,14.05,-0.05,12,1153542
105/01/26,50003,14.05,14.05,14.05,14.05,,4,702542
105/01/27,2017,14.05,14.05,14.00,14.00,-0.05,19,28288
105/01/28,15014,14.00,14.00,14.00,14.00,,21,210196
105/01/29,29021,14.00,14.10,13.85,13.85,-0.15,29,406724
105/01/30,27000,13.85,13.95,13.85,13.85,,8,374450
105/02/01,16003,13.85,13.95,13.85,13.95,0.10,10,222842
105/02/02,22011,14.00,14.00,13.90,13.90,-0.05,18,307497
105/02/03,92005,13.90,14.00,13.80,14.00,0.10,25,1279570
105/02/15,68285,14.05,14.05,13.85,13.95,-0.05,52,951931
105/02/16,87099,13.80,14.00,13.80,13.90,-0.05,34,1211618
105/02/17,2645,13.90,13.95,13.90,13.95,0.05,8,36812
105/02/18,91334,13.65,14.00,13.65,14.00,0.05,34,1268776
105/02/19,44189,14.05,14.05,13.80,13.80,-0.20,13,617537
105/02/22,32540,13.90,13.95,13.90,13.90,0.10,24,452846
105/02/23,228644,13.90,14.35,13.90,14.15,0.25,72,3221328
