泰豐            ,	2102
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1563936,19.00,19.30,18.90,19.25,0.25,518,29961369
104/01/06,830406,19.10,19.10,18.85,18.95,-0.30,443,15740265
104/01/07,670402,18.90,18.95,18.85,18.85,-0.10,387,12666158
104/01/08,1142950,19.00,19.15,18.80,18.80,-0.05,523,21622729
104/01/09,848864,18.95,19.05,18.85,18.95,0.15,402,16052925
104/01/12,1267031,18.95,19.20,18.85,18.90,-0.05,430,24115576
104/01/13,939253,19.00,19.10,18.95,19.05,0.15,393,17873157
104/01/14,902307,19.10,19.20,18.90,18.95,-0.10,324,17154824
104/01/15,624538,19.00,19.10,18.90,18.90,-0.05,271,11841541
104/01/16,1542443,18.90,19.05,18.80,18.95,0.05,454,29173581
104/01/19,830455,19.00,19.05,18.60,18.60,-0.35,356,15612249
104/01/20,711137,18.80,18.80,18.60,18.70,0.10,327,13256344
104/01/21,1076488,18.75,19.05,18.65,18.80,0.10,369,20278762
104/01/22,876381,18.80,19.05,18.75,18.85,0.05,402,16560748
104/01/23,998739,19.15,19.15,18.85,18.85,,427,18946029
104/01/26,826639,18.90,18.95,18.80,18.80,-0.05,280,15584171
104/01/27,466281,18.90,18.90,18.70,18.75,-0.05,195,8755428
104/01/28,579764,18.75,18.80,18.65,18.70,-0.05,175,10842302
104/01/29,530824,18.70,18.70,18.65,18.70,,163,9911643
104/01/30,465695,18.75,18.85,18.65,18.70,,193,8726741
104/02/02,621005,18.65,18.85,18.65,18.65,-0.05,239,11638086
104/02/03,499446,18.70,18.85,18.70,18.75,0.10,193,9378209
104/02/04,605775,18.85,18.90,18.70,18.70,-0.05,246,11361744
104/02/05,380655,18.70,18.75,18.65,18.65,-0.05,140,7116691
104/02/06,667365,18.70,18.80,18.60,18.70,0.05,279,12487797
104/02/09,479498,18.70,18.80,18.65,18.65,-0.05,187,8973057
104/02/10,705341,18.65,18.75,18.60,18.60,-0.05,261,13154799
104/02/11,478311,18.65,18.65,18.60,18.65,0.05,185,8902308
104/02/12,451349,18.65,18.65,18.40,18.40,-0.25,210,8349744
104/02/13,669306,18.50,18.55,18.40,18.55,0.15,254,12335976
104/02/24,395084,18.60,18.70,18.50,18.50,-0.05,167,7336341
104/02/25,555218,18.50,18.55,18.35,18.40,-0.10,223,10230843
104/02/26,1006863,18.40,18.75,18.35,18.45,0.05,331,18635206
104/03/02,438398,18.45,18.60,18.35,18.40,-0.05,243,8073705
104/03/03,724233,18.50,18.50,18.25,18.25,-0.15,272,13261844
104/03/04,692670,18.25,18.30,18.10,18.20,-0.05,301,12594130
104/03/05,305039,18.20,18.25,18.10,18.20,,148,5548048
104/03/06,672239,18.25,18.25,18.10,18.25,0.05,259,12220137
104/03/09,283841,18.20,18.20,18.10,18.20,-0.05,145,5155508
104/03/10,461522,18.20,18.35,18.15,18.20,,217,8411530
104/03/11,389715,18.10,18.20,18.10,18.10,-0.10,188,7063649
104/03/12,1073774,18.10,18.10,18.00,18.00,-0.10,347,19358622
104/03/13,729374,18.00,18.10,17.95,18.00,,267,13141470
104/03/16,744781,18.10,18.10,17.80,17.80,-0.20,317,13357786
104/03/17,528394,17.95,18.00,17.80,17.80,,231,9448448
104/03/18,623462,17.95,17.95,17.75,17.80,,282,11102735
104/03/19,471341,17.80,17.95,17.80,17.90,0.10,321,8415523
104/03/20,1247514,17.80,17.80,17.65,17.80,-0.10,458,22125647
104/03/23,645251,17.80,17.85,17.70,17.75,-0.05,263,11452499
104/03/24,415107,17.70,17.85,17.70,17.70,-0.05,148,7372255
104/03/25,644862,17.70,17.75,17.50,17.50,-0.20,284,11342570
104/03/26,637997,17.50,17.65,17.40,17.50,,278,11150084
104/03/27,520127,17.50,17.55,17.35,17.40,-0.10,429,9072870
104/03/30,641192,17.50,17.60,17.35,17.40,,427,11166873
104/03/31,906291,17.40,17.50,17.20,17.25,-0.15,507,15699036
104/04/01,595478,17.20,17.30,17.15,17.15,-0.10,327,10246688
104/04/02,613230,17.15,17.35,17.15,17.20,0.05,379,10548220
104/04/07,906222,17.20,17.35,17.20,17.30,0.10,380,15660048
104/04/08,3182590,17.30,17.90,17.25,17.80,0.50,1005,56200070
104/04/09,801268,17.80,17.85,17.60,17.60,-0.20,347,14178148
104/04/10,1004897,17.70,17.85,17.60,17.80,0.20,427,17794118
104/04/13,1053218,17.80,17.95,17.70,17.80,,502,18761666
104/04/14,762436,17.80,17.85,17.70,17.85,0.05,434,13569842
104/04/15,854059,17.85,17.95,17.75,17.75,-0.10,287,15218632
104/04/16,670601,17.80,17.90,17.70,17.75,,292,11910146
104/04/17,586733,17.75,17.90,17.65,17.90,0.15,314,10419910
104/04/20,422331,17.85,17.85,17.65,17.80,-0.10,233,7497914
104/04/21,519740,17.75,17.85,17.50,17.50,-0.30,217,9162819
104/04/22,471435,17.50,17.70,17.40,17.60,0.10,200,8249205
104/04/23,741657,17.60,17.70,17.50,17.70,0.10,367,13086219
104/04/24,1577844,17.70,18.10,17.65,17.90,0.20,770,28304998
104/04/27,906506,18.00,18.10,17.85,17.90,,456,16283112
104/04/28,710230,18.00,18.10,17.85,17.85,-0.05,345,12750518
104/04/29,767675,17.85,18.05,17.85,17.95,0.10,370,13773942
104/04/30,979723,18.00,18.15,17.90,18.10,0.15,434,17676764
104/05/04,419785,18.10,18.15,17.80,17.80,-0.30,211,7528537
104/05/05,247989,17.95,17.95,17.80,17.85,0.05,151,4426832
104/05/06,265168,17.80,17.95,17.75,17.90,0.05,153,4736879
104/05/07,486626,17.80,17.95,17.80,17.90,,188,8699237
104/05/08,424396,17.90,17.90,17.65,17.75,-0.15,206,7536808
104/05/11,1067239,17.75,17.75,17.25,17.45,-0.30,367,18607412
104/05/12,326227,17.45,17.55,17.35,17.50,0.05,147,5691042
104/05/13,517606,17.50,17.55,17.35,17.40,-0.10,136,9021355
104/05/14,388083,17.45,17.50,17.40,17.40,,136,6756421
104/05/15,278276,17.45,17.45,17.40,17.40,,97,4848882
104/05/18,203913,17.40,17.50,17.25,17.40,,135,3539323
104/05/19,603481,17.40,17.50,17.35,17.45,0.05,184,10510119
104/05/20,922809,17.40,17.50,17.40,17.45,,143,16070360
104/05/21,711933,17.40,17.40,17.25,17.30,-0.15,239,12311379
104/05/22,295905,17.30,17.40,17.30,17.30,,155,5126792
104/05/25,315545,17.30,17.30,17.25,17.25,-0.05,161,5451863
104/05/26,751097,17.30,17.30,17.00,17.15,-0.10,213,12865552
104/05/27,530005,17.20,17.20,16.95,17.05,-0.10,167,9024219
104/05/28,415684,17.00,17.15,17.00,17.10,0.05,184,7097092
104/05/29,330154,17.00,17.25,17.00,17.25,0.15,160,5679671
104/06/01,136002,17.25,17.25,17.10,17.10,-0.15,75,2331226
104/06/02,251808,17.05,17.20,17.05,17.10,,121,4311354
104/06/03,744797,17.00,17.20,17.00,17.05,-0.05,242,12718800
104/06/04,949458,17.05,17.20,16.80,16.85,-0.20,320,16133848
104/06/05,1352725,16.85,16.90,16.30,16.40,-0.45,690,22430775
104/06/08,421425,16.40,16.40,16.20,16.35,-0.05,251,6876841
104/06/09,1816743,16.30,16.35,15.45,15.75,-0.60,452,29069853
104/06/10,898712,15.75,16.00,15.55,15.95,0.20,325,14202398
104/06/11,651673,16.00,16.05,15.70,15.85,-0.10,312,10314472
104/06/12,249544,15.85,16.00,15.70,15.95,0.10,139,3965497
104/06/15,502067,15.95,16.05,15.80,15.85,-0.10,131,7980804
104/06/16,504393,15.85,16.00,15.75,15.80,-0.05,165,7996744
104/06/17,501397,15.80,15.95,15.70,15.85,0.05,289,7919998
104/06/18,433621,15.80,16.00,15.70,16.00,0.15,208,6868768
104/06/22,317609,16.05,16.05,15.90,15.95,-0.05,112,5070722
104/06/23,500540,16.00,16.05,15.90,16.00,0.05,191,7985528
104/06/24,303422,16.00,16.00,15.80,15.85,-0.15,120,4816262
104/06/25,274344,15.85,15.95,15.75,15.80,-0.05,88,4341779
104/06/26,481896,15.80,15.85,15.65,15.80,,146,7590208
104/06/29,318520,15.70,15.70,15.55,15.60,-0.20,118,4976306
104/06/30,496599,15.60,15.60,15.45,15.60,,260,7707326
104/07/01,327746,15.60,15.70,15.55,15.70,0.10,118,5124429
104/07/02,452298,15.70,15.70,15.50,15.65,-0.05,164,7053776
104/07/03,492289,15.65,15.65,15.45,15.50,-0.15,185,7621908
104/07/06,858743,15.50,15.50,15.15,15.20,-0.30,361,13127838
104/07/07,330784,15.30,15.35,15.20,15.30,0.10,122,5053931
104/07/08,986685,15.30,15.30,14.75,14.95,-0.35,333,14689588
104/07/09,494966,14.90,14.90,14.65,14.70,-0.25,268,7283189
104/07/13,407120,14.80,15.00,14.80,14.90,0.20,160,6046279
104/07/14,1037700,14.95,15.10,14.85,14.85,-0.05,342,15538655
104/07/15,303306,14.90,14.95,14.80,14.80,-0.05,149,4505660
104/07/16,757102,14.85,14.85,14.65,14.80,,240,11191139
104/07/17,555977,14.85,14.85,14.65,14.70,-0.10,234,8199804
104/07/20,2418864,14.90,15.60,14.85,15.45,0.75,821,37166350
104/07/21,1199579,15.55,15.85,15.15,15.30,-0.15,602,18544092
104/07/22,420038,15.25,15.35,15.15,15.30,,209,6407574
104/07/23,384239,15.45,15.45,15.05,15.15,-0.15,185,5847056
104/07/24,378355,15.15,15.15,14.90,15.00,-0.15,137,5674834
104/07/27,1282298,15.00,15.00,14.50,14.55,-0.45,359,18818828
104/07/28,1354085,14.50,14.65,14.30,14.30,-0.25,441,19525558
104/07/29,1566778,14.35,14.45,14.15,14.20,-0.10,462,22364340
104/07/30,1255420,13.80,14.15,13.80,13.90,X,543,17502252
104/07/31,565398,13.90,14.00,13.80,13.95,0.05,171,7835095
104/08/03,510474,13.90,13.90,13.55,13.70,-0.25,209,7007014
104/08/04,274780,13.80,13.80,13.60,13.65,-0.05,134,3766457
104/08/05,419907,13.80,13.95,13.65,13.85,0.20,200,5806307
104/08/06,521654,13.90,14.00,13.80,13.85,,177,7234788
104/08/07,337104,13.90,14.05,13.90,14.05,0.20,125,4711056
104/08/10,261208,13.95,14.20,13.95,14.20,0.15,106,3677553
104/08/11,401552,14.30,14.30,14.05,14.25,0.05,212,5692187
104/08/12,937848,14.20,14.20,13.90,13.90,-0.35,229,13103220
104/08/13,249811,13.85,14.15,13.85,14.15,0.25,133,3506182
104/08/14,526849,14.20,14.30,14.15,14.30,0.15,194,7506794
104/08/17,206214,14.30,14.40,14.10,14.20,-0.10,81,2945214
104/08/18,160204,14.15,14.20,14.05,14.10,-0.10,83,2263006
104/08/19,522400,14.10,14.20,13.75,13.80,-0.30,293,7250872
104/08/20,340460,13.80,14.00,13.75,14.00,0.20,169,4712636
104/08/21,925284,13.70,13.85,13.30,13.50,-0.50,353,12512632
104/08/24,1891569,13.30,13.30,12.30,12.35,-1.15,616,23983891
104/08/25,1036543,12.20,13.00,12.20,12.85,0.50,336,13115811
104/08/26,814189,12.80,12.90,12.60,12.90,0.05,211,10326136
104/08/27,778458,13.00,13.20,12.90,13.05,0.15,405,10195318
104/08/28,600289,13.20,13.35,13.20,13.30,0.25,272,7966658
104/08/31,833643,13.20,13.75,13.20,13.75,0.45,294,11283418
104/09/01,343968,13.60,13.70,13.50,13.55,-0.20,138,4670965
104/09/02,314896,13.40,13.70,13.35,13.60,0.05,159,4257020
104/09/03,545851,13.60,13.95,13.60,13.80,0.20,195,7521292
104/09/04,330760,13.80,13.95,13.65,13.70,-0.10,139,4562884
104/09/07,310842,13.60,13.70,13.50,13.70,,150,4224217
104/09/08,187228,13.70,13.75,13.60,13.65,-0.05,134,2560756
104/09/09,453232,13.75,14.00,13.75,13.95,0.30,264,6294755
104/09/10,638653,13.85,14.20,13.85,14.15,0.20,312,8956864
104/09/11,350098,14.10,14.15,14.00,14.10,-0.05,207,4928982
104/09/14,427439,14.15,14.25,14.05,14.15,0.05,193,6044670
104/09/15,403804,14.10,14.15,14.00,14.10,-0.05,205,5683771
104/09/16,461950,14.10,14.20,14.05,14.15,0.05,154,6527430
104/09/17,572677,14.20,14.35,14.20,14.35,0.20,279,8173015
104/09/18,1371756,14.30,14.85,14.25,14.85,0.50,388,20186306
104/09/21,482554,14.75,14.75,14.45,14.65,-0.20,283,7021554
104/09/22,385867,14.60,14.80,14.55,14.80,0.15,181,5652763
104/09/23,181451,14.60,14.60,14.45,14.50,-0.30,106,2634329
104/09/24,295489,14.50,14.50,14.25,14.25,-0.25,160,4247235
104/09/25,195975,14.30,14.40,14.25,14.35,0.10,120,2807931
104/09/30,162217,14.25,14.35,14.20,14.25,-0.10,82,2313485
104/10/01,211003,14.30,14.45,14.30,14.40,0.15,120,3026330
104/10/02,267435,14.40,14.55,14.30,14.50,0.10,138,3857354
104/10/05,143092,14.50,14.55,14.35,14.45,-0.05,105,2070019
104/10/06,340933,14.50,14.65,14.45,14.50,0.05,166,4957618
104/10/07,1187786,14.60,15.10,14.60,15.05,0.55,491,17666890
104/10/08,396884,15.05,15.05,14.65,14.80,-0.25,205,5873925
104/10/12,344988,14.75,15.00,14.70,14.95,0.15,230,5127208
104/10/13,310086,14.95,14.95,14.80,14.90,-0.05,208,4612125
104/10/14,237931,14.75,14.95,14.75,14.85,-0.05,152,3522221
104/10/15,444777,14.95,15.00,14.80,14.95,0.10,191,6626516
104/10/16,300355,14.95,15.05,14.85,15.00,0.05,170,4496236
104/10/19,339785,15.10,15.10,14.90,15.00,,198,5087874
104/10/20,288423,15.10,15.10,14.90,15.05,0.05,157,4319795
104/10/21,751990,15.05,15.35,14.95,15.15,0.10,309,11412382
104/10/22,267602,15.15,15.15,15.00,15.05,-0.10,129,4029680
104/10/23,305931,15.00,15.15,15.00,15.10,0.05,190,4607739
104/10/26,344312,15.10,15.15,14.95,15.10,,258,5181879
104/10/27,209812,15.15,15.15,14.95,15.05,-0.05,110,3152580
104/10/28,310947,15.05,15.05,14.85,14.95,-0.10,150,4648447
104/10/29,365089,14.95,15.00,14.75,14.80,-0.15,143,5420560
104/10/30,434679,14.75,14.85,14.60,14.80,,201,6396659
104/11/02,612937,14.80,14.85,14.50,14.70,-0.10,196,8951023
104/11/03,392034,14.75,14.95,14.75,14.95,0.25,187,5813940
104/11/04,1070963,15.00,15.35,14.85,15.25,0.30,430,16253915
104/11/05,449160,15.20,15.25,15.05,15.05,-0.20,210,6803800
104/11/06,413671,15.05,15.20,14.95,14.95,-0.10,229,6207517
