和泰車          ,	2207
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,355521,479.00,479.00,461.00,465.00,-10.50,351,165748786
104/01/06,691564,460.50,460.50,445.00,446.50,-18.50,634,312025300
104/01/07,440386,446.50,451.50,440.00,440.50,-6.00,418,196046689
104/01/08,266536,450.00,450.00,443.50,444.00,3.50,246,118914092
104/01/09,215436,448.00,454.00,448.00,452.00,8.00,219,97164572
104/01/12,166220,452.00,452.00,442.00,442.50,-9.50,189,73954740
104/01/13,354470,442.50,459.00,442.50,456.00,13.50,328,160526553
104/01/14,310132,456.00,456.00,445.00,446.50,-9.50,296,138657400
104/01/15,198379,451.50,452.00,441.00,443.50,-3.00,206,88039584
104/01/16,419039,446.50,446.50,428.00,435.00,-8.50,419,182284465
104/01/19,181255,441.50,445.00,436.50,443.50,8.50,179,80022590
104/01/20,191665,443.50,448.00,438.00,447.00,3.50,175,85504755
104/01/21,300190,450.00,457.00,450.00,457.00,10.00,296,136330353
104/01/22,427119,457.00,462.00,451.00,456.00,-1.00,415,195583764
104/01/23,239171,460.50,462.00,456.50,460.50,4.50,223,109983818
104/01/26,158416,460.50,462.00,459.50,462.00,1.50,152,73006360
104/01/27,151200,465.00,465.50,457.00,463.50,1.50,141,69892700
104/01/28,112342,460.00,463.50,457.00,462.50,-1.00,113,51890662
104/01/29,234309,457.00,461.00,452.00,453.00,-9.50,213,106451477
104/01/30,181440,453.00,457.00,452.00,454.00,1.00,161,82405260
104/02/02,94709,457.00,459.50,455.00,459.50,5.50,99,43309513
104/02/03,139826,461.00,461.00,454.50,456.00,-3.50,135,63990482
104/02/04,250623,457.00,463.50,457.00,463.50,7.50,242,115766256
104/02/05,153792,457.50,466.00,457.50,466.00,2.50,154,71395280
104/02/06,242554,471.50,471.50,465.50,470.00,4.00,201,113476274
104/02/09,137487,470.00,472.00,466.50,472.00,2.00,130,64559616
104/02/10,363848,475.00,485.00,475.00,480.50,8.50,353,174930540
104/02/11,236440,483.00,485.00,480.00,483.00,2.50,232,114284580
