艾姆勒,	2241
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
109/08/26,4415024,59.20,67.00,58.60,64.80,X,2997,273253960
109/08/27,2747374,64.00,64.00,59.70,61.70,3.10,1719,169048437
109/08/28,4129791,62.00,68.20,60.80,66.80,5.10,2714,265800898
109/08/31,3124965,66.70,67.10,63.00,64.40,2.40,2166,204432741
109/09/01,1710592,64.40,64.40,61.00,61.70,2.70,1221,106443723
109/09/02,1229864,61.70,63.80,60.50,63.70,2.00,858,76256621
109/09/03,773225,63.00,63.70,61.20,61.70,2.00,604,47941350
109/09/04,938163,59.20,60.30,59.10,59.90,1.80,636,56150777
109/09/07,951128,60.00,60.20,57.50,57.50,2.40,689,55681280
109/09/08,322642,57.50,59.30,57.50,58.80,1.30,283,18755849
109/09/09,278691,57.70,58.30,57.50,57.90,0.90,195,16151507
109/09/10,379167,58.30,58.50,57.00,57.00,0.90,278,21814319
109/09/11,738600,56.70,56.70,54.10,54.30,2.70,519,40587900
109/09/14,753703,54.40,58.00,53.00,56.80,2.50,524,41322971
109/09/15,306326,56.00,56.00,55.00,55.10,1.70,231,16959756
109/09/16,288657,55.70,56.50,54.50,54.60,0.50,246,15915967
109/09/17,190500,54.60,54.60,53.80,54.00,0.60,155,10293500
109/09/18,184200,54.20,55.00,54.00,54.70,0.70,135,10064820
109/09/21,222909,54.50,54.50,53.70,53.80,0.90,178,12043359
109/09/22,371231,53.50,53.50,52.10,52.20,1.60,292,19433250
109/09/23,225003,52.20,53.60,52.20,53.10,0.90,161,11891758
109/09/24,241150,52.90,52.90,51.10,51.20,1.90,190,12460540
109/09/25,388480,51.50,52.20,50.20,50.70,0.50,246,19792192
109/09/28,104070,50.90,51.30,50.70,50.90,0.20,88,5300977
109/09/29,124100,51.00,51.50,50.90,51.00,0.10,100,6330130
109/09/30,159020,51.00,53.00,51.00,52.40,1.40,148,8333456
109/10/05,122315,52.00,53.20,52.00,53.00,0.60,92,6447893
109/10/06,601200,53.90,57.90,53.90,57.00,4.00,496,33605058
109/10/07,385000,55.80,57.70,55.10,56.00,1.00,286,21491400
109/10/08,223018,56.00,56.00,54.70,55.30,0.70,178,12295922
109/10/12,187800,55.30,55.70,53.90,53.90,1.40,139,10177800
109/10/13,146700,53.90,54.00,53.00,53.70,0.20,117,7838389
109/10/14,75022,53.70,54.40,53.60,54.00,0.30,73,4053399
109/10/15,228587,54.00,54.00,52.70,53.10,0.90,164,12125704
109/10/16,109791,53.10,53.20,52.60,52.60,0.50,83,5811880
109/10/19,87000,52.70,53.30,52.70,53.10,0.50,66,4616500
109/10/20,70000,53.00,53.50,53.00,53.50,0.40,58,3728600
109/10/21,79463,53.40,53.60,53.00,53.50,0.00,73,4241739
109/10/22,166396,53.30,53.50,52.70,53.00,0.50,114,8805188
109/10/23,111002,53.20,53.20,52.20,53.00,0.00,89,5827705
109/10/26,61000,52.80,52.90,52.40,52.50,0.50,52,3205800
109/10/27,105221,52.10,52.70,52.00,52.40,0.10,89,5492443
109/10/28,94456,52.40,52.40,51.60,51.60,0.80,91,4894408
109/10/29,211104,51.30,51.90,51.00,51.30,0.30,123,10811008
109/10/30,168400,51.30,52.70,51.00,51.80,0.50,133,8744060
109/11/02,78824,52.50,52.50,51.00,51.20,0.60,70,4034998
109/11/03,66200,51.50,51.80,51.10,51.60,0.40,54,3402960
109/11/04,45000,51.80,52.00,51.60,51.90,0.30,43,2329200
109/11/05,79100,51.90,52.00,51.50,51.90,0.00,63,4091160
109/11/06,69200,51.70,51.90,51.10,51.40,0.50,61,3557900
109/11/09,94600,51.40,52.60,51.40,52.00,0.60,84,4920720
109/11/10,157200,52.20,54.80,52.00,53.20,1.20,134,8362000
