光寶科          ,	2301
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,9808331,36.30,37.35,36.05,37.25,0.85,4175,361252904
104/01/06,7108675,37.00,37.10,36.60,36.60,-0.65,3030,261400011
104/01/07,11683496,36.60,37.60,36.50,37.30,0.70,4662,435338534
104/01/08,14784178,37.50,38.05,37.30,37.75,0.45,5192,557467423
104/01/09,9390510,38.05,38.10,37.55,37.65,-0.10,4000,355053928
104/01/12,7495217,37.50,37.60,37.20,37.30,-0.35,3003,280627157
104/01/13,16697859,37.55,38.70,37.40,38.60,1.30,7014,636929006
104/01/14,25324323,38.60,39.75,38.10,39.35,0.75,10054,988794217
104/01/15,15294408,39.35,39.60,38.70,39.00,-0.35,5996,598821712
104/01/16,11771727,39.00,39.35,38.35,38.85,-0.15,5551,456767203
104/01/19,9521004,39.45,39.70,39.00,39.00,0.15,4962,374408256
104/01/20,10171152,39.60,39.70,39.35,39.65,0.65,4830,402096295
104/01/21,8364277,39.65,39.70,39.10,39.20,-0.45,4812,328190534
104/01/22,9752784,39.20,39.30,38.90,39.05,-0.15,3865,380916343
104/01/23,7646899,39.30,39.50,38.90,39.00,-0.05,3226,299327412
104/01/26,6133270,39.10,39.45,38.95,39.35,0.35,2534,240209698
104/01/27,5248224,39.45,39.50,39.05,39.30,-0.05,2568,205746369
104/01/28,4800313,39.10,39.30,39.00,39.30,,1939,188340764
104/01/29,6715189,39.40,39.40,38.85,39.00,-0.30,2304,262200989
104/01/30,9178409,39.20,39.20,38.60,39.00,,3489,356342749
104/02/02,5355405,39.00,39.40,38.90,39.40,0.40,3063,209656495
104/02/03,3368113,39.40,39.45,39.10,39.20,-0.20,1990,132040453
104/02/04,14641645,39.40,39.40,38.85,38.90,-0.30,6265,571286574
104/02/05,9349975,38.85,38.90,38.10,38.40,-0.50,3889,358752169
104/02/06,6464466,38.30,38.35,37.80,38.35,-0.05,3339,246332198
104/02/09,5453632,38.35,38.85,38.00,38.30,-0.05,2814,209694194
104/02/10,4939285,38.30,38.80,38.30,38.55,0.25,2536,190583927
104/02/11,3872856,38.70,38.75,38.35,38.70,0.15,1920,149569774
104/02/12,5605770,38.70,38.90,38.50,38.80,0.10,2552,216901510
104/02/13,5060763,38.80,39.00,38.70,39.00,0.20,2596,196769717
104/02/24,8745552,39.50,39.70,38.95,39.20,0.20,3920,343649304
104/02/25,6079600,39.30,39.45,39.05,39.40,0.20,2893,238772447
104/02/26,11886726,39.45,40.10,39.20,39.90,0.50,4179,472367385
104/03/02,10642188,40.20,40.70,39.95,40.55,0.65,4089,429407235
104/03/03,10613072,40.70,41.00,40.20,41.00,0.45,4661,431535860
104/03/04,16407644,41.00,42.20,40.70,42.00,1.00,6503,684104948
104/03/05,10362924,41.90,41.95,41.20,41.50,-0.50,4166,431426176
104/03/06,10820746,41.20,41.30,40.65,40.80,-0.70,4383,442067485
104/03/09,7623958,40.55,40.55,40.10,40.25,-0.55,3683,307151893
104/03/10,6411189,40.20,41.05,40.15,41.00,0.75,3367,261256055
104/03/11,6935711,40.30,40.60,40.25,40.50,-0.50,3212,281039928
104/03/12,11840669,40.80,42.00,40.50,42.00,1.50,5384,491677152
104/03/13,14021969,42.00,42.90,41.95,42.20,0.20,5005,595202670
104/03/16,5695274,42.00,42.10,41.15,41.15,-1.05,2589,236054339
104/03/17,5285340,41.50,41.90,41.00,41.00,-0.15,2767,218942490
104/03/18,5586028,41.00,41.45,40.90,41.05,0.05,3596,230337398
104/03/19,6500379,41.50,41.75,41.10,41.50,0.45,3098,269130016
104/03/20,11127040,41.10,41.85,41.10,41.75,0.25,3053,462560889
104/03/23,6174332,41.75,41.75,41.05,41.05,-0.70,3161,255367703
104/03/24,7863089,41.05,41.50,40.70,41.10,0.05,3364,322290499
104/03/25,11519870,40.80,41.00,39.90,40.00,-1.10,3970,463025672
104/03/26,8963334,39.50,40.55,39.15,40.55,0.55,3874,358431715
104/03/27,6342615,40.60,40.80,40.30,40.70,0.15,2559,257735957
104/03/30,5566881,40.70,41.05,40.50,40.95,0.25,2293,227930370
104/03/31,5739743,41.25,41.25,40.55,40.55,-0.40,2607,234325251
104/04/01,4856197,40.50,40.50,39.85,40.10,-0.45,2379,194933580
104/04/02,3955137,40.60,40.90,40.25,40.50,0.40,1864,161135325
104/04/07,3773667,40.90,41.45,40.55,41.20,0.70,1881,155092091
104/04/08,8048773,41.00,41.15,40.15,40.15,-1.05,3469,326045358
104/04/09,4930144,40.65,40.75,40.25,40.40,0.25,2265,199722089
104/04/10,6187928,40.50,40.65,39.85,39.85,-0.55,3031,248331090
104/04/13,5546684,39.85,40.10,39.40,39.40,-0.45,3253,219477849
104/04/14,13671178,39.40,39.45,38.65,38.65,-0.75,4605,533606481
104/04/15,10053219,38.70,38.80,38.05,38.25,-0.40,4675,385216594
104/04/16,8715358,38.50,38.80,38.40,38.75,0.50,3678,336218416
104/04/17,6472223,38.85,39.45,38.70,39.15,0.40,3464,253645611
104/04/20,8208907,38.75,39.00,37.55,38.20,-0.95,4063,313010459
104/04/21,4148249,38.40,38.50,38.05,38.20,,2298,158589848
104/04/22,6290193,38.20,39.15,38.10,38.95,0.75,2619,243572455
104/04/23,5020802,39.05,39.60,38.90,39.30,0.35,2647,197201759
104/04/24,9481238,39.30,40.45,39.30,39.55,0.25,4957,377911406
104/04/27,6203122,39.75,40.55,39.60,40.45,0.90,2755,249775480
104/04/28,6919423,40.45,40.45,39.60,39.85,-0.60,3229,275703881
104/04/29,3918723,40.00,40.30,39.60,39.85,,2276,156340883
104/04/30,8384518,39.85,40.00,38.65,38.80,-1.05,4461,327709075
104/05/04,2415172,39.00,39.40,39.00,39.05,0.25,1329,94644023
104/05/05,1721012,39.40,39.40,38.85,39.15,0.10,1341,67236249
104/05/06,2486884,39.50,39.50,38.90,39.20,0.05,1541,97784397
104/05/07,4140240,38.90,39.00,38.20,38.40,-0.80,1959,159729547
104/05/08,3093484,38.80,38.85,38.30,38.65,0.25,1568,119222874
104/05/11,3440932,38.65,38.75,38.35,38.40,-0.25,1667,132503678
104/05/12,5742177,38.50,38.70,37.60,37.90,-0.50,2371,218669545
104/05/13,5650046,38.30,38.70,37.95,38.40,0.50,2391,216360459
104/05/14,14948864,39.20,39.40,38.85,39.40,1.00,5161,585145892
104/05/15,5429252,39.50,39.50,38.70,38.80,-0.60,2280,211813466
104/05/18,3345723,38.60,38.80,38.30,38.40,-0.40,1820,128628598
104/05/19,6436999,38.80,39.30,38.50,39.30,0.90,2175,251409891
104/05/20,7178728,39.40,39.40,38.35,38.65,-0.65,2848,277891955
104/05/21,3775483,38.30,38.50,37.90,38.40,-0.25,2142,144415536
104/05/22,3257888,38.70,38.90,38.35,38.75,0.35,2012,126143465
104/05/25,2140839,39.05,39.05,38.40,39.05,0.30,1206,83337122
104/05/26,1774915,39.30,39.35,38.75,39.10,0.05,975,69373668
104/05/27,3196676,38.75,39.35,38.70,39.35,0.25,1680,125031054
104/05/28,4448280,39.35,39.50,38.90,39.40,0.05,2040,174796963
104/05/29,3852923,39.40,39.50,39.25,39.40,,1206,151858666
104/06/01,3848124,39.40,39.50,38.25,39.00,-0.40,2453,149296116
104/06/02,3274453,38.95,39.20,38.35,39.05,0.05,2157,127483067
104/06/03,3013035,39.10,39.30,38.80,39.05,,1424,117606602
104/06/04,4325789,38.70,39.00,38.05,38.50,-0.55,2564,166501656
104/06/05,4351077,38.45,38.45,38.00,38.40,-0.10,2380,166117542
104/06/08,7000068,37.50,37.80,36.65,37.20,-1.20,2993,260398065
104/06/09,5327142,36.90,37.15,36.30,36.55,-0.65,2572,195141617
104/06/10,5157500,36.30,36.80,36.10,36.10,-0.45,2589,186701887
104/06/11,8417649,36.10,36.25,35.40,35.40,-0.70,3604,299802847
104/06/12,4547287,35.35,35.70,35.25,35.30,-0.10,3006,160860534
104/06/15,4848851,35.40,35.90,35.30,35.30,,2433,172022723
104/06/16,5553137,35.95,35.95,35.25,35.30,,2963,196962340
104/06/17,6735466,35.80,36.10,35.30,35.30,,4287,239595561
104/06/18,5895549,35.80,36.15,35.30,35.90,0.60,3249,210990191
104/06/22,5807959,36.00,36.35,35.40,35.40,-0.50,3371,207363275
104/06/23,4830414,35.75,35.95,35.50,35.90,0.50,2617,172677249
104/06/24,2785939,35.90,35.95,35.70,35.95,0.05,1413,99859293
104/06/25,6576007,36.05,36.50,35.60,36.10,0.15,3123,237370934
104/06/26,2744705,36.05,36.60,36.05,36.50,0.40,1755,99910382
104/06/29,4603594,36.00,36.00,35.35,35.35,-1.15,2711,163528339
104/06/30,3884198,35.30,36.20,35.30,36.20,0.85,1822,138972543
104/07/01,5234565,35.75,35.95,35.40,35.70,-0.50,2517,186768435
104/07/02,3574164,35.60,36.10,35.60,36.00,0.30,1858,128521567
104/07/03,2495765,35.75,36.10,35.55,36.00,,1192,89532850
104/07/06,2624420,35.60,36.00,35.45,35.75,-0.25,1071,93499058
104/07/07,3946137,35.80,36.30,35.80,36.25,0.50,2149,142254832
104/07/08,6705940,35.90,35.90,35.25,35.30,-0.95,2607,237514562
104/07/09,7438903,35.00,35.35,34.30,35.25,-0.05,2684,258858973
104/07/13,5889561,34.80,35.15,34.55,34.90,-0.35,3384,205140031
104/07/14,4894091,35.05,35.80,34.85,35.55,0.65,2650,173082513
104/07/15,4816764,35.95,36.30,35.65,35.95,0.40,2572,173460558
