東訊            ,	2321
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,188001,2.66,2.99,2.66,2.99,0.19,30,550912
104/01/06,92115,2.99,2.99,2.81,2.81,-0.18,22,262546
104/01/07,61006,2.80,2.85,2.80,2.80,-0.01,16,171435
104/01/08,49300,2.70,2.88,2.63,2.63,-0.17,17,130631
104/01/09,46000,2.63,2.65,2.63,2.63,,18,121017
104/01/12,105021,2.50,2.78,2.50,2.56,-0.07,27,271558
104/01/13,20456,2.55,2.60,2.55,2.60,0.04,19,52451
104/01/14,37741,2.69,2.69,2.55,2.56,-0.04,16,97620
104/01/15,31073,2.56,2.59,2.56,2.59,0.03,15,79608
104/01/16,105439,2.59,2.67,2.59,2.67,0.08,19,274267
104/01/19,109844,2.67,2.80,2.67,2.80,0.13,24,301879
104/01/20,68003,2.90,2.93,2.70,2.70,-0.10,16,196606
104/01/21,80440,2.85,2.85,2.55,2.60,-0.10,23,210960
104/01/22,84502,2.75,2.75,2.65,2.75,0.15,31,227753
104/01/23,56180,2.63,2.81,2.62,2.63,-0.12,29,151027
104/01/26,153853,2.75,2.81,2.75,2.81,0.18,39,428745
104/01/27,458605,3.00,3.00,2.88,3.00,0.19,71,1363605
104/01/28,193084,3.10,3.10,3.09,3.10,0.10,47,598205
104/01/29,104523,2.91,2.93,2.89,2.93,-0.17,29,304037
104/01/30,111762,2.92,2.99,2.80,2.96,0.03,25,328851
104/02/02,52298,2.80,2.96,2.80,2.96,,21,151954
104/02/03,35000,2.90,2.98,2.90,2.90,-0.06,9,101740
104/02/04,83974,2.72,2.90,2.72,2.80,-0.10,23,232745
104/02/05,78687,2.70,2.77,2.70,2.70,-0.10,24,214034
104/02/06,85009,2.61,2.66,2.60,2.60,-0.10,20,221752
104/02/09,91671,2.61,2.61,2.50,2.60,,24,234003
104/02/10,9000,2.53,2.60,2.53,2.60,,3,23120
104/02/11,52027,2.54,2.54,2.51,2.54,-0.06,14,130873
