倫飛            ,	2364
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,341349,3.47,3.51,3.37,3.48,0.03,73,1188205
104/01/06,129840,3.40,3.45,3.39,3.40,-0.08,24,442315
104/01/07,131389,3.35,3.48,3.35,3.44,0.04,42,447840
104/01/08,162444,3.50,3.53,3.41,3.49,0.05,61,565200
104/01/09,106397,3.41,3.49,3.40,3.49,,38,364456
104/01/12,166872,3.38,3.54,3.38,3.42,-0.07,47,575483
104/01/13,237110,3.45,3.51,3.45,3.49,0.07,52,824728
104/01/14,134995,3.49,3.53,3.45,3.49,,40,470308
104/01/15,261861,3.41,3.52,3.40,3.42,-0.07,56,897497
104/01/16,149787,3.35,3.44,3.33,3.36,-0.06,50,505053
104/01/19,512678,3.51,3.55,3.33,3.34,-0.02,123,1784132
104/01/20,206732,3.43,3.44,3.34,3.35,0.01,54,696459
104/01/21,181042,3.38,3.43,3.32,3.38,0.03,61,610341
104/01/22,190873,3.38,3.39,3.34,3.36,-0.02,58,640286
104/01/23,245036,3.35,3.43,3.32,3.33,-0.03,63,824790
104/01/26,99162,3.33,3.36,3.33,3.33,,31,330616
104/01/27,320597,3.36,3.41,3.22,3.37,0.04,75,1069978
104/01/28,146475,3.38,3.39,3.33,3.37,,45,494283
104/01/29,222213,3.41,3.41,3.26,3.31,-0.06,42,739081
104/01/30,259978,3.39,3.39,3.29,3.33,0.02,51,868324
104/02/02,178161,3.30,3.34,3.25,3.26,-0.07,52,587647
104/02/03,196326,3.23,3.32,3.21,3.32,0.06,55,643532
104/02/04,90918,3.28,3.38,3.26,3.35,0.03,37,299550
104/02/05,259997,3.28,3.30,3.25,3.27,-0.08,41,853085
104/02/06,88414,3.34,3.34,3.25,3.29,0.02,30,290899
104/02/09,124047,3.33,3.33,3.26,3.29,,39,406254
104/02/10,275437,3.31,3.31,3.21,3.22,-0.07,49,891017
104/02/11,435771,3.22,3.22,3.02,3.08,-0.14,72,1355577
104/02/12,535267,3.16,3.16,2.96,2.98,-0.10,83,1604045
104/02/13,301751,2.95,3.07,2.95,3.05,0.07,59,904304
104/02/24,247865,3.05,3.13,3.01,3.08,0.03,53,761633
104/02/25,214006,3.01,3.08,3.01,3.08,,50,658078
104/02/26,233227,3.08,3.14,3.05,3.09,0.01,58,720811
104/03/02,287006,3.09,3.17,3.05,3.05,-0.04,43,882431
104/03/03,182905,3.10,3.12,3.05,3.10,0.05,37,566647
104/03/04,178734,3.10,3.12,3.07,3.10,,49,553982
104/03/05,156571,3.13,3.13,3.06,3.13,0.03,39,486673
104/03/06,153087,3.10,3.15,3.10,3.15,0.02,44,479852
104/03/09,637629,3.18,3.27,3.18,3.25,0.10,112,2074415
104/03/10,696893,3.28,3.47,3.26,3.47,0.22,144,2346377
104/03/11,637694,3.57,3.57,3.40,3.45,-0.02,128,2223452
104/03/12,472236,3.50,3.50,3.41,3.45,,63,1631997
104/03/13,533396,3.45,3.51,3.40,3.45,,82,1835255
104/03/16,404441,3.45,3.49,3.45,3.46,0.01,60,1403273
104/03/17,459751,3.46,3.51,3.43,3.47,0.01,84,1597331
104/03/18,268968,3.47,3.47,3.45,3.47,,64,929743
104/03/19,344601,3.47,3.49,3.43,3.43,-0.04,52,1189930
104/03/20,611131,3.39,3.44,3.30,3.43,,85,2064794
104/03/23,135745,3.45,3.45,3.38,3.38,-0.05,112,460344
104/03/24,275802,3.37,3.38,3.30,3.33,-0.05,131,918914
104/03/25,229241,3.30,3.33,3.23,3.25,-0.08,109,750845
104/03/26,151384,3.17,3.28,3.15,3.25,,87,485344
104/03/27,70561,3.26,3.26,3.20,3.25,,58,228755
104/03/30,283992,3.20,3.26,3.20,3.20,-0.05,94,913561
104/03/31,330754,3.22,3.22,3.16,3.20,,87,1056562
104/04/01,410191,3.20,3.27,3.13,3.25,0.05,112,1318420
104/04/02,345668,3.25,3.25,3.20,3.25,,140,1118579
104/04/07,167484,3.25,3.26,3.21,3.25,,119,543604
104/04/08,140116,3.25,3.36,3.20,3.28,0.03,151,458657
104/04/09,246508,3.30,3.32,3.25,3.25,-0.03,52,807430
104/04/10,332515,3.25,3.35,3.20,3.30,0.05,29,1076469
104/04/13,283168,3.30,3.38,3.30,3.36,0.06,54,947596
104/04/14,88244,3.38,3.38,3.30,3.30,-0.06,35,293428
104/04/15,393793,3.40,3.40,3.31,3.40,0.10,53,1322901
104/04/16,143831,3.44,3.44,3.33,3.36,-0.04,39,484925
104/04/17,639100,3.32,3.36,3.13,3.13,-0.23,92,2036038
104/04/20,159958,3.02,3.12,2.99,3.06,-0.07,45,486558
104/04/21,124736,3.01,3.09,3.01,3.09,0.03,37,377039
104/04/22,226624,3.05,3.09,3.01,3.03,-0.06,34,686172
104/04/23,225481,3.01,3.09,3.01,3.02,-0.01,37,680403
104/04/24,164201,3.03,3.10,3.03,3.08,0.06,45,503412
104/04/27,476577,3.04,3.04,2.96,3.01,-0.07,72,1428223
104/04/28,266010,2.96,3.07,2.96,2.98,-0.03,60,799408
104/04/29,562751,2.98,3.00,2.93,2.93,-0.05,68,1670360
104/04/30,655938,3.04,3.05,2.88,3.00,0.07,76,1924467
104/05/04,326701,3.04,3.10,2.96,3.01,0.01,54,994986
104/05/05,171461,3.00,3.08,3.00,3.00,-0.01,28,514632
104/05/06,67663,2.97,2.98,2.95,2.97,-0.03,31,200692
104/05/07,103015,2.92,3.00,2.92,2.95,-0.02,32,303999
104/05/08,102981,2.93,3.03,2.93,3.00,0.05,26,309851
104/05/11,127999,3.05,3.05,2.95,3.03,0.03,29,382447
104/05/12,77211,2.95,3.03,2.95,2.96,-0.07,21,232055
104/05/13,36296,2.96,3.03,2.96,2.97,0.01,23,108346
104/05/14,38556,2.91,3.05,2.91,2.95,-0.02,17,114757
104/05/15,74934,2.91,3.02,2.91,3.00,0.05,27,224082
104/05/18,42684,2.91,3.00,2.91,2.93,-0.07,25,127340
104/05/19,109711,2.90,2.97,2.90,2.92,-0.01,46,320988
104/05/20,57907,2.90,2.95,2.90,2.93,0.01,17,168706
104/05/21,39902,2.90,2.98,2.90,2.93,,10,116744
104/05/22,126348,2.88,2.88,2.86,2.86,-0.07,40,362512
104/05/25,194971,2.86,2.88,2.71,2.77,-0.09,38,550250
104/05/26,53703,2.85,2.85,2.73,2.80,0.03,21,150470
104/05/27,66658,2.80,2.80,2.73,2.74,-0.06,22,182408
104/05/28,115987,2.74,2.82,2.73,2.81,0.07,36,321260
104/05/29,339087,2.74,2.80,2.70,2.77,-0.04,42,923950
104/06/01,176632,2.80,2.80,2.69,2.70,-0.07,44,479407
104/06/02,66847,2.69,2.78,2.68,2.70,,24,180006
104/06/03,79131,2.63,2.70,2.63,2.70,,20,209423
104/06/04,120337,2.62,2.72,2.61,2.68,-0.02,32,318422
104/06/05,171817,2.63,2.65,2.50,2.63,-0.05,26,439889
104/06/08,47937,2.54,2.54,2.43,2.50,-0.13,23,119858
104/06/09,299483,2.59,2.59,2.25,2.38,-0.12,53,700034
104/06/10,143618,2.29,2.37,2.28,2.34,-0.04,27,331410
104/06/11,154088,2.45,2.45,2.15,2.15,-0.19,36,344116
104/06/12,315291,2.16,2.25,2.10,2.17,0.02,44,676396
104/06/15,130115,2.11,2.18,2.07,2.15,-0.02,30,273945
104/06/16,86609,2.11,2.17,2.06,2.14,-0.01,25,183909
104/06/17,89998,2.19,2.19,2.11,2.13,-0.01,25,193662
104/06/18,187001,2.04,2.23,2.04,2.23,0.10,28,386012
104/06/22,349367,2.06,2.16,2.06,2.10,-0.13,41,732334
104/06/23,138193,2.12,2.12,2.07,2.10,,26,288290
104/06/24,108209,2.14,2.14,2.08,2.08,-0.02,19,227178
104/06/25,65070,2.01,2.17,2.01,2.17,0.09,22,138101
104/06/26,86432,2.11,2.19,2.11,2.11,-0.06,23,185977
104/06/29,42000,2.03,2.14,2.03,2.05,-0.06,10,86420
104/06/30,55401,2.03,2.12,2.03,2.04,-0.01,19,114437
104/07/01,158858,2.12,2.24,2.10,2.24,0.20,28,352029
104/07/02,546548,2.46,2.46,2.30,2.40,0.16,92,1339688
104/07/03,307333,2.38,2.38,2.27,2.28,-0.12,62,707610
104/07/06,97001,2.29,2.48,2.29,2.32,0.04,24,232102
104/07/07,69581,2.31,2.41,2.30,2.30,-0.02,15,161532
104/07/08,124043,2.38,2.38,2.27,2.36,0.06,29,287210
104/07/09,105606,2.26,2.40,2.17,2.40,0.04,25,240393
104/07/13,2733,2.31,2.31,2.31,2.31,-0.09,6,6069
104/07/14,70716,2.43,2.43,2.40,2.43,0.12,18,170931
104/07/15,133134,2.50,2.50,2.29,2.30,-0.13,26,318177
104/07/16,19837,2.30,2.36,2.27,2.36,0.06,11,45472
104/07/17,47296,2.27,2.41,2.27,2.40,0.04,16,111609
104/07/20,188000,2.31,2.31,2.22,2.22,-0.18,30,421940
104/07/21,50998,2.20,2.20,2.16,2.17,-0.05,16,110396
104/07/22,59531,2.07,2.36,2.07,2.29,0.12,16,133405
104/07/23,50000,2.29,2.29,2.10,2.21,-0.08,15,106900
104/07/24,202217,2.06,2.13,2.06,2.07,-0.14,38,417724
104/07/27,56616,2.02,2.10,2.00,2.05,-0.02,23,114366
104/07/28,384810,2.01,2.05,1.85,1.85,-0.20,52,737297
104/07/29,66338,1.76,1.85,1.76,1.82,-0.03,15,120194
104/07/30,64000,1.95,1.95,1.93,1.93,0.11,14,124260
104/07/31,216152,1.82,1.90,1.76,1.76,-0.17,42,391440
