威盛            ,	2388
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1277587,11.00,11.50,10.90,11.50,0.60,313,14394185
104/01/06,873762,11.30,11.70,11.05,11.65,0.15,244,10002593
104/01/07,780900,11.60,11.85,11.60,11.75,0.10,190,9133624
104/01/08,978872,11.80,12.20,11.80,12.10,0.35,212,11736629
104/01/09,506188,12.30,12.35,11.95,12.10,,155,6141046
104/01/12,544239,12.20,12.35,11.30,11.30,-0.80,186,6292943
104/01/13,588431,11.30,11.40,10.90,11.20,-0.10,174,6618801
104/01/14,277921,11.00,11.35,11.00,11.15,-0.05,100,3101009
104/01/15,193665,11.20,11.25,10.90,11.10,-0.05,80,2139244
104/01/16,308243,10.95,11.10,10.65,10.65,-0.45,126,3350901
104/01/19,271015,10.65,11.00,10.65,10.85,0.20,114,2921204
104/01/20,350505,10.85,11.60,10.55,11.60,0.75,115,3940474
104/01/21,451167,11.65,11.70,11.30,11.30,-0.30,118,5176597
104/01/22,353699,11.40,11.85,11.40,11.60,0.30,131,4147094
104/01/23,250783,11.90,11.90,11.40,11.60,,117,2932963
104/01/26,112799,11.65,11.65,11.30,11.50,-0.10,79,1290686
104/01/27,225010,11.40,11.65,11.30,11.30,-0.20,57,2555659
104/01/28,133938,11.30,11.35,11.05,11.35,0.05,62,1500957
104/01/29,102401,11.10,11.15,10.70,10.90,-0.45,65,1126824
104/01/30,95213,10.95,11.30,10.95,11.15,0.25,60,1062822
104/02/02,124878,11.15,11.20,11.00,11.00,-0.15,62,1382219
104/02/03,141989,10.80,10.85,10.60,10.80,-0.20,86,1518523
104/02/04,267184,10.90,10.90,10.35,10.45,-0.35,107,2810704
104/02/05,126824,10.55,10.60,10.40,10.50,0.05,62,1332414
104/02/06,254653,11.20,11.20,10.65,10.70,0.20,143,2764481
104/02/09,116531,10.75,10.75,10.45,10.50,-0.20,63,1246170
104/02/10,123146,10.30,10.85,10.30,10.75,0.25,78,1307880
104/02/11,107609,10.80,10.90,10.55,10.85,0.10,79,1160161
104/02/12,137815,10.85,11.10,10.70,10.95,0.10,88,1502134
104/02/13,173312,10.75,11.20,10.75,10.75,-0.20,98,1879247
104/02/24,100547,10.75,10.90,10.75,10.80,0.05,85,1084798
104/02/25,201965,10.80,10.90,10.65,10.70,-0.10,115,2166627
104/02/26,187402,10.70,10.80,10.60,10.60,-0.10,100,2017307
104/03/02,161052,10.90,10.90,10.60,10.70,0.10,83,1728845
104/03/03,164367,10.50,10.60,10.40,10.55,-0.15,75,1721077
104/03/04,224728,10.55,10.55,10.10,10.15,-0.40,122,2301527
104/03/05,538318,10.65,10.85,10.55,10.75,0.60,181,5795525
104/03/06,252436,10.50,10.60,10.15,10.55,-0.20,103,2617423
104/03/09,85128,10.35,10.50,10.30,10.30,-0.25,57,880415
104/03/10,118154,10.30,10.50,10.30,10.50,0.20,65,1224227
104/03/11,184021,10.50,10.50,10.15,10.45,-0.05,97,1902811
104/03/12,142217,10.40,10.45,10.10,10.10,-0.35,89,1453377
104/03/13,284016,10.15,10.40,10.15,10.30,0.20,116,2915798
104/03/16,134808,10.10,10.35,10.05,10.30,,69,1376485
104/03/17,1394979,10.00,10.10,9.58,9.58,-0.72,325,13446870
104/03/18,486985,9.50,9.78,9.10,9.14,-0.44,191,4617375
104/03/19,703692,9.10,9.14,8.55,8.87,-0.27,297,6249288
104/03/20,1963108,8.42,8.74,8.25,8.25,-0.62,381,16324859
104/03/23,936625,8.20,8.20,7.78,7.82,-0.43,282,7402589
104/03/24,699316,7.85,8.36,7.85,8.36,0.54,218,5815200
104/03/25,815754,8.56,8.89,8.50,8.81,0.45,373,7173130
104/03/26,477922,8.52,9.41,8.52,9.30,0.49,195,4401301
104/03/27,876399,9.38,9.78,9.31,9.64,0.34,423,8445183
104/03/30,297777,9.50,9.57,9.01,9.23,-0.41,139,2739090
104/03/31,282771,8.91,9.20,8.90,8.95,-0.28,136,2530186
104/04/01,333900,9.22,9.22,8.52,8.52,-0.43,137,2981251
104/04/02,177128,8.50,8.75,8.50,8.53,0.01,130,1521399
104/04/07,95344,8.33,8.54,8.33,8.50,-0.03,85,810827
104/04/08,199220,8.45,8.51,8.31,8.33,-0.17,105,1670266
104/04/09,320810,8.30,8.33,8.01,8.07,-0.26,176,2595300
104/04/10,68627,8.10,8.27,8.07,8.20,0.13,90,558967
104/04/13,177817,8.05,8.45,8.05,8.32,0.12,81,1477870
104/04/14,123884,8.32,8.61,8.32,8.50,0.18,95,1038254
104/04/15,375351,9.09,9.09,9.09,9.09,0.59,154,3411920
104/04/16,1145571,9.72,9.72,8.92,9.30,0.21,411,10969456
104/04/17,177364,9.28,9.28,8.94,9.09,-0.21,96,1604426
104/04/20,463826,9.10,9.69,9.06,9.46,0.37,188,4330559
104/04/21,248978,9.45,9.45,9.08,9.13,-0.33,125,2294555
104/04/22,330517,9.20,9.29,8.78,8.90,-0.23,87,2962821
104/04/23,134259,8.90,9.00,8.70,8.90,,84,1191031
104/04/24,170339,8.90,8.90,8.50,8.65,-0.25,127,1464875
104/04/27,103646,8.60,8.90,8.50,8.90,0.25,106,896120
104/04/28,234444,8.88,8.88,8.45,8.49,-0.41,114,2006482
104/04/29,220838,8.52,8.70,8.50,8.56,0.07,100,1888718
104/04/30,618669,8.60,9.15,8.50,9.15,0.59,242,5558094
104/05/04,228353,9.39,9.45,9.17,9.17,0.02,147,2124603
104/05/05,187853,9.17,9.17,8.85,8.90,-0.27,86,1701002
104/05/06,485752,8.78,8.90,8.65,8.66,-0.24,105,4231922
104/05/07,85593,8.70,8.75,8.60,8.75,0.09,54,744803
104/05/08,143042,8.62,8.75,8.60,8.64,-0.11,58,1235376
104/05/11,245459,8.60,8.62,8.04,8.04,-0.60,91,2006967
104/05/12,238297,8.05,8.05,7.49,7.83,-0.21,105,1840558
104/05/13,478318,8.37,8.37,8.07,8.37,0.54,157,3991468
104/05/14,356026,8.94,8.94,8.40,8.53,0.16,142,3105744
104/05/15,294060,8.80,9.12,8.67,8.74,0.21,136,2638076
104/05/18,128495,8.74,8.74,8.16,8.25,-0.49,72,1080452
104/05/19,459574,7.80,8.00,7.75,7.86,-0.39,176,3593653
104/05/20,177383,7.86,7.86,7.79,7.79,-0.07,91,1383827
104/05/21,99999,7.78,8.06,7.77,8.05,0.26,52,791162
104/05/22,123399,7.90,8.05,7.81,7.90,-0.15,58,972645
104/05/25,226261,8.28,8.29,8.25,8.29,0.39,77,1872407
104/05/26,101479,7.96,7.96,7.90,7.90,-0.39,50,807228
104/05/27,109888,7.90,7.93,7.81,7.81,-0.09,54,865628
104/05/28,145138,7.90,7.93,7.82,7.83,0.02,62,1143510
104/05/29,188403,7.85,7.85,7.77,7.77,-0.06,87,1465145
104/06/01,115301,7.80,7.80,7.60,7.80,0.03,57,897681
104/06/02,144859,7.80,8.27,7.80,7.85,0.05,87,1148845
104/06/03,622650,7.61,7.61,7.07,7.07,-0.78,179,4504592
104/06/04,561755,6.60,7.44,6.60,7.40,0.33,188,4013386
104/06/05,285388,6.85,7.40,6.85,7.40,,88,2067036
104/06/08,721770,6.66,6.78,6.66,6.69,-0.71,137,4824979
104/06/09,715300,6.50,6.50,6.03,6.20,-0.49,154,4408382
104/06/10,321878,6.82,6.82,6.21,6.26,0.06,99,2029763
104/06/11,110681,6.26,6.26,6.13,6.15,-0.11,53,686986
104/06/12,137779,6.05,6.10,6.00,6.00,-0.15,63,828617
104/06/15,256963,6.00,6.01,5.80,5.80,-0.20,95,1527643
104/06/16,354187,5.80,5.90,5.40,5.40,-0.40,90,1973735
104/06/17,348030,5.40,5.40,5.10,5.10,-0.30,124,1803944
104/06/18,210318,5.11,5.30,5.11,5.21,0.11,75,1087880
104/06/22,333206,5.21,5.24,5.10,5.10,-0.11,92,1730100
104/06/23,175218,5.10,5.20,5.10,5.12,0.02,69,898488
104/06/24,350719,5.06,5.40,5.00,5.20,0.08,96,1776465
104/06/25,111942,5.22,5.29,5.22,5.22,0.02,66,587739
104/06/26,163825,5.23,5.23,5.10,5.10,-0.12,66,841679
104/06/29,73294,5.00,5.00,4.91,4.91,-0.19,40,362585
104/06/30,167872,5.00,5.15,5.00,5.15,0.24,89,856200
104/07/01,137116,5.19,5.25,5.19,5.20,0.05,68,714700
104/07/02,154999,5.03,5.10,5.01,5.02,-0.18,62,784643
104/07/03,161905,4.91,5.00,4.91,5.00,-0.02,48,808935
104/07/06,361684,5.00,5.36,5.00,5.36,0.36,85,1869918
104/07/07,51078,5.32,5.32,5.15,5.20,-0.16,36,267304
104/07/08,489105,5.20,5.20,5.03,5.10,-0.10,52,2497075
104/07/09,191700,5.10,5.39,5.10,5.30,0.20,58,1014580
104/07/13,158535,5.36,5.36,5.13,5.20,-0.10,39,826583
104/07/14,150061,5.35,5.35,5.15,5.20,,51,781897
104/07/15,140374,5.16,5.30,5.13,5.30,0.10,49,734226
104/07/16,73612,5.50,5.50,5.21,5.32,0.02,47,390144
104/07/17,174999,5.38,5.40,5.25,5.31,-0.01,61,935244
104/07/20,106600,5.21,5.30,5.20,5.21,-0.10,46,560827
104/07/21,159762,5.30,5.30,5.00,5.00,-0.21,49,830623
104/07/22,183230,5.00,5.10,4.91,5.10,0.10,55,921522
104/07/23,96660,5.05,5.29,5.05,5.10,,60,500521
104/07/24,120276,4.80,5.12,4.80,5.10,,42,605944
104/07/27,154828,5.01,5.10,4.59,4.59,-0.51,53,759945
104/07/28,112084,4.30,4.79,4.30,4.51,-0.08,63,504527
