友旺            ,	2444
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,502045,16.30,16.45,16.00,16.15,,204,8125215
104/01/06,570808,16.15,16.15,15.60,15.75,-0.40,212,8999448
104/01/07,336133,16.00,16.00,15.70,15.80,0.05,157,5308379
104/01/08,406293,16.00,16.10,15.80,16.10,0.30,178,6489488
104/01/09,1557151,16.20,17.20,16.20,16.55,0.45,659,25943370
104/01/12,374018,16.40,16.55,16.20,16.45,-0.10,187,6118785
104/01/13,393649,16.30,16.75,16.30,16.55,0.10,204,6492407
104/01/14,1133019,17.15,17.15,16.65,16.95,0.40,494,19200196
104/01/15,478001,16.95,17.00,16.65,16.95,,221,8042505
104/01/16,3813682,16.90,17.90,16.80,17.55,0.60,1196,66824462
104/01/19,3651298,17.80,18.40,17.80,18.00,0.45,1386,66012490
104/01/20,1840072,18.00,18.45,17.60,18.30,0.30,802,33226333
104/01/21,3828602,18.45,19.50,18.45,19.50,1.20,1663,73212262
104/01/22,6040001,19.50,20.35,18.60,18.75,-0.75,2172,118268097
104/01/23,2290726,18.75,19.20,18.30,18.45,-0.30,1034,42858098
104/01/26,1359425,18.55,19.10,18.20,19.00,0.55,600,25360908
104/01/27,951363,19.20,19.30,18.65,18.70,-0.30,399,17984242
104/01/28,631860,18.35,18.90,18.35,18.85,0.15,290,11804111
104/01/29,556719,18.65,18.85,18.50,18.80,-0.05,246,10399734
104/01/30,521912,18.85,19.20,18.65,18.95,0.15,246,9851033
104/02/02,593853,19.00,19.00,18.65,18.85,-0.10,218,11158584
104/02/03,461601,18.85,18.90,18.55,18.75,-0.10,201,8619139
104/02/04,376301,18.95,18.95,18.50,18.65,-0.10,151,7012126
104/02/05,459885,18.60,18.75,18.30,18.40,-0.25,197,8474639
104/02/06,960557,18.35,18.50,17.90,18.10,-0.30,343,17346826
104/02/09,737093,17.95,18.00,17.40,17.50,-0.60,271,12980660
104/02/10,598107,17.10,17.65,17.10,17.50,,207,10394797
104/02/11,335072,17.50,18.00,17.40,17.65,0.15,207,5924979
104/02/12,196361,17.65,17.70,17.40,17.60,-0.05,91,3437462
104/02/13,237162,17.60,17.85,17.40,17.50,-0.10,117,4146864
104/02/24,323224,18.00,18.00,17.30,17.60,0.10,148,5677060
104/02/25,302120,17.75,17.75,17.40,17.55,-0.05,138,5282440
104/02/26,230072,17.50,17.55,17.30,17.55,,115,4016450
104/03/02,227464,17.60,17.65,17.45,17.50,-0.05,104,3984209
104/03/03,265745,17.45,17.50,17.35,17.50,,108,4629477
104/03/04,269463,17.50,17.50,17.30,17.45,-0.05,137,4686098
104/03/05,718007,17.45,18.55,17.30,18.55,1.10,350,12876317
104/03/06,640811,18.55,18.55,18.15,18.45,-0.10,293,11808476
104/03/09,840734,18.45,18.90,18.20,18.65,0.20,325,15624788
104/03/10,445176,18.65,19.00,18.45,18.65,,211,8327411
104/03/11,234275,18.40,18.55,18.40,18.55,-0.10,139,4333595
104/03/12,414842,18.55,18.80,18.50,18.65,0.10,177,7717694
104/03/13,287288,19.00,19.00,18.45,18.55,-0.10,130,5369119
104/03/16,299002,18.50,18.50,17.75,18.20,-0.35,199,5390426
104/03/17,287711,18.40,18.40,17.80,18.00,-0.20,127,5156158
104/03/18,168684,18.00,18.00,17.80,17.85,-0.15,104,3017138
104/03/19,283550,18.00,18.05,17.70,17.80,-0.05,159,5050355
104/03/20,270761,17.80,17.90,17.50,17.80,,184,4779538
104/03/23,176361,17.75,17.90,17.60,17.80,,170,3132184
104/03/24,245046,17.80,17.85,17.55,17.60,-0.20,137,4321540
104/03/25,385805,18.10,18.25,17.75,17.95,0.35,282,6947114
104/03/26,200446,17.60,17.85,17.55,17.70,-0.25,194,3536474
104/03/27,304990,17.65,17.70,17.35,17.35,-0.35,231,5324908
104/03/30,240557,17.35,17.35,17.10,17.25,-0.10,232,4134961
104/03/31,216719,17.25,17.55,17.10,17.25,,148,3725336
104/04/01,246493,17.25,17.45,17.05,17.45,0.20,122,4248741
104/04/02,120035,17.45,17.45,17.10,17.40,-0.05,130,2070834
104/04/07,150787,17.25,17.40,17.10,17.20,-0.20,208,2590606
104/04/08,376217,17.40,17.40,17.00,17.20,,239,6415846
104/04/09,2062526,17.10,18.40,17.05,17.65,0.45,477,37242670
