龍邦            ,	2514
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,252155,20.00,20.00,19.55,19.80,-0.40,113,4970867
104/01/06,51405,19.65,19.65,19.50,19.50,-0.30,43,1007405
104/01/07,299010,19.50,20.05,19.50,19.85,0.35,101,5945690
104/01/08,771969,19.85,21.10,19.85,21.10,1.25,271,15953301
104/01/09,2226497,21.10,22.55,21.00,22.55,1.45,663,49768650
104/01/12,3951729,22.90,24.10,22.90,23.60,1.05,1121,94381725
104/01/13,1882612,23.30,24.20,23.05,23.60,,638,44051044
104/01/14,1579268,23.60,24.60,23.50,23.95,0.35,539,37860216
104/01/15,817396,24.05,24.05,23.70,24.00,0.05,272,19561425
104/01/16,2583140,24.00,24.00,22.35,22.90,-1.10,514,59869989
104/01/19,2006157,22.85,23.20,22.20,22.85,-0.05,333,45111808
104/01/20,1085044,23.00,23.50,22.75,23.00,0.15,264,25165351
104/01/21,962694,22.85,23.10,22.35,22.80,-0.20,235,21907350
104/01/22,749119,23.00,23.25,22.75,22.85,0.05,219,17183695
104/01/23,1207118,23.10,23.25,22.75,22.90,0.05,188,27634782
104/01/26,450742,22.90,23.00,22.55,22.55,-0.35,140,10210155
104/01/27,949410,22.50,23.50,22.40,23.15,0.60,255,21929200
104/01/28,1216211,22.70,24.25,22.65,23.90,0.75,428,28811290
104/01/29,1014001,24.50,24.75,24.05,24.10,0.20,336,24688574
104/01/30,702654,24.30,24.30,23.35,23.35,-0.75,191,16599817
104/02/02,1393862,23.35,23.45,23.15,23.30,-0.05,91,32469306
104/02/03,349794,23.65,23.90,23.30,23.90,0.60,102,8236391
104/02/04,451754,23.90,24.15,23.75,23.75,-0.15,162,10816690
104/02/05,213800,23.95,23.95,23.50,23.50,-0.25,72,5044258
104/02/06,860672,23.70,23.90,23.70,23.80,0.30,121,20486454
104/02/09,470543,24.20,24.20,23.55,23.55,-0.25,123,11326555
104/02/10,309000,23.50,23.90,23.30,23.70,0.15,154,7343250
104/02/11,382008,24.00,24.00,22.90,22.90,-0.80,178,8948931
104/02/12,691381,22.90,23.25,22.45,22.80,-0.10,114,15780891
104/02/13,861690,22.80,22.95,22.65,22.85,0.05,116,19665469
104/02/24,122485,22.85,23.15,22.65,22.75,-0.10,93,2800754
104/02/25,80719,22.75,22.90,22.65,22.70,-0.05,44,1838894
104/02/26,76447,22.95,23.05,22.80,22.85,0.15,59,1751166
104/03/02,1181175,22.75,23.45,22.75,23.40,0.55,149,27593623
104/03/03,1496826,23.50,23.60,23.10,23.10,-0.30,102,34592308
104/03/04,355010,23.15,23.50,22.95,22.95,-0.15,80,8191473
104/03/05,1347451,23.40,23.40,22.85,23.15,0.20,61,31168423
104/03/06,588779,23.15,23.95,23.00,23.80,0.65,137,13843516
104/03/09,150022,23.70,23.80,23.60,23.70,-0.10,86,3558012
104/03/10,339010,24.00,24.05,23.45,23.85,0.15,117,8089530
104/03/11,236115,23.80,23.85,23.45,23.45,-0.40,118,5568731
104/03/12,129985,23.70,23.70,23.15,23.25,-0.20,70,3041000
104/03/13,153231,23.50,23.50,22.85,23.00,-0.25,68,3537210
104/03/16,365271,21.55,22.80,21.55,22.80,-0.20,138,8170168
104/03/17,111498,23.00,23.00,22.35,22.35,-0.45,60,2520476
104/03/18,154793,22.50,22.85,22.50,22.85,0.50,94,3507544
104/03/19,305315,22.80,23.35,22.80,23.15,0.30,117,7064889
104/03/20,281709,23.40,23.40,22.65,22.70,-0.45,153,6441997
