華固            ,	2548
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1401464,57.00,57.80,56.90,57.40,0.40,959,80390923
104/01/06,2411424,57.00,57.40,55.50,56.50,-0.90,1377,135446726
104/01/07,3881292,56.00,56.50,54.70,55.50,-1.00,1801,214597252
104/01/08,2405448,56.00,56.60,55.50,55.80,0.30,1480,134794636
104/01/09,1429841,56.10,57.70,55.80,57.20,1.40,997,81075255
104/01/12,1504730,57.30,58.70,56.80,57.80,0.60,1083,87168188
104/01/13,813954,57.90,58.40,57.30,58.00,0.20,627,47108532
104/01/14,1164754,58.30,58.80,58.00,58.60,0.60,933,68060156
104/01/15,2564574,58.80,60.20,58.80,60.20,1.60,1751,152876148
104/01/16,1774709,60.20,60.40,59.20,59.70,-0.50,1206,105976222
104/01/19,855175,60.10,60.50,58.50,59.00,-0.70,644,50723025
104/01/20,969037,58.50,60.70,58.50,60.00,1.00,765,57901513
104/01/21,723833,60.00,60.30,59.10,59.70,-0.30,578,43239626
104/01/22,792010,60.00,60.30,60.00,60.30,0.60,599,47641600
104/01/23,575727,60.80,61.00,59.70,59.80,-0.50,478,34586325
104/01/26,1050846,59.70,59.80,58.40,58.60,-1.20,745,61749256
104/01/27,724361,58.60,59.40,58.50,59.00,0.40,430,42676770
104/01/28,347061,59.40,59.50,58.90,59.10,0.10,276,20550811
104/01/29,289421,58.60,59.20,58.50,59.10,,236,17074781
104/01/30,1746158,60.80,60.80,58.10,58.10,-1.00,1277,103132990
104/02/02,1215488,58.10,58.30,57.20,57.30,-0.80,876,69887452
104/02/03,1343572,57.30,57.40,56.30,56.60,-0.70,971,76103504
104/02/04,1484124,56.70,57.10,55.80,55.80,-0.80,1140,83347252
104/02/05,771300,55.80,56.20,55.10,55.80,,587,42960259
104/02/06,584990,56.00,56.60,56.00,56.30,0.50,433,32914535
104/02/09,410023,56.30,56.50,56.00,56.10,-0.20,322,23035787
104/02/10,439686,56.10,56.60,55.60,56.00,-0.10,335,24660374
104/02/11,815246,56.60,56.80,55.60,55.90,-0.10,509,45862376
104/02/12,492353,56.10,56.30,55.90,56.10,0.20,433,27608300
104/02/13,5125626,57.60,60.00,57.30,60.00,3.90,2802,303055160
104/02/24,3248173,61.00,61.20,58.30,58.30,-1.70,1702,192540480
104/02/25,1399549,58.40,59.40,58.30,59.00,0.70,1008,82551608
104/02/26,1118722,59.10,59.70,58.60,59.50,0.50,675,66378926
104/03/02,817346,59.50,59.50,58.60,59.20,-0.30,594,48207687
104/03/03,1084888,59.00,59.10,58.10,58.80,-0.40,692,63404368
104/03/04,937096,58.10,59.40,58.10,59.40,0.60,633,55398687
104/03/05,1535763,58.80,58.80,57.60,57.70,-1.70,1052,89183417
104/03/06,1309526,57.70,58.10,57.50,57.60,-0.10,580,75614838
104/03/09,779524,57.50,57.80,57.00,57.20,-0.40,568,44689534
104/03/10,1125209,58.50,58.50,57.70,57.70,0.50,875,65300625
104/03/11,817559,58.20,58.20,57.10,57.10,-0.60,622,47027597
104/03/12,4583085,59.80,61.00,58.80,61.00,3.90,2792,275738185
104/03/13,4163352,61.80,62.00,61.00,61.80,0.80,2391,256475424
104/03/16,1693061,61.60,62.00,60.80,61.80,,1361,104082763
104/03/17,2130573,62.00,62.40,61.90,62.30,0.50,1147,132342110
104/03/18,876294,62.30,62.50,61.50,61.60,-0.70,700,54159528
104/03/19,1453415,61.60,62.20,61.60,62.20,0.60,992,90176808
104/03/20,2498193,62.30,62.50,61.60,61.60,-0.60,1158,154671721
104/03/23,1224294,61.60,62.60,61.50,62.60,1.00,769,76154122
104/03/24,1300972,62.60,62.60,61.70,61.90,-0.70,963,80615451
104/03/25,1242477,62.00,62.80,61.90,62.50,0.60,950,77653952
104/03/26,680169,62.20,62.80,62.00,62.70,0.20,546,42438447
104/03/27,876003,62.50,62.80,62.40,62.80,0.10,635,54858285
104/03/30,2282100,63.00,65.00,63.00,64.90,2.10,1497,146873981
104/03/31,1601021,65.90,65.90,63.90,64.00,-0.90,1221,103255349
104/04/01,924842,64.00,64.00,63.10,63.50,-0.50,766,58742864
104/04/02,1198474,63.50,64.40,63.20,64.30,0.80,804,76682421
104/04/07,1308379,64.80,64.90,63.50,64.20,-0.10,951,83922367
104/04/08,2045334,65.00,67.00,64.90,66.90,2.70,1541,135618478
104/04/09,2548834,67.80,68.70,67.10,67.60,0.70,1553,172960674
104/04/10,1059713,68.00,68.50,66.70,67.00,-0.60,805,71150613
104/04/13,2662005,67.60,67.80,67.10,67.70,0.70,572,180108733
104/04/14,1013455,68.00,68.50,67.50,68.10,0.40,654,69104282
104/04/15,784203,68.20,68.50,67.00,67.00,-1.10,532,52983310
104/04/16,792173,66.90,67.90,66.90,67.30,0.30,587,53394555
104/04/17,491985,67.30,67.50,67.00,67.30,,373,33113882
104/04/20,944344,67.30,67.70,66.80,67.20,-0.10,686,63402173
104/04/21,940301,67.30,67.90,66.90,67.00,-0.20,680,63213346
104/04/22,468006,67.00,67.30,67.00,67.00,,366,31423002
104/04/23,511997,67.40,67.80,67.10,67.50,0.50,399,34544795
104/04/24,2261771,67.70,69.00,67.70,69.00,1.50,1371,155294599
104/04/27,1573496,69.00,70.00,68.40,69.00,,1004,108442064
104/04/28,2489715,69.80,73.00,69.10,71.90,2.90,1694,176193885
104/04/29,1341878,72.40,72.40,69.50,70.20,-1.70,995,94926532
104/04/30,952017,70.00,71.00,69.80,70.20,,493,67034293
104/05/04,906921,70.20,71.90,70.00,71.00,0.80,574,64225202
104/05/05,1006360,71.00,71.00,70.30,71.00,,486,71212648
104/05/06,918787,70.90,71.00,70.10,70.50,-0.50,837,64836651
104/05/07,1693642,72.00,72.90,71.10,71.30,0.80,1039,121572105
104/05/08,1370753,71.30,72.00,71.10,71.80,0.50,958,98254488
104/05/11,1069535,72.00,72.10,71.20,71.40,-0.40,688,76527596
104/05/12,1110536,71.50,72.00,70.70,71.00,-0.40,651,79131237
104/05/13,1146455,71.00,71.30,69.80,69.80,-1.20,810,80479850
104/05/14,1008838,69.00,70.40,68.40,70.00,0.20,720,69877660
104/05/15,611247,70.50,70.50,69.30,69.40,-0.60,460,42616637
104/05/18,961208,69.40,70.30,69.30,69.90,0.50,571,66944977
104/05/19,788088,69.90,70.70,69.80,70.60,0.70,579,55230653
104/05/20,999274,70.90,71.50,70.10,71.50,0.90,786,70824905
104/05/21,988730,71.50,71.70,70.30,70.30,-1.20,577,70138653
104/05/22,1088321,70.90,71.20,70.10,70.10,-0.20,696,77014899
104/05/25,1007399,70.10,70.10,68.00,68.10,-2.00,668,69154349
104/05/26,625515,68.10,69.40,68.10,68.80,0.70,453,43043029
104/05/27,550787,68.90,69.00,68.40,68.90,0.10,398,37801763
104/05/28,705181,69.40,70.80,68.90,69.30,0.40,515,49060424
104/05/29,1286481,70.10,73.10,69.00,71.00,1.70,702,90529595
104/06/01,662564,71.00,71.00,69.30,69.50,-1.50,514,46096098
104/06/02,531244,69.20,70.30,69.00,70.00,0.50,417,37095680
104/06/03,467142,70.00,70.00,68.70,68.80,-1.20,349,32236365
104/06/04,799741,68.90,69.40,67.60,68.00,-0.80,634,54905088
104/06/05,1004529,68.20,68.40,66.60,67.00,-1.00,767,67489507
104/06/08,1456962,67.00,69.90,66.30,69.50,2.50,631,98450757
104/06/09,1917109,68.90,69.10,65.80,65.80,-3.70,901,128965294
104/06/10,1130812,66.00,66.80,66.00,66.30,0.50,432,75176715
104/06/11,1039037,66.40,66.80,65.10,66.80,0.50,462,68689270
104/06/12,540772,67.00,68.50,67.00,67.30,0.50,398,36669209
104/06/15,572006,66.80,67.60,66.60,66.90,-0.40,374,38276997
104/06/16,515470,66.90,67.00,65.80,66.30,-0.60,397,34226756
104/06/17,581246,67.00,67.50,66.30,66.40,0.10,482,38769906
104/06/18,307653,67.60,67.60,66.50,67.00,0.60,256,20586019
104/06/22,540743,67.50,67.50,66.50,66.80,-0.20,379,36132704
104/06/23,559619,66.80,67.30,66.70,66.70,-0.10,421,37423008
104/06/24,318139,67.30,67.30,66.20,66.30,-0.40,249,21166022
104/06/25,394743,66.50,67.00,66.40,66.70,0.40,346,26351753
104/06/26,392080,67.00,67.00,66.70,66.80,0.10,269,26237968
