山隆            ,	2616
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,44177,24.00,24.05,23.80,23.90,-0.10,33,1057467
104/01/06,623085,24.00,25.20,24.00,24.70,0.80,247,15399656
104/01/07,387474,24.90,25.00,24.35,24.45,-0.25,202,9553601
104/01/08,61437,24.50,24.50,24.30,24.45,,43,1500162
104/01/09,134045,24.45,24.75,24.30,24.40,-0.05,94,3291262
104/01/12,120014,24.50,24.55,24.30,24.30,-0.10,64,2939894
104/01/13,90310,24.30,24.60,24.30,24.30,,78,2209529
104/01/14,23044,24.30,24.50,24.30,24.40,0.10,33,562282
104/01/15,39018,24.40,24.55,24.15,24.15,-0.25,31,950837
104/01/16,31040,24.15,24.20,24.15,24.20,0.05,40,750275
104/01/19,17151,24.30,24.30,24.25,24.30,0.10,33,416213
104/01/20,26021,24.30,24.40,24.10,24.35,0.05,27,630457
104/01/21,30026,24.40,24.45,24.35,24.45,0.10,39,734055
104/01/22,184310,24.40,24.60,24.40,24.60,0.15,62,4500907
104/01/23,87346,24.50,24.55,24.40,24.45,-0.15,86,2134999
104/01/26,36017,24.50,24.60,24.45,24.45,,38,883663
104/01/27,40874,24.60,24.60,24.40,24.45,,56,1003567
104/01/28,30110,24.45,24.55,24.45,24.55,0.10,30,737982
104/01/29,10179,24.50,24.50,24.30,24.30,-0.25,48,248272
104/01/30,44268,24.20,24.30,24.20,24.20,-0.10,43,1074508
104/02/02,38146,24.20,24.40,24.15,24.25,0.05,45,928219
104/02/03,31493,24.25,24.40,24.20,24.25,,45,764778
104/02/04,28320,24.35,24.40,24.30,24.40,0.15,38,689536
104/02/05,33049,24.50,24.50,24.25,24.30,-0.10,30,803001
104/02/06,14149,24.30,24.50,24.25,24.45,0.15,31,345549
104/02/09,7108,24.55,24.55,24.30,24.40,-0.05,16,173567
104/02/10,41043,24.30,24.40,24.30,24.35,-0.05,49,999345
104/02/11,34071,24.35,24.45,24.30,24.35,,76,831160
104/02/12,10,--,--,--,--,,8,242
104/02/13,22043,24.40,24.40,24.30,24.30,X,21,536468
104/02/24,25405,24.35,24.40,24.30,24.40,0.10,51,618370
104/02/25,56069,24.50,24.65,24.40,24.50,0.10,66,1375439
104/02/26,13497,24.35,24.50,24.35,24.45,-0.05,61,329823
104/03/02,14204,24.50,24.50,24.45,24.50,0.05,74,347569
104/03/03,11051,24.55,24.55,24.40,24.40,-0.10,38,270296
104/03/04,43343,24.40,24.45,24.35,24.45,0.05,119,1057734
104/03/05,122112,24.45,24.45,24.30,24.40,-0.05,85,2970623
104/03/06,120175,24.40,24.40,24.30,24.35,-0.05,76,2921065
104/03/09,49366,24.35,24.55,24.35,24.35,,96,1206925
104/03/10,50196,24.35,24.50,24.35,24.35,,70,1226485
104/03/11,74255,24.30,24.35,24.20,24.20,-0.15,107,1801941
104/03/12,59231,24.20,24.35,24.20,24.35,0.15,91,1436002
104/03/13,23375,24.35,24.35,24.30,24.30,-0.05,104,568269
104/03/16,18706,24.30,24.30,24.20,24.20,-0.10,118,453916
104/03/17,30099,24.10,24.30,24.10,24.30,0.10,58,728279
104/03/18,16234,24.30,24.30,24.15,24.15,-0.15,86,393257
104/03/19,37493,24.15,24.30,24.15,24.30,0.15,148,909249
104/03/20,9118,24.30,24.30,24.20,24.30,,89,221364
104/03/23,18182,24.30,24.30,24.30,24.30,,119,441822
104/03/24,21275,24.25,24.30,24.20,24.30,,115,516128
104/03/25,36848,24.30,24.30,24.20,24.20,-0.10,149,891997
104/03/26,65282,24.20,24.30,24.20,24.25,0.05,134,1584625
104/03/27,75414,24.20,24.25,24.15,24.20,-0.05,159,1824001
104/03/30,97329,24.15,24.25,24.10,24.25,0.05,201,2353409
104/03/31,85304,24.40,24.45,24.25,24.35,0.10,402,2075737
104/04/01,49984,24.35,24.35,24.25,24.25,-0.10,397,1214664
104/04/02,416271,24.25,24.60,24.20,24.60,0.35,346,10156785
104/04/07,657274,24.70,24.70,24.45,24.50,-0.10,392,16118949
104/04/08,154468,24.75,24.90,24.55,24.75,0.25,315,3814175
104/04/09,165076,24.75,24.85,24.70,24.75,,248,4093677
104/04/10,150846,24.75,24.80,24.70,24.80,0.05,165,3735606
104/04/13,111138,24.80,24.85,24.75,24.80,,205,2756593
104/04/14,96608,24.80,24.80,24.65,24.70,-0.10,220,2387450
104/04/15,53995,24.70,24.70,24.60,24.65,-0.05,183,1332075
104/04/16,360259,24.75,24.75,24.60,24.75,0.10,207,8880911
104/04/17,294626,24.70,24.75,24.50,24.55,-0.20,172,7243115
104/04/20,204376,24.50,24.55,24.35,24.35,-0.20,249,4993888
104/04/21,129296,24.35,24.50,24.25,24.35,,262,3148091
104/04/22,147384,24.30,24.45,24.30,24.35,,218,3593356
104/04/23,373015,24.35,24.55,24.35,24.55,0.20,88,9087714
104/04/24,208010,24.50,24.55,24.30,24.40,-0.15,116,5071548
104/04/27,165303,24.40,24.50,24.35,24.40,,116,4029234
104/04/28,36101,24.40,24.50,24.40,24.50,0.10,44,882635
104/04/29,113032,24.50,24.65,24.50,24.60,0.10,92,2774732
104/04/30,88255,24.60,24.65,24.55,24.60,,67,2170852
104/05/04,63618,24.60,24.65,24.55,24.55,-0.05,46,1564207
104/05/05,99589,24.55,24.65,24.55,24.65,0.10,74,2448609
104/05/06,59103,24.70,24.70,24.60,24.65,,47,1457896
104/05/07,52151,24.65,24.70,24.60,24.65,,60,1286030
104/05/08,90123,24.65,24.75,24.65,24.70,0.05,58,2224322
104/05/11,157111,24.90,24.90,24.60,24.60,-0.10,99,3887507
104/05/12,138214,24.60,24.90,24.60,24.85,0.25,97,3420839
104/05/13,27305,24.75,24.80,24.65,24.65,-0.20,26,675009
104/05/14,87050,24.60,24.60,24.40,24.60,-0.05,50,2127225
104/05/15,42617,24.55,24.60,24.50,24.50,-0.10,47,1046356
104/05/18,25154,24.50,24.60,24.50,24.60,0.10,49,617782
104/05/19,31556,24.60,24.70,24.45,24.70,0.10,115,775072
104/05/20,11111,24.55,24.60,24.50,24.50,-0.20,28,272666
104/05/21,60057,24.50,24.55,24.40,24.45,-0.05,48,1469138
104/05/22,32229,24.45,24.45,24.40,24.40,-0.05,33,786584
104/05/25,39003,24.40,24.60,24.40,24.45,0.05,21,952622
104/05/26,49015,24.45,24.45,24.30,24.45,,46,1194264
104/05/27,48419,24.50,24.50,24.30,24.40,-0.05,46,1182337
104/05/28,37162,24.40,24.40,24.35,24.40,,48,906664
104/05/29,37111,24.40,24.45,24.30,24.45,0.05,43,903830
104/06/01,39189,24.45,24.45,24.30,24.45,,39,953894
104/06/02,67935,24.45,24.50,24.45,24.45,,35,1661258
104/06/03,40365,24.35,24.35,24.30,24.35,-0.10,33,981823
104/06/04,147044,24.30,24.40,24.00,24.15,-0.20,72,3559550
104/06/05,93226,24.10,24.10,23.95,24.00,-0.15,81,2237945
104/06/08,67000,23.80,24.00,23.80,23.90,-0.10,38,1600000
104/06/09,71025,23.90,23.90,23.75,23.80,-0.10,50,1691254
104/06/10,81144,23.80,24.00,23.80,23.90,0.10,49,1935473
104/06/11,80026,23.90,24.35,23.80,24.05,0.15,68,1917174
104/06/12,20007,24.05,24.15,24.00,24.00,-0.05,27,481175
104/06/15,20033,24.00,24.00,23.90,24.00,,24,479954
104/06/16,34035,24.00,24.00,23.85,23.85,-0.15,40,813975
104/06/17,115008,23.85,23.85,23.80,23.85,,64,2742304
104/06/18,16581,23.85,23.85,23.80,23.80,-0.05,39,394994
104/06/22,33051,23.80,23.90,23.80,23.85,0.05,33,787127
104/06/23,22969,24.00,24.00,23.85,23.85,,31,549495
