亞航,	2630
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,8000,30.10,30.45,30.10,30.45,0.30,8,242100
107/06/04,43000,30.40,30.85,30.40,30.80,0.35,22,1313850
107/06/05,85000,30.95,31.20,30.85,31.05,0.25,60,2636350
107/06/06,44000,31.40,31.40,30.90,31.20,0.15,27,1368400
107/06/07,47000,31.35,31.35,30.80,30.85,0.35,29,1453550
107/06/08,23000,31.00,31.00,30.70,30.95,0.10,17,709600
107/06/11,16000,30.90,30.95,30.80,30.95,,8,493850
107/06/12,30000,30.90,30.90,30.60,30.85,0.10,19,921750
107/06/13,64040,30.70,30.70,30.40,30.50,0.35,35,1952582
107/06/14,46000,30.50,30.85,30.40,30.55,0.05,27,1401400
107/06/15,45000,30.55,30.55,30.25,30.25,0.30,25,1364450
107/06/19,72855,30.20,30.20,29.55,29.85,0.40,38,2183258
107/06/20,102000,30.00,30.25,29.80,30.25,0.40,50,3058650
107/06/21,32000,30.50,30.50,30.00,30.20,0.05,19,965050
107/06/22,75000,30.20,30.30,29.80,30.00,0.20,38,2257900
107/06/25,42000,30.00,30.00,29.50,29.75,0.25,14,1245400
107/06/26,36000,29.80,29.80,29.20,29.70,0.05,22,1062950
107/06/27,112100,29.80,29.95,29.60,29.70,,58,3329870
107/06/28,67100,28.60,29.35,28.60,28.95,X,52,1949120
107/06/29,50000,29.05,29.30,29.00,29.30,0.35,34,1458600
107/07/02,13000,29.20,29.30,29.10,29.10,0.20,10,379350
107/07/03,28000,29.10,29.10,28.45,28.50,0.60,19,804650
107/07/04,23001,28.95,29.10,28.70,28.90,0.40,20,664429
107/07/05,33040,28.80,28.80,28.40,28.40,0.50,23,942224
107/07/06,28000,28.40,28.45,27.55,28.20,0.20,26,787300
107/07/09,50100,28.10,28.15,27.55,27.55,0.65,46,1395770
107/07/10,3000,27.95,27.95,27.80,27.80,0.25,3,83650
107/07/11,11000,27.80,27.80,27.50,27.50,0.30,11,304200
107/07/12,14703,27.55,27.60,27.55,27.55,0.05,14,405141
107/07/13,13000,27.55,27.60,27.50,27.60,0.05,11,357750
107/07/16,53000,27.60,27.60,26.80,27.50,0.10,42,1435500
107/07/17,13100,27.50,27.50,27.05,27.50,,13,358475
107/07/18,70002,27.00,27.95,26.80,27.95,0.45,44,1892806
107/07/19,32000,27.30,27.55,27.15,27.15,0.80,29,872900
107/07/20,11000,27.45,27.45,27.00,27.05,0.10,9,298800
107/07/23,16000,27.65,27.65,26.95,27.10,0.05,12,433350
107/07/24,39000,27.00,27.00,26.80,26.80,0.30,25,1048300
107/07/25,24000,26.80,26.80,26.70,26.75,0.05,18,642200
107/07/26,16001,26.80,26.80,26.55,26.55,0.20,12,425776
107/07/27,25000,26.50,26.50,26.25,26.50,0.05,21,658650
107/07/30,64000,26.20,26.20,25.60,25.70,0.80,52,1652850
107/07/31,42077,25.50,25.60,25.20,25.35,0.35,37,1068073
107/08/01,22021,25.40,25.90,25.40,25.90,0.55,15,562841
107/08/02,35200,25.90,26.10,25.90,26.00,0.10,33,914200
107/08/03,38000,26.30,26.45,26.30,26.40,0.40,30,1002400
107/08/06,20637,26.40,26.40,26.20,26.30,0.10,14,543062
107/08/07,14000,26.30,26.40,26.20,26.40,0.10,12,367600
107/08/08,45842,26.80,27.00,26.70,26.90,0.50,35,1230997
107/08/09,22000,26.90,26.90,26.40,26.40,0.50,12,586100
107/08/10,18000,26.30,26.40,26.20,26.20,0.20,15,473150
107/08/13,15000,26.10,26.10,26.00,26.00,0.20,12,390750
107/08/14,18000,26.00,26.00,26.00,26.00,,9,468000
107/08/15,4000,26.00,26.00,25.80,25.80,0.20,4,103750
107/08/16,61239,25.80,26.80,25.80,26.80,1.00,46,1609031
107/08/17,38488,26.00,27.25,26.00,27.10,0.30,28,1042328
107/08/20,60100,26.80,28.00,26.80,28.00,0.90,44,1650490
107/08/21,72622,27.60,28.85,27.60,28.70,0.70,48,2080614
107/08/22,39100,28.00,28.70,28.00,28.70,,26,1115200
107/08/23,16000,28.10,28.70,28.10,28.45,0.25,10,455600
107/08/24,8041,28.00,28.00,27.55,27.55,0.90,8,222489
107/08/27,0,--,--,--,--,,0,0
107/08/28,17000,27.00,27.10,26.80,27.00,X,14,457350
107/08/29,20000,27.00,27.10,27.00,27.10,0.10,12,541400
107/08/30,3000,27.00,27.00,27.00,27.00,0.10,3,81000
107/08/31,27000,26.90,26.90,26.30,26.60,0.40,21,720800
107/09/03,13000,26.30,27.00,26.30,26.35,0.25,7,348150
107/09/04,10000,26.45,26.80,26.40,26.50,0.15,6,265450
107/09/05,12000,26.50,26.55,26.50,26.50,,8,318050
107/09/06,35000,26.70,26.70,26.35,26.35,0.15,20,930550
107/09/07,52000,26.35,26.45,25.50,26.00,0.35,38,1351800
107/09/10,53000,25.85,25.85,25.00,25.10,0.90,41,1339100
107/09/11,21100,25.50,25.50,25.05,25.10,,21,532635
107/09/12,5000,25.25,25.35,25.25,25.35,0.25,5,126450
107/09/13,23000,25.40,25.70,25.40,25.50,0.15,19,588700
107/09/14,17840,25.50,25.65,25.30,25.65,0.15,15,454036
107/09/17,79000,25.80,25.80,25.00,25.60,0.05,37,2009850
107/09/18,45000,25.20,25.20,24.90,25.00,0.60,37,1125250
107/09/19,32027,25.00,25.70,24.80,25.70,0.70,29,805185
107/09/20,9000,25.75,25.75,25.20,25.40,0.30,9,228900
107/09/21,5482,25.15,25.40,25.15,25.40,,6,138098
107/09/25,0,--,--,--,--,,0,0
107/09/26,24000,24.80,25.00,24.80,24.80,X,24,596350
107/09/27,3001,24.60,24.60,24.60,24.60,0.20,4,73824
107/09/28,22200,24.75,24.90,24.75,24.90,0.30,13,549989
107/10/01,10000,24.90,24.90,24.90,24.90,,5,249000
107/10/02,5000,24.85,24.85,24.70,24.80,0.10,5,124000
