第一保          ,	2852
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,268183,15.60,15.60,15.45,15.50,-0.10,80,4156102
104/01/06,368112,15.45,15.50,15.40,15.50,,102,5686233
104/01/07,311109,15.50,15.50,15.40,15.50,,63,4814835
104/01/08,529482,15.50,15.55,15.40,15.50,,108,8182119
104/01/09,445397,15.50,15.60,15.40,15.60,0.10,94,6881897
104/01/12,490101,15.55,15.60,15.40,15.50,-0.10,96,7575129
104/01/13,376390,15.50,15.60,15.45,15.60,0.10,94,5830478
104/01/14,451057,15.60,15.60,15.45,15.55,-0.05,99,6993834
104/01/15,131353,15.55,15.55,15.50,15.55,,55,2039904
104/01/16,401112,15.50,15.55,15.40,15.45,-0.10,116,6192796
104/01/19,277300,15.40,15.55,15.40,15.50,0.05,106,4286128
104/01/20,203585,15.45,15.55,15.45,15.50,,97,3153958
104/01/21,279643,15.50,15.50,15.45,15.50,,63,4321806
104/01/22,276003,15.45,15.60,15.45,15.60,0.10,84,4283895
104/01/23,431105,15.60,15.85,15.60,15.80,0.20,212,6783505
104/01/26,495002,15.80,16.00,15.70,16.00,0.20,194,7870832
104/01/27,202580,16.00,16.00,15.75,15.90,-0.10,113,3211957
104/01/28,199038,15.90,15.90,15.70,15.80,-0.10,106,3142901
104/01/29,236822,15.80,15.80,15.50,15.70,-0.10,137,3707215
104/01/30,279021,15.70,15.70,15.60,15.65,-0.05,95,4356681
104/02/02,195100,15.65,15.80,15.55,15.80,0.15,97,3057672
104/02/03,159139,15.75,15.75,15.65,15.75,-0.05,107,2498502
104/02/04,959663,15.75,15.75,15.45,15.60,-0.15,317,14966474
104/02/05,416275,15.50,15.60,15.45,15.50,-0.10,142,6451108
104/02/06,282003,15.50,15.60,15.40,15.60,0.10,112,4369190
104/02/09,46003,15.60,15.60,15.50,15.60,,39,716295
104/02/10,224413,15.60,15.65,15.55,15.65,0.05,116,3501289
104/02/11,189512,15.65,15.65,15.50,15.65,,95,2948085
104/02/12,58916,15.60,15.65,15.55,15.60,-0.05,42,919196
104/02/13,434002,15.55,15.60,15.40,15.45,-0.15,163,6717280
104/02/24,382105,15.55,15.55,15.35,15.35,-0.10,172,5884659
104/02/25,392307,15.30,15.35,15.30,15.30,-0.05,144,6009838
104/02/26,185750,15.30,15.45,15.30,15.40,0.10,116,2854695
104/03/02,262024,15.30,15.45,15.30,15.30,-0.10,136,4015513
104/03/03,314007,15.40,15.45,15.30,15.30,,139,4816755
104/03/04,283254,15.35,15.40,15.30,15.40,0.10,132,4349131
104/03/05,138234,15.40,15.40,15.30,15.40,,73,2121188
104/03/06,133492,15.30,15.45,15.30,15.45,0.05,78,2050895
104/03/09,167160,15.45,15.45,15.35,15.45,,85,2578250
