國泰特,	2882A
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,50558,64.50,64.70,64.50,64.70,,29,3264689
107/06/04,108272,64.40,64.70,64.40,64.70,,65,6986183
107/06/05,57708,64.50,64.70,64.50,64.70,,23,3727565
107/06/06,71670,64.60,64.70,64.50,64.70,,32,4629246
107/06/07,106049,64.50,64.70,64.50,64.70,,26,6853853
107/06/08,47451,64.50,64.70,64.50,64.70,,30,3065588
107/06/11,301147,64.40,64.70,64.30,64.70,,111,19432247
107/06/12,120033,64.50,64.70,64.50,64.70,,20,7753224
107/06/13,65458,64.50,64.60,64.50,64.60,0.10,56,4223938
107/06/14,50271,64.50,64.60,64.50,64.60,,41,3244721
107/06/15,167220,64.60,64.70,64.30,64.70,0.10,148,10798743
107/06/19,71519,64.60,64.70,64.50,64.70,,39,4620018
107/06/20,148455,64.60,64.70,64.40,64.70,,80,9589798
107/06/21,147959,64.60,64.70,64.50,64.70,,77,9558055
107/06/22,166166,64.60,64.70,64.40,64.70,,96,10728985
107/06/25,154915,64.50,64.60,64.50,64.60,0.10,98,10006035
107/06/26,97811,62.40,62.40,62.00,62.30,X,47,6093602
107/06/27,76225,62.10,62.60,62.10,62.50,0.20,44,4757170
107/06/28,26500,62.50,62.50,62.30,62.50,,19,1654600
107/06/29,39437,62.30,62.60,62.30,62.60,0.10,27,2464312
107/07/02,44000,62.60,62.70,62.50,62.70,0.10,22,2755500
107/07/03,478195,62.50,62.50,61.90,62.50,0.20,340,29699948
107/07/04,28245,62.20,62.50,62.20,62.50,,30,1758412
107/07/05,882017,62.20,62.40,61.70,62.40,0.10,344,54625550
107/07/06,333911,61.90,62.40,61.80,62.40,,150,20712344
107/07/09,31258,62.30,62.40,62.20,62.40,,19,1948419
107/07/10,1560795,62.10,62.30,62.10,62.30,0.10,21,96309525
107/07/11,23150,62.40,62.40,62.00,62.30,,17,1441045
107/07/12,73667,62.20,62.40,62.00,62.40,0.10,37,4587785
107/07/13,356511,62.30,62.40,61.90,62.40,,120,22154782
107/07/16,192892,62.00,62.50,62.00,62.50,0.10,53,12029792
107/07/17,18060,62.10,62.50,62.10,62.50,,14,1126525
107/07/18,419035,62.30,62.50,61.90,62.50,,274,26056780
107/07/19,218037,62.30,62.40,62.00,62.40,0.10,89,13572497
107/07/20,106888,62.40,62.40,62.30,62.40,,64,6667043
107/07/23,208283,62.40,62.40,62.30,62.30,0.10,24,12990328
107/07/24,182600,62.20,62.50,62.20,62.50,0.20,32,11391118
107/07/25,519976,62.30,62.50,62.20,62.50,,92,32477599
107/07/26,56471,62.50,62.50,62.30,62.50,,13,3528936
107/07/27,114685,62.50,62.50,62.20,62.40,0.10,21,7166972
107/07/30,15418,62.40,62.40,62.20,62.40,,10,961199
107/07/31,68135,62.30,62.50,62.30,62.50,0.10,45,4251421
107/08/01,261585,62.30,62.50,62.20,62.50,,25,16334326
107/08/02,59861,62.50,62.50,62.20,62.50,,37,3739482
107/08/03,11771,62.30,62.30,62.20,62.30,0.20,16,732730
107/08/06,26595,62.20,62.50,62.20,62.50,0.20,30,1657448
107/08/07,74832,62.10,62.60,62.10,62.60,0.10,43,4668897
107/08/08,26353,62.40,62.40,62.30,62.40,0.20,15,1642056
107/08/09,157257,62.40,62.50,62.40,62.40,,22,9822783
107/08/10,184999,62.50,62.50,62.30,62.50,0.10,71,11556037
107/08/13,117659,62.40,62.60,62.30,62.60,0.10,32,7350551
107/08/14,301020,62.50,62.70,62.40,62.70,0.10,21,18830848
107/08/15,81521,62.50,62.70,62.40,62.70,,49,5098009
107/08/16,158232,62.60,62.70,62.50,62.70,,20,9903752
107/08/17,11214,62.50,62.70,62.50,62.70,,11,701331
107/08/20,12416,62.50,62.60,62.50,62.60,0.10,14,775614
107/08/21,285135,62.50,62.60,62.40,62.60,,37,17828622
107/08/22,259867,62.60,62.70,62.50,62.70,0.10,51,16266900
107/08/23,28996,62.70,62.70,62.60,62.60,0.10,24,1817247
107/08/24,5000,62.60,62.60,62.60,62.60,,5,313000
107/08/27,30301,62.50,62.60,62.50,62.60,,34,1895979
107/08/28,52789,62.60,62.70,62.50,62.70,0.10,23,3300012
107/08/29,17216,62.50,62.60,62.50,62.60,0.10,19,1076097
107/08/30,10030,62.50,62.50,62.50,62.50,0.10,14,626873
107/08/31,43174,62.50,62.60,62.40,62.60,0.10,30,2697857
107/09/03,35892,62.40,62.60,62.40,62.60,,36,2245660
107/09/04,61028,62.40,62.60,62.40,62.60,,29,3817344
107/09/05,59507,62.50,62.50,62.40,62.50,0.10,21,3716284
107/09/06,34482,62.50,62.60,62.40,62.60,0.10,23,2153827
107/09/07,61322,62.30,62.70,62.30,62.70,0.10,26,3833090
107/09/10,128569,62.40,62.60,62.40,62.60,0.10,52,8043547
107/09/11,178452,62.50,62.70,62.50,62.70,0.10,69,11162557
107/09/12,123947,62.60,62.70,62.60,62.70,,19,7760873
107/09/13,46120,62.70,62.70,62.60,62.70,,32,2889410
107/09/14,196927,62.60,62.70,62.60,62.70,,145,12345836
107/09/17,199061,62.60,62.60,62.50,62.60,0.10,110,12461006
107/09/18,210104,62.60,62.60,62.50,62.60,,205,13152189
107/09/19,191091,62.50,62.60,62.50,62.60,,195,11961785
107/09/20,224536,62.60,62.60,62.50,62.60,,184,14055798
107/09/21,27200,62.60,62.70,62.60,62.70,0.10,14,1704099
107/09/25,84657,62.70,62.80,62.70,62.80,0.10,41,5313291
107/09/26,111608,62.80,62.90,62.80,62.90,0.10,19,7009060
107/09/27,95557,62.80,63.00,62.80,63.00,0.10,22,6010577
107/09/28,48755,62.90,63.00,62.90,63.00,,16,3071265
107/10/01,34772,63.00,63.00,62.90,63.00,,24,2188452
107/10/02,72980,63.00,63.10,62.90,63.10,0.10,14,4597743
107/10/03,87265,63.10,63.20,63.00,63.20,0.10,33,5499965
107/10/04,173015,63.10,63.20,63.00,63.20,,56,10904348
107/10/05,17451,63.10,63.20,63.10,63.20,,15,1102013
107/10/08,34932,63.10,63.50,63.10,63.50,0.30,21,2205609
107/10/09,8044,63.40,63.40,63.40,63.40,0.10,8,509780
107/10/11,215507,63.30,63.40,63.10,63.40,,113,13625241
107/10/12,125836,63.30,63.50,63.20,63.50,0.10,26,7965816
107/10/15,8591,63.40,63.50,63.30,63.50,,9,544651
107/10/16,36207,63.40,63.40,63.30,63.40,0.10,12,2292381
107/10/17,24650,63.40,63.50,63.40,63.50,0.10,7,1563014
107/10/18,66993,63.40,63.60,63.10,63.60,0.10,36,4242854
107/10/19,22923,63.60,63.70,63.30,63.70,0.10,17,1454000
107/10/22,28035,63.50,63.70,63.50,63.70,,8,1781322
107/10/23,32000,63.70,63.70,63.40,63.70,,8,2037700
107/10/24,41733,63.50,63.70,63.50,63.70,,14,2651817
107/10/25,267000,61.80,63.70,61.80,63.70,,90,16707100
107/10/26,114886,63.60,63.70,63.30,63.70,,26,7288383
107/10/29,22642,63.40,63.50,63.40,63.50,0.20,9,1435973
107/10/30,99391,63.40,63.50,63.10,63.40,0.10,23,6285933
107/10/31,122736,63.20,63.60,63.10,63.60,0.20,40,7762314
107/11/01,117878,63.10,63.60,63.10,63.60,,41,7457288
107/11/02,15605,63.30,63.30,63.20,63.20,0.40,16,986774
107/11/08,50180,63.20,63.40,63.20,63.40,0.10,9,3172957
107/11/09,14450,63.20,63.30,63.20,63.30,0.10,5,914450
107/11/12,6182,63.30,63.40,63.10,63.40,0.10,8,391401
107/11/16,7584,63.30,63.50,63.30,63.50,,9,480783
107/11/19,7574,63.50,63.50,63.50,63.50,,8,480317
107/11/20,50000,63.50,63.50,63.30,63.50,,17,3170500
107/11/21,131435,63.40,63.40,63.20,63.40,0.10,31,8323246
107/11/22,19734,63.30,63.40,63.30,63.40,,8,1249314
107/11/23,62255,63.40,63.40,63.30,63.40,,11,3941940
107/11/26,9527,63.40,63.50,63.40,63.50,0.10,8,604153
107/11/27,24212,63.40,63.50,63.40,63.50,,13,1535239
107/11/28,7499,63.40,63.50,63.40,63.50,,12,475434
107/11/29,79615,63.40,63.50,63.40,63.50,,21,5047927
107/11/30,73914,63.30,63.70,63.30,63.70,0.20,36,4692260
107/12/03,133037,63.70,63.70,63.40,63.70,,27,8451345
107/12/04,9501,63.50,63.60,63.50,63.60,0.10,7,603462
107/12/05,15697,63.50,63.70,63.50,63.70,0.10,17,997048
107/12/06,131790,63.70,63.70,63.40,63.60,0.10,22,8368542
107/12/07,191601,63.50,63.70,63.50,63.70,0.10,30,12199101
107/12/10,85988,63.70,63.70,63.50,63.70,,26,5467237
107/12/11,139019,63.50,63.70,63.50,63.70,,10,8842002
107/12/12,169311,63.70,63.70,63.60,63.70,,14,10773816
107/12/13,155494,63.70,63.70,63.50,63.60,0.10,11,9899219
107/12/14,129899,63.60,63.70,63.60,63.70,0.10,22,8261504
107/12/17,66012,63.70,63.70,63.60,63.70,,9,4204459
107/12/18,34924,63.70,63.70,63.60,63.70,,25,2223279
107/12/19,45926,63.70,63.70,63.60,63.70,,24,2924189
107/12/20,37776,63.50,63.70,63.50,63.70,,39,2400551
107/12/21,112270,63.60,63.60,63.60,63.60,0.10,25,7140143
107/12/22,104238,63.60,63.70,63.60,63.70,0.10,10,6629836
107/12/24,28202,63.70,63.70,63.60,63.70,,15,1794266
107/12/25,18324,63.50,63.70,63.50,63.70,,18,1165373
107/12/26,112539,63.60,63.70,63.60,63.70,,19,7157825
107/12/27,224096,63.60,63.70,63.50,63.70,,28,14252195
107/12/28,257200,63.60,63.70,63.30,63.70,,64,16332318
108/01/02,61404,63.40,63.60,63.40,63.60,0.10,35,3901512
108/01/03,186800,63.40,63.60,63.40,63.60,,18,11861719
108/01/04,16225251,63.80,63.80,63.30,63.60,,67,1031836887
108/01/07,232019,63.50,63.50,63.40,63.40,0.20,42,14713097
108/01/08,611917,63.40,63.50,63.30,63.40,,43,38821253
108/01/09,754652,63.40,63.50,63.40,63.40,,17,47889805
108/01/10,87523,63.40,63.40,63.30,63.40,,52,5548551
108/01/11,683936,63.40,63.40,63.30,63.40,,129,43360454
108/01/14,319803,63.40,63.50,63.30,63.50,0.10,29,20280047
108/01/15,419499,63.40,63.50,63.30,63.50,,36,26596436
108/01/16,447250,63.40,63.50,63.30,63.50,,60,28327474
108/01/17,182814,63.30,63.40,63.30,63.40,0.10,24,11572525
108/01/18,234243,63.40,63.50,63.30,63.50,0.10,23,14848357
108/01/21,503227,63.40,63.50,63.40,63.50,,30,31948066
108/01/22,254369,63.50,63.50,63.40,63.50,,16,16140156
108/01/23,252265,63.50,63.50,63.30,63.50,,25,15992974
108/01/28,94560,63.30,63.40,63.30,63.40,,11,5994480
108/01/29,76490,63.40,63.40,63.30,63.40,,24,4843816
108/01/30,8041,63.40,63.50,63.40,63.50,0.10,8,510094
108/02/11,30547,63.50,63.80,63.50,63.80,0.30,31,1943532
108/02/12,16146,63.70,63.80,63.70,63.80,,21,1028239
108/02/13,33384,63.80,64.00,63.80,63.80,,30,2132195
108/02/14,9233,63.90,63.90,63.90,63.90,0.10,6,589871
108/02/15,30300,63.90,63.90,63.90,63.90,,10,1936169
108/02/18,19300,63.90,63.90,63.90,63.90,,14,1233269
108/02/19,12500,63.90,63.90,63.60,63.90,,8,798348
108/02/20,59734,63.80,63.90,63.60,63.90,,17,3813180
108/02/21,45996,63.90,63.90,63.70,63.90,,11,2938543
108/02/22,17789,63.70,63.90,63.70,63.90,,14,1134478
108/02/25,18960,63.90,64.00,63.90,64.00,0.10,11,1212451
108/02/26,21491,63.90,64.00,63.90,64.00,,19,1374924
108/02/27,14812,63.80,64.00,63.80,64.00,,13,945903
108/03/04,173795,64.00,64.00,64.00,64.00,,28,11122515
108/03/05,391742,64.00,64.00,64.00,64.00,,26,25071137
108/03/06,473377,64.00,64.00,64.00,64.00,,29,30295850
108/03/07,406943,64.00,64.00,64.00,64.00,,15,26044162
108/03/08,66910,64.00,64.00,63.90,64.00,,12,4281055
108/03/11,1156108,63.90,64.00,63.90,64.00,,31,73879890
108/03/12,83237,64.00,64.10,64.00,64.10,0.10,25,5327243
108/03/13,22393,64.10,64.10,64.10,64.10,,24,1434906
108/03/14,117763,64.10,64.30,64.10,64.30,0.20,19,7550032
108/03/15,220065,64.30,64.30,64.20,64.30,,29,14135160
108/03/18,211598,64.30,64.40,64.30,64.40,0.10,18,13605472
108/03/19,324434,64.40,64.40,64.20,64.40,,45,20867476
108/03/20,202235,64.40,64.40,64.30,64.40,,18,13014286
108/03/21,72508,64.40,64.40,64.30,64.30,0.10,19,4666561
108/03/22,32590,64.30,64.40,64.30,64.30,,7,2095518
108/03/25,107137,64.30,64.30,64.30,64.30,,13,6888868
108/03/26,207071,64.40,64.50,64.10,64.50,0.20,20,13296357
