台新戊特,	2887E
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,92078,54.60,54.70,54.60,54.70,0.10,13,5027951
107/06/04,169170,54.70,54.70,54.60,54.60,0.10,20,9236964
107/06/05,64812,54.70,54.70,54.60,54.70,0.10,16,3544772
107/06/06,31303,54.70,54.70,54.60,54.60,0.10,19,1711782
107/06/07,24391,54.60,54.60,54.60,54.60,,26,1331606
107/06/08,74397,54.60,54.80,54.60,54.80,0.20,22,4068217
107/06/11,102386,54.70,54.70,54.60,54.70,0.10,20,5599119
107/06/12,119156,54.70,54.70,54.60,54.70,,30,6515670
107/06/13,73118,54.70,54.70,54.70,54.70,,13,3999495
107/06/14,18166,54.60,54.70,54.60,54.60,0.10,12,992012
107/06/15,398036,54.50,54.70,54.50,54.70,0.10,31,21732665
107/06/19,314607,54.70,54.80,54.60,54.80,0.10,42,17201502
107/06/20,88040,54.70,54.70,54.60,54.70,0.10,20,4808080
107/06/21,63180,54.50,54.60,54.50,54.60,0.10,12,3445309
107/06/22,81397,54.50,54.60,54.50,54.50,0.10,19,4436755
107/06/25,148108,54.50,54.50,54.40,54.40,0.10,35,8057664
107/06/26,95077,54.40,54.40,54.30,54.40,,31,5172081
107/06/27,76145,54.40,54.40,54.30,54.40,,26,4141243
107/06/28,111848,54.40,54.40,54.30,54.30,0.10,41,6080074
107/06/29,174558,54.30,54.30,54.20,54.20,0.10,47,9476832
107/07/02,256065,54.20,54.30,54.20,54.20,,52,13879797
107/07/03,501547,54.20,54.30,54.10,54.10,0.10,113,27159290
107/07/04,525698,51.80,51.90,51.80,51.90,X,101,27250525
107/07/05,296292,51.90,51.90,51.80,51.90,,74,15369152
107/07/06,235065,51.90,52.00,51.90,51.90,,38,12201173
107/07/09,112288,51.90,52.00,51.90,52.00,0.10,16,5827876
107/07/10,303006,52.00,52.00,51.90,51.90,0.10,31,15730312
107/07/11,175584,51.90,52.00,51.90,52.00,0.10,30,9118268
107/07/12,71750,51.90,52.00,51.90,51.90,0.10,37,3724222
107/07/13,177256,51.90,52.00,51.90,52.00,0.10,33,9208312
107/07/16,124570,52.00,52.00,51.90,51.90,0.10,48,6466910
107/07/17,176461,51.90,51.90,51.80,51.80,0.10,67,9147625
107/07/18,60095,51.90,51.90,51.80,51.80,,35,3115020
107/07/19,158152,51.90,51.90,51.80,51.80,,68,8194386
107/07/20,182058,51.80,51.90,51.80,51.80,,52,9436200
107/07/23,222389,51.80,51.90,51.80,51.90,0.10,62,11524909
107/07/24,351884,51.90,52.00,51.90,52.00,0.10,51,18284468
107/07/25,165254,52.00,52.10,51.90,52.00,,47,8596508
107/07/26,108625,52.00,52.10,52.00,52.10,0.10,36,5655860
107/07/27,130354,52.00,52.20,52.00,52.20,0.10,42,6790742
107/07/30,127730,52.20,52.30,52.10,52.20,,39,6667277
107/07/31,281843,52.20,52.30,52.20,52.20,,55,14729747
107/08/01,82502,52.20,52.30,52.20,52.30,0.10,40,4306753
107/08/02,114551,52.30,52.30,52.20,52.30,,45,5985562
107/08/03,128906,52.30,52.30,52.20,52.30,,39,6737790
107/08/06,131938,52.30,52.40,52.30,52.40,0.10,40,6903068
107/08/07,175864,52.40,52.50,52.40,52.40,,32,9217785
107/08/08,221665,52.40,52.50,52.40,52.50,0.10,42,11615512
107/08/09,14711,52.50,52.50,52.40,52.40,0.10,13,771784
107/08/10,198733,52.50,52.50,52.40,52.40,,38,10424235
107/08/13,303526,52.40,52.50,52.30,52.40,,78,15900278
107/08/14,85660,52.40,52.50,52.40,52.50,0.10,24,4489582
107/08/15,125997,52.50,52.50,52.40,52.40,0.10,45,6608742
107/08/16,428355,52.50,52.50,52.40,52.40,,63,22447394
107/08/17,172353,52.50,52.50,52.40,52.50,0.10,37,9047761
107/08/20,56194,52.50,52.60,52.50,52.60,0.10,22,2951984
107/08/21,140750,52.60,52.70,52.60,52.70,0.10,47,7404873
107/08/22,95067,52.70,52.80,52.70,52.80,0.10,23,5011324
107/08/23,134815,52.80,52.90,52.70,52.90,0.10,41,7119466
107/08/24,65440,52.90,53.20,52.90,53.10,0.20,38,3470620
107/08/27,66436,53.20,53.20,53.10,53.10,,24,3529376
107/08/28,81233,53.10,53.10,53.00,53.00,0.10,37,4309798
107/08/29,34326,53.10,53.10,53.00,53.00,,17,1820812
107/08/30,18044,53.20,53.20,53.00,53.10,0.10,10,958627
107/08/31,1116,53.20,53.20,53.20,53.20,0.10,3,59348
107/09/03,7000,53.10,53.20,53.10,53.20,,7,371900
107/09/04,50905,53.20,53.30,53.20,53.30,0.10,28,2710044
107/09/05,97045,53.30,53.40,53.20,53.40,0.10,23,5172393
107/09/06,64524,53.30,53.30,53.20,53.30,0.10,36,3437822
107/09/07,41772,53.20,53.30,53.20,53.20,0.10,25,2222969
107/09/10,63000,53.20,53.30,53.20,53.30,0.10,35,3354798
107/09/11,207795,53.20,53.30,53.20,53.20,0.10,42,11059019
107/09/12,111656,53.30,53.30,53.20,53.30,0.10,20,5942168
107/09/13,138859,53.30,53.30,53.20,53.30,,29,7396009
107/09/14,11289,53.20,53.30,53.20,53.30,,9,601245
107/09/17,42443,53.30,53.40,53.30,53.30,,20,2263767
107/09/18,135138,53.30,53.40,53.30,53.30,,23,7213855
107/09/19,142797,53.30,53.40,53.30,53.40,0.10,19,7625179
107/09/20,28531,53.30,53.40,53.30,53.30,0.10,19,1521200
107/09/21,10707,53.30,53.40,53.30,53.40,0.10,12,570780
107/09/25,133056,53.30,53.40,53.30,53.30,0.10,21,7091973
107/09/26,113498,53.30,53.50,53.30,53.50,0.20,19,6060343
107/09/27,162326,53.40,53.50,53.30,53.40,0.10,28,8669042
107/09/28,94290,53.50,53.50,53.40,53.50,0.10,12,5044356
107/10/01,3798,53.50,53.50,53.40,53.40,0.10,9,203011
107/10/02,248468,53.40,53.50,53.40,53.50,0.10,30,13284289
107/10/03,166590,53.50,53.60,53.50,53.60,0.10,44,8914462
107/10/04,107081,53.50,53.60,53.50,53.60,,22,5730825
107/10/05,99376,53.50,53.50,53.40,53.50,0.10,29,5312978
107/10/08,122089,53.60,53.60,53.40,53.40,0.10,34,6523924
107/10/09,24297,53.40,53.50,53.40,53.40,,10,1298829
107/10/11,292200,53.40,53.40,52.90,52.90,0.50,103,15505800
107/10/12,238113,52.80,53.30,52.80,53.20,0.30,56,12625277
107/10/15,94740,53.20,53.20,53.10,53.10,0.10,39,5033375
107/10/16,131530,53.10,53.10,53.00,53.00,0.10,43,6981983
107/10/17,76310,53.10,53.10,53.00,53.00,,17,4050998
107/10/18,45411,53.10,53.10,53.10,53.10,0.10,21,2411200
107/10/19,62834,53.10,53.10,53.00,53.00,0.10,25,3332634
107/10/22,64480,53.00,53.10,53.00,53.00,,33,3418140
107/10/23,177049,53.00,53.10,53.00,53.00,,57,9384897
107/10/24,191302,53.00,53.10,52.90,52.90,0.10,64,10131473
107/10/25,234949,52.90,52.90,52.80,52.80,0.10,62,12416205
107/10/26,214394,52.80,52.90,52.80,52.80,,53,11324000
107/10/29,3996443,52.70,52.90,52.70,52.80,,33,211012244
107/10/30,78000,52.80,53.00,52.80,53.00,0.20,24,4124400
107/10/31,43406,53.00,53.00,52.90,53.00,,26,2299718
107/11/01,119424,52.90,53.00,52.80,52.80,0.20,65,6320185
107/11/02,57759,52.80,52.90,52.80,52.80,,28,3053551
107/11/08,33214,53.00,53.10,53.00,53.00,,16,1761442
