台新戊特二,	2887F
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/01/08,1670312,50.90,50.90,50.30,50.50,X,867,84380163
108/01/09,712323,50.50,50.50,50.40,50.40,0.10,425,35910299
108/01/10,729809,50.50,50.50,50.40,50.40,,259,36808739
108/01/11,789784,50.50,50.50,50.40,50.40,,260,39811684
108/01/14,9117376,50.40,50.50,50.40,50.50,0.10,234,458677180
108/01/15,6213807,50.40,50.60,50.40,50.50,,168,312638231
108/01/16,614412,50.50,50.60,50.50,50.60,0.10,148,31086340
108/01/17,364718,50.60,50.70,50.60,50.60,,115,18476996
108/01/18,614023,50.60,50.70,50.60,50.70,0.10,92,31118859
108/01/21,364468,50.70,50.80,50.70,50.70,,147,18484714
108/01/22,605806,50.70,50.90,50.70,50.90,0.20,143,30797614
108/01/23,1077615,50.90,51.20,50.90,51.10,0.20,238,54995120
108/01/28,162884,51.20,51.20,51.10,51.20,,57,8338384
108/01/29,198275,51.20,51.30,51.20,51.20,,75,10152174
108/01/30,411774,51.20,51.30,51.20,51.20,,78,21084321
108/02/11,347368,51.20,51.30,51.20,51.30,0.10,119,17808772
108/02/12,197560,51.20,51.40,51.20,51.30,,85,10149776
108/02/13,165774,51.40,51.40,51.30,51.40,0.10,84,8519678
108/02/14,85364,51.50,51.50,51.40,51.40,,49,4387902
108/02/15,267362,51.40,51.60,51.30,51.60,0.20,122,13761941
108/02/18,43798,51.50,51.60,51.50,51.50,0.10,42,2256267
108/02/19,334930,51.50,51.70,51.50,51.60,0.10,106,17266584
108/02/20,309753,51.60,51.70,51.50,51.70,0.10,44,15983327
108/02/21,109286,51.70,51.70,51.60,51.70,,48,5648383
108/02/22,51629,51.70,51.80,51.60,51.80,0.10,45,2667914
108/02/25,92589,51.80,51.80,51.70,51.80,,57,4787546
108/02/26,40525,51.70,51.80,51.70,51.80,,28,2095188
108/02/27,33058,51.70,51.70,51.70,51.70,0.10,32,1708891
108/03/04,367340,51.70,51.80,51.60,51.80,0.10,96,18991372
108/03/05,330767,51.70,51.80,51.70,51.80,,102,17130376
108/03/06,332586,51.70,51.80,51.70,51.80,,70,17214837
108/03/07,252692,51.70,51.90,51.70,51.70,0.10,76,13084273
108/03/08,131018,51.70,51.80,51.70,51.70,,37,6776326
108/03/11,40698,51.70,51.80,51.70,51.80,0.10,31,2104282
108/03/12,41469,51.80,51.80,51.70,51.70,0.10,37,2145197
108/03/13,126500,51.60,51.80,51.60,51.70,,51,6545599
108/03/14,123197,51.70,51.80,51.60,51.80,0.10,57,6367659
108/03/15,81372,51.70,51.70,51.60,51.70,0.10,64,4199726
108/03/18,87600,51.60,51.60,51.50,51.60,0.10,63,4519852
108/03/19,166127,51.60,51.80,51.60,51.70,0.10,73,8584856
108/03/20,106617,51.60,51.70,51.60,51.70,,27,5511035
108/03/21,37665,51.70,51.80,51.60,51.70,,42,1946970
108/03/22,27346,51.70,51.70,51.60,51.70,,37,1413483
108/03/25,52562,51.70,51.80,51.60,51.80,0.10,43,2716752
108/03/26,20375,51.70,51.80,51.70,51.80,,22,1053584
108/03/27,32706,51.70,51.80,51.70,51.80,,29,1691098
108/03/28,44204,51.80,51.80,51.70,51.80,,23,2286845
108/03/29,77068,51.70,51.80,51.70,51.80,,40,3984512
108/04/01,30534,51.70,51.80,51.70,51.70,0.10,34,1579201
108/04/02,35783,51.70,51.70,51.60,51.70,,25,1846899
108/04/03,59292,51.70,51.70,51.60,51.70,,39,3060066
108/04/08,228362,51.70,51.80,51.70,51.80,0.10,75,11806412
108/04/09,66896,51.70,51.70,51.60,51.70,0.10,35,3455531
108/04/10,163564,51.70,51.70,51.60,51.70,,55,8452200
108/04/11,93058,51.60,51.60,51.60,51.60,0.10,34,4801484
