華立            ,	3010
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,240150,55.10,55.20,54.20,54.80,-0.20,184,13131464
104/01/06,173685,54.60,54.60,53.90,54.00,-0.80,133,9404430
104/01/07,117344,54.00,54.50,54.00,54.20,0.20,68,6377242
104/01/08,223501,54.40,54.70,53.80,54.10,-0.10,147,12108856
104/01/09,255007,54.20,54.80,53.90,53.90,-0.20,155,13879599
104/01/12,121108,53.90,54.30,53.60,53.70,-0.20,97,6515006
104/01/13,159738,53.70,53.80,53.20,53.80,0.10,125,8550930
104/01/14,139693,53.80,54.20,53.40,54.20,0.40,115,7508522
104/01/15,129332,54.20,54.50,53.80,54.00,-0.20,110,6999921
104/01/16,188432,54.30,54.30,53.50,53.60,-0.40,146,10146109
104/01/19,75007,53.70,54.30,53.70,53.80,0.20,67,4038978
104/01/20,148616,53.70,54.60,53.70,54.60,0.80,115,8066532
104/01/21,135720,54.90,54.90,54.00,54.00,-0.60,111,7380134
104/01/22,365115,54.30,55.00,54.10,55.00,1.00,200,19965088
104/01/23,242633,55.50,55.50,54.60,55.00,,180,13345816
104/01/26,66217,55.00,55.00,54.60,54.70,-0.30,61,3627856
104/01/27,143000,54.70,55.00,54.30,54.30,-0.40,127,7804900
104/01/28,146474,54.00,54.90,54.00,54.80,0.50,91,8019967
104/01/29,76229,54.80,54.80,54.40,54.60,-0.20,69,4157526
104/01/30,105003,54.80,54.80,54.00,54.00,-0.60,81,5693162
104/02/02,108240,54.00,54.30,53.70,54.10,0.10,80,5851080
104/02/03,194545,53.80,54.60,53.80,54.20,0.10,76,10586574
104/02/04,389928,54.20,54.50,54.10,54.50,0.30,226,21201596
104/02/05,399787,54.40,54.40,53.80,53.90,-0.60,246,21583411
104/02/06,175481,54.00,54.20,53.80,53.80,-0.10,96,9472378
104/02/09,61021,53.80,54.20,53.60,53.90,0.10,36,3290527
104/02/10,83022,53.90,54.20,53.90,53.90,,70,4485783
104/02/11,174646,54.10,54.20,53.60,53.80,-0.10,147,9415523
104/02/12,98435,53.80,54.20,53.80,54.10,0.30,55,5317732
104/02/13,220440,53.80,54.20,53.80,54.00,-0.10,100,11922060
104/02/24,400719,54.00,54.40,53.90,54.00,,248,21676966
104/02/25,171847,54.00,54.50,54.00,54.20,0.20,134,9335246
104/02/26,355487,54.40,54.80,54.30,54.40,0.20,206,19357145
104/03/02,387627,54.20,54.80,54.20,54.60,0.20,188,21135945
104/03/03,308554,54.80,54.90,54.20,54.60,,183,16852223
104/03/04,179590,54.40,54.80,54.40,54.60,,105,9808042
104/03/05,234020,54.60,54.80,54.40,54.70,0.10,147,12784200
104/03/06,396969,54.80,55.50,54.60,55.20,0.50,245,21869373
104/03/09,150165,55.00,55.30,54.60,55.20,,121,8264140
104/03/10,170694,55.20,55.90,55.00,55.20,,156,9451470
104/03/11,1140926,54.60,55.20,54.60,55.00,-0.20,131,62568590
104/03/12,168313,55.20,55.20,54.80,55.00,,122,9264944
104/03/13,204306,55.10,55.60,55.00,55.40,0.40,127,11324858
104/03/16,192794,55.60,55.70,55.20,55.50,0.10,128,10693322
104/03/17,204001,55.50,55.90,55.20,55.20,-0.30,138,11303248
104/03/18,145398,55.20,55.30,54.80,54.90,-0.30,108,7998556
104/03/19,308388,54.80,55.30,54.80,55.30,0.40,187,17006074
104/03/20,305405,55.00,55.30,54.80,55.10,-0.20,224,16796484
104/03/23,285475,55.10,55.20,54.80,55.10,,173,15720925
104/03/24,312405,55.30,55.70,55.30,55.50,0.40,207,17334853
104/03/25,209063,55.50,55.50,54.80,55.10,-0.40,129,11517091
104/03/26,193243,54.50,55.30,54.50,55.20,0.10,126,10629765
104/03/27,191682,55.20,55.20,54.60,55.10,-0.10,115,10525575
104/03/30,182315,55.00,55.10,54.40,54.40,-0.70,175,9970425
104/03/31,386447,54.50,55.00,54.50,54.80,0.40,388,21173082
104/04/01,69817,54.80,54.80,54.70,54.70,-0.10,50,3821461
104/04/02,136389,54.70,55.00,54.70,54.90,0.20,77,7480695
104/04/07,103139,55.30,55.30,54.90,55.00,0.10,78,5680045
104/04/08,132654,55.30,55.30,54.90,55.10,0.10,107,7299626
104/04/09,92999,55.50,55.50,54.90,54.90,-0.20,69,5124137
104/04/10,108913,55.00,55.50,54.90,55.20,0.30,79,6004614
104/04/13,226465,55.20,56.00,55.20,55.70,0.50,168,12626542
104/04/14,198665,55.80,56.20,55.70,56.20,0.50,174,11116155
104/04/15,218348,56.20,56.20,55.00,55.10,-1.10,190,12131672
104/04/16,453128,55.20,55.80,54.70,55.20,0.10,371,25071402
104/04/17,320423,55.00,55.30,54.70,55.30,0.10,148,17652071
104/04/20,91226,55.30,55.60,55.00,55.20,-0.10,108,5034226
104/04/21,144408,55.00,55.20,54.70,55.00,-0.20,110,7933240
104/04/22,512050,54.90,55.50,54.70,55.40,0.40,189,28216794
104/04/23,232285,55.80,55.90,55.10,55.90,0.50,171,12894628
104/04/24,265394,55.90,55.90,55.40,55.70,-0.20,184,14766264
104/04/27,247419,55.90,56.50,55.80,56.10,0.40,198,13907975
104/04/28,443282,56.00,57.50,56.00,57.00,0.90,319,25217284
104/04/29,347381,57.00,57.60,56.90,57.00,,228,19872917
104/04/30,666575,57.50,57.50,57.00,57.40,0.40,370,38150030
104/05/04,271663,57.40,57.40,56.90,56.90,-0.50,203,15490821
104/05/05,142733,56.50,56.80,56.30,56.70,-0.20,127,8062856
104/05/06,142520,56.00,56.70,56.00,56.70,,126,8056682
104/05/07,181792,56.70,57.00,56.20,56.40,-0.30,149,10305304
104/05/08,162240,56.40,56.50,55.80,56.10,-0.30,135,9097687
