立萬利          ,	3054
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1588000,13.60,13.70,13.45,13.70,0.10,307,21564150
104/01/06,576152,13.60,13.65,13.40,13.45,-0.25,173,7788709
104/01/07,399020,13.60,13.60,13.35,13.50,0.05,149,5366972
104/01/08,476030,13.60,13.90,13.50,13.80,0.30,199,6522117
104/01/09,280000,13.90,13.90,13.65,13.65,-0.15,122,3845800
104/01/12,1011408,13.60,14.00,13.50,13.80,0.15,310,13969260
104/01/13,272302,14.00,14.00,13.65,13.70,-0.10,117,3763822
104/01/14,202000,13.70,13.80,13.55,13.60,-0.10,104,2754650
104/01/15,247000,13.60,13.80,13.55,13.75,0.15,118,3384650
104/01/16,313000,13.65,13.70,13.55,13.55,-0.20,126,4267550
104/01/19,242000,13.60,13.75,13.45,13.50,-0.05,114,3284400
104/01/20,112257,13.50,13.60,13.50,13.50,,67,1518644
104/01/21,185000,13.50,13.70,13.50,13.50,,95,2505850
104/01/22,2113150,13.50,14.40,13.50,14.10,0.60,777,30055680
104/01/23,847150,14.10,14.35,13.90,14.30,0.20,345,11917480
104/01/26,955240,14.25,14.80,14.20,14.35,0.05,442,13837582
104/01/27,374000,14.50,14.50,14.20,14.20,-0.15,146,5338400
104/01/28,257000,14.20,14.25,14.10,14.10,-0.10,121,3633400
104/01/29,300000,14.10,14.10,14.00,14.00,-0.10,116,4219400
104/01/30,303020,14.00,14.20,14.00,14.10,0.10,113,4280781
104/02/02,414000,14.10,14.30,14.00,14.00,-0.10,125,5835050
104/02/03,153000,14.20,14.25,14.05,14.15,0.15,76,2166800
104/02/04,194000,14.25,14.35,14.05,14.15,,78,2748750
104/02/05,150000,14.15,14.20,14.05,14.05,-0.10,66,2117750
104/02/06,215000,14.05,14.10,14.00,14.00,-0.05,80,3024900
104/02/09,236200,14.05,14.10,14.00,14.05,0.05,80,3318750
104/02/10,292000,14.10,14.30,14.05,14.05,,118,4126250
104/02/11,671144,14.15,14.40,14.15,14.15,0.10,200,9565530
104/02/12,402000,14.20,14.25,14.15,14.15,,132,5708250
104/02/13,369001,14.25,14.35,14.15,14.15,,144,5246864
104/02/24,379000,14.20,14.30,14.15,14.15,,133,5386800
104/02/25,1070066,14.15,15.00,14.15,14.80,0.65,463,15709783
104/02/26,4539010,14.90,15.80,14.90,15.80,1.00,1119,71352958
104/03/02,3407000,16.25,16.90,16.25,16.90,1.10,779,56979300
104/03/03,8929199,17.45,17.80,17.00,17.15,0.25,2682,155145251
104/03/04,2923912,17.40,18.35,17.40,18.35,1.20,604,53227234
104/03/05,10779095,19.40,19.60,18.90,19.60,1.25,2874,208382112
104/03/06,8702427,19.65,20.30,19.40,20.10,0.50,3023,172926381
104/03/09,5364360,19.90,20.40,19.80,20.00,-0.10,1792,107686594
104/03/10,5333010,20.00,20.30,19.40,20.10,0.10,1559,105847649
104/03/11,12766328,20.10,21.50,19.80,21.50,1.40,3802,267262000
104/03/12,10117488,21.65,22.80,21.55,22.05,0.55,3727,222922685
104/03/13,6086177,21.80,22.80,21.55,22.75,0.70,2174,135286006
104/03/16,6645569,22.75,23.80,22.75,23.75,1.00,2437,155955005
104/03/17,4666092,23.90,23.90,23.20,23.65,-0.10,1647,109857661
104/03/18,6145222,23.70,25.00,23.70,24.30,0.65,2473,149829503
104/03/19,4606329,24.60,24.60,23.80,24.40,0.10,1670,111775444
104/03/20,2673058,24.40,24.80,24.15,24.20,-0.20,976,65256049
104/03/23,3358797,24.30,24.50,23.85,23.90,-0.30,976,80995067
104/03/24,4953001,23.90,24.00,23.15,23.65,-0.25,1557,116437073
104/03/25,3016470,23.90,24.50,23.70,23.70,0.05,1504,72549630
104/03/26,4877409,23.20,23.50,22.05,22.05,-1.65,1860,110758700
104/03/27,4927200,21.85,22.80,21.85,22.70,0.65,1789,110861647
104/03/30,3662000,23.20,23.30,21.50,22.85,0.15,1667,82095198
104/03/31,1861393,23.40,23.40,22.75,22.95,0.10,788,42905154
104/04/01,10714440,22.95,24.55,22.95,24.55,1.60,2923,259452897
104/04/02,7821176,24.60,26.25,24.25,25.50,0.95,2631,196979579
104/04/07,3536233,25.50,26.20,24.60,25.50,,1398,89611453
104/04/08,2180992,25.60,25.60,24.70,24.75,-0.75,918,54418718
104/04/09,2609299,24.55,26.00,24.55,24.65,-0.10,1127,65425674
104/04/10,3442282,24.65,24.65,23.65,24.25,-0.40,1217,82914545
104/04/13,1260838,24.25,24.80,23.95,24.80,0.55,577,30562552
104/04/14,1404116,24.80,24.80,24.10,24.20,-0.60,674,34253626
104/04/15,1057602,24.20,24.50,24.10,24.45,0.25,451,25670277
104/04/16,759013,24.45,24.60,24.15,24.15,-0.30,320,18427613
104/04/17,826484,24.15,24.40,24.10,24.40,0.25,329,20023636
104/04/20,1766150,24.30,24.30,23.10,23.15,-1.25,753,41635450
104/04/21,4176100,23.10,23.25,21.55,21.55,-1.60,1490,92277900
104/04/22,2685371,21.55,22.60,21.35,22.00,0.45,1119,59079952
104/04/23,1142450,22.45,22.50,21.75,21.80,-0.20,547,25147259
104/04/24,1416000,21.95,22.50,21.75,21.75,-0.05,591,31226800
104/04/27,1445457,22.45,22.80,22.00,22.70,0.95,584,32512754
104/04/28,591621,22.70,22.90,22.50,22.55,-0.15,284,13389509
104/04/29,1257002,22.50,22.70,21.50,21.75,-0.80,490,27650292
104/04/30,708230,21.75,21.95,21.55,21.90,0.15,297,15387064
104/05/04,2439210,21.80,21.80,20.40,20.80,-1.10,853,50758920
104/05/05,2570099,20.60,22.25,20.30,21.80,1.00,1037,55625396
104/05/06,1493000,21.80,22.55,21.35,21.80,,667,32939450
104/05/07,1162001,21.40,21.70,20.90,21.05,-0.75,566,24737221
104/05/08,991003,21.20,21.35,20.65,21.00,-0.05,364,20778063
104/05/11,1849006,20.50,20.95,19.80,19.95,-1.05,691,37283020
104/05/12,1218035,19.95,20.45,19.30,20.45,0.50,485,24212463
104/05/13,829001,20.45,21.30,20.10,20.85,0.40,385,17224270
104/05/14,613012,20.55,20.85,20.20,20.30,-0.55,276,12489090
104/05/15,334002,20.35,20.70,20.05,20.35,0.05,169,6762390
104/05/18,874017,20.35,20.60,19.90,20.55,0.20,351,17721290
104/05/19,605037,20.55,21.20,20.50,20.70,0.15,340,12624141
104/05/20,283001,20.70,21.00,20.30,20.65,-0.05,137,5849470
104/05/21,338001,20.50,20.85,20.35,20.60,-0.05,149,6953820
104/05/22,425000,20.60,20.80,20.45,20.60,,190,8749500
104/05/25,303004,20.60,20.60,20.40,20.60,,134,6212581
