銘異            ,	3060
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,595562,164.00,165.50,163.00,164.50,,401,97868509
104/01/06,1506084,163.50,164.00,161.00,161.00,-3.50,937,244138024
104/01/07,1351350,160.00,162.50,159.00,160.50,-0.50,868,217618850
104/01/08,1014523,162.00,163.00,161.00,162.50,2.00,608,164481485
104/01/09,1818555,162.50,162.50,158.00,160.00,-2.50,1232,290589300
104/01/12,1195393,160.00,161.00,157.00,157.00,-3.00,860,189514701
104/01/13,1033970,157.00,160.50,157.00,159.50,2.50,778,164629703
104/01/14,775434,158.50,159.50,157.50,158.50,-1.00,564,122967780
104/01/15,1526391,147.50,147.50,147.50,147.50,-11.00,864,225142658
104/01/16,5739154,145.00,152.50,145.00,147.50,,3300,853516292
104/01/19,4790946,147.50,148.00,140.50,142.00,-5.50,2705,687003278
104/01/20,2406610,143.00,151.50,142.50,151.50,9.50,1666,355386915
104/01/21,2753780,151.50,153.50,149.00,151.50,,1762,416312120
104/01/22,1287861,152.00,153.50,150.50,150.50,-1.00,807,195095372
104/01/23,1137723,152.50,152.50,150.50,150.50,,743,172112306
104/01/26,728600,151.00,152.00,150.00,150.00,-0.50,503,109879400
104/01/27,1431857,150.00,150.00,148.00,150.00,,954,213431407
104/01/28,1219001,150.00,154.00,149.50,152.00,2.00,860,184739153
104/01/29,573584,151.00,152.50,151.00,151.00,-1.00,431,86955057
104/01/30,651185,151.00,152.50,149.00,149.00,-2.00,467,97866525
104/02/02,2615349,149.00,149.50,143.00,145.50,-3.50,1529,380383803
104/02/03,2553361,145.50,148.50,142.00,148.50,3.00,1458,371948011
104/02/04,1104409,150.50,151.00,147.50,147.50,-1.00,767,165229532
104/02/05,2226606,143.50,149.50,143.50,148.50,1.00,1302,326129900
104/02/06,1592597,149.50,150.50,146.50,146.50,-2.00,1017,237202259
104/02/09,1101789,145.00,147.50,145.00,146.00,-0.50,535,160552272
104/02/10,2613104,142.00,146.00,142.00,145.50,-0.50,1068,378846184
104/02/11,1530840,145.50,149.00,145.50,146.50,1.00,825,225587980
104/02/12,1021361,148.50,148.50,146.50,147.00,0.50,603,150601928
104/02/13,2020051,149.00,152.00,147.50,150.50,3.50,1128,302096752
104/02/24,2038826,152.50,155.00,152.00,153.00,2.50,1247,312799356
104/02/25,1235339,153.00,154.00,151.50,151.50,-1.50,781,188504206
104/02/26,1123297,151.50,152.50,150.50,151.50,,601,170290485
104/03/02,1453845,152.50,153.00,150.00,150.50,-1.00,825,219829652
104/03/03,1456450,152.00,153.50,151.00,151.00,0.50,773,221733500
104/03/04,1232219,151.00,152.00,150.00,151.00,,643,185885889
104/03/05,701389,152.00,152.00,150.50,151.00,,487,106069128
104/03/06,2952467,151.50,156.00,151.00,154.50,3.50,1378,454815140
104/03/09,1609190,155.00,155.50,152.00,152.00,-2.50,779,246621458
104/03/10,2368240,154.00,155.50,151.00,151.00,-1.00,969,363843480
104/03/11,2678147,150.00,152.50,148.00,148.00,-3.00,1173,402010403
104/03/12,1825348,148.50,150.00,147.50,148.00,,880,271048519
104/03/13,2608422,149.00,149.50,145.00,148.50,0.50,1268,384410800
104/03/16,1514828,150.00,150.00,147.50,147.50,-1.00,504,224333872
104/03/17,2358510,149.50,149.50,144.50,145.00,-2.50,987,346648718
104/03/18,2860353,145.50,146.00,142.50,145.50,0.50,1430,412939038
104/03/19,2307414,148.00,149.50,147.00,147.00,1.50,1143,341656468
104/03/20,1881603,148.00,150.00,147.00,150.00,3.00,787,279923842
104/03/23,1670952,152.00,152.00,150.00,150.00,,787,252364260
104/03/24,2372386,152.00,154.00,151.00,151.00,1.00,1229,361479172
104/03/25,3073214,151.00,152.50,145.00,145.00,-6.00,1742,454520088
104/03/26,1874935,145.00,147.00,144.50,145.00,,1143,272666947
104/03/27,6129772,145.50,146.50,135.00,135.00,-10.00,3515,845130492
104/03/30,891996,126.00,126.00,126.00,126.00,-9.00,415,112391496
104/03/31,8656943,117.50,118.50,117.50,117.50,-8.50,3335,1017744280
104/04/01,6202639,114.00,120.50,114.00,118.50,1.00,3230,731040681
104/04/02,3076439,119.00,126.50,119.00,126.50,8.00,1718,384495531
104/04/07,2513932,134.50,134.50,128.50,128.50,2.00,1559,329734796
104/04/08,2085004,128.00,129.00,121.00,124.50,-4.00,1171,260669943
104/04/09,1541365,126.00,126.00,123.00,123.00,-1.50,737,191696783
104/04/10,5335258,123.00,124.00,114.50,114.50,-8.50,2774,617163531
104/04/13,5395646,114.50,116.50,106.50,111.50,-3.00,3044,596506998
104/04/14,2298083,112.00,116.00,110.50,115.50,4.00,1574,261290128
104/04/15,2092508,116.00,118.00,112.50,115.50,,1373,240789192
104/04/16,1619605,117.00,117.50,114.00,115.50,,1052,187212180
104/04/17,1940980,115.00,116.00,112.00,112.00,-3.50,1100,219509740
104/04/20,1218543,113.00,114.00,111.00,112.50,0.50,888,137041559
104/04/21,3649267,113.50,120.00,107.50,117.50,5.00,2309,415113506
104/04/22,3102514,118.00,118.50,115.00,115.50,-2.00,1672,362219638
104/04/23,1329932,115.50,117.50,115.00,117.50,2.00,857,154801504
104/04/24,1606665,118.00,119.50,116.00,116.00,-1.50,983,188185805
104/04/27,1174628,115.00,116.50,114.50,114.50,-1.50,759,135222348
104/04/28,1180500,115.00,117.50,115.00,115.00,0.50,692,136913746
104/04/29,960560,117.00,117.00,114.50,116.00,1.00,598,111077020
104/04/30,764871,117.00,117.00,114.50,115.00,-1.00,542,88331036
104/05/04,2133062,115.00,115.00,110.50,112.00,-3.00,1255,240129526
104/05/05,2497910,112.00,115.00,110.00,114.00,2.00,1189,281303240
104/05/06,1449232,113.50,116.50,113.00,115.00,1.00,929,166496680
104/05/07,1067238,115.00,115.50,111.50,112.00,-3.00,710,120813272
104/05/08,2340151,112.00,115.00,110.50,113.00,1.00,1362,263339714
104/05/11,1379039,114.00,114.50,110.50,112.00,-1.00,887,154487868
104/05/12,6553160,112.00,112.50,104.50,104.50,-7.50,3296,691186800
104/05/13,3639244,106.00,108.00,103.00,106.00,1.50,2264,384530235
104/05/14,915030,106.00,107.50,105.00,107.50,1.50,612,97277216
104/05/15,1440000,108.50,109.50,107.50,109.50,2.00,1006,156350498
104/05/18,1313134,109.00,111.00,108.00,110.50,1.00,778,144116240
104/05/19,1468793,110.00,115.00,109.50,115.00,4.50,1091,165733657
104/05/20,1315550,114.50,118.50,114.50,117.00,2.00,984,153328850
104/05/21,886098,116.50,117.50,115.00,115.00,-2.00,626,102586818
104/05/22,2521200,116.00,119.00,115.50,116.50,1.50,1172,295683800
104/05/25,1587350,118.00,118.50,113.00,113.00,-3.50,962,183632700
104/05/26,1133657,113.50,114.50,111.50,114.00,1.00,755,128173241
104/05/27,1110050,112.00,114.00,111.00,114.00,,628,125423250
104/05/28,1200834,116.00,116.50,114.00,114.00,,616,138174744
104/05/29,1701110,114.00,115.00,110.00,110.00,-4.00,1029,190631651
104/06/01,1058950,109.00,112.00,109.00,111.50,1.50,593,117087350
104/06/02,1507496,110.00,114.00,109.50,113.00,1.50,687,168540548
104/06/03,1138202,114.00,114.00,110.50,113.50,0.50,600,128032432
104/06/04,2124145,113.50,114.50,111.50,114.00,0.50,955,240415465
104/06/05,3137733,113.50,114.00,106.50,112.50,-1.50,1654,346190062
104/06/08,1703715,110.00,113.50,110.00,111.00,-1.50,802,190601080
104/06/09,3167465,115.00,116.00,113.00,113.00,2.00,1480,361693545
104/06/10,1473617,115.00,115.00,112.00,113.00,,758,167490838
104/06/11,1243350,114.00,115.00,112.00,113.00,,678,140655725
