耀登,	3138
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
110/01/04,919697,172.00,172.50,165.00,172.50,15.50,618,157354726
110/01/05,3171223,185.00,189.50,182.00,189.50,17.00,2682,594407769
110/01/06,1315580,208.00,208.00,203.00,208.00,18.50,853,273215640
110/01/07,2504326,218.00,228.50,215.00,228.50,20.50,2377,560573317
110/01/08,1918005,246.00,251.00,236.00,251.00,22.50,1912,474238790
110/01/11,3281263,276.00,276.00,230.50,276.00,25.00,3604,859803966
110/01/12,1693265,268.00,299.00,260.00,277.00,1.00,2170,472085298
110/01/13,1156654,279.00,290.00,266.00,284.00,7.00,1565,322859198
110/01/14,464199,284.00,284.00,265.00,270.00,14.00,608,125731716
110/01/15,806708,261.50,261.50,243.00,243.00,27.00,1064,198604142
110/01/18,663601,219.00,219.00,219.00,219.00,24.00,772,145338531
110/01/19,1509777,209.00,225.00,209.00,221.00,2.00,1468,326143120
110/01/20,774389,221.00,221.00,211.00,211.00,10.00,860,166482965
110/01/21,307246,217.50,232.00,217.50,232.00,21.00,289,70119686
110/01/22,716205,255.00,255.00,248.00,255.00,23.00,641,181576527
110/01/25,740552,253.00,275.50,253.00,270.00,15.00,874,193996587
110/01/26,436947,265.00,275.00,265.00,266.00,4.00,622,117715094
110/01/27,434622,285.00,285.00,270.00,280.00,14.00,515,120511257
110/01/28,2174002,268.50,308.00,265.00,308.00,28.00,2327,626970841
110/01/29,2422165,318.00,338.50,303.00,337.00,29.00,3229,788255456
110/02/01,2475358,322.50,337.00,303.50,303.50,33.50,4400,786125044
110/02/02,1421056,286.00,330.00,283.50,320.00,16.50,2004,442062744
110/02/03,1708543,325.00,352.00,321.00,352.00,32.00,2188,583676679
110/02/04,1733878,346.00,379.50,336.00,357.50,5.50,2609,622197697
110/02/05,1093448,355.00,366.00,351.00,355.00,2.50,2090,390468010
110/02/17,1150264,369.50,390.50,360.50,390.50,35.50,1597,440440158
110/02/18,786949,400.00,429.50,399.50,429.50,39.00,1158,330062093
110/02/19,1047689,451.00,472.00,450.00,472.00,42.50,1891,488750450
110/02/22,416765,425.00,425.00,425.00,425.00,47.00,1310,177343090
110/02/23,402892,382.50,382.50,382.50,382.50,42.50,1165,154106059
110/02/24,502284,379.00,420.50,379.00,420.50,38.00,640,205467344
110/02/25,564592,462.50,462.50,420.00,449.00,28.50,1250,252082698
110/02/26,273078,420.00,465.00,420.00,445.00,4.00,734,121602556
110/03/02,235477,462.00,462.00,440.00,440.00,5.00,648,105786923
110/03/03,221142,441.00,441.00,425.00,430.50,9.50,633,95611489
110/03/04,240266,436.00,455.50,436.00,442.00,11.50,517,107633921
110/03/05,260880,440.50,466.00,440.50,466.00,24.00,553,119216877
110/03/08,325873,488.00,500.00,478.00,491.50,25.50,971,159902468
110/03/09,873064,496.50,518.00,480.00,484.00,7.50,2328,431895589
110/03/10,968496,491.50,498.00,442.50,454.00,30.00,2715,452468856
110/03/11,629906,468.00,484.00,453.00,470.50,16.50,1249,297425930
110/03/12,965456,475.00,478.50,444.00,447.00,23.50,2679,439920049
110/03/15,1451008,425.50,435.00,405.00,410.00,37.00,4035,604521664
110/03/16,806629,443.50,451.00,432.00,451.00,41.00,1386,359754704
110/03/17,1307268,484.50,495.50,452.50,483.00,32.00,2336,621864345
110/03/18,995518,496.00,500.00,481.00,483.00,0.00,2286,488735879
110/03/19,641053,470.00,482.00,463.50,469.50,13.50,2015,302538953
110/03/22,636155,472.00,472.00,452.00,452.00,17.50,2232,291507038
110/03/23,543353,442.50,471.00,440.00,444.00,8.00,1574,245055326
110/03/24,514802,434.00,446.00,428.50,431.50,12.50,1863,223819586
110/03/25,440101,445.00,453.50,432.00,446.50,15.00,949,194980159
110/03/26,311936,454.00,456.00,447.00,447.50,1.00,843,140362745
110/03/29,444183,450.00,454.00,435.00,439.00,8.50,1390,197776312
110/03/30,608546,438.00,449.00,420.00,440.00,1.00,1363,264108579
110/03/31,441301,439.00,441.00,426.50,429.00,11.00,1621,190611487
110/04/01,511116,427.00,433.00,420.50,422.00,7.00,1591,216896722
