正達            ,	3149
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1013297,29.30,29.30,28.60,29.10,-0.20,529,29358442
104/01/06,3469746,28.80,30.80,28.75,30.25,1.15,1812,104152115
104/01/07,2900465,30.25,31.40,30.05,30.80,0.55,1483,89102197
104/01/08,2564431,31.30,31.30,30.20,30.60,-0.20,1197,78639686
104/01/09,1301487,30.60,31.00,30.35,30.35,-0.25,591,39863100
104/01/12,948414,30.35,30.90,29.95,29.95,-0.40,543,28685970
104/01/13,964250,30.20,30.40,29.60,29.60,-0.35,554,28942724
104/01/14,1347613,29.60,30.45,29.40,29.85,0.25,680,40459348
104/01/15,626000,30.25,30.25,29.65,29.80,-0.05,332,18727650
104/01/16,823646,29.85,30.00,29.30,29.35,-0.45,532,24367459
104/01/19,1325804,29.50,29.80,28.35,28.35,-1.00,679,38586113
104/01/20,865044,28.35,28.90,28.30,28.60,0.25,442,24787562
104/01/21,350000,28.90,28.90,28.40,28.50,-0.10,226,10000650
104/01/22,910500,28.50,29.30,28.50,29.10,0.60,440,26432750
104/01/23,588143,29.55,29.55,29.00,29.05,-0.05,299,17183561
104/01/26,542400,29.05,29.05,28.50,28.65,-0.40,277,15574729
104/01/27,299100,28.75,28.90,28.60,28.70,0.05,178,8584679
104/01/28,1409062,28.60,29.90,28.50,29.65,0.95,776,41520736
104/01/29,456140,29.65,29.70,29.25,29.45,-0.20,280,13439501
104/01/30,452565,29.70,29.70,29.00,29.10,-0.35,220,13283790
104/02/02,413776,28.80,29.05,28.75,28.75,-0.35,193,11944510
104/02/03,689125,29.00,29.40,28.75,29.10,0.35,277,20093017
104/02/04,644310,29.10,29.45,28.50,28.50,-0.60,308,18568884
104/02/05,432108,28.00,28.55,28.00,28.25,-0.25,248,12216456
104/02/06,247136,28.30,28.50,28.20,28.40,0.15,132,6995548
104/02/09,369016,29.00,29.00,28.15,28.15,-0.25,184,10441664
104/02/10,1979536,27.55,27.95,26.65,26.70,-1.45,1023,53558817
104/02/11,878037,26.70,27.10,26.50,26.55,-0.15,363,23470693
104/02/12,293000,26.50,26.70,26.45,26.60,0.05,180,7796550
104/02/13,704500,26.60,26.95,26.55,26.55,-0.05,299,18815249
104/02/24,426674,27.00,27.05,26.80,27.00,0.45,223,11493148
104/02/25,304703,27.00,27.15,26.85,27.00,,166,8222781
104/02/26,654507,27.00,27.30,26.80,27.30,0.30,365,17719891
104/03/02,551000,27.50,27.60,27.00,27.30,,282,15012200
