昇陽            ,	3266
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,789049,20.30,20.30,19.90,20.15,-0.20,276,15807289
104/01/06,184000,20.00,20.15,19.95,20.05,-0.10,111,3685400
104/01/07,161110,20.05,20.15,20.00,20.10,0.05,65,3226311
104/01/08,69099,20.10,20.25,20.05,20.10,,47,1391730
104/01/09,101000,20.40,20.40,20.10,20.25,0.15,70,2039950
104/01/12,248360,20.25,20.50,20.10,20.10,-0.15,139,5042250
104/01/13,131248,20.20,20.35,20.10,20.20,0.10,75,2653384
104/01/14,78000,20.40,20.40,20.15,20.20,,43,1576050
104/01/15,120000,20.00,20.30,20.00,20.10,-0.10,62,2405300
104/01/16,146000,20.00,20.00,19.75,19.80,-0.30,84,2904100
104/01/19,167814,19.80,20.00,19.60,19.65,-0.15,85,3316694
104/01/20,108002,19.65,19.85,19.60,19.70,0.05,63,2127889
104/01/21,124000,19.90,19.90,19.55,19.60,-0.10,74,2434800
104/01/22,135000,19.80,19.90,19.65,19.85,0.25,64,2672250
104/01/23,148000,19.85,19.90,19.65,19.70,-0.15,61,2924550
104/01/26,76728,19.80,19.80,19.60,19.60,-0.10,43,1507696
104/01/27,50248,19.60,19.80,19.60,19.65,0.05,31,988348
104/01/28,91000,19.65,19.70,19.65,19.70,0.05,46,1788700
104/01/29,59000,19.70,19.70,19.65,19.70,,36,1160950
104/01/30,86331,19.70,19.80,19.65,19.80,0.10,48,1702619
104/02/02,103000,19.80,19.80,19.65,19.75,-0.05,55,2029850
104/02/03,88000,19.75,19.85,19.75,19.80,0.05,52,1743650
104/02/04,213000,19.90,20.25,19.80,20.00,0.20,120,4270600
104/02/05,158574,20.20,20.25,19.95,20.00,,81,3188108
104/02/06,153412,20.00,20.05,19.75,19.95,-0.05,64,3044890
104/02/09,60000,20.00,20.05,19.90,20.00,0.05,33,1200000
104/02/10,165000,20.00,20.20,20.00,20.10,0.10,78,3314450
104/02/11,165000,20.00,20.20,20.00,20.05,-0.05,59,3320400
104/02/12,171010,20.05,20.15,20.05,20.05,,79,3439350
104/02/13,451512,20.15,20.55,20.10,20.35,0.30,174,9181192
104/02/24,236512,20.50,20.55,20.00,20.00,-0.35,76,4785538
104/02/25,83248,20.00,20.15,20.00,20.10,0.10,31,1669310
104/02/26,175019,20.20,20.30,20.05,20.10,,46,3524681
104/03/02,138000,20.20,20.20,20.00,20.00,-0.10,47,2770200
104/03/03,120100,20.20,20.20,19.90,20.10,0.10,36,2407264
104/03/04,195970,20.10,20.10,19.90,20.10,,45,3925550
104/03/05,209000,20.10,20.15,19.95,20.00,-0.10,41,4180350
104/03/06,97030,20.10,20.20,20.00,20.05,0.05,42,1950603
104/03/09,116300,20.05,20.20,20.00,20.00,-0.05,41,2329620
104/03/10,193015,20.00,20.10,20.00,20.00,,42,3865000
104/03/11,204590,20.00,20.05,19.85,19.90,-0.10,76,4078830
104/03/12,199000,19.90,19.95,19.75,19.80,-0.10,73,3944000
104/03/13,183130,19.80,19.80,19.60,19.60,-0.20,88,3608811
104/03/16,177005,19.60,19.75,19.50,19.60,,56,3467498
104/03/17,123130,19.70,19.75,19.60,19.60,,44,2421709
104/03/18,255000,19.60,19.70,19.35,19.65,0.05,69,4971900
104/03/19,126150,19.70,19.80,19.65,19.65,,59,2485632
104/03/20,58200,19.70,19.75,19.65,19.65,,23,1145710
104/03/23,194000,19.65,19.85,19.65,19.85,0.20,45,3833900
104/03/24,260240,19.80,19.85,19.65,19.65,-0.20,63,5129354
104/03/25,157015,19.65,19.75,19.65,19.70,0.05,51,3093043
104/03/26,82472,19.70,19.85,19.70,19.85,0.15,54,1633019
104/03/27,324482,19.85,20.60,19.80,20.10,0.25,146,6515290
104/03/30,77012,20.30,20.30,19.85,20.05,-0.05,53,1542090
104/03/31,288000,20.00,20.05,19.70,19.75,-0.30,84,5733850
104/04/01,163660,19.70,20.00,19.65,19.90,0.15,50,3245335
104/04/02,142000,20.00,20.00,19.65,19.70,-0.20,39,2810150
104/04/07,82612,19.65,19.85,19.55,19.85,0.15,48,1624205
104/04/08,50372,19.70,19.70,19.55,19.55,-0.30,25,989053
104/04/09,247000,19.55,19.55,19.30,19.40,-0.15,86,4804550
104/04/10,41103,19.55,19.80,19.35,19.35,-0.05,30,800008
104/04/13,199329,19.35,19.60,19.20,19.55,0.20,54,3855230
104/04/14,532424,19.65,19.65,19.25,19.50,-0.05,50,10311775
104/04/15,548280,19.50,19.50,19.05,19.10,-0.40,97,10570048
104/04/16,538831,19.10,19.20,18.90,18.95,-0.15,122,10237020
104/04/17,323000,19.00,19.10,18.95,19.05,0.10,98,6132150
104/04/20,150000,19.15,19.15,19.00,19.05,,35,2856200
104/04/21,110000,19.10,19.20,19.00,19.00,-0.05,49,2094850
104/04/22,126000,18.90,18.95,18.80,18.90,-0.10,37,2376100
104/04/23,218000,18.90,19.10,18.80,19.10,0.20,108,4124000
104/04/24,118000,19.00,19.30,19.00,19.30,0.20,108,2267650
104/04/27,177000,19.30,19.50,19.30,19.35,0.05,144,3428500
104/04/28,153601,19.40,19.50,19.30,19.50,0.15,99,2988208
104/04/29,198000,19.65,19.80,19.45,19.55,0.05,150,3890650
104/04/30,187000,19.75,19.85,19.50,19.70,0.15,130,3676050
104/05/04,64001,19.80,19.80,19.45,19.65,-0.05,35,1251969
104/05/05,51514,19.70,19.70,19.35,19.55,-0.10,41,1005671
104/05/06,70000,19.30,19.65,19.30,19.65,0.10,58,1368500
104/05/07,72461,19.60,19.70,19.55,19.70,0.05,66,1421535
104/05/08,130000,19.70,19.70,19.40,19.70,,61,2551400
104/05/11,79300,19.65,19.65,19.15,19.55,-0.15,68,1548970
104/05/12,200000,19.55,19.55,19.10,19.30,-0.25,94,3849150
104/05/13,102000,19.40,19.40,18.80,18.95,-0.35,41,1940950
104/05/14,64002,19.10,19.10,18.70,18.80,-0.15,40,1206086
104/05/15,97000,18.80,18.80,18.45,18.60,-0.20,44,1802050
104/05/18,236986,18.45,18.45,17.70,17.70,-0.90,116,4235353
104/05/19,184893,17.70,17.80,17.45,17.75,0.05,80,3260066
104/05/20,90100,18.00,18.00,17.60,17.75,,65,1591625
104/05/21,135400,17.60,17.60,17.35,17.50,-0.25,91,2369110
104/05/22,86000,17.40,17.55,17.30,17.40,-0.10,64,1497550
104/05/25,138770,17.40,17.50,17.15,17.25,-0.15,86,2393466
104/05/26,197042,17.25,17.70,16.95,17.25,,128,3403923
104/05/27,106010,17.10,17.55,17.00,17.05,-0.20,73,1819120
104/05/28,214169,17.05,17.25,16.90,17.25,0.20,95,3635890
104/05/29,85992,17.20,17.20,16.95,17.10,-0.15,31,1466214
104/06/01,219124,17.10,17.20,16.80,17.15,0.05,103,3717058
104/06/02,286207,17.00,17.75,16.85,17.65,0.50,176,5013522
104/06/03,151137,17.65,17.65,17.00,17.00,-0.65,104,2608065
104/06/04,191100,17.10,17.10,16.70,16.75,-0.25,133,3227560
104/06/05,290934,16.70,16.75,16.30,16.35,-0.40,171,4802030
104/06/08,154000,16.30,16.35,16.05,16.05,-0.30,107,2498100
104/06/09,216010,16.00,16.10,15.50,15.65,-0.40,127,3433656
104/06/10,154049,15.85,16.10,15.75,15.75,0.10,100,2444376
104/06/11,212000,15.75,15.85,15.50,15.85,0.10,143,3323750
104/06/12,138000,15.70,15.90,15.65,15.90,0.05,103,2175600
104/06/15,128250,15.85,16.50,15.85,16.50,0.60,95,2065149
104/06/16,129029,16.50,16.50,16.05,16.05,-0.45,80,2082714
104/06/17,214013,15.95,15.95,15.50,15.60,-0.45,182,3360104
104/06/18,131022,15.60,15.65,15.40,15.50,-0.10,111,2031593
104/06/22,231000,15.20,15.50,15.10,15.10,-0.40,115,3531350
104/06/23,241000,15.10,15.20,14.80,15.00,-0.10,154,3620250
104/06/24,288001,15.10,15.10,14.65,14.75,-0.25,154,4244364
104/06/25,183434,14.75,14.95,14.65,14.90,0.15,99,2707673
104/06/26,145200,14.90,14.90,14.70,14.75,-0.15,122,2148669
104/06/29,194000,14.75,14.80,14.60,14.80,0.05,112,2852450
104/06/30,261001,14.80,14.80,14.65,14.75,-0.05,122,3839564
104/07/01,215000,14.90,14.90,14.60,14.80,0.05,121,3159250
104/07/02,328000,14.85,14.85,14.65,14.80,,121,4838950
104/07/03,233000,14.85,14.85,14.70,14.70,-0.10,187,3440000
104/07/06,197000,14.70,14.85,14.70,14.75,0.05,165,2904350
104/07/07,272000,14.75,14.85,14.65,14.85,0.10,217,4016500
104/07/08,355000,14.95,14.95,14.60,14.70,-0.15,246,5225000
104/07/09,273186,14.90,15.00,14.55,15.00,0.30,194,4047490
104/07/13,330000,14.85,15.00,14.75,15.00,,267,4903900
104/07/14,371000,15.00,15.05,14.85,15.05,0.05,286,5541150
104/07/15,369000,15.20,15.20,14.90,15.05,,290,5544800
104/07/16,332000,14.95,15.10,14.95,15.00,-0.05,260,4973700
104/07/17,266000,15.00,15.15,14.90,15.10,0.10,207,3983550
104/07/20,326000,15.10,15.10,14.95,15.10,,221,4894800
104/07/21,373000,15.20,15.20,14.80,15.00,-0.10,168,5580350
104/07/22,4278000,15.10,15.10,14.75,14.85,-0.15,39,57878650
104/07/23,147000,15.00,15.20,14.85,15.05,0.20,74,2197500
104/07/24,108000,15.10,15.35,15.10,15.20,0.15,63,1639200
104/07/27,141000,15.10,15.25,14.80,14.80,-0.40,78,2107350
104/07/28,114001,15.20,15.25,14.80,15.05,0.25,61,1710565
104/07/29,200248,15.10,15.20,14.85,15.05,,68,3014020
104/07/30,210000,14.90,15.05,14.75,14.80,-0.25,76,3122700
104/07/31,76000,14.80,14.95,14.70,14.90,0.10,44,1127500
104/08/03,101000,14.70,15.00,14.65,14.80,-0.10,53,1488850
104/08/04,373000,14.70,14.80,13.55,14.45,-0.35,104,5272900
104/08/05,228000,13.35,14.75,13.35,14.75,0.30,90,3198950
104/08/06,200100,14.70,14.70,14.45,14.60,-0.15,58,2917150
104/08/07,103024,14.40,14.50,14.35,14.40,-0.20,31,1484543
