勝德            ,	3296
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,34713,22.15,22.40,21.70,21.80,-0.35,28,761021
104/01/06,30044,21.70,22.00,21.55,22.00,0.20,23,654176
104/01/07,19000,22.00,22.00,21.70,21.70,-0.30,12,413100
104/01/08,33652,21.80,21.80,21.60,21.60,-0.10,23,729717
104/01/09,37000,21.60,21.80,21.50,21.70,0.10,25,801500
104/01/12,25000,21.90,21.95,21.50,21.50,-0.20,13,540000
104/01/13,28500,21.50,21.60,21.50,21.60,0.10,9,614900
104/01/14,164045,21.70,22.00,21.00,22.00,0.40,59,3532740
104/01/15,50169,21.70,22.00,21.50,21.50,-0.50,34,1089816
104/01/16,21050,21.90,21.90,21.35,21.50,,17,452420
104/01/19,52000,21.70,21.90,21.40,21.40,-0.10,27,1126750
104/01/20,23350,21.00,21.80,21.00,21.30,-0.10,20,500020
104/01/21,57022,21.30,21.60,21.30,21.55,0.25,26,1227674
104/01/22,34007,21.60,21.65,21.30,21.55,,16,731850
104/01/23,73000,21.55,21.60,21.15,21.25,-0.30,34,1562500
104/01/26,99000,21.40,21.60,21.20,21.20,-0.05,30,2118900
104/01/27,89000,21.10,21.15,21.05,21.05,-0.15,34,1877850
104/01/28,44600,21.25,21.35,21.00,21.35,0.30,30,944570
104/01/29,39000,21.35,21.35,20.90,20.95,-0.40,24,820450
104/01/30,1131100,21.00,22.40,21.00,21.50,0.55,419,24866189
104/02/02,126000,21.30,21.60,21.15,21.35,-0.15,66,2687550
104/02/03,58000,21.40,21.80,21.25,21.40,0.05,45,1244100
104/02/04,128000,21.40,22.10,21.40,21.50,0.10,72,2776350
104/02/05,36773,21.50,21.80,21.40,21.45,-0.05,31,790764
104/02/06,36000,21.30,21.30,21.05,21.10,-0.35,23,761200
104/02/09,64000,21.10,21.15,20.85,20.85,-0.25,39,1344700
104/02/10,55000,20.85,21.40,20.80,20.85,,36,1157600
104/02/11,100350,20.90,20.90,20.10,20.90,0.05,55,2072580
104/02/12,142200,20.70,20.70,20.00,20.20,-0.70,65,2867269
104/02/13,80000,20.10,20.80,20.00,20.80,0.60,46,1645850
104/02/24,74075,20.80,21.50,20.80,21.00,0.20,34,1547467
104/02/25,268402,20.80,21.40,20.75,21.30,0.30,52,5640181
104/02/26,376010,21.30,21.60,20.90,21.60,0.30,73,7976965
104/03/02,235433,21.70,21.70,21.50,21.50,-0.10,46,5083766
104/03/03,35000,21.45,21.45,21.10,21.10,-0.40,24,744050
104/03/04,438419,21.50,22.55,21.50,22.25,1.15,199,9690059
104/03/05,238275,22.10,22.90,22.00,22.20,-0.05,112,5324427
104/03/06,66000,22.20,22.20,21.60,21.80,-0.40,36,1438200
104/03/09,63000,21.70,21.70,21.25,21.30,-0.50,39,1349150
104/03/10,112846,21.30,22.40,21.30,21.75,0.45,64,2439472
104/03/11,71010,21.75,21.75,21.25,21.25,-0.50,45,1518061
104/03/12,161062,21.25,21.35,21.05,21.10,-0.15,63,3416702
104/03/13,144000,21.10,21.55,20.80,21.45,0.35,55,3043450
104/03/16,79125,21.30,21.35,21.15,21.15,-0.30,30,1679612
104/03/17,71501,21.15,21.30,20.85,21.30,0.15,46,1511796
104/03/18,52000,21.30,21.30,20.90,20.95,-0.35,35,1091400
104/03/19,88062,20.95,21.50,20.80,20.80,-0.15,48,1849086
104/03/20,48000,20.80,21.05,20.80,20.80,,26,999050
104/03/23,63000,20.80,20.90,20.60,20.60,-0.20,35,1306200
104/03/24,94400,20.60,20.85,20.50,20.50,-0.10,44,1942660
104/03/25,55653,20.50,20.50,20.30,20.30,-0.20,31,1136925
104/03/26,91003,20.30,20.30,20.05,20.25,-0.05,48,1834810
104/03/27,115001,20.25,20.40,20.15,20.40,0.15,44,2329420
104/03/30,68001,20.40,20.40,20.10,20.15,-0.25,37,1378720
104/03/31,119000,20.15,20.15,19.85,19.95,-0.20,58,2377800
104/04/01,117000,19.95,19.95,19.10,19.20,-0.75,64,2280150
104/04/02,171500,19.20,19.70,19.05,19.20,,73,3319600
104/04/07,150737,19.50,19.50,19.00,19.05,-0.15,59,2898379
104/04/08,93000,19.05,19.50,19.00,19.10,0.05,39,1778300
104/04/09,35503,19.10,19.30,19.00,19.00,-0.10,20,677256
104/04/10,108507,19.10,19.30,18.95,19.30,0.30,47,2075083
104/04/13,117000,19.50,19.50,19.00,19.20,-0.10,50,2229450
104/04/14,3232000,19.20,20.50,19.00,19.25,0.05,601,64534300
104/04/15,520500,19.35,19.45,18.80,18.90,-0.35,164,10016924
104/04/16,161000,19.00,19.25,18.60,19.25,0.35,92,3052900
104/04/17,81712,19.05,19.20,18.75,19.00,-0.25,45,1547983
104/04/20,33001,18.80,18.90,18.65,18.65,-0.35,22,619418
104/04/21,140100,18.70,18.70,18.20,18.20,-0.45,57,2588560
