晶彩科          ,	3535
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1838350,14.60,15.35,14.60,15.30,0.75,607,27659020
104/01/06,839008,14.90,15.20,14.75,15.00,-0.30,276,12570271
104/01/07,1314150,15.00,15.60,15.00,15.05,0.05,455,20140707
104/01/08,789004,15.40,15.40,15.05,15.20,0.15,223,11981260
104/01/09,457020,15.30,15.35,15.10,15.35,0.15,171,6971806
104/01/12,1995106,16.40,16.40,16.40,16.40,1.05,503,32719738
104/01/13,4501535,16.65,16.65,15.80,15.80,-0.60,1486,72787075
104/01/14,1435000,15.80,16.10,15.70,15.80,,580,22814800
104/01/15,937500,15.95,16.00,15.45,15.45,-0.35,401,14650850
104/01/16,699969,15.45,15.60,14.90,14.90,-0.55,308,10668991
104/01/19,717605,15.10,15.35,14.90,15.00,0.10,287,10849113
104/01/20,881048,15.10,15.45,15.00,15.15,0.15,353,13395819
104/01/21,417396,15.20,15.30,14.85,14.95,-0.20,208,6256438
104/01/22,880200,15.05,15.30,14.95,15.10,0.15,291,13329798
104/01/23,345330,15.20,15.20,15.00,15.00,-0.10,156,5210332
104/01/26,208200,15.05,15.25,15.00,15.20,0.20,114,3155240
104/01/27,1496000,15.30,15.45,15.05,15.20,,453,22939950
104/01/28,343200,15.10,15.15,15.00,15.10,-0.10,164,5172619
104/01/29,332310,15.05,15.05,14.85,14.90,-0.20,158,4959769
104/01/30,413010,15.00,15.10,14.70,14.75,-0.15,159,6124497
104/02/02,256020,14.75,14.80,14.50,14.60,-0.15,112,3742343
104/02/03,287736,14.70,14.90,14.70,14.80,0.20,135,4256605
104/02/04,276262,14.85,14.95,14.70,14.75,-0.05,111,4089677
104/02/05,280138,14.90,14.90,14.65,14.70,-0.05,86,4120378
104/02/06,194000,14.70,14.75,14.65,14.65,-0.05,96,2847600
104/02/09,309000,14.65,14.65,14.50,14.55,-0.10,92,4492600
104/02/10,196000,14.60,14.70,14.60,14.65,0.10,91,2870200
104/02/11,472585,14.65,14.65,14.35,14.50,-0.15,168,6859182
104/02/12,320000,14.30,14.40,14.30,14.35,-0.15,104,4589950
104/02/13,376180,14.35,14.35,14.15,14.25,-0.10,122,5357555
104/02/24,371260,14.30,14.70,14.25,14.70,0.45,138,5374971
104/02/25,664074,14.80,14.90,14.45,14.45,-0.25,186,9777280
104/02/26,249000,14.45,14.70,14.40,14.60,0.15,107,3626850
104/03/02,1071030,14.65,14.75,14.40,14.60,,280,15717185
104/03/03,187002,14.75,14.75,14.45,14.50,-0.10,103,2719630
104/03/04,267190,14.50,14.55,14.35,14.35,-0.15,138,3864386
104/03/05,1112253,14.45,14.95,14.45,14.75,0.40,403,16474468
104/03/06,399000,14.85,14.85,14.55,14.55,-0.20,165,5846900
