辛耘            ,	3583
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,101000,62.00,62.10,61.40,61.80,-0.20,80,6227800
104/01/06,224000,61.60,61.90,60.60,61.50,-0.30,142,13706000
104/01/07,100039,61.00,61.40,61.00,61.40,-0.10,78,6110598
104/01/08,148010,61.60,61.90,60.70,60.70,-0.70,98,9060413
104/01/09,89000,61.00,61.40,60.90,61.10,0.40,73,5433300
104/01/12,472020,61.30,61.60,60.00,60.30,-0.80,317,28551407
104/01/13,175037,60.80,60.80,60.10,60.10,-0.20,124,10551623
104/01/14,215000,60.10,60.30,59.50,59.60,-0.50,150,12850600
104/01/15,173000,59.70,60.00,59.40,59.90,0.30,99,10321000
104/01/16,3577182,62.00,64.00,62.00,63.00,3.10,1531,228163001
104/01/19,783414,63.00,63.60,62.20,63.50,0.50,430,49334296
104/01/20,275000,63.50,63.50,62.90,63.30,-0.20,184,17364400
104/01/21,1300000,64.00,65.10,63.20,63.50,0.20,587,83251100
104/01/22,590037,63.50,64.80,63.30,64.70,1.20,346,37933605
104/01/23,530076,65.50,65.50,64.10,64.10,-0.60,317,34279417
104/01/26,227100,64.30,64.80,63.50,63.50,-0.60,165,14513500
104/01/27,298000,63.60,64.00,62.70,63.00,-0.50,204,18796700
104/01/28,298000,63.00,64.20,62.60,63.00,,171,18880500
104/01/29,627216,63.50,64.60,63.10,64.00,1.00,300,40151558
104/01/30,428154,64.90,65.00,63.10,63.10,-0.90,191,27452455
104/02/02,213004,63.10,63.40,62.50,62.60,-0.50,130,13403648
104/02/03,131000,63.80,63.90,63.00,63.40,0.80,97,8309400
104/02/04,137000,63.00,63.40,62.80,62.80,-0.60,77,8626000
104/02/05,58000,63.70,63.70,62.80,63.10,0.30,45,3666400
104/02/06,68000,63.30,63.30,62.80,63.00,-0.10,39,4285400
104/02/09,92000,63.50,63.50,62.80,62.90,-0.10,55,5790500
104/02/10,128100,63.50,63.50,62.80,63.00,0.10,100,8074060
104/02/11,877000,63.50,64.90,61.10,62.80,-0.20,464,55795500
104/02/12,224000,63.50,63.70,62.70,62.90,0.10,117,14125200
104/02/13,242143,63.00,63.00,62.30,62.50,-0.40,118,15144893
104/02/24,152000,63.00,63.00,62.70,62.80,0.30,103,9549600
104/02/25,107000,62.90,63.00,62.60,62.60,-0.20,65,6719600
104/02/26,103093,62.70,63.00,62.70,62.90,0.30,72,6477252
104/03/02,262020,63.40,63.40,61.30,62.50,-0.40,137,16420250
104/03/03,282043,62.70,62.80,61.40,61.60,-0.90,142,17430148
104/03/04,772093,61.60,61.60,59.90,60.70,-0.90,504,46645007
104/03/05,244000,61.30,61.30,60.30,60.30,-0.40,138,14791800
104/03/06,432001,60.30,60.70,59.90,60.30,,238,26047960
104/03/09,372010,60.40,60.80,60.00,60.20,-0.10,226,22418600
104/03/10,431000,60.30,60.80,59.50,59.50,-0.70,291,25836000
104/03/11,684000,59.60,59.90,58.30,58.50,-1.00,470,40264900
104/03/12,691700,58.60,59.50,57.00,59.10,0.60,474,40333360
104/03/13,314090,59.50,59.90,58.10,58.20,-0.90,221,18394090
104/03/16,413100,58.20,59.90,58.10,59.80,1.60,285,24498020
104/03/17,209200,60.00,60.30,59.60,60.00,0.20,148,12540000
104/03/18,280000,60.50,60.50,59.50,60.50,0.50,205,16862300
104/03/19,193032,60.70,60.70,60.00,60.30,-0.20,147,11633126
104/03/20,216000,60.50,60.50,59.80,60.30,,179,12990300
104/03/23,213000,60.40,60.40,59.60,60.30,,162,12801800
104/03/24,47000,60.30,60.30,59.50,60.00,-0.30,40,2812300
104/03/25,118000,59.50,59.60,59.00,59.20,-0.80,83,6998300
104/03/26,122000,58.90,59.80,58.30,58.40,-0.80,107,7178700
104/03/27,147105,58.80,59.40,58.00,58.30,-0.10,106,8599130
104/03/30,298193,58.30,58.60,57.30,57.50,-0.80,190,17146196
104/03/31,124224,57.50,57.60,56.90,57.20,-0.30,88,7103512
104/04/01,187211,57.10,57.20,56.00,56.90,-0.30,133,10604642
104/04/02,101001,56.90,58.30,56.90,57.40,0.50,59,5781857
104/04/07,98000,58.20,58.20,57.10,57.80,0.40,62,5640700
104/04/08,135000,59.10,59.80,58.10,58.10,0.30,82,7955400
104/04/09,91112,58.30,58.60,57.50,57.90,-0.20,53,5263140
104/04/10,173076,58.00,58.70,57.50,58.20,0.30,70,10093867
104/04/13,275000,59.70,59.80,58.90,59.10,0.90,156,16292700
104/04/14,119076,60.00,60.10,59.20,59.20,0.10,86,7109284
104/04/15,355436,59.50,60.10,58.90,59.60,0.40,228,21165254
104/04/16,300276,59.10,60.30,59.10,60.10,0.50,145,17965660
104/04/17,201000,59.80,60.30,59.30,60.00,-0.10,108,12000400
104/04/20,640000,60.00,60.70,59.50,60.10,0.10,247,38598700
104/04/21,239000,60.10,60.10,58.60,59.40,-0.70,171,14209100
104/04/22,53000,59.40,59.70,59.30,59.70,0.30,41,3152100
104/04/23,150000,59.60,60.00,59.30,59.80,0.10,114,8933300
104/04/24,663005,60.80,61.20,60.00,60.00,0.20,309,40117701
104/04/27,117001,60.40,60.70,59.90,59.90,-0.10,84,7036360
104/04/28,109100,60.10,60.30,59.60,59.90,,92,6544579
104/04/29,357101,59.80,60.50,58.70,58.70,-1.20,185,21420628
104/04/30,178006,59.00,59.20,58.20,58.90,0.20,168,10437461
104/05/04,91000,59.70,59.70,58.70,59.10,0.20,58,5378500
104/05/05,75000,59.10,59.50,58.80,59.30,0.20,60,4446800
104/05/06,104100,59.10,59.50,58.90,59.40,0.10,69,6171529
104/05/07,132000,59.20,59.50,58.90,59.20,-0.20,89,7815800
104/05/08,187000,59.40,59.80,57.30,58.40,-0.80,144,10914100
104/05/11,225000,58.60,58.60,56.10,56.20,-2.20,175,12753500
104/05/12,60002,55.80,56.30,55.50,55.90,-0.30,50,3350020
104/05/13,45000,55.90,57.00,55.90,56.60,0.70,35,2547100
104/05/14,47001,56.70,56.70,56.00,56.70,0.10,41,2643358
104/05/15,97001,56.70,56.70,55.50,56.40,-0.30,53,5429157
104/05/18,125000,56.20,56.40,55.20,56.20,-0.20,90,6975800
104/05/19,178000,56.00,56.10,54.60,55.10,-1.10,132,9827800
104/05/20,263000,55.40,55.80,54.30,55.30,0.20,177,14444800
104/05/21,96004,55.90,55.90,54.80,55.20,-0.10,56,5296722
104/05/22,538000,55.20,59.00,55.20,56.00,0.80,250,30976200
104/05/25,91000,56.00,56.50,55.50,56.50,0.50,44,5102300
104/05/26,108000,56.40,56.40,55.40,55.50,-1.00,74,6013900
104/05/27,186000,55.20,57.00,54.90,55.10,-0.40,136,10340200
104/05/28,294000,55.30,55.60,53.70,55.00,-0.10,233,15993200
104/05/29,88000,54.50,54.50,53.70,54.10,-0.90,76,4767100
104/06/01,346000,54.20,56.40,53.60,55.00,0.90,200,18882400
104/06/02,464000,55.00,56.70,55.00,56.30,1.30,241,26095700
104/06/03,256058,57.00,57.50,56.60,57.00,0.70,151,14600106
104/06/04,349000,57.00,58.20,56.70,57.60,0.60,211,20037100
104/06/05,189000,57.60,58.10,55.80,57.00,-0.60,105,10744200
104/06/08,289000,57.20,57.40,56.40,57.30,0.30,180,16480900
104/06/09,519998,57.60,57.60,52.50,53.10,-4.20,297,28738694
104/06/10,361002,53.10,57.10,53.10,56.20,3.10,254,19971111
104/06/11,309000,57.00,57.30,55.90,57.00,0.80,226,17558300
104/06/12,298024,57.00,58.00,56.80,57.80,0.80,214,17126687
104/06/15,221139,58.20,59.50,58.10,58.90,1.10,115,13005444
104/06/16,382000,58.50,60.00,58.40,58.40,-0.50,175,22583500
104/06/17,215000,59.00,59.50,58.50,58.80,0.40,122,12698900
104/06/18,217100,58.60,59.50,58.30,58.90,0.10,155,12750650
