通嘉            ,	3588
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,538053,43.70,44.00,43.30,43.80,,341,23544266
104/01/06,397263,43.20,43.50,41.90,42.05,-1.75,283,16938399
104/01/07,303563,41.55,42.90,41.55,42.60,0.55,235,12871223
104/01/08,195262,43.00,43.00,42.15,42.15,-0.45,148,8293654
104/01/09,269235,42.05,42.65,42.00,42.00,-0.15,182,11362551
104/01/12,209385,42.00,42.30,41.35,41.35,-0.65,155,8742036
104/01/13,156115,41.40,42.40,41.40,41.85,0.50,119,6537774
104/01/14,133016,41.85,42.10,41.35,41.55,-0.30,101,5533256
104/01/15,184126,41.50,41.95,41.50,41.55,,134,7687922
104/01/16,257458,41.55,41.95,40.85,41.00,-0.55,157,10637228
104/01/19,291239,41.20,41.30,39.90,40.00,-1.00,169,11751810
104/01/20,131480,39.50,40.75,39.50,40.30,0.30,92,5279246
104/01/21,245470,40.50,41.40,40.40,41.00,0.70,164,10021274
104/01/22,182253,41.00,41.80,41.00,41.75,0.75,113,7566476
104/01/23,140019,41.75,41.90,41.25,41.30,-0.45,109,5802037
104/01/26,133079,41.30,41.30,40.60,40.85,-0.45,77,5447223
104/01/27,151004,40.90,41.70,40.70,41.50,0.65,103,6210814
104/01/28,150002,41.20,41.60,41.00,41.20,-0.30,76,6196882
104/01/29,167060,41.00,41.50,40.80,40.90,-0.30,157,6844860
104/01/30,294008,40.90,41.20,40.35,40.40,-0.50,140,11940070
104/02/02,226366,40.40,40.60,39.75,39.80,-0.60,132,9041840
104/02/03,109158,39.90,40.30,39.80,40.05,0.25,95,4372533
104/02/04,102154,40.20,40.35,39.85,39.90,-0.15,72,4091224
104/02/05,102279,39.80,40.00,39.55,39.90,,70,4075764
104/02/06,157220,39.90,39.90,39.40,39.45,-0.45,114,6223719
104/02/09,88338,39.20,39.30,39.00,39.15,-0.30,61,3455899
104/02/10,191534,39.30,39.90,39.00,39.15,,124,7525652
104/02/11,69093,39.20,39.30,39.00,39.10,-0.05,85,2708768
104/02/12,120039,39.10,39.20,38.50,39.10,,89,4663953
104/02/13,43010,39.10,39.55,39.10,39.15,0.05,45,1688390
104/02/24,87775,39.55,39.55,39.10,39.20,0.05,89,3440775
104/02/25,149342,39.20,39.40,39.05,39.30,0.10,109,5854201
104/02/26,414727,39.40,41.30,39.40,40.70,1.40,333,16876032
104/03/02,269151,41.15,41.80,40.70,40.70,,226,11096529
104/03/03,107007,41.20,41.20,40.35,40.35,-0.35,89,4343180
104/03/04,256099,40.90,41.60,40.90,41.20,0.85,218,10587259
104/03/05,126518,41.00,41.40,40.90,41.20,,108,5193488
104/03/06,118209,41.20,41.50,40.85,41.20,,110,4866504
104/03/09,146143,40.90,41.20,40.60,40.70,-0.50,126,5960073
104/03/10,132175,40.70,41.60,40.70,40.90,0.20,120,5428388
104/03/11,213455,40.00,40.60,40.00,40.05,-0.85,185,8581619
104/03/12,143209,40.05,40.70,40.05,40.35,0.30,106,5800719
104/03/13,142160,40.65,41.35,40.45,40.95,0.60,122,5809339
104/03/16,823792,41.30,43.80,41.30,43.80,2.85,387,35801238
104/03/17,2636121,44.10,46.40,44.10,44.30,0.50,1680,118397001
104/03/18,605487,44.10,45.00,43.85,44.10,-0.20,414,26831974
104/03/19,763100,44.30,46.00,44.30,44.60,0.50,502,34403890
104/03/20,385486,44.50,45.20,44.05,44.10,-0.50,260,17138076
104/03/23,354432,44.10,44.40,42.90,43.00,-1.10,245,15449733
104/03/24,274091,43.00,43.85,42.90,43.60,0.60,203,11839553
104/03/25,2090640,44.80,46.65,44.10,45.30,1.70,1156,95981891
104/03/26,763082,45.25,45.50,44.20,44.65,-0.65,463,34243401
104/03/27,662434,44.65,45.50,43.60,43.60,-1.05,501,29448460
104/03/30,564350,43.60,44.00,41.50,41.90,-1.70,436,23992125
104/03/31,243512,42.10,43.00,41.70,42.00,0.10,235,10259973
104/04/01,284024,42.00,42.50,41.60,42.30,0.30,172,11885508
104/04/02,314220,42.50,42.50,41.50,41.60,-0.70,250,13148942
104/04/07,158130,41.75,42.45,41.60,42.20,0.60,171,6636181
