洋華            ,	3622
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,1105484,22.40,23.00,22.40,22.95,0.55,594,25273756
104/01/06,1539500,22.90,23.35,22.70,23.10,0.15,729,35405450
104/01/07,3532051,23.25,24.50,23.20,23.80,0.70,1725,84746860
104/01/08,1587858,24.00,24.30,23.80,23.80,,846,38148187
104/01/09,1136701,24.00,24.05,23.55,23.85,0.05,577,27070330
104/01/12,2937340,23.85,24.65,23.85,24.10,0.25,721,71341510
104/01/13,1015601,24.10,24.35,23.60,23.60,-0.50,508,24202196
104/01/14,762184,23.50,23.75,23.20,23.35,-0.25,391,17863745
104/01/15,504609,23.45,23.75,23.35,23.40,0.05,311,11869707
104/01/16,932299,23.50,23.60,22.60,22.70,-0.70,556,21515505
104/01/19,1011000,23.00,23.20,22.70,22.75,0.05,488,23181548
104/01/20,1393300,22.90,24.15,22.90,24.00,1.25,747,32964250
104/01/21,919759,24.00,24.15,23.65,23.80,-0.20,444,21944009
104/01/22,1317192,23.80,24.50,23.80,24.10,0.30,580,31932745
104/01/23,882570,24.50,24.50,23.80,23.80,-0.30,466,21268514
104/01/26,586262,23.85,24.15,23.65,23.70,-0.10,260,13960594
104/01/27,409094,23.90,24.00,23.65,23.70,,234,9715116
104/01/28,411248,23.70,23.95,23.55,23.85,0.15,238,9786877
104/01/29,368470,23.80,23.90,23.55,23.60,-0.25,225,8712392
104/01/30,1150975,23.60,23.75,22.70,22.90,-0.70,567,26674978
104/02/02,504590,22.80,23.10,22.65,22.85,-0.05,288,11485670
104/02/03,598141,23.10,23.45,22.95,23.40,0.55,374,13944276
104/02/04,426596,23.70,23.70,23.05,23.05,-0.35,274,9948526
104/02/05,284243,23.10,23.30,22.95,23.00,-0.05,152,6564512
104/02/06,379200,23.05,23.10,22.60,22.90,-0.10,240,8659379
104/02/09,303846,23.00,23.00,22.55,22.60,-0.30,188,6893033
104/02/10,857203,22.60,22.60,21.75,22.25,-0.35,458,18949263
104/02/11,480497,22.35,22.40,22.05,22.05,-0.20,241,10676434
104/02/12,550196,22.05,22.20,21.70,21.80,-0.25,295,12040701
104/02/13,870546,21.80,21.90,21.35,21.40,-0.40,438,18766682
104/02/24,473683,21.40,21.80,21.40,21.75,0.35,282,10249950
104/02/25,492090,21.85,22.15,21.85,22.00,0.25,256,10829612
104/02/26,310589,22.00,22.10,21.85,22.10,0.10,179,6833658
104/03/02,203148,22.10,22.20,21.90,21.90,-0.20,132,4468940
104/03/03,338150,22.00,22.05,21.70,21.95,0.05,180,7384983
104/03/04,710857,21.95,21.95,21.40,21.55,-0.40,468,15372106
104/03/05,623749,21.50,21.60,21.35,21.60,0.05,317,13368214
104/03/06,664669,21.70,22.00,21.60,22.00,0.40,377,14548881
104/03/09,378395,21.85,22.10,21.75,21.75,-0.25,197,8293928
104/03/10,393550,21.70,21.90,21.65,21.70,-0.05,244,8557128
104/03/11,695101,21.10,21.70,21.10,21.50,-0.20,467,14860307
104/03/12,420944,21.50,21.80,21.45,21.60,0.10,249,9119893
104/03/13,348363,21.65,21.85,21.45,21.45,-0.15,198,7538348
104/03/16,764808,21.20,22.30,21.20,21.80,0.35,471,16756238
104/03/17,338876,22.20,22.20,21.80,21.95,0.15,222,7431442
104/03/18,460865,21.80,22.10,21.70,21.85,-0.10,274,10066567
104/03/19,576480,21.90,22.10,21.90,22.00,0.15,282,12680080
104/03/20,456045,22.10,22.40,22.00,22.05,0.05,306,10129531
104/03/23,568044,22.10,22.25,21.85,21.85,-0.20,238,12523551
104/03/24,331310,21.85,22.05,21.70,21.75,-0.10,157,7229206
104/03/25,855910,21.85,21.90,20.90,21.25,-0.50,484,18278841
104/03/26,2718879,19.80,20.45,19.80,20.10,-1.15,1279,54363430
104/03/27,1172436,20.00,20.35,19.95,20.10,,633,23639642
104/03/30,1493916,20.00,20.10,19.20,19.25,-0.85,610,29126134
104/03/31,878028,19.35,19.60,19.20,19.25,,1104,16956382
104/04/01,535103,19.20,19.40,19.15,19.40,0.15,540,10275485
104/04/02,929052,19.40,20.10,19.40,19.80,0.40,734,18397544
104/04/07,713448,20.20,20.30,20.00,20.05,0.25,703,14327794
104/04/08,661086,20.05,20.15,19.95,20.05,,530,13248570
104/04/09,844437,20.20,20.35,20.10,20.30,0.25,496,17123251
104/04/10,1049655,20.45,20.55,20.10,20.10,-0.20,695,21340149
104/04/13,355391,20.10,20.10,19.60,19.70,-0.40,641,7026602
104/04/14,253573,19.70,19.90,19.35,19.35,-0.35,392,4992521
104/04/15,312371,19.65,19.65,19.35,19.35,,507,6078161
104/04/16,1592713,19.35,19.35,18.65,18.75,-0.60,779,30166888
104/04/17,1751296,18.60,18.70,17.90,18.20,-0.55,821,31868832
104/04/20,2088416,18.00,18.45,17.90,18.20,,599,38128472
104/04/21,847202,18.20,18.45,17.60,17.85,-0.35,432,15186613
104/04/22,876428,17.60,17.80,17.45,17.60,-0.25,393,15432187
104/04/23,509798,17.80,17.80,17.60,17.60,,234,9018410
104/04/24,785452,17.65,18.25,17.60,18.00,0.40,403,14147984
104/04/27,769116,18.05,18.05,17.50,17.65,-0.35,402,13629981
104/04/28,836119,17.50,17.60,17.40,17.40,-0.25,398,14608361
104/04/29,1642698,17.40,17.40,16.65,17.30,-0.10,764,27889500
104/04/30,532505,17.30,17.40,16.95,17.10,-0.20,325,9110385
104/05/04,807156,16.85,17.60,16.85,17.25,0.15,495,13938256
104/05/05,2152050,17.05,17.10,16.15,16.20,-1.05,1007,35375900
104/05/06,1144722,16.00,16.50,15.80,16.50,0.30,627,18499535
104/05/07,506421,16.50,16.50,16.00,16.10,-0.40,303,8208976
104/05/08,2901145,16.00,16.10,15.05,15.10,-1.00,1274,44686561
104/05/11,2059153,15.30,15.30,14.20,14.30,-0.80,854,30065408
104/05/12,1826805,14.20,15.25,14.05,15.25,0.95,1001,26942724
104/05/13,962100,15.25,15.30,14.90,15.25,,469,14586355
104/05/14,729988,15.15,15.15,14.90,14.95,-0.30,305,10958560
104/05/15,724528,15.15,15.30,15.00,15.05,0.10,366,10960394
104/05/18,997299,15.20,15.25,14.80,14.80,-0.25,438,14969910
104/05/19,467752,14.60,14.90,14.60,14.85,0.05,400,6908733
104/05/20,629966,15.00,15.25,14.85,14.85,,374,9485292
104/05/21,476761,14.80,15.00,14.60,14.90,0.05,231,7065787
104/05/22,1433110,15.00,15.90,15.00,15.90,1.00,594,22571096
104/05/25,2845861,16.30,17.00,16.15,16.50,0.60,1340,47232564
104/05/26,1204728,16.60,16.75,15.95,16.25,-0.25,599,19568731
104/05/27,796360,16.00,16.30,16.00,16.25,,379,12849398
104/05/28,844092,16.50,16.50,16.00,16.05,-0.20,394,13640822
104/05/29,795801,16.05,16.15,15.70,15.70,-0.35,350,12666725
104/06/01,710658,15.70,15.95,15.60,15.60,-0.10,289,11217579
104/06/02,1318413,15.60,16.35,15.60,15.95,0.35,507,21196664
104/06/03,1026859,15.65,15.95,15.20,15.25,-0.70,476,16041997
104/06/04,1167632,15.25,15.45,14.75,14.85,-0.40,534,17484139
104/06/05,691703,14.85,15.10,14.55,14.85,,328,10177301
104/06/08,1767038,14.70,14.70,13.70,13.80,-1.05,763,24864125
104/06/09,3720642,13.50,13.55,12.45,12.45,-1.35,1260,47804152
104/06/10,2411871,12.50,13.65,12.50,13.65,1.20,859,32068936
104/06/11,2330664,13.55,13.55,12.75,13.00,-0.65,737,30474232
