達能            ,	3686
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,2463468,11.50,11.65,11.35,11.55,-0.10,866,28218198
104/01/06,5132240,11.25,11.35,10.90,10.95,-0.60,1575,56994640
104/01/07,2104197,10.95,11.20,10.90,11.15,0.20,814,23328354
104/01/08,2210109,11.30,11.35,11.10,11.20,0.05,820,24836018
104/01/09,2617252,11.30,11.40,11.15,11.15,-0.05,726,29432770
104/01/12,1308228,11.25,11.25,10.95,11.00,-0.15,501,14484158
104/01/13,2634204,11.00,11.20,10.95,11.05,0.05,730,29258051
104/01/14,1226216,11.00,11.15,11.00,11.00,-0.05,476,13536326
104/01/15,1846192,11.00,11.10,10.85,10.90,-0.10,746,20267362
104/01/16,2570540,10.85,10.95,10.40,10.50,-0.40,995,27363243
104/01/19,1203312,10.60,10.70,10.45,10.45,-0.05,493,12725703
104/01/20,1495754,10.30,10.90,10.30,10.90,0.45,687,15987054
104/01/21,1822426,10.90,10.95,10.45,10.50,-0.40,715,19348772
104/01/22,1229336,10.50,10.65,10.50,10.60,0.10,475,12972808
104/01/23,2041815,10.50,10.60,10.45,10.45,-0.15,586,21440157
104/01/26,985048,10.40,10.55,10.40,10.40,-0.05,342,10291603
104/01/27,1389264,10.45,10.60,10.40,10.40,,525,14564140
104/01/28,1170984,10.40,10.60,10.40,10.50,0.10,494,12335079
104/01/29,695740,10.50,10.60,10.45,10.50,,281,7310802
104/01/30,1160228,10.60,10.60,10.45,10.45,-0.05,516,12214618
104/02/02,898801,10.55,10.60,10.40,10.45,,312,9397828
104/02/03,4964902,10.60,10.95,10.60,10.80,0.35,1757,53685439
104/02/04,2216712,11.00,11.00,10.75,10.75,-0.05,779,24050064
104/02/05,1359076,10.80,10.80,10.55,10.65,-0.10,452,14450653
104/02/06,825096,10.75,10.75,10.60,10.60,-0.05,362,8786265
104/02/09,882360,10.70,10.70,10.60,10.70,0.10,323,9398560
104/02/10,1222297,10.80,10.80,10.55,10.55,-0.15,582,13021267
104/02/11,915230,10.60,10.70,10.50,10.50,-0.05,404,9672196
104/02/12,2508180,10.50,10.60,10.20,10.25,-0.25,769,25871741
104/02/13,1268302,10.50,10.50,10.20,10.25,,520,13074524
104/02/24,1058013,10.35,10.40,10.30,10.35,0.10,462,10948380
104/02/25,1170254,10.45,10.45,10.30,10.45,0.10,422,12165585
104/02/26,1527540,10.50,10.60,10.45,10.55,0.10,645,16084114
104/03/02,836626,10.65,10.65,10.45,10.50,-0.05,316,8789071
104/03/03,858256,10.50,10.60,10.40,10.45,-0.05,363,8993243
104/03/04,889699,10.50,10.55,10.30,10.30,-0.15,478,9243197
104/03/05,936132,10.35,10.50,10.35,10.40,0.10,459,9769867
104/03/06,11190642,10.50,11.10,10.45,11.10,0.70,2934,122247473
104/03/09,15012209,11.25,11.75,11.05,11.65,0.55,4215,173323716
104/03/10,6637096,11.65,11.65,11.15,11.25,-0.40,2078,75018144
104/03/11,3973686,11.00,11.35,11.00,11.10,-0.15,1331,44317361
104/03/12,2705106,10.95,11.30,10.95,11.10,,939,30165723
104/03/13,2016286,11.20,11.25,11.05,11.05,-0.05,625,22377146
104/03/16,1798348,11.10,11.15,10.90,10.90,-0.15,600,19699388
104/03/17,1465388,10.95,11.05,10.80,10.80,-0.10,540,15946065
104/03/18,2453105,10.90,11.10,10.80,10.95,0.15,748,26889349
104/03/19,1694348,11.10,11.10,10.85,10.90,-0.05,544,18533829
104/03/20,2388032,10.95,11.10,10.85,10.95,0.05,798,26203416
104/03/23,5207110,11.10,11.40,10.95,11.15,0.20,1620,58620073
104/03/24,2053321,11.15,11.30,11.05,11.20,0.05,648,22929189
104/03/25,1696062,11.25,11.25,11.00,11.05,-0.15,604,18836886
104/03/26,1579305,11.05,11.15,10.95,10.95,-0.10,584,17421415
104/03/27,3551564,10.95,11.25,10.80,10.80,-0.15,1075,39072704
104/03/30,2744287,10.90,10.95,10.55,10.65,-0.15,759,29395447
104/03/31,1788739,10.70,10.75,10.50,10.50,-0.15,607,18955626
104/04/01,12220945,10.65,11.20,10.60,11.20,0.70,2767,135835178
104/04/02,28279569,11.55,11.95,11.50,11.95,0.75,6625,334443238
104/04/07,19428563,12.00,12.45,11.95,12.40,0.45,5306,237501028
104/04/08,10181818,12.40,12.55,12.05,12.15,-0.25,2997,124633265
104/04/09,6422408,12.15,12.35,12.00,12.00,-0.15,1740,77745744
104/04/10,4917534,12.15,12.15,11.65,12.00,,1362,58436508
104/04/13,4947620,12.05,12.35,11.90,12.30,0.30,1465,59986756
104/04/14,3031063,12.25,12.25,12.05,12.05,-0.25,1029,36806456
104/04/15,4839220,12.05,12.30,12.00,12.15,0.10,1271,58737903
104/04/16,19591968,12.30,13.00,12.25,13.00,0.85,5118,251200877
104/04/17,8414289,12.90,12.90,12.45,12.60,-0.40,2742,106538734
104/04/20,7054800,12.45,12.70,12.10,12.10,-0.50,2249,87002887
104/04/21,8911722,12.20,12.25,11.30,11.50,-0.60,2623,104062834
104/04/22,3545312,11.55,11.75,11.45,11.70,0.20,1189,41177666
104/04/23,4029201,11.70,11.75,11.40,11.65,-0.05,1376,46694733
104/04/24,3112128,11.85,11.85,11.60,11.60,-0.05,893,36473329
104/04/27,3563626,11.70,11.75,11.35,11.55,-0.05,1065,40923505
104/04/28,4261052,11.70,11.85,11.55,11.65,0.10,1361,49969046
104/04/29,3995336,11.75,11.75,11.20,11.25,-0.40,1319,45321427
104/04/30,2670144,11.35,11.55,11.30,11.50,0.25,1008,30489360
104/05/04,2026341,11.45,11.50,11.25,11.25,-0.25,603,23047932
104/05/05,6463154,11.25,11.70,11.25,11.70,0.45,1766,74729698
104/05/06,11233697,11.75,12.20,11.75,11.95,0.25,3185,134842014
104/05/07,4924096,11.80,12.05,11.50,11.55,-0.40,1566,57788410
104/05/08,2196627,11.65,11.70,11.50,11.60,0.05,763,25433157
104/05/11,4278373,11.60,11.70,10.85,10.95,-0.65,1434,47473203
104/05/12,4077690,10.90,11.15,10.30,10.65,-0.30,1439,43263825
104/05/13,2988370,10.60,11.20,10.60,11.10,0.45,1160,32836953
104/05/14,2131378,11.10,11.10,10.80,10.90,-0.20,754,23265659
104/05/15,2084060,10.90,10.90,10.50,10.65,-0.25,787,22265033
104/05/18,5575036,10.60,10.60,10.00,10.00,-0.65,1697,56435812
104/05/19,2987158,10.00,10.40,9.95,10.40,0.40,1073,30496842
104/05/20,2535148,10.40,10.40,10.10,10.10,-0.30,903,25827600
104/05/21,2855116,10.05,10.20,9.96,10.05,-0.05,863,28667650
104/05/22,5550336,10.10,10.70,10.10,10.50,0.45,1817,58174491
104/05/25,3050972,10.50,10.70,10.30,10.40,-0.10,1020,32092006
104/05/26,2193368,10.40,10.50,10.15,10.25,-0.15,825,22484169
104/05/27,2453757,10.20,10.35,10.15,10.15,-0.10,1043,25120936
104/05/28,3077168,10.30,10.50,10.25,10.40,0.25,1090,31945503
104/05/29,2939932,10.40,10.60,10.20,10.30,-0.10,942,30509346
104/06/01,3134682,10.30,10.45,9.99,10.10,-0.20,974,31705020
104/06/02,5282028,9.96,10.20,9.86,9.93,-0.17,1666,52887692
104/06/03,5677300,9.98,10.10,9.60,9.60,-0.33,1608,55568085
104/06/04,8600401,9.60,9.72,8.81,9.00,-0.60,2511,78660074
104/06/05,8035240,9.00,9.11,8.45,8.60,-0.40,2329,69967006
104/06/08,2710024,8.60,8.85,8.46,8.66,0.06,984,23514607
104/06/09,8508254,8.51,8.80,7.80,7.80,-0.86,2092,68370162
104/06/10,4542214,7.80,8.15,7.76,8.05,0.25,1243,36334401
104/06/11,3031084,8.15,8.23,7.88,7.88,-0.17,980,24232057
104/06/12,2286650,7.88,7.94,7.78,7.82,-0.06,825,17955145
104/06/15,2825100,7.90,8.28,7.90,8.16,0.34,1123,23054905
104/06/16,1698079,8.16,8.21,8.00,8.10,-0.06,613,13708527
104/06/17,1388012,8.10,8.15,8.00,8.00,-0.10,750,11191976
104/06/18,3485127,8.14,8.38,8.10,8.36,0.36,1286,28907366
104/06/22,2158502,8.55,8.55,8.24,8.36,,769,18054950
104/06/23,4090988,8.54,8.88,8.44,8.76,0.40,1569,35664662
104/06/24,2570000,8.76,8.76,8.50,8.50,-0.26,996,22114370
104/06/25,1913430,8.50,8.65,8.44,8.53,0.03,660,16294076
104/06/26,3853130,8.60,8.92,8.60,8.81,0.28,1388,33941154
104/06/29,3054024,8.80,9.00,8.67,8.71,-0.10,1078,26915579
