大聯大甲特,	3702A
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/11/01,18921690,51.60,51.70,51.40,51.70,X,4325,975657340
108/11/04,4417527,51.80,52.10,51.80,52.10,0.40,1409,229670004
108/11/05,3223216,52.10,52.20,52.00,52.00,0.10,755,167699798
108/11/06,966071,52.00,52.10,52.00,52.00,,387,50240392
108/11/07,1586774,52.00,52.20,52.00,52.10,0.10,535,82623748
108/11/08,1339274,52.10,52.30,52.10,52.30,0.20,424,69870198
108/11/11,1174236,52.30,52.30,52.10,52.20,0.10,212,61200593
108/11/12,0,--,--,--,--,,0,0
108/11/13,3267853,52.20,52.30,52.10,52.10,X,858,170538238
108/11/14,1153990,52.20,52.20,52.10,52.20,0.10,294,60201373
108/11/15,1026172,52.20,52.30,52.10,52.20,,282,53560856
108/11/18,596337,52.20,52.30,52.10,52.20,,199,31122051
108/11/19,1249907,52.20,52.30,52.10,52.20,,207,65184764
108/11/20,584524,52.20,52.20,52.10,52.10,0.10,179,30477048
108/11/21,558503,52.20,52.20,52.10,52.20,0.10,174,29135004
108/11/22,583300,52.20,52.20,52.10,52.20,,167,30429527
108/11/25,473745,52.10,52.20,52.10,52.10,0.10,153,24682140
108/11/26,795225,52.10,52.10,51.60,51.90,0.20,296,41279949
108/11/27,592637,51.90,51.90,51.70,51.80,0.10,204,30698791
108/11/28,899396,51.80,51.90,51.70,51.80,,153,46582268
108/11/29,1004922,51.80,51.90,51.70,51.80,,177,52056456
108/12/02,257069,51.80,51.90,51.80,51.90,0.10,118,13337072
108/12/03,410587,51.90,52.00,51.80,51.90,,138,21315304
108/12/04,589500,51.90,52.00,51.80,52.00,0.10,158,30646749
108/12/05,111905,52.00,52.00,51.90,51.90,0.10,68,5810576
108/12/06,63500,51.90,51.90,51.80,51.90,,45,3294400
108/12/09,750478,51.90,51.90,51.70,51.70,0.20,129,38877462
108/12/10,1281440,51.70,51.70,51.50,51.70,,191,66213044
108/12/11,400247,51.60,51.70,51.50,51.60,0.10,124,20671141
108/12/12,672475,51.60,51.70,51.50,51.60,,129,34720507
108/12/13,576388,51.60,51.70,51.50,51.50,0.10,259,29726476
108/12/16,587678,51.50,51.80,51.50,51.60,0.10,121,30375781
108/12/17,324253,51.70,51.70,51.60,51.60,,74,16760052
108/12/18,294394,51.60,51.80,51.60,51.80,0.20,107,15231067
108/12/19,103368,51.70,51.80,51.70,51.70,0.10,34,5344186
108/12/20,228470,51.70,51.80,51.70,51.70,,70,11818497
108/12/23,251280,51.70,51.80,51.70,51.70,,47,13013647
108/12/24,348048,51.80,51.80,51.70,51.70,,46,18006880
108/12/25,249890,51.70,51.80,51.70,51.70,,72,12932623
108/12/26,651468,51.70,51.80,51.70,51.80,0.10,81,33745193
108/12/27,150045,51.80,51.80,51.70,51.70,0.10,67,7768623
108/12/30,170290,51.70,51.90,51.70,51.80,0.10,59,8819921
108/12/31,154816,51.80,51.80,51.70,51.70,0.10,67,8013585
109/01/02,1163164,51.70,51.80,51.70,51.70,,107,60210977
109/01/03,213336,51.80,51.80,51.70,51.70,,71,11047969
109/01/06,191476,51.70,51.80,51.70,51.70,,51,9899409
109/01/07,80830,51.70,51.80,51.70,51.70,,57,4179208
109/01/08,219062,51.70,51.70,51.60,51.70,,63,11321004
109/01/09,228753,51.70,51.80,51.70,51.70,,69,11826553
109/01/10,175833,51.70,51.70,51.70,51.70,,37,9090562
109/01/13,111359,51.70,51.70,51.70,51.70,,41,5757121
109/01/14,137884,51.70,51.80,51.70,51.70,,80,7140000
109/01/15,286240,51.70,51.80,51.70,51.80,0.10,67,14826282
109/01/16,74729,51.80,51.80,51.70,51.70,0.10,37,3866187
109/01/17,152891,51.80,51.90,51.80,51.90,0.20,67,7920462
109/01/20,43523,51.90,51.90,51.80,51.90,,36,2257043
109/01/30,1177661,51.70,51.70,51.50,51.70,0.20,189,60837638
109/01/31,795888,51.70,51.80,51.70,51.80,0.10,76,41201797
109/02/03,131281,51.70,51.80,51.70,51.80,,66,6791426
109/02/04,170358,51.80,51.90,51.80,51.90,0.10,66,8824608
109/02/05,313500,51.80,51.90,51.80,51.90,,79,16265248
109/02/06,142553,51.90,51.90,51.90,51.90,,38,7398499
109/02/07,109300,51.90,52.00,51.90,52.00,0.10,31,5672769
109/02/10,314013,52.00,52.00,51.90,51.90,0.10,53,16322568
109/02/11,367077,51.90,52.10,51.90,52.00,0.10,102,19086204
109/02/12,425000,52.00,52.10,52.00,52.00,,54,22100700
109/02/13,415906,52.00,52.10,52.00,52.00,,62,21638312
109/02/14,238210,52.00,52.10,52.00,52.10,0.10,77,12406039
109/02/17,67518,52.10,52.20,52.10,52.10,,34,3517839
109/02/18,155999,52.10,52.20,52.10,52.20,0.10,28,8128047
109/02/19,106455,52.20,52.30,52.10,52.20,,50,5556650
109/02/20,55048,52.20,52.30,52.10,52.20,,30,2873805
109/02/21,38762,52.20,52.20,52.10,52.20,,28,2022671
109/02/24,139397,52.10,52.20,52.10,52.20,,85,7264521
109/02/25,574876,52.00,52.20,52.00,52.10,0.10,96,29917188
109/02/26,524485,52.00,52.10,51.90,51.90,0.20,94,27255868
109/02/27,100828,51.90,52.00,51.90,52.00,0.10,60,5242672
109/03/02,432571,51.90,52.00,51.90,51.90,0.10,86,22450632
109/03/03,395219,51.90,51.90,51.80,51.90,,59,20477478
109/03/04,96043,51.90,51.90,51.80,51.90,,36,4975522
109/03/05,71625,51.90,52.00,51.90,52.00,0.10,27,3717836
109/03/06,38762,51.90,52.00,51.80,52.00,,30,2012346
109/03/09,223349,51.80,51.80,51.50,51.60,0.40,110,11537207
109/03/10,248698,51.50,51.70,51.50,51.70,0.10,108,12832484
109/03/11,115789,51.70,51.70,51.60,51.60,0.10,40,5978232
109/03/12,949744,51.60,51.60,51.00,51.00,0.60,276,48676068
109/03/13,1720110,50.60,50.60,49.65,50.00,1.00,521,86051750
109/03/16,1273131,50.20,50.20,49.35,49.45,0.55,361,63329476
109/03/17,588749,49.05,49.05,48.30,48.30,1.15,316,28722409
109/03/18,738250,48.20,48.30,48.10,48.20,0.10,210,35574775
109/03/19,1314309,48.00,48.00,43.40,43.40,4.80,509,58980890
109/03/20,11706146,43.85,46.70,43.85,45.70,2.30,311,533786436
109/03/23,693190,45.60,46.00,44.70,45.70,,358,31626201
109/03/24,389556,46.20,47.10,45.85,46.90,1.20,167,18261425
109/03/25,775363,47.55,48.20,46.75,46.80,0.10,360,36682328
109/03/26,292445,47.20,47.20,46.55,46.60,0.20,148,13652636
109/03/27,293306,46.75,47.00,46.60,46.60,,135,13735405
109/03/30,125000,46.20,46.50,46.00,46.40,0.20,63,5799300
109/03/31,136095,46.90,47.10,46.80,46.95,0.55,80,6392215
109/04/01,108048,46.95,47.00,46.90,46.95,,38,5071463
109/04/06,264340,47.30,47.30,46.85,46.85,0.10,109,12402430
109/04/07,319310,47.10,47.20,46.95,47.00,0.15,83,15019225
109/04/08,397523,47.00,47.10,46.95,47.00,,138,18685363
109/04/09,442200,47.00,47.10,47.00,47.10,0.10,156,20789950
109/04/10,527000,47.25,47.85,47.20,47.65,0.55,138,25005650
109/04/13,535762,47.65,48.80,47.65,48.20,0.55,190,25812691
109/04/14,230890,48.50,48.90,48.30,48.50,0.30,122,11196715
