力達-KY,	4552
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,123000,87.90,88.00,87.60,87.80,0.10,102,10800000
107/06/04,195150,88.00,88.40,87.80,88.10,0.30,165,17192174
107/06/05,189000,88.50,88.90,88.10,88.30,0.20,149,16732700
107/06/06,365040,88.40,90.50,88.40,89.90,1.60,283,32787600
107/06/07,140000,90.30,90.80,89.30,89.90,,107,12564000
107/06/08,125000,90.30,90.30,89.60,89.80,0.10,99,11234400
107/06/11,1422300,90.50,96.00,90.30,93.60,3.80,872,132486650
107/06/12,703083,92.70,93.50,91.40,91.70,1.90,452,64723343
107/06/13,561100,92.50,92.50,90.20,90.20,1.50,358,50942100
107/06/14,381000,90.30,91.00,89.50,89.50,0.70,200,34375500
107/06/15,2586140,89.60,89.60,88.20,88.30,1.20,354,228589188
107/06/19,252000,89.00,90.10,88.50,89.00,0.70,197,22524400
107/06/20,404000,88.90,90.50,87.60,88.20,0.80,300,35794600
107/06/21,305000,88.30,88.70,86.80,87.20,1.00,236,26673000
107/06/22,299595,87.40,87.40,86.20,86.30,0.90,223,25970967
107/06/25,198050,86.20,86.50,85.80,85.80,0.50,156,17031925
107/06/26,345000,85.90,85.90,84.10,85.20,0.60,289,29266300
107/06/27,189000,85.20,86.30,85.20,85.80,0.60,172,16248300
107/06/28,60250,85.80,86.30,85.40,86.00,0.20,57,5175375
107/06/29,93200,86.80,86.80,86.00,86.50,0.50,82,8044340
107/07/02,177000,86.20,87.30,85.00,85.00,1.50,144,15209500
107/07/03,266100,85.20,85.60,83.00,83.00,2.00,208,22351800
107/07/04,276230,82.60,83.40,81.50,81.50,1.50,219,22739890
107/07/05,1500301,81.50,81.50,77.50,77.90,3.60,923,118185380
107/07/06,464200,78.20,78.50,77.00,77.60,0.30,365,36005480
107/07/09,507012,80.50,81.10,79.80,80.40,2.80,433,40805567
107/07/10,344000,81.00,82.00,80.40,80.80,0.40,265,27862300
107/07/11,122300,80.70,81.20,79.60,80.90,0.10,99,9829300
107/07/12,107000,80.50,81.20,80.30,80.80,0.10,82,8648700
107/07/13,419000,81.10,82.50,81.00,82.00,1.20,302,34368500
107/07/16,310100,82.40,83.50,82.20,82.70,0.70,220,25690500
107/07/17,176100,83.00,83.00,82.20,82.30,0.40,136,14531800
107/07/18,206411,82.30,82.80,81.20,82.30,,156,16930925
107/07/19,144589,82.30,82.70,81.90,81.90,0.40,111,11892298
107/07/20,161000,82.20,82.20,81.40,81.60,0.30,121,13152600
107/07/23,154000,81.70,82.10,81.50,81.50,0.10,111,12583100
107/07/24,186020,81.40,82.00,81.20,81.20,0.30,145,15159650
107/07/25,176000,81.80,82.60,81.30,82.60,1.40,143,14427800
107/07/26,308030,82.80,84.70,82.80,83.30,0.70,269,25747126
107/07/27,203003,83.30,84.00,83.30,84.00,0.70,160,16992352
107/07/30,111003,84.00,84.00,83.60,83.60,0.40,83,9296967
107/07/31,123000,83.00,83.90,83.00,83.50,0.10,96,10255700
107/08/01,184000,83.80,84.20,83.60,83.80,0.30,130,15445800
107/08/02,139000,83.60,83.90,83.10,83.10,0.70,123,11602000
107/08/03,132000,83.10,83.30,82.70,83.00,0.10,88,10946900
107/08/06,215000,83.50,83.50,82.30,82.50,0.50,160,17803600
107/08/07,157500,82.40,82.40,81.80,82.10,0.40,130,12923749
107/08/08,178030,82.90,83.70,82.90,83.40,1.30,159,14832020
107/08/09,116490,82.30,82.80,82.30,82.50,0.90,92,9609625
107/08/10,438510,82.30,82.30,80.00,80.00,2.50,343,35477404
107/08/13,461500,80.00,80.00,77.30,78.20,1.80,320,36176950
107/08/14,257100,77.80,78.80,77.60,78.30,0.10,186,20045900
107/08/15,515210,78.20,78.20,76.30,76.50,1.80,382,39654770
107/08/16,278440,75.90,76.40,75.40,76.00,0.50,205,21099556
107/08/17,360400,76.30,77.00,74.80,74.90,1.10,271,27334700
107/08/20,529676,75.00,75.10,74.10,74.10,0.80,363,39619562
107/08/21,561000,74.00,76.30,73.60,75.00,0.90,335,41982600
107/08/22,402240,75.00,75.00,74.20,74.30,0.70,230,30001800
107/08/23,212150,74.10,74.40,73.20,73.20,1.10,172,15638060
107/08/24,432064,73.20,73.50,71.60,71.90,1.30,283,31147318
107/08/27,638500,71.80,72.00,70.90,71.80,0.10,421,45551149
107/08/28,338100,72.10,74.70,72.10,73.60,1.80,271,24954750
107/08/29,199122,73.70,74.80,73.70,74.30,0.70,153,14801489
107/08/30,70040,74.10,74.60,74.00,74.30,,59,5192968
