強信-KY,	4560
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,173003,61.80,62.50,61.40,62.00,0.60,140,10733787
107/06/04,364579,62.30,64.40,62.30,62.80,0.80,223,22917018
107/06/05,115000,63.00,63.50,62.30,63.00,0.20,103,7229400
107/06/06,425221,63.20,64.50,62.70,63.80,0.80,236,27027531
107/06/07,493341,64.90,66.40,64.20,65.00,1.20,343,32183839
107/06/08,470040,64.60,65.80,63.50,63.90,1.10,324,30243260
107/06/11,258310,64.50,64.50,62.90,63.20,0.70,165,16373091
107/06/12,360050,63.00,63.00,61.60,61.60,1.60,209,22380524
107/06/13,229112,61.60,62.90,61.40,62.00,0.40,128,14199324
107/06/14,252100,62.30,62.50,61.60,61.70,0.30,103,15625600
107/06/15,136000,61.70,62.00,61.20,61.50,0.20,82,8369400
107/06/19,144528,61.70,61.70,60.00,60.30,1.20,122,8738652
107/06/20,541450,60.70,61.30,57.00,57.00,3.30,364,31462050
107/06/21,447561,57.00,57.50,56.20,57.30,0.30,305,25393664
107/06/22,177434,56.20,56.90,56.20,56.30,1.00,151,10022421
107/06/25,187809,56.20,57.80,55.90,56.50,0.20,137,10648165
107/06/26,202022,56.00,57.00,54.80,56.40,0.10,133,11302540
107/06/27,103000,57.00,57.20,55.80,56.70,0.30,77,5828800
107/06/28,263000,57.30,58.50,55.50,55.80,0.90,154,14754600
107/06/29,272200,56.00,56.20,53.70,54.00,1.80,221,14894200
107/07/02,311000,54.40,55.80,53.30,53.40,0.60,212,16826400
107/07/03,455300,54.20,54.20,50.80,50.80,2.60,322,23622450
107/07/04,1368100,52.20,55.80,51.20,55.80,5.00,724,75692480
107/07/05,1884354,54.60,61.00,54.50,59.40,3.60,1333,110581127
107/07/06,1339000,59.40,61.30,57.20,58.20,1.20,897,79137700
107/07/09,296003,57.80,60.40,56.50,56.60,1.60,218,17126068
107/07/10,360000,57.60,60.00,56.40,59.50,2.90,273,20919400
107/07/11,133000,58.30,59.80,58.30,58.70,0.80,93,7887000
107/07/12,218003,58.80,60.80,58.80,59.60,0.90,169,13043278
107/07/13,238016,59.60,60.60,58.80,59.80,0.20,150,14245856
107/07/16,159000,60.10,60.20,59.50,59.50,0.30,102,9490600
107/07/17,274050,59.50,59.70,58.70,58.80,0.70,162,16173540
107/07/18,401300,57.50,59.00,55.60,55.80,X,275,23119450
107/07/19,88200,56.00,57.30,55.50,56.00,0.20,59,4961980
107/07/20,130000,56.30,57.20,55.30,55.30,0.70,71,7268400
107/07/23,146350,55.40,55.40,54.40,54.70,0.60,74,7992870
107/07/24,176029,56.00,57.00,54.30,56.20,1.50,123,9797129
107/07/25,1350268,56.30,61.80,56.30,60.90,4.70,718,81804719
107/07/26,637278,60.90,61.60,59.00,61.30,0.40,445,38661141
107/07/27,774571,61.30,65.00,61.20,64.00,2.70,509,48590228
107/07/30,568694,63.50,64.60,61.20,62.20,1.80,418,35547274
107/07/31,382000,62.50,63.70,62.00,63.00,0.80,312,24119000
107/08/01,238135,63.90,63.90,62.20,62.90,0.10,182,14995371
107/08/02,335489,63.30,63.30,60.00,61.00,1.90,230,20537526
107/08/03,198198,61.00,63.00,60.80,61.40,0.40,129,12184896
107/08/06,186321,61.50,62.90,61.50,62.30,0.90,132,11607502
107/08/07,199043,62.80,63.00,61.50,61.70,0.60,130,12372440
107/08/08,140002,61.60,62.50,61.40,62.20,0.50,94,8681724
107/08/09,361267,62.50,62.90,60.80,61.10,1.10,206,22190420
107/08/10,642378,62.00,62.00,60.00,60.00,1.10,415,39026226
107/08/13,420066,60.10,60.10,56.10,57.20,2.80,262,24348648
107/08/14,176000,57.70,58.80,56.60,57.40,0.20,126,10083800
107/08/15,292122,57.70,60.10,57.00,60.10,2.70,189,17099506
107/08/16,150024,59.00,59.30,58.50,59.10,1.00,132,8831113
107/08/17,218023,59.40,59.80,57.80,57.80,1.30,116,12757120
107/08/20,90025,57.50,58.50,57.00,57.80,,49,5180832
107/08/21,26000,58.10,58.10,57.50,57.90,0.10,24,1503900
107/08/22,17155,58.40,58.40,57.80,57.90,,17,993497
107/08/23,97000,58.80,59.20,57.50,57.90,,79,5649400
107/08/24,76000,58.30,58.50,57.20,57.30,0.60,61,4380100
107/08/27,88100,58.00,58.40,57.30,58.40,1.10,69,5104320
107/08/28,204007,58.00,58.90,57.40,57.40,1.00,102,11796200
107/08/29,86000,57.90,57.90,56.50,56.90,0.50,66,4895000
107/08/30,114066,56.90,57.60,56.40,56.90,,70,6487635
107/08/31,165000,56.90,57.40,55.80,55.80,1.10,113,9296800
107/09/03,332261,56.00,56.80,53.30,53.50,2.30,223,18137463
107/09/04,155000,53.60,55.00,53.60,54.90,1.40,109,8414500
107/09/05,101000,55.40,55.70,53.70,53.70,1.20,66,5498500
107/09/06,241000,53.70,54.60,52.00,53.00,0.70,154,12764600
107/09/07,268336,53.00,53.30,50.60,51.70,1.30,161,13905104
107/09/10,367100,51.30,52.00,48.20,49.50,2.20,257,18213930
107/09/11,194100,50.10,50.60,48.50,50.50,1.00,113,9627050
107/09/12,166288,51.00,51.50,49.00,51.50,1.00,118,8338976
107/09/13,148000,51.00,52.00,50.40,51.00,0.50,102,7581100
107/09/14,133000,51.00,52.20,51.00,52.00,1.00,60,6872800
107/09/17,115000,52.70,52.70,51.40,52.40,0.40,64,5981500
107/09/18,86000,52.00,52.30,51.40,51.80,0.60,32,4461700
107/09/19,142000,51.80,52.80,51.60,52.10,0.30,64,7416500
107/09/20,135000,51.90,52.80,51.00,51.70,0.40,68,7014400
107/09/21,137000,51.50,52.70,51.50,52.30,0.60,78,7146400
107/09/25,173000,52.30,52.40,51.30,51.90,0.40,100,8925800
107/09/26,140000,51.00,52.60,51.00,52.00,0.10,70,7297500
107/09/27,199000,52.00,52.50,51.50,52.20,0.20,109,10350000
107/09/28,200000,51.90,52.70,51.50,52.00,0.20,115,10395000
107/10/01,106000,51.70,52.50,51.50,51.90,0.10,56,5517900
107/10/02,120000,51.70,53.00,51.70,52.40,0.50,64,6273800
107/10/03,126000,52.40,52.90,51.70,51.80,0.60,55,6590700
107/10/04,134000,52.40,52.40,51.50,52.20,0.40,71,6952000
107/10/05,269000,51.90,51.90,50.20,50.50,1.70,171,13725400
107/10/08,111000,51.00,51.00,49.75,50.30,0.20,81,5583900
107/10/09,230000,50.40,52.60,50.20,51.00,0.70,134,11755600
107/10/11,345420,48.20,49.45,47.90,48.55,2.45,228,16710141
107/10/12,188000,48.00,51.00,48.00,50.30,1.75,104,9224650
107/10/15,108000,49.90,51.00,49.50,50.40,0.10,65,5423550
107/10/16,98000,49.70,50.90,49.70,50.70,0.30,59,4930900
107/10/17,114000,51.30,52.20,50.60,50.80,0.10,77,5860200
107/10/18,173000,50.50,51.60,49.70,50.30,0.50,97,8727650
107/10/19,145000,50.30,50.30,48.75,49.30,1.00,77,7153050
107/10/22,154000,49.00,50.20,48.80,49.15,0.15,89,7580900
107/10/23,50000,49.20,49.40,48.50,48.50,0.65,38,2443300
107/10/24,140000,48.50,49.15,47.80,48.25,0.25,95,6769500
107/10/25,165000,47.80,48.70,47.50,48.25,,88,7938200
107/10/26,123000,49.00,49.00,47.10,47.60,0.65,81,5861000
107/10/29,451000,47.80,47.85,43.45,44.35,3.25,275,20093250
107/10/30,124000,43.15,45.00,43.15,44.20,0.15,76,5455400
107/10/31,509000,44.90,45.00,42.80,43.00,1.20,360,22058950
107/11/01,284000,43.00,46.40,43.00,46.05,3.05,209,12851050
107/11/02,205000,47.00,49.00,46.00,48.15,2.10,154,9807600
107/11/08,173000,51.00,52.90,51.00,52.00,1.00,103,9018900
107/11/09,329000,52.30,52.30,49.50,51.00,1.00,237,16703300
107/11/12,139000,51.70,51.70,49.15,49.50,1.50,99,6945950
107/11/16,91000,49.20,49.50,48.70,49.00,,44,4468650
107/11/19,118000,49.05,50.00,48.90,49.40,0.40,61,5841400
107/11/20,298001,50.00,50.00,47.70,47.90,1.50,176,14439250
107/11/21,177000,47.70,48.10,46.65,47.95,0.05,115,8422600
107/11/22,258030,47.50,48.20,46.70,46.95,1.00,148,12166420
107/11/23,129000,46.90,48.05,46.65,47.15,0.20,82,6090000
107/11/26,81000,47.75,48.00,47.00,47.20,0.05,51,3831200
107/11/27,217030,47.30,47.40,46.30,47.40,0.20,123,10196075
107/11/28,169000,47.00,48.50,47.00,48.25,0.85,115,8096850
107/11/29,259000,48.50,48.95,47.85,47.95,0.30,140,12479400
107/11/30,149000,48.05,48.60,47.70,48.20,0.25,99,7161150
107/12/03,375000,48.90,50.00,48.40,50.00,1.80,270,18410800
107/12/04,342000,49.95,49.95,49.00,49.30,0.70,210,16902100
107/12/05,151000,48.30,49.65,48.30,48.95,0.35,91,7386150
107/12/06,267000,49.10,49.10,47.50,48.00,0.95,155,12870750
107/12/07,96000,48.50,48.50,47.80,48.20,0.20,63,4623550
107/12/10,114000,47.85,48.40,47.40,48.30,0.10,57,5456400
107/12/11,110000,48.45,48.45,47.65,48.05,0.25,51,5276800
