時碩工業,	4566
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,103000,53.50,53.80,52.80,53.10,1.00,69,5469200
107/06/04,47000,54.80,54.80,52.80,53.40,0.30,37,2517200
107/06/05,26000,53.40,53.80,53.20,53.50,0.10,22,1389800
107/06/06,77000,54.00,54.30,53.60,54.30,0.80,50,4161000
107/06/07,40000,54.40,54.70,53.80,54.20,0.10,31,2168500
107/06/08,82000,54.00,54.20,53.50,53.60,0.60,59,4410800
107/06/11,48000,53.80,54.60,53.40,54.00,0.40,38,2573400
107/06/12,60000,54.00,54.00,53.30,53.30,0.70,43,3212900
107/06/13,63000,53.10,53.30,52.80,53.10,0.20,46,3339200
107/06/14,93000,52.80,52.90,52.40,52.80,0.30,65,4895200
107/06/15,34000,52.30,53.30,52.30,53.00,0.20,24,1797200
107/06/19,51000,53.70,53.70,52.50,52.50,0.50,44,2702100
107/06/20,46000,52.50,52.60,52.40,52.40,0.10,31,2414600
107/06/21,35000,52.40,53.10,52.40,52.50,0.10,23,1845400
107/06/22,19000,52.50,53.00,52.40,52.70,0.20,14,1000500
107/06/25,115000,53.00,54.50,53.00,53.80,1.10,99,6188900
107/06/26,67000,53.60,53.60,52.70,52.70,1.10,46,3549100
107/06/27,61000,52.90,53.80,52.80,53.20,0.50,41,3243500
107/06/28,43050,53.20,54.30,53.20,53.70,0.50,43,2315905
107/06/29,46000,54.00,54.20,53.60,54.00,0.30,36,2482900
107/07/02,28000,54.00,54.50,53.30,53.40,0.60,27,1510400
107/07/03,32000,53.40,53.90,52.80,52.80,0.60,26,1705600
107/07/04,23000,52.00,53.00,52.00,52.60,0.20,19,1214500
107/07/05,56000,52.00,52.50,52.00,52.00,0.60,42,2916900
107/07/06,27000,52.10,52.50,51.80,51.80,0.20,19,1404700
107/07/09,33000,51.00,53.50,51.00,51.80,,25,1699000
107/07/10,11000,52.80,52.80,51.50,51.50,0.30,11,568100
107/07/11,32000,51.50,51.70,51.20,51.20,0.30,22,1646900
