雙鍵,	4764
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
107/06/01,180400,70.60,71.90,70.10,71.00,1.10,143,12824440
107/06/04,160471,71.30,71.30,68.90,70.10,0.90,132,11205317
107/06/05,112030,70.40,70.50,69.10,70.40,0.30,79,7834891
107/06/06,103220,70.30,71.00,70.20,70.40,,87,7276622
107/06/07,613351,71.00,74.90,70.40,73.60,3.20,438,44564158
107/06/08,326801,73.30,74.10,72.30,74.10,0.50,203,23930774
107/06/11,283262,75.30,76.00,73.00,74.20,0.10,221,21052439
107/06/12,383200,72.00,72.70,70.50,71.50,2.70,280,27343160
107/06/13,63064,71.90,71.90,70.80,71.30,0.20,44,4489363
107/06/14,124126,71.50,72.20,70.90,71.40,0.10,87,8876946
107/06/15,156250,71.10,71.70,70.10,70.10,1.30,95,11061950
107/06/19,208115,69.50,70.40,68.40,68.40,1.70,144,14398623
107/06/20,70074,68.90,69.30,68.50,69.20,0.80,68,4822035
107/06/21,61129,69.90,70.50,69.20,69.80,0.60,45,4285930
107/06/22,46260,69.90,70.30,69.60,69.80,,39,3238422
107/06/25,59000,69.80,70.70,69.80,70.00,0.20,28,4143600
107/06/26,95040,69.80,70.40,68.80,70.20,0.20,67,6618412
107/06/27,107000,70.20,71.50,70.20,70.50,0.30,73,7607400
107/06/28,206106,71.00,72.60,70.50,71.60,1.10,137,14816885
107/06/29,357279,72.10,74.60,71.70,73.40,1.80,245,26258767
107/07/02,167000,73.10,73.40,72.00,72.70,0.70,111,12122600
107/07/03,261000,72.70,72.70,69.50,70.50,2.20,179,18506100
107/07/04,544129,71.00,74.00,70.50,74.00,3.50,261,39207858
107/07/05,244059,74.00,74.20,72.50,73.00,1.00,170,17831007
107/07/06,161200,73.20,73.20,71.00,72.90,0.10,113,11600300
107/07/09,78000,73.00,73.00,71.40,72.00,0.90,62,5611900
107/07/10,79000,72.00,72.60,71.90,72.50,0.50,51,5711100
107/07/11,239019,69.10,70.60,69.00,70.40,2.10,181,16670126
107/07/12,115100,69.80,70.10,69.60,70.00,0.40,95,8036350
107/07/13,78000,70.10,71.00,70.10,70.50,0.50,54,5509500
107/07/16,26000,70.60,70.60,70.00,70.40,0.10,24,1826700
107/07/17,43000,70.40,70.40,69.60,70.30,0.10,39,3007900
107/07/18,54100,70.30,70.90,70.20,70.90,0.60,42,3812240
107/07/19,23000,70.70,70.90,70.50,70.80,0.10,23,1626900
107/07/20,137000,70.90,72.00,70.90,71.70,0.90,89,9822400
107/07/23,336040,73.20,74.60,71.80,72.00,0.30,257,24547355
107/07/24,173119,72.00,72.70,71.20,72.20,0.20,86,12467791
107/07/25,109000,72.40,72.70,72.00,72.30,0.10,53,7881300
107/07/26,311050,72.40,74.30,72.40,73.40,1.10,231,22891250
107/07/27,2229101,73.90,80.50,73.90,77.40,4.00,1625,173562477
107/07/30,630710,77.90,78.00,75.70,77.70,0.30,480,48542267
107/07/31,1286944,78.20,81.60,78.00,79.30,1.60,979,103044787
107/08/01,1301301,79.50,84.00,79.50,82.00,2.70,1006,106468461
107/08/02,682308,81.80,82.00,79.50,80.60,1.40,498,54828540
107/08/03,480300,80.00,82.50,79.50,80.40,0.20,372,38749920
107/08/06,373300,80.70,83.10,80.60,80.60,0.20,303,30505730
107/08/07,662352,80.00,80.00,77.00,78.50,2.10,522,51913390
107/08/08,346200,79.50,80.00,78.50,78.80,0.30,261,27401039
107/08/09,279400,78.70,80.00,78.20,79.70,0.90,161,22184339
107/08/10,382000,80.70,81.50,79.70,79.90,0.20,225,30763200
107/08/13,1014969,80.80,83.00,77.70,78.60,1.30,735,81814462
107/08/14,246486,79.60,80.00,78.60,79.70,1.10,160,19544780
107/08/15,1639560,80.70,85.70,80.50,84.50,4.80,1356,136941451
107/08/16,832880,83.70,83.70,81.60,82.80,1.70,675,68731250
107/08/17,1336900,83.40,86.90,83.40,84.60,1.80,1064,114107479
107/08/20,617007,84.60,84.60,81.40,82.20,2.40,478,50987470
107/08/21,259500,81.90,82.70,81.50,82.40,0.20,182,21298399
107/08/22,165100,82.40,82.70,81.50,81.50,0.90,142,13530050
107/08/23,411459,81.70,81.90,79.50,79.50,2.00,330,33058320
107/08/24,385100,79.30,80.60,78.20,80.00,0.50,238,30451400
107/08/27,415000,81.00,83.20,80.50,82.60,2.60,290,34165000
107/08/28,257047,83.20,83.40,81.70,83.30,0.70,187,21234843
107/08/29,517765,83.40,84.40,82.70,84.00,0.70,374,43417534
107/08/30,643455,82.20,83.50,81.60,83.40,X,440,53285438
107/08/31,1722668,83.10,90.30,82.80,88.00,4.60,1278,149557515
107/09/03,1294367,87.50,90.30,85.80,86.30,1.70,971,113976508
107/09/04,1304988,85.90,90.30,85.90,86.60,0.30,857,115032534
107/09/05,740360,87.40,88.00,83.60,83.70,2.90,588,63427276
107/09/06,344210,83.80,84.40,82.70,84.10,0.40,276,28747461
107/09/07,806270,84.10,84.10,77.50,78.40,5.70,636,64714430
107/09/10,706075,79.10,79.50,74.00,75.70,2.70,506,53369162
107/09/11,388000,77.00,78.40,75.90,76.60,0.90,309,29828700
107/09/12,319000,77.00,78.30,76.20,77.40,0.80,244,24583100
107/09/13,240000,77.90,78.40,77.30,77.60,0.20,200,18661000
107/09/14,297050,78.00,78.90,77.40,78.30,0.70,233,23222300
107/09/17,201051,77.80,77.80,76.60,77.00,1.30,163,15488578
107/09/18,337000,76.70,77.10,75.70,75.80,1.20,206,25705300
107/09/19,223200,76.30,78.30,76.30,77.30,1.50,173,17341000
107/09/20,149200,78.30,78.30,76.90,77.00,0.30,123,11557299
107/09/21,82100,77.10,78.00,77.00,78.00,1.00,68,6350439
107/09/25,122200,78.00,79.30,77.80,77.80,0.20,102,9562700
107/09/26,144102,77.80,78.80,77.80,78.00,0.20,101,11279456
107/09/27,438945,78.10,81.20,78.10,79.20,1.20,358,35047866
107/09/28,2567970,79.90,87.10,79.90,85.20,6.00,1654,218279750
107/10/01,3269883,87.70,91.80,85.80,91.80,6.60,2519,290531664
107/10/02,4984628,92.80,95.50,86.90,88.60,3.20,3866,459583920
107/10/03,2317532,89.50,92.70,89.20,90.00,1.40,1883,210371780
107/10/04,1249966,90.40,92.90,88.40,92.90,2.90,1065,113505136
107/10/05,1705925,92.00,93.50,86.00,88.80,4.10,1365,153429425
107/10/08,991560,87.30,89.50,83.10,84.70,4.10,800,84741417
107/10/09,840776,85.70,86.30,81.50,82.50,2.20,672,70401132
107/10/11,989372,78.40,78.40,74.80,76.80,5.70,723,75963766
107/10/12,680220,77.00,82.60,76.10,80.80,4.00,518,54247798
107/10/15,433298,80.00,81.90,79.20,80.00,0.80,324,34713480
107/10/16,262001,80.90,81.70,79.40,80.00,,210,21151880
107/10/17,432000,81.40,83.60,81.20,81.20,1.20,349,35451000
107/10/18,280198,82.10,82.50,80.00,80.90,0.30,224,22642278
107/10/19,301084,79.80,80.30,77.70,79.90,1.00,235,23752920
107/10/22,247046,79.60,81.10,78.60,80.80,0.90,181,19722849
107/10/23,283133,80.30,80.60,78.00,78.10,2.70,226,22374500
107/10/24,305629,78.50,79.00,77.50,77.50,0.60,224,23788734
107/10/25,369352,76.10,76.10,75.00,75.20,2.30,269,27897052
107/10/26,669200,76.40,76.90,70.80,72.00,3.20,463,48820000
107/10/29,267035,72.30,73.10,71.50,71.90,0.10,200,19254623
107/10/30,384060,71.90,72.00,70.00,71.20,0.70,265,27297614
107/10/31,287000,72.10,73.40,71.70,72.20,1.00,202,20791800
107/11/01,368000,73.00,75.50,72.30,72.60,0.40,317,26982100
107/11/02,323000,73.40,75.00,72.90,73.60,1.00,246,23849500
107/11/08,157000,75.00,75.60,74.20,74.40,0.20,113,11742400
107/11/09,76000,75.20,75.20,74.20,74.50,0.10,70,5657300
107/11/12,474062,74.80,78.40,74.80,76.80,2.30,389,36439236
107/11/16,94000,77.50,77.80,76.50,77.00,0.50,78,7251300
107/11/19,179000,77.70,79.80,77.10,79.10,2.10,150,14100800
107/11/20,479000,79.80,83.40,79.80,81.00,1.90,370,39227000
107/11/21,303201,80.50,83.20,80.30,82.70,1.70,234,24933621
107/11/22,414001,82.70,82.80,77.90,78.00,4.70,318,33222682
107/11/23,153060,78.20,78.70,77.20,77.30,0.70,123,11901480
107/11/26,57030,77.70,79.60,77.70,78.50,1.20,57,4493655
107/11/27,69050,78.50,79.80,78.50,79.80,1.30,51,5468015
107/11/28,117060,79.90,80.30,79.00,80.00,0.20,93,9313312
107/11/29,167060,81.90,81.90,79.40,79.40,0.60,124,13481312
107/11/30,226000,79.50,82.50,79.50,81.00,1.60,181,18420200
107/12/03,166180,82.90,83.00,81.50,82.00,1.00,143,13626104
107/12/04,78050,82.00,82.50,80.50,81.00,1.00,70,6369155
107/12/05,80000,80.70,80.70,80.10,80.50,0.50,72,6431600
107/12/06,195010,80.20,80.40,77.70,77.70,2.80,157,15342682
107/12/07,115081,77.80,79.10,77.70,78.00,0.30,97,9007558
107/12/10,62000,77.50,77.90,77.10,77.80,0.20,61,4811400
107/12/11,99000,78.00,78.40,77.10,77.70,0.10,79,7695800
107/12/12,70004,77.90,79.60,77.90,79.20,1.50,70,5515016
107/12/13,217005,79.60,81.70,79.30,81.60,2.40,187,17579108
107/12/14,136000,82.50,82.50,80.70,80.80,0.80,118,11047000
107/12/17,93000,80.50,81.50,79.20,79.80,1.00,75,7493400
107/12/18,101106,79.20,79.70,78.00,78.30,1.50,91,7942552
107/12/19,67155,78.50,78.50,78.10,78.40,0.10,59,5256829
107/12/20,71004,78.10,78.70,77.60,77.70,0.70,53,5546008
107/12/21,62510,77.90,78.00,77.40,77.70,,61,4852874
107/12/22,34000,77.70,77.80,77.50,77.50,0.20,26,2639900
