F-乙盛          ,	5243
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,631505,44.20,44.40,43.35,43.65,-0.45,345,27556493
104/01/06,1030350,43.65,43.95,42.50,43.20,-0.45,544,44475521
104/01/07,538450,43.50,44.20,43.20,43.75,0.55,341,23531484
104/01/08,573200,44.20,44.25,43.60,43.60,-0.15,246,25227449
104/01/09,646840,43.60,44.00,43.20,43.25,-0.35,338,28191789
104/01/12,405400,43.25,43.25,42.80,42.90,-0.35,193,17437200
104/01/13,554100,42.90,43.30,42.80,43.20,0.30,252,23908970
104/01/14,340700,43.30,43.35,42.45,42.80,-0.40,211,14565290
104/01/15,599045,43.10,43.70,42.55,43.65,0.85,363,25867162
104/01/16,454250,43.65,43.65,42.60,42.60,-1.05,279,19478547
104/01/19,446755,42.70,43.10,41.10,41.30,-1.30,282,18676279
104/01/20,503050,41.30,41.45,41.20,41.35,0.05,292,20792761
104/01/21,256401,41.40,41.70,41.35,41.50,0.15,154,10638356
104/01/22,369800,41.80,42.60,41.60,42.25,0.75,247,15582458
104/01/23,226350,42.25,42.50,41.90,41.95,-0.30,151,9530400
104/01/26,249150,41.95,42.40,41.90,42.05,0.10,157,10491600
104/01/27,209300,42.35,42.35,41.90,42.10,0.05,110,8798000
104/01/28,197750,42.10,42.15,41.90,42.00,-0.10,110,8304085
104/01/29,758650,41.85,41.95,41.30,41.65,-0.35,298,31563053
104/01/30,938150,41.65,41.65,41.10,41.15,-0.50,336,38745982
104/02/02,207650,41.05,41.20,40.95,41.10,-0.05,143,8537397
104/02/03,904200,41.35,42.55,41.35,42.30,1.20,531,38125610
104/02/04,755900,42.30,42.70,42.00,42.00,-0.30,425,32017600
104/02/05,194350,42.00,42.30,41.70,41.95,-0.05,134,8166328
104/02/06,382150,42.10,42.20,41.65,41.65,-0.30,186,15982594
104/02/09,145000,41.65,41.70,41.30,41.50,-0.15,104,6018800
104/02/10,259950,41.10,41.70,41.10,41.60,0.10,143,10771465
104/02/11,97450,41.85,41.85,41.45,41.50,-0.10,64,4050525
104/02/12,594600,41.30,41.45,40.85,41.10,-0.40,486,24389000
104/02/13,371347,41.10,41.15,40.80,41.00,-0.10,185,15193556
104/02/24,302450,41.30,41.45,41.05,41.35,0.35,163,12449706
104/02/25,2081150,42.10,43.90,42.10,43.30,1.95,1162,89825903
104/02/26,462286,43.30,43.30,42.60,42.80,-0.50,259,19787268
104/03/02,298200,43.10,43.10,42.45,42.50,-0.30,183,12697370
104/03/03,262200,42.50,42.55,41.95,42.30,-0.20,168,11054500
104/03/04,680150,42.00,42.20,41.85,41.85,-0.45,250,28570630
104/03/05,756450,42.00,42.80,42.00,42.30,0.45,280,32026482
104/03/06,472250,42.50,42.50,42.15,42.40,0.10,208,19981025
104/03/09,544000,42.30,42.55,42.10,42.15,-0.25,197,23025600
104/03/10,341006,42.20,42.30,41.75,41.85,-0.30,212,14291550
104/03/11,230500,41.70,41.90,41.60,41.65,-0.20,139,9612724
104/03/12,181460,41.65,42.15,41.65,41.95,0.30,114,7618720
104/03/13,266344,42.30,42.60,41.85,41.85,-0.10,155,11242159
104/03/16,417450,41.85,42.05,41.60,41.65,-0.20,164,17408540
104/03/17,1069650,41.65,42.80,41.65,42.40,0.75,443,45437614
104/03/18,613260,42.45,43.20,42.15,42.65,0.25,307,26198526
104/03/19,624700,42.35,42.90,42.35,42.60,-0.05,314,26617667
104/03/20,2243170,43.30,44.30,43.05,43.20,0.60,1216,98131912
104/03/23,786000,43.30,43.85,43.15,43.30,0.10,458,34189600
104/03/24,2878130,43.70,45.15,43.70,44.05,0.75,1522,128405974
104/03/25,915050,44.15,44.25,43.45,43.55,-0.50,533,40032130
104/03/26,310550,43.00,43.70,43.00,43.40,-0.15,211,13478487
104/03/27,844150,43.40,43.60,43.15,43.25,-0.15,273,36499150
104/03/30,942000,43.50,43.50,42.30,42.50,-0.75,311,40056850
104/03/31,508000,42.80,42.90,42.55,42.75,0.25,215,21696647
104/04/01,367250,43.05,43.10,42.60,42.60,-0.15,216,15751348
104/04/02,377699,42.60,43.35,42.60,43.35,0.75,234,16253088
104/04/07,698450,43.35,43.95,43.00,43.00,-0.35,484,30265364
104/04/08,332100,43.00,43.35,42.90,42.95,-0.05,209,14294738
104/04/09,705450,43.30,43.80,42.85,42.95,,442,30518795
104/04/10,486900,43.20,43.20,42.00,42.00,-0.95,306,20613850
104/04/13,603200,42.05,42.20,41.70,41.95,-0.05,172,25279969
104/04/14,211750,41.95,42.35,41.95,42.20,0.25,136,8929272
104/04/15,250750,42.20,42.35,42.15,42.15,-0.05,155,10591087
104/04/16,203800,42.50,42.50,42.15,42.25,0.10,126,8614098
104/04/17,352950,42.25,42.30,42.00,42.20,-0.05,156,14881336
104/04/20,531700,41.95,42.10,41.60,41.80,-0.40,185,22231040
104/04/21,775200,42.30,42.30,40.70,40.90,-0.90,393,31994088
104/04/22,409735,40.90,41.20,40.30,40.50,-0.40,265,16615241
104/04/23,422715,40.85,41.40,40.70,41.05,0.55,212,17331550
104/04/24,237450,41.40,41.50,40.80,41.00,-0.05,171,9761629
104/04/27,377950,41.05,41.45,40.95,41.10,0.10,182,15553294
104/04/28,246550,41.25,41.40,41.00,41.00,-0.10,143,10148600
104/04/29,295851,41.00,41.25,40.40,40.75,-0.25,165,12059676
104/04/30,160649,41.00,41.15,40.80,40.95,0.20,113,6586159
104/05/04,344400,40.65,40.85,40.45,40.55,-0.40,172,13976579
104/05/05,337550,40.45,41.30,40.45,40.95,0.40,199,13825734
104/05/06,461950,40.75,40.95,40.35,40.95,,243,18795691
104/05/07,203975,41.20,41.20,40.55,40.65,-0.30,164,8312931
104/05/08,2003700,40.50,40.60,37.85,37.85,-2.80,972,76731650
104/05/11,2602079,38.45,38.45,35.25,35.60,-2.25,1146,93255107
104/05/12,2195350,35.60,35.65,33.15,33.65,-1.95,1099,73474340
104/05/13,702355,33.70,34.50,33.20,34.50,0.85,415,23868518
104/05/14,722150,34.50,35.05,34.25,34.50,,466,24982721
104/05/15,595182,34.50,34.70,34.25,34.25,-0.25,284,20519437
104/05/18,412550,34.25,34.65,33.80,34.20,-0.05,265,14093759
104/05/19,689883,34.45,35.50,34.45,35.25,1.05,488,24290822
104/05/20,620034,35.25,35.25,34.35,34.50,-0.75,425,21418070
104/05/21,425290,34.20,34.30,34.05,34.05,-0.45,263,14531897
104/05/22,517681,34.25,34.30,33.60,33.85,-0.20,316,17584686
104/05/25,375100,33.70,33.90,33.20,33.70,-0.15,196,12578499
104/05/26,123175,34.00,34.00,33.60,34.00,0.30,83,4173050
104/05/27,287100,34.00,34.00,33.60,33.75,-0.25,142,9705700
104/05/28,451200,34.00,34.75,34.00,34.40,0.65,293,15540720
104/05/29,761010,35.10,36.80,35.10,36.80,2.40,363,27592067
104/06/01,1232250,37.00,37.80,36.00,36.70,-0.10,713,45606724
104/06/02,557100,35.90,37.00,35.70,35.70,-1.00,347,20188400
