禾聯碩,	5283
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
108/05/24,2013653,100.00,103.00,95.30,102.00,X,1706,200661730
108/05/27,1475800,104.00,107.00,103.50,105.00,3.00,1142,155441897
108/05/28,719631,105.50,105.50,100.00,101.00,4.00,590,73247545
108/05/29,476529,100.00,104.00,100.00,103.50,2.50,392,48781750
108/05/30,298700,104.00,104.00,101.50,102.50,1.00,236,30618400
108/05/31,269520,102.50,102.50,100.50,101.00,1.50,233,27273279
108/06/03,650718,100.50,100.50,98.00,98.10,2.90,520,64224763
108/06/04,265950,98.00,99.50,97.90,98.10,,215,26166775
108/06/05,215510,98.80,99.20,98.00,98.20,0.10,183,21188384
108/06/06,507320,98.20,98.50,95.80,95.80,2.40,402,49073320
108/06/10,350245,96.30,98.80,96.30,97.50,1.70,256,34128536
108/06/11,291000,96.00,97.30,95.40,96.30,1.20,208,28028600
108/06/12,270631,96.30,96.60,95.00,95.00,1.30,229,25824669
108/06/13,411553,95.20,95.20,92.10,92.50,2.50,357,38267803
108/06/14,195360,92.60,93.30,92.20,92.90,0.40,158,18111751
108/06/17,164998,93.00,94.80,93.00,93.80,0.90,146,15476512
108/06/18,564600,94.40,98.20,94.40,97.80,4.00,491,54547860
108/06/19,340525,98.00,98.20,96.10,96.90,0.90,280,33113950
108/06/20,228250,97.00,97.40,96.10,97.30,0.40,208,22146474
108/06/21,241089,97.30,98.40,97.30,98.40,1.10,209,23627349
108/06/24,140205,98.60,98.60,97.40,97.80,0.60,134,13717972
108/06/25,106064,97.80,98.00,97.40,97.40,0.40,104,10359455
108/06/26,254326,97.50,97.50,94.80,96.50,0.90,234,24352822
108/06/27,138450,96.70,96.90,96.00,96.20,0.30,108,13362011
108/06/28,138149,96.20,97.40,96.20,97.20,1.00,106,13369627
108/07/01,355100,97.30,99.20,97.20,98.90,1.70,260,34896700
108/07/02,206149,99.40,99.40,98.60,99.00,0.10,149,20411725
108/07/03,192100,99.00,99.00,97.50,98.10,0.90,145,18837820
108/07/04,295430,98.30,101.00,98.20,100.00,1.90,240,29447530
108/07/05,444290,101.00,102.50,100.50,102.00,2.00,372,45078515
108/07/08,323490,103.00,104.00,102.00,103.00,1.00,278,33300460
108/07/09,222560,102.50,103.50,102.00,102.00,1.00,185,22814900
108/07/10,558710,103.00,105.00,103.00,103.50,1.50,446,58110840
108/07/11,339400,104.00,104.50,103.00,103.50,,259,35266800
108/07/12,305698,104.00,104.50,103.50,104.00,0.50,235,31844941
108/07/15,265103,104.00,105.00,104.00,105.00,1.00,210,27758366
108/07/16,229250,105.00,105.00,104.00,104.50,0.50,175,23988875
108/07/17,282552,105.00,105.50,104.50,105.50,1.00,239,29636235
108/07/18,375968,105.50,105.50,103.00,103.50,2.00,283,39129686
108/07/19,361150,104.00,104.50,103.50,104.00,0.50,197,37580175
108/07/22,277315,104.50,105.00,104.00,104.50,0.50,196,28979575
108/07/23,326500,104.50,105.00,104.00,104.00,0.50,221,34113500
108/07/24,414822,104.50,105.00,104.00,104.50,0.50,314,43336810
108/07/25,1340448,104.50,106.50,104.00,106.50,2.00,927,141220155
108/07/26,1195126,98.50,100.00,98.50,99.00,X,945,118406897
108/07/29,574150,99.00,99.00,95.10,95.80,3.20,486,55557975
108/07/30,497551,95.80,95.80,93.30,93.40,2.40,396,46917657
108/07/31,250440,93.40,95.70,93.40,95.20,1.80,228,23800085
108/08/01,119550,95.20,95.30,94.50,94.80,0.40,116,11332060
108/08/02,205300,94.50,94.50,92.30,93.50,1.30,169,19111350
108/08/05,91350,93.20,93.80,93.10,93.30,0.20,71,8524500
108/08/06,210426,91.30,92.50,90.90,92.10,1.20,186,19319389
108/08/07,164959,92.20,93.20,92.20,92.40,0.30,136,15278004
108/08/08,128350,92.40,94.00,92.40,94.00,1.60,121,11962230
