合庫金          ,	5880
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,4712481,16.20,16.25,16.10,16.10,-0.20,1538,76045471
104/01/06,12844837,16.10,16.10,16.00,16.00,-0.10,4330,205779615
104/01/07,5806226,16.00,16.10,16.00,16.00,,1950,93035703
104/01/08,5338988,16.10,16.15,16.05,16.15,0.15,1014,85979520
104/01/09,3514393,16.20,16.25,16.10,16.20,0.05,1030,56828598
104/01/12,2486239,16.10,16.15,16.05,16.10,-0.10,769,40022515
104/01/13,5151169,16.10,16.25,16.05,16.25,0.15,1329,83433398
104/01/14,5071854,16.20,16.20,16.05,16.05,-0.20,1526,81697870
104/01/15,4377232,16.20,16.20,16.05,16.05,,983,70408943
104/01/16,7724696,16.05,16.15,16.00,16.15,0.10,1980,124093131
104/01/19,4873569,16.20,16.25,16.05,16.15,,1433,78711617
104/01/20,4684510,16.10,16.15,16.05,16.10,-0.05,1149,75541477
104/01/21,5817700,16.15,16.20,16.05,16.20,0.10,1863,93830996
104/01/22,7497152,16.20,16.20,16.10,16.15,-0.05,1909,121142070
104/01/23,13744713,16.20,16.25,16.15,16.25,0.10,2588,222697459
104/01/26,8303885,16.25,16.25,16.15,16.20,-0.05,1700,134317841
104/01/27,10177577,16.25,16.25,16.15,16.25,0.05,1462,164936007
104/01/28,10101543,16.20,16.25,16.15,16.20,-0.05,2429,163563111
104/01/29,14807491,16.15,16.20,16.15,16.20,,2211,239709712
104/01/30,13717086,16.20,16.30,16.20,16.30,0.10,2931,222922892
104/02/02,14442250,16.10,16.15,16.05,16.15,X,3015,232741012
104/02/03,9911303,16.15,16.15,16.05,16.10,-0.05,1679,159620849
104/02/04,16720236,16.10,16.15,16.05,16.15,0.05,3779,269403014
104/02/05,8950711,16.15,16.15,16.10,16.15,,1310,144466290
104/02/06,8157512,16.15,16.15,16.05,16.15,,2308,131587488
104/02/09,4303019,16.10,16.15,16.05,16.15,,1181,69326572
104/02/10,6350166,16.10,16.15,16.05,16.15,,1429,102467055
104/02/11,6148091,16.15,16.15,16.10,16.15,,1673,99182079
104/02/12,5905210,16.10,16.15,16.10,16.15,,1484,95216856
104/02/13,8947369,16.15,16.15,16.10,16.10,-0.05,2127,144146250
104/02/24,18670398,16.10,16.15,16.05,16.10,,4694,300118784
104/02/25,16837256,16.10,16.15,16.05,16.15,0.05,3634,271314396
104/02/26,18432348,16.15,16.15,16.05,16.15,,3311,297046503
104/03/02,13038511,16.10,16.15,16.05,16.15,,2903,210199787
104/03/03,10013224,16.15,16.15,16.05,16.10,-0.05,2438,161121102
104/03/04,7276897,16.10,16.10,16.05,16.10,,2469,117031795
104/03/05,11363505,16.10,16.10,16.05,16.05,-0.05,3746,182533777
