宏齊            ,	6168
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,427723,18.15,18.40,18.15,18.35,0.20,233,7811244
104/01/06,606444,18.25,18.25,17.95,17.95,-0.40,324,10940717
104/01/07,425142,17.95,18.20,17.95,18.00,0.05,234,7682538
104/01/08,458273,18.20,18.25,17.95,18.00,,236,8290345
104/01/09,740400,18.10,18.15,17.75,17.85,-0.15,300,13332767
104/01/12,1136780,18.10,18.50,18.00,18.30,0.45,572,20825220
104/01/13,629170,18.50,18.50,18.15,18.15,-0.15,281,11514951
104/01/14,569173,18.20,18.25,18.05,18.15,,265,10325977
104/01/15,443699,18.20,18.30,18.05,18.05,-0.10,227,8062332
104/01/16,758200,18.05,18.05,17.60,17.85,-0.20,394,13507716
104/01/19,429947,17.90,18.00,17.50,17.60,-0.25,241,7595209
104/01/20,420359,17.60,17.95,17.60,17.80,0.20,215,7496768
104/01/21,969297,18.00,18.30,17.85,18.00,0.20,376,17558178
104/01/22,621705,18.20,18.30,17.85,17.90,-0.10,334,11235151
104/01/23,602216,18.05,18.25,17.90,17.95,0.05,307,10879352
104/01/26,1143185,18.00,18.60,17.95,18.10,0.15,484,20909936
104/01/27,656806,18.40,18.40,18.10,18.15,0.05,267,11973383
104/01/28,631291,18.45,18.45,18.25,18.35,0.20,307,11562757
104/01/29,563097,18.40,18.45,18.15,18.15,-0.20,228,10281607
104/01/30,266169,18.25,18.25,18.10,18.10,-0.05,120,4829299
104/02/02,2042373,18.30,18.80,18.30,18.40,0.30,815,37884621
104/02/03,731520,18.45,18.55,18.30,18.50,0.10,354,13500063
104/02/04,635423,18.70,18.75,18.25,18.40,-0.10,328,11743037
104/02/05,357470,18.40,18.60,18.35,18.40,,242,6589173
104/02/06,732986,18.55,18.60,18.25,18.35,-0.05,370,13531492
104/02/09,2721000,18.35,18.95,18.20,18.75,0.40,1169,51000496
104/02/10,2753441,18.90,19.20,18.75,18.75,,1234,52253621
