台表科          ,	6278
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,290406,41.90,42.00,41.65,41.85,-0.05,222,12139457
104/01/06,348279,41.75,41.75,41.35,41.45,-0.40,218,14452077
104/01/07,286238,41.45,41.60,41.25,41.40,-0.05,249,11837647
104/01/08,374681,41.80,41.80,41.50,41.60,0.20,187,15593523
104/01/09,281583,41.70,41.90,41.60,41.75,0.15,209,11757534
104/01/12,220696,41.40,41.75,41.40,41.40,-0.35,136,9161055
104/01/13,661201,41.40,41.60,41.30,41.30,-0.10,538,27348213
104/01/14,336374,41.40,41.45,41.20,41.25,-0.05,292,13881687
104/01/15,372964,41.25,41.85,41.20,41.75,0.50,239,15528894
104/01/16,606478,41.75,41.75,41.20,41.20,-0.55,434,25065763
104/01/19,533288,41.55,41.55,40.85,40.85,-0.35,291,21897267
104/01/20,408512,40.90,41.30,40.80,41.20,0.35,274,16749911
104/01/21,306722,41.20,41.50,41.00,41.30,0.10,217,12640864
104/01/22,387200,41.45,41.60,41.25,41.60,0.30,231,16056821
104/01/23,377894,41.80,41.80,41.50,41.55,-0.05,258,15727945
104/01/26,527052,41.55,41.55,41.15,41.15,-0.40,294,21734484
104/01/27,266650,41.35,41.40,41.15,41.30,0.15,189,10996475
104/01/28,381745,41.30,41.80,41.25,41.65,0.35,270,15877723
104/01/29,469585,41.65,41.65,41.25,41.25,-0.40,315,19438428
104/01/30,396303,41.30,41.35,41.00,41.05,-0.20,277,16295999
104/02/02,400362,41.25,41.25,40.75,40.95,-0.10,288,16383272
104/02/03,357094,41.20,41.20,41.10,41.20,0.25,209,14702054
104/02/04,290402,41.50,41.60,41.35,41.40,0.20,219,12041817
104/02/05,118671,41.40,41.50,41.30,41.40,,87,4909092
104/02/06,335962,41.30,41.30,41.05,41.10,-0.30,237,13816942
104/02/09,199302,41.10,41.40,40.95,40.95,-0.15,142,8182312
104/02/10,246706,40.95,41.25,40.90,40.90,-0.05,211,10122320
104/02/11,277562,41.00,41.05,40.85,40.85,-0.05,162,11358152
104/02/12,335281,40.90,41.10,40.80,40.80,-0.05,297,13714160
104/02/13,280201,40.80,41.10,40.80,40.90,0.10,220,11454453
104/02/24,405864,41.35,41.35,40.90,40.95,0.05,300,16675624
104/02/25,426642,40.95,41.30,40.85,41.10,0.15,242,17530949
104/02/26,226725,41.10,41.30,41.00,41.05,-0.05,193,9309675
104/03/02,844219,40.95,41.00,40.55,40.60,-0.45,637,34379735
104/03/03,374499,40.70,40.85,40.50,40.50,-0.10,322,15205307
104/03/04,682455,40.30,40.70,40.15,40.45,-0.05,528,27536196
104/03/05,861591,40.40,40.70,40.35,40.40,-0.05,582,34845097
104/03/06,805778,40.50,40.50,40.25,40.30,-0.10,526,32499536
104/03/09,536824,40.15,40.50,40.00,40.50,0.20,342,21620753
104/03/10,785702,40.50,40.60,40.00,40.10,-0.40,518,31585715
104/03/11,962142,40.00,40.15,40.00,40.00,-0.10,559,38522630
104/03/12,559250,40.00,40.35,40.00,40.30,0.30,421,22468169
104/03/13,1240862,40.35,40.95,40.30,40.80,0.50,805,50545992
104/03/16,987900,40.80,41.20,40.65,41.00,0.20,656,40488350
104/03/17,1042998,41.00,41.20,40.20,40.20,-0.80,692,42428213
104/03/18,488274,40.20,40.50,40.20,40.25,0.05,344,19692462
104/03/19,887101,40.25,40.80,40.20,40.65,0.40,475,35978233
104/03/20,747485,40.70,40.80,40.30,40.40,-0.25,559,30225735
104/03/23,481583,40.40,40.75,40.35,40.40,,369,19504442
104/03/24,546056,40.40,40.55,40.30,40.35,-0.05,330,22026847
104/03/25,336012,40.35,40.50,40.20,40.30,-0.05,239,13543127
104/03/26,500323,40.30,40.60,40.30,40.40,0.10,399,20199976
104/03/27,641740,40.20,40.50,40.05,40.15,-0.25,531,25769330
104/03/30,646938,40.15,40.25,39.80,39.90,-0.25,443,25859976
104/03/31,1212457,39.90,39.95,39.30,39.35,-0.55,864,47885969
104/04/01,1425527,39.20,39.20,38.55,38.70,-0.65,863,55215385
104/04/02,553263,38.70,39.25,38.60,39.10,0.40,429,21614107
104/04/07,668091,39.30,39.30,38.70,38.90,-0.20,415,25986627
104/04/08,610632,39.10,39.10,38.75,38.80,-0.10,431,23717780
104/04/09,698785,38.80,39.10,38.65,38.80,,518,27127437
104/04/10,656707,38.80,39.00,38.55,38.70,-0.10,519,25437725
104/04/13,511454,38.80,39.00,38.75,39.00,0.30,314,19879406
104/04/14,688493,39.00,39.25,38.80,39.10,0.10,408,26885447
104/04/15,1934978,39.10,40.60,39.10,40.15,1.05,1233,77592263
104/04/16,1122138,39.90,40.40,39.90,40.40,0.25,673,45174141
104/04/17,2440438,40.40,41.90,40.20,41.10,0.70,1359,100452258
104/04/20,1485921,41.50,41.60,40.80,40.90,-0.20,1073,61266919
104/04/21,650742,41.10,41.20,40.55,40.70,-0.20,456,26561381
104/04/22,674234,40.70,41.15,40.70,40.70,,382,27583676
104/04/23,1290118,40.80,41.80,40.80,41.30,0.60,793,53390205
104/04/24,831156,41.50,41.60,41.00,41.20,-0.10,524,34261196
104/04/27,575963,41.20,41.35,40.90,40.90,-0.30,418,23656433
104/04/28,636281,40.90,41.35,40.90,41.10,0.20,518,26191037
104/04/29,472350,41.50,41.50,40.80,40.90,-0.20,353,19391241
104/04/30,1596546,41.10,41.15,40.20,40.60,-0.30,997,64734302
104/05/04,905462,40.65,40.70,39.90,40.00,-0.60,624,36306298
104/05/05,767208,40.30,40.55,40.00,40.10,0.10,590,30849320
104/05/06,1087206,39.80,39.90,39.25,39.55,-0.55,859,43016085
104/05/07,988287,39.50,39.50,39.10,39.10,-0.45,717,38851956
104/05/08,1028938,39.50,39.65,38.85,39.20,0.10,642,40249316
104/05/11,1007926,39.40,39.40,38.30,38.50,-0.70,621,38953821
104/05/12,2118659,38.20,38.20,36.50,37.40,-1.10,1415,79286291
104/05/13,1931112,37.40,39.15,37.40,39.15,1.75,1428,74366430
104/05/14,976015,39.20,39.25,38.40,38.50,-0.65,769,37764033
104/05/15,892264,38.40,38.55,38.00,38.00,-0.50,657,34105232
104/05/18,511339,38.25,38.45,37.85,38.40,0.40,329,19479545
104/05/19,709811,38.50,38.60,38.25,38.45,0.05,546,27294977
104/05/20,1621283,38.25,38.30,37.50,37.90,-0.55,941,61089769
104/05/21,674527,37.85,37.85,37.35,37.55,-0.35,479,25337311
