啟碁            ,	6285
日期,成交股數,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,成交金額
104/01/05,4670568,68.30,68.90,66.80,68.90,1.90,2418,317692828
104/01/06,5065307,68.40,68.50,67.50,67.60,-1.30,2647,344491976
104/01/07,3523419,67.70,68.30,67.10,67.60,,1932,239085604
104/01/08,2911910,68.20,68.40,67.10,67.10,-0.50,1616,196970623
104/01/09,8475099,68.00,69.30,67.30,68.80,1.70,4357,581289404
104/01/12,6984996,68.80,70.20,68.50,68.90,0.10,3629,484875124
104/01/13,3340045,68.90,69.50,68.30,68.30,-0.60,2112,229898981
104/01/14,4428325,68.30,69.50,67.80,69.30,1.00,2049,305543312
104/01/15,7030380,69.40,70.60,69.00,69.50,0.20,3650,491537281
104/01/16,4412241,69.00,69.40,66.90,67.10,-2.40,2816,299452214
104/01/19,2727921,67.50,67.90,65.30,65.70,-1.40,1684,180934786
104/01/20,1880597,67.00,67.50,66.00,67.00,1.30,1089,125844899
104/01/21,1390722,67.20,67.50,66.50,66.70,-0.30,941,93139424
104/01/22,3309396,67.30,68.40,67.10,67.70,1.00,2273,224656004
104/01/23,4033771,68.50,69.00,67.90,68.00,0.30,2287,276376946
104/01/26,1981796,68.50,68.70,67.80,67.80,-0.20,1216,135047063
104/01/27,4126230,68.00,69.30,68.00,68.90,1.10,2262,283546938
104/01/28,1769366,68.80,69.00,68.00,68.50,-0.40,1095,121083470
104/01/29,2616539,68.50,69.30,68.20,68.40,-0.10,1548,179950463
104/01/30,1212611,68.90,69.00,68.00,68.00,-0.40,678,83003048
104/02/02,3783140,68.00,69.10,66.70,69.10,1.10,1934,258741760
104/02/03,3865442,69.50,69.80,68.70,69.00,-0.10,2078,267756298
104/02/04,4446694,69.00,70.50,68.70,69.50,0.50,2696,309570926
104/02/05,2216648,70.20,70.30,69.40,69.60,0.10,1332,154598296
104/02/06,2352483,69.60,69.90,68.30,68.70,-0.90,1500,162158478
104/02/09,7769222,70.00,72.00,70.00,71.00,2.30,4566,553639162
104/02/10,3079311,71.30,71.30,70.40,70.40,-0.60,1865,217925355
104/02/11,4427730,71.00,72.40,70.60,70.90,0.50,2777,316979450
104/02/12,4368030,71.00,72.50,70.70,72.00,1.10,2862,313760960
104/02/13,4730068,72.50,73.40,72.10,73.00,1.00,3378,344767539
104/02/24,3584993,75.00,75.00,73.20,73.70,0.70,2115,265005572
104/02/25,2847637,74.20,74.20,72.60,73.10,-0.60,1671,208777248
104/02/26,1992858,73.30,73.80,72.70,73.60,0.50,1385,145860881
104/03/02,1791399,74.50,74.50,73.20,73.90,0.30,1151,132226376
104/03/03,2214654,74.00,74.20,72.50,72.60,-1.30,1390,161380676
104/03/04,3374317,72.50,74.50,72.10,74.10,1.50,1984,248215375
104/03/05,2203436,74.10,74.50,73.50,73.70,-0.40,1405,163021971
104/03/06,4702161,74.40,75.80,73.70,75.70,2.00,2725,354006841
104/03/09,2969902,76.10,76.10,74.60,75.30,-0.40,1635,223676613
104/03/10,3106001,75.30,75.80,74.70,74.80,-0.50,1819,233435171
104/03/11,1589196,73.50,75.00,73.30,74.10,-0.70,1002,118128815
104/03/12,2586521,74.30,75.00,74.00,74.30,0.20,1365,192726804
104/03/13,2482606,74.50,75.60,74.20,74.40,0.10,1325,185907319
104/03/16,2372763,74.20,74.90,73.60,73.70,-0.70,1291,175525924
104/03/17,2617594,74.50,74.70,72.00,72.00,-1.70,1590,191532768
104/03/18,2045288,72.00,73.50,72.00,72.90,0.90,1236,148488587
104/03/19,1964091,73.10,73.40,72.20,73.00,0.10,1291,142732943
104/03/20,2339963,72.50,72.80,72.10,72.20,-0.80,1372,169196420
104/03/23,2428632,72.20,73.40,72.00,73.10,0.90,1711,176612489
104/03/24,1222210,73.00,73.20,72.30,72.40,-0.70,889,88717395
104/03/25,2134532,72.30,72.90,70.70,70.80,-1.60,1367,152271772
104/03/26,1670564,70.20,71.40,70.20,70.90,0.10,1106,118324277
104/03/27,1610504,71.00,71.60,70.40,71.10,0.20,1126,114380126
104/03/30,1060653,71.30,71.70,70.20,71.00,-0.10,789,75153362
104/03/31,1563323,71.50,72.50,71.50,71.90,0.90,1087,112544087
104/04/01,1125412,72.20,72.60,71.80,72.20,0.30,775,81277943
104/04/02,1254096,72.40,72.90,71.60,72.00,-0.20,751,90269012
104/04/07,2086190,72.70,72.70,71.30,72.60,0.60,986,150232185
104/04/08,1938848,72.60,72.70,71.40,72.30,-0.30,1078,139377716
104/04/09,4805255,72.90,73.30,72.50,72.60,0.30,2152,350261102
104/04/10,2252338,73.00,73.30,72.00,72.10,-0.50,1318,163503465
104/04/13,2470840,72.50,73.30,71.60,73.30,1.20,1356,179251965
104/04/14,8632406,73.30,76.10,73.10,74.40,1.10,4363,646639391
104/04/15,5898008,74.40,76.20,73.80,75.00,0.60,3125,443475788
104/04/16,10901954,76.20,80.20,75.70,79.20,4.20,5849,853693531
104/04/17,11301475,79.20,82.10,78.10,80.10,0.90,6442,910381600
104/04/20,6218463,80.00,81.00,78.20,78.20,-1.90,3237,490896397
104/04/21,7212398,79.00,80.70,76.40,77.80,-0.40,3741,567983658
104/04/22,7394095,79.00,80.90,78.50,80.00,2.20,4216,589968200
104/04/23,9032988,81.80,82.60,79.20,79.50,-0.50,4402,730344633
104/04/24,18456259,80.80,82.20,76.20,77.30,-2.20,7933,1464318202
104/04/27,9243558,77.40,81.30,77.30,81.00,3.70,5132,736423963
104/04/28,11120361,81.40,83.20,80.30,82.90,1.90,6388,910592754
104/04/29,5052262,82.50,82.50,79.50,80.80,-2.10,2949,408653158
104/04/30,5238495,80.80,82.50,80.10,81.50,0.70,2917,427826435
104/05/04,6287835,82.50,84.20,81.60,81.70,0.20,3353,521282800
104/05/05,3151828,82.10,83.00,81.10,81.80,0.10,1688,258337135
104/05/06,11468162,81.40,86.30,80.70,85.80,4.00,6319,969241722
104/05/07,5397778,85.30,85.80,83.70,84.60,-1.20,3458,457553997
104/05/08,4400205,84.70,85.10,82.40,83.10,-1.50,2374,367700515
104/05/11,5245945,84.80,84.90,80.50,81.50,-1.60,2888,430214214
104/05/12,6314195,82.50,83.90,81.80,82.80,1.30,3744,521389809
104/05/13,11711413,84.00,87.50,83.10,86.70,3.90,6479,1007038920
104/05/14,9126643,86.80,88.00,84.90,86.50,-0.20,5096,790780040
104/05/15,9713382,87.10,89.30,86.90,88.30,1.80,5600,858631628
104/05/18,11168209,88.90,94.20,88.80,93.60,5.30,6531,1025463327
104/05/19,6164085,93.70,94.60,92.30,94.00,0.40,4010,576769416
104/05/20,10282065,94.00,95.20,90.70,90.80,-3.20,5755,954280670
104/05/21,5891002,90.80,93.00,89.30,92.00,1.20,4074,539515584
104/05/22,8847896,92.80,95.20,91.70,92.60,0.60,5168,829309140
104/05/25,4776007,93.00,93.40,90.50,91.90,-0.70,2793,436969828
104/05/26,5837550,91.90,92.10,89.00,89.70,-2.20,3613,525771715
104/05/27,8636678,89.80,94.20,89.80,94.00,4.30,5386,800446832
104/05/28,5270520,95.30,96.60,94.50,94.50,0.50,3423,502330619
104/05/29,2890990,94.90,95.00,93.00,94.70,0.20,2108,272455426
104/06/01,3457291,94.70,95.50,92.50,94.40,-0.30,2331,324095361
104/06/02,7065964,94.00,98.50,93.20,98.00,3.60,4483,680017164
104/06/03,6734227,99.50,100.00,94.10,94.40,-3.60,4370,652026414
104/06/04,11420280,93.60,94.00,85.00,85.30,-9.10,6461,1006711753
104/06/05,9244460,85.30,89.90,84.10,89.60,4.30,5463,807426909
104/06/08,4804707,89.80,90.70,88.70,88.80,-0.80,3109,430928174
104/06/09,7433464,88.80,91.20,86.50,87.80,-1.00,4027,662182231
104/06/10,4663512,90.80,90.80,88.20,89.60,1.80,2775,418299068
104/06/11,4221647,90.50,90.60,86.70,89.10,-0.50,2750,374229540
104/06/12,3651294,89.00,90.50,86.80,86.80,-2.30,2502,324274678
104/06/15,6094768,85.90,87.60,82.40,84.40,-2.40,3775,515161611
104/06/16,4817528,84.40,86.20,84.20,86.20,1.80,3113,411558408
104/06/17,6462903,87.50,90.70,86.90,89.50,3.30,4287,577686211
104/06/18,3663943,90.60,90.60,88.60,90.40,0.90,2592,329330738
104/06/22,3429653,91.60,92.50,90.20,90.20,-0.20,2332,314067562
104/06/23,4460737,91.20,94.10,90.60,90.90,0.70,3019,411444681
104/06/24,3092743,91.00,91.20,88.70,90.00,-0.90,2047,278219670
104/06/25,2682978,90.00,92.30,89.70,90.80,0.80,1883,245028597
104/06/26,4144689,92.00,93.90,91.60,92.20,1.40,2772,385313488
104/06/29,2481062,90.30,90.80,88.40,88.40,-3.80,1829,221406083
104/06/30,2149860,88.20,89.50,87.50,87.60,-0.80,1564,189104221
104/07/01,4945688,88.30,91.80,88.10,91.50,3.90,3284,447847466
104/07/02,3425413,91.80,92.90,90.60,90.60,-0.90,2353,314001012
104/07/03,2361170,90.70,91.10,88.90,90.20,-0.40,1585,211941529
104/07/06,3838900,88.00,89.40,86.50,86.50,-3.70,2731,336204625
104/07/07,7409118,87.30,87.80,82.20,83.70,-2.80,4577,624258512
104/07/08,5355151,83.70,84.70,78.00,80.40,-3.30,3575,431844547
104/07/09,5120261,80.80,84.60,78.50,84.40,4.00,3476,423635124
104/07/13,2937169,86.40,86.50,83.00,85.50,1.10,1907,249448244
104/07/14,3056438,86.00,86.00,83.40,83.40,-2.10,2113,257782254
104/07/15,1888552,84.40,84.70,83.60,83.70,0.30,1265,158771097
104/07/16,1338030,84.00,84.30,82.60,83.30,-0.40,1097,111746390
104/07/17,1156637,84.00,84.00,83.00,83.80,0.50,893,96755324
104/07/20,2434385,84.30,84.30,79.20,80.60,-3.20,1869,198584463
104/07/21,1932650,80.60,81.50,79.10,81.50,0.90,1269,155531705
